responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
51,raw_position_sample,2,1,ele,27,2,2,3,-1,999,191,63,1112815.4000000004,6a034701865c1725d369b939,6a034701865c1725d369b939,elementary,2,6a034701865c1725d369b939,6a034701865c1725d369b939,spotlight_PROLIFIC,,38,Mexico,Spanish,English,,Spanish:70|English:30,100,Spanish:80|English:20,100,Spanish:80|English:20,100,17,0,Bachelor's,10,10,10,7,8,9,6,18,6,18,,,,,15,25,B1,elementary|intermediate,elementary|intermediate,cambridge_15_21_random_elementary_intermediate,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-16T17:55:39.208Z,Y5HTV2YY,2026-08-16,2026-08-16,11:55:39,2026-08-16 11:55:39,,,,,,,,6a034701865c1725d369b939,6a034701865c1725d369b939,,,,
89,raw_position_sample,2,1,ele,27,2,2,3,-1,999,193,59,1112853.5999999996,6a034701865c1725d369b939,6a034701865c1725d369b939,elementary,2,6a034701865c1725d369b939,6a034701865c1725d369b939,spotlight_PROLIFIC,,38,Mexico,Spanish,English,,Spanish:70|English:30,100,Spanish:80|English:20,100,Spanish:80|English:20,100,17,0,Bachelor's,10,10,10,7,8,9,6,18,6,18,,,,,15,25,B1,elementary|intermediate,elementary|intermediate,cambridge_15_21_random_elementary_intermediate,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-16T17:55:39.208Z,Y5HTV2YY,2026-08-16,2026-08-16,11:55:39,2026-08-16 11:55:39,,,,,,,,6a034701865c1725d369b939,6a034701865c1725d369b939,,,,
139,raw_position_sample,2,1,ele,27,2,2,3,-1,999,195,55,1112903.7000000011,6a034701865c1725d369b939,6a034701865c1725d369b939,elementary,2,6a034701865c1725d369b939,6a034701865c1725d369b939,spotlight_PROLIFIC,,38,Mexico,Spanish,English,,Spanish:70|English:30,100,Spanish:80|English:20,100,Spanish:80|English:20,100,17,0,Bachelor's,10,10,10,7,8,9,6,18,6,18,,,,,15,25,B1,elementary|intermediate,elementary|intermediate,cambridge_15_21_random_elementary_intermediate,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-16T17:55:39.208Z,Y5HTV2YY,2026-08-16,2026-08-16,11:55:39,2026-08-16 11:55:39,,,,,,,,6a034701865c1725d369b939,6a034701865c1725d369b939,,,,
199,raw_position_sample,2,1,ele,27,2,2,3,-1,999,195,55,1112963.0999999996,6a034701865c1725d369b939,6a034701865c1725d369b939,elementary,2,6a034701865c1725d369b939,6a034701865c1725d369b939,spotlight_PROLIFIC,,38,Mexico,Spanish,English,,Spanish:70|English:30,100,Spanish:80|English:20,100,Spanish:80|English:20,100,17,0,Bachelor's,10,10,10,7,8,9,6,18,6,18,,,,,15,25,B1,elementary|intermediate,elementary|intermediate,cambridge_15_21_random_elementary_intermediate,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-16T17:55:39.208Z,Y5HTV2YY,2026-08-16,2026-08-16,11:55:39,2026-08-16 11:55:39,,,,,,,,6a034701865c1725d369b939,6a034701865c1725d369b939,,,,
240,raw_position_sample,2,1,ele,27,2,2,3,-1,999,195,54,1113003.9000000004,6a034701865c1725d369b939,6a034701865c1725d369b939,elementary,2,6a034701865c1725d369b939,6a034701865c1725d369b939,spotlight_PROLIFIC,,38,Mexico,Spanish,English,,Spanish:70|English:30,100,Spanish:80|English:20,100,Spanish:80|English:20,100,17,0,Bachelor's,10,10,10,7,8,9,6,18,6,18,,,,,15,25,B1,elementary|intermediate,elementary|intermediate,cambridge_15_21_random_elementary_intermediate,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-16T17:55:39.208Z,Y5HTV2YY,2026-08-16,2026-08-16,11:55:39,2026-08-16 11:55:39,,,,,,,,6a034701865c1725d369b939,6a034701865c1725d369b939,,,,
289,raw_position_sample,2,1,ele,27,2,2,3,-1,999,196,50,1113053.5,6a034701865c1725d369b939,6a034701865c1725d369b939,elementary,2,6a034701865c1725d369b939,6a034701865c1725d369b939,spotlight_PROLIFIC,,38,Mexico,Spanish,English,,Spanish:70|English:30,100,Spanish:80|English:20,100,Spanish:80|English:20,100,17,0,Bachelor's,10,10,10,7,8,9,6,18,6,18,,,,,15,25,B1,elementary|intermediate,elementary|intermediate,cambridge_15_21_random_elementary_intermediate,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-16T17:55:39.208Z,Y5HTV2YY,2026-08-16,2026-08-16,11:55:39,2026-08-16 11:55:39,,,,,,,,6a034701865c1725d369b939,6a034701865c1725d369b939,,,,
361,raw_position_sample,2,1,ele,27,2,2,3,-1,999,196,49,1113125.2000000011,6a034701865c1725d369b939,6a034701865c1725d369b939,elementary,2,6a034701865c1725d369b939,6a034701865c1725d369b939,spotlight_PROLIFIC,,38,Mexico,Spanish,English,,Spanish:70|English:30,100,Spanish:80|English:20,100,Spanish:80|English:20,100,17,0,Bachelor's,10,10,10,7,8,9,6,18,6,18,,,,,15,25,B1,elementary|intermediate,elementary|intermediate,cambridge_15_21_random_elementary_intermediate,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-16T17:55:39.208Z,Y5HTV2YY,2026-08-16,2026-08-16,11:55:39,2026-08-16 11:55:39,,,,,,,,6a034701865c1725d369b939,6a034701865c1725d369b939,,,,
392,raw_position_sample,2,1,ele,27,2,2,3,-1,999,196,49,1113156.5,6a034701865c1725d369b939,6a034701865c1725d369b939,elementary,2,6a034701865c1725d369b939,6a034701865c1725d369b939,spotlight_PROLIFIC,,38,Mexico,Spanish,English,,Spanish:70|English:30,100,Spanish:80|English:20,100,Spanish:80|English:20,100,17,0,Bachelor's,10,10,10,7,8,9,6,18,6,18,,,,,15,25,B1,elementary|intermediate,elementary|intermediate,cambridge_15_21_random_elementary_intermediate,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-16T17:55:39.208Z,Y5HTV2YY,2026-08-16,2026-08-16,11:55:39,2026-08-16 11:55:39,,,,,,,,6a034701865c1725d369b939,6a034701865c1725d369b939,,,,
455,raw_position_sample,2,1,ele,27,2,2,3,-1,999,196,49,1113218.7000000011,6a034701865c1725d369b939,6a034701865c1725d369b939,elementary,2,6a034701865c1725d369b939,6a034701865c1725d369b939,spotlight_PROLIFIC,,38,Mexico,Spanish,English,,Spanish:70|English:30,100,Spanish:80|English:20,100,Spanish:80|English:20,100,17,0,Bachelor's,10,10,10,7,8,9,6,18,6,18,,,,,15,25,B1,elementary|intermediate,elementary|intermediate,cambridge_15_21_random_elementary_intermediate,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-16T17:55:39.208Z,Y5HTV2YY,2026-08-16,2026-08-16,11:55:39,2026-08-16 11:55:39,,,,,,,,6a034701865c1725d369b939,6a034701865c1725d369b939,,,,
503,raw_position_sample,2,1,ele,27,2,2,3,-1,999,196,49,1113266.9000000004,6a034701865c1725d369b939,6a034701865c1725d369b939,elementary,2,6a034701865c1725d369b939,6a034701865c1725d369b939,spotlight_PROLIFIC,,38,Mexico,Spanish,English,,Spanish:70|English:30,100,Spanish:80|English:20,100,Spanish:80|English:20,100,17,0,Bachelor's,10,10,10,7,8,9,6,18,6,18,,,,,15,25,B1,elementary|intermediate,elementary|intermediate,cambridge_15_21_random_elementary_intermediate,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-16T17:55:39.208Z,Y5HTV2YY,2026-08-16,2026-08-16,11:55:39,2026-08-16 11:55:39,,,,,,,,6a034701865c1725d369b939,6a034701865c1725d369b939,,,,
