responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,demo_other_english_test,demo_other_english_test_score,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
58,raw_position_sample,2,2,int,3,3,18,19,-1,999,566,132,2059678.300000012,6a17bafd1af923e2679319e2,6a17bafd1af923e2679319e2,intermediate,3,6a17bafd1af923e2679319e2,6a17bafd1af923e2679319e2,spotlight_PROLIFIC,,47,Mexico,Spanish,English,,Spanish:50|English:50,100,Spanish:50|English:50,100,Spanish:60|English:40,100,18,4,Bachelor's,10,10,10,6,8,7,12,42,22,42,TOEFL,90,,,,,14,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T17:58:47.487Z,P5AXP3S8,2026-08-16,2026-08-16,11:58:47,2026-08-16 11:58:47,,,,,,,,6a17bafd1af923e2679319e2,6a17bafd1af923e2679319e2,,,,
104,raw_position_sample,2,2,int,3,3,18,19,-1,999,567,130,2059724.199999988,6a17bafd1af923e2679319e2,6a17bafd1af923e2679319e2,intermediate,3,6a17bafd1af923e2679319e2,6a17bafd1af923e2679319e2,spotlight_PROLIFIC,,47,Mexico,Spanish,English,,Spanish:50|English:50,100,Spanish:50|English:50,100,Spanish:60|English:40,100,18,4,Bachelor's,10,10,10,6,8,7,12,42,22,42,TOEFL,90,,,,,14,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T17:58:47.487Z,P5AXP3S8,2026-08-16,2026-08-16,11:58:47,2026-08-16 11:58:47,,,,,,,,6a17bafd1af923e2679319e2,6a17bafd1af923e2679319e2,,,,
154,raw_position_sample,2,2,int,3,3,18,19,-1,999,567,129,2059774,6a17bafd1af923e2679319e2,6a17bafd1af923e2679319e2,intermediate,3,6a17bafd1af923e2679319e2,6a17bafd1af923e2679319e2,spotlight_PROLIFIC,,47,Mexico,Spanish,English,,Spanish:50|English:50,100,Spanish:50|English:50,100,Spanish:60|English:40,100,18,4,Bachelor's,10,10,10,6,8,7,12,42,22,42,TOEFL,90,,,,,14,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T17:58:47.487Z,P5AXP3S8,2026-08-16,2026-08-16,11:58:47,2026-08-16 11:58:47,,,,,,,,6a17bafd1af923e2679319e2,6a17bafd1af923e2679319e2,,,,
214,raw_position_sample,2,2,int,3,3,18,19,-1,999,567,126,2059833.800000012,6a17bafd1af923e2679319e2,6a17bafd1af923e2679319e2,intermediate,3,6a17bafd1af923e2679319e2,6a17bafd1af923e2679319e2,spotlight_PROLIFIC,,47,Mexico,Spanish,English,,Spanish:50|English:50,100,Spanish:50|English:50,100,Spanish:60|English:40,100,18,4,Bachelor's,10,10,10,6,8,7,12,42,22,42,TOEFL,90,,,,,14,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T17:58:47.487Z,P5AXP3S8,2026-08-16,2026-08-16,11:58:47,2026-08-16 11:58:47,,,,,,,,6a17bafd1af923e2679319e2,6a17bafd1af923e2679319e2,,,,
259,raw_position_sample,2,2,int,3,3,18,19,-1,999,568,126,2059878.800000012,6a17bafd1af923e2679319e2,6a17bafd1af923e2679319e2,intermediate,3,6a17bafd1af923e2679319e2,6a17bafd1af923e2679319e2,spotlight_PROLIFIC,,47,Mexico,Spanish,English,,Spanish:50|English:50,100,Spanish:50|English:50,100,Spanish:60|English:40,100,18,4,Bachelor's,10,10,10,6,8,7,12,42,22,42,TOEFL,90,,,,,14,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T17:58:47.487Z,P5AXP3S8,2026-08-16,2026-08-16,11:58:47,2026-08-16 11:58:47,,,,,,,,6a17bafd1af923e2679319e2,6a17bafd1af923e2679319e2,,,,
305,raw_position_sample,2,2,int,3,3,18,19,-1,999,587,154,2059924.5999999642,6a17bafd1af923e2679319e2,6a17bafd1af923e2679319e2,intermediate,3,6a17bafd1af923e2679319e2,6a17bafd1af923e2679319e2,spotlight_PROLIFIC,,47,Mexico,Spanish,English,,Spanish:50|English:50,100,Spanish:50|English:50,100,Spanish:60|English:40,100,18,4,Bachelor's,10,10,10,6,8,7,12,42,22,42,TOEFL,90,,,,,14,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T17:58:47.487Z,P5AXP3S8,2026-08-16,2026-08-16,11:58:47,2026-08-16 11:58:47,,,,,,,,6a17bafd1af923e2679319e2,6a17bafd1af923e2679319e2,,,,
358,raw_position_sample,2,2,int,3,3,18,19,-1,999,605,158,2059978,6a17bafd1af923e2679319e2,6a17bafd1af923e2679319e2,intermediate,3,6a17bafd1af923e2679319e2,6a17bafd1af923e2679319e2,spotlight_PROLIFIC,,47,Mexico,Spanish,English,,Spanish:50|English:50,100,Spanish:50|English:50,100,Spanish:60|English:40,100,18,4,Bachelor's,10,10,10,6,8,7,12,42,22,42,TOEFL,90,,,,,14,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T17:58:47.487Z,P5AXP3S8,2026-08-16,2026-08-16,11:58:47,2026-08-16 11:58:47,,,,,,,,6a17bafd1af923e2679319e2,6a17bafd1af923e2679319e2,,,,
412,raw_position_sample,2,2,int,3,3,18,19,-1,999,608,148,2060031.800000012,6a17bafd1af923e2679319e2,6a17bafd1af923e2679319e2,intermediate,3,6a17bafd1af923e2679319e2,6a17bafd1af923e2679319e2,spotlight_PROLIFIC,,47,Mexico,Spanish,English,,Spanish:50|English:50,100,Spanish:50|English:50,100,Spanish:60|English:40,100,18,4,Bachelor's,10,10,10,6,8,7,12,42,22,42,TOEFL,90,,,,,14,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T17:58:47.487Z,P5AXP3S8,2026-08-16,2026-08-16,11:58:47,2026-08-16 11:58:47,,,,,,,,6a17bafd1af923e2679319e2,6a17bafd1af923e2679319e2,,,,
456,raw_position_sample,2,2,int,3,3,18,19,-1,999,607,136,2060076.5,6a17bafd1af923e2679319e2,6a17bafd1af923e2679319e2,intermediate,3,6a17bafd1af923e2679319e2,6a17bafd1af923e2679319e2,spotlight_PROLIFIC,,47,Mexico,Spanish,English,,Spanish:50|English:50,100,Spanish:50|English:50,100,Spanish:60|English:40,100,18,4,Bachelor's,10,10,10,6,8,7,12,42,22,42,TOEFL,90,,,,,14,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T17:58:47.487Z,P5AXP3S8,2026-08-16,2026-08-16,11:58:47,2026-08-16 11:58:47,,,,,,,,6a17bafd1af923e2679319e2,6a17bafd1af923e2679319e2,,,,
508,raw_position_sample,2,2,int,3,3,18,19,-1,999,607,136,2060127.8999999762,6a17bafd1af923e2679319e2,6a17bafd1af923e2679319e2,intermediate,3,6a17bafd1af923e2679319e2,6a17bafd1af923e2679319e2,spotlight_PROLIFIC,,47,Mexico,Spanish,English,,Spanish:50|English:50,100,Spanish:50|English:50,100,Spanish:60|English:40,100,18,4,Bachelor's,10,10,10,6,8,7,12,42,22,42,TOEFL,90,,,,,14,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T17:58:47.487Z,P5AXP3S8,2026-08-16,2026-08-16,11:58:47,2026-08-16 11:58:47,,,,,,,,6a17bafd1af923e2679319e2,6a17bafd1af923e2679319e2,,,,
