responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
50,raw_position_sample,2,2,int,17,3,3,4,-1,999,749,123,1565161,698522f17bb2345fc22041ca,698522f17bb2345fc22041ca,intermediate,3,698522f17bb2345fc22041ca,698522f17bb2345fc22041ca,spotlight_PROLIFIC,,23,Argentina,Spanish,English.,English.,Spanish:70|English:30|English.:0,100,Spanish:70|English:30|English.:0,100,Spanish:80|English:20|English.:0,100,14,1,Some post-secondary,10,10,10,7,8,9,10,20,12,20,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-03T13:55:32.714Z,GTEE389Y,2026-08-03,2026-08-03,10:55:32,2026-08-03 10:55:32,,,,,,,,698522f17bb2345fc22041ca,698522f17bb2345fc22041ca,,,,
102,raw_position_sample,2,2,int,17,3,3,4,-1,999,725,123,1565212.399999857,698522f17bb2345fc22041ca,698522f17bb2345fc22041ca,intermediate,3,698522f17bb2345fc22041ca,698522f17bb2345fc22041ca,spotlight_PROLIFIC,,23,Argentina,Spanish,English.,English.,Spanish:70|English:30|English.:0,100,Spanish:70|English:30|English.:0,100,Spanish:80|English:20|English.:0,100,14,1,Some post-secondary,10,10,10,7,8,9,10,20,12,20,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-03T13:55:32.714Z,GTEE389Y,2026-08-03,2026-08-03,10:55:32,2026-08-03 10:55:32,,,,,,,,698522f17bb2345fc22041ca,698522f17bb2345fc22041ca,,,,
154,raw_position_sample,2,2,int,17,3,3,4,-1,999,725,123,1565264.5999999046,698522f17bb2345fc22041ca,698522f17bb2345fc22041ca,intermediate,3,698522f17bb2345fc22041ca,698522f17bb2345fc22041ca,spotlight_PROLIFIC,,23,Argentina,Spanish,English.,English.,Spanish:70|English:30|English.:0,100,Spanish:70|English:30|English.:0,100,Spanish:80|English:20|English.:0,100,14,1,Some post-secondary,10,10,10,7,8,9,10,20,12,20,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-03T13:55:32.714Z,GTEE389Y,2026-08-03,2026-08-03,10:55:32,2026-08-03 10:55:32,,,,,,,,698522f17bb2345fc22041ca,698522f17bb2345fc22041ca,,,,
205,raw_position_sample,2,2,int,17,3,3,4,-1,999,725,123,1565315.2999999523,698522f17bb2345fc22041ca,698522f17bb2345fc22041ca,intermediate,3,698522f17bb2345fc22041ca,698522f17bb2345fc22041ca,spotlight_PROLIFIC,,23,Argentina,Spanish,English.,English.,Spanish:70|English:30|English.:0,100,Spanish:70|English:30|English.:0,100,Spanish:80|English:20|English.:0,100,14,1,Some post-secondary,10,10,10,7,8,9,10,20,12,20,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-03T13:55:32.714Z,GTEE389Y,2026-08-03,2026-08-03,10:55:32,2026-08-03 10:55:32,,,,,,,,698522f17bb2345fc22041ca,698522f17bb2345fc22041ca,,,,
258,raw_position_sample,2,2,int,17,3,3,4,-1,999,725,123,1565368.2999999523,698522f17bb2345fc22041ca,698522f17bb2345fc22041ca,intermediate,3,698522f17bb2345fc22041ca,698522f17bb2345fc22041ca,spotlight_PROLIFIC,,23,Argentina,Spanish,English.,English.,Spanish:70|English:30|English.:0,100,Spanish:70|English:30|English.:0,100,Spanish:80|English:20|English.:0,100,14,1,Some post-secondary,10,10,10,7,8,9,10,20,12,20,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-03T13:55:32.714Z,GTEE389Y,2026-08-03,2026-08-03,10:55:32,2026-08-03 10:55:32,,,,,,,,698522f17bb2345fc22041ca,698522f17bb2345fc22041ca,,,,
300,raw_position_sample,2,2,int,17,3,3,4,-1,999,725,123,1565410.5999999046,698522f17bb2345fc22041ca,698522f17bb2345fc22041ca,intermediate,3,698522f17bb2345fc22041ca,698522f17bb2345fc22041ca,spotlight_PROLIFIC,,23,Argentina,Spanish,English.,English.,Spanish:70|English:30|English.:0,100,Spanish:70|English:30|English.:0,100,Spanish:80|English:20|English.:0,100,14,1,Some post-secondary,10,10,10,7,8,9,10,20,12,20,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-03T13:55:32.714Z,GTEE389Y,2026-08-03,2026-08-03,10:55:32,2026-08-03 10:55:32,,,,,,,,698522f17bb2345fc22041ca,698522f17bb2345fc22041ca,,,,
354,raw_position_sample,2,2,int,17,3,3,4,-1,999,725,123,1565464.5999999046,698522f17bb2345fc22041ca,698522f17bb2345fc22041ca,intermediate,3,698522f17bb2345fc22041ca,698522f17bb2345fc22041ca,spotlight_PROLIFIC,,23,Argentina,Spanish,English.,English.,Spanish:70|English:30|English.:0,100,Spanish:70|English:30|English.:0,100,Spanish:80|English:20|English.:0,100,14,1,Some post-secondary,10,10,10,7,8,9,10,20,12,20,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-03T13:55:32.714Z,GTEE389Y,2026-08-03,2026-08-03,10:55:32,2026-08-03 10:55:32,,,,,,,,698522f17bb2345fc22041ca,698522f17bb2345fc22041ca,,,,
407,raw_position_sample,2,2,int,17,3,3,4,-1,999,725,123,1565517.899999857,698522f17bb2345fc22041ca,698522f17bb2345fc22041ca,intermediate,3,698522f17bb2345fc22041ca,698522f17bb2345fc22041ca,spotlight_PROLIFIC,,23,Argentina,Spanish,English.,English.,Spanish:70|English:30|English.:0,100,Spanish:70|English:30|English.:0,100,Spanish:80|English:20|English.:0,100,14,1,Some post-secondary,10,10,10,7,8,9,10,20,12,20,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-03T13:55:32.714Z,GTEE389Y,2026-08-03,2026-08-03,10:55:32,2026-08-03 10:55:32,,,,,,,,698522f17bb2345fc22041ca,698522f17bb2345fc22041ca,,,,
458,raw_position_sample,2,2,int,17,3,3,4,-1,999,725,123,1565568.5999999046,698522f17bb2345fc22041ca,698522f17bb2345fc22041ca,intermediate,3,698522f17bb2345fc22041ca,698522f17bb2345fc22041ca,spotlight_PROLIFIC,,23,Argentina,Spanish,English.,English.,Spanish:70|English:30|English.:0,100,Spanish:70|English:30|English.:0,100,Spanish:80|English:20|English.:0,100,14,1,Some post-secondary,10,10,10,7,8,9,10,20,12,20,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-03T13:55:32.714Z,GTEE389Y,2026-08-03,2026-08-03,10:55:32,2026-08-03 10:55:32,,,,,,,,698522f17bb2345fc22041ca,698522f17bb2345fc22041ca,,,,
509,raw_position_sample,2,2,int,17,3,3,4,-1,999,725,123,1565619.7999999523,698522f17bb2345fc22041ca,698522f17bb2345fc22041ca,intermediate,3,698522f17bb2345fc22041ca,698522f17bb2345fc22041ca,spotlight_PROLIFIC,,23,Argentina,Spanish,English.,English.,Spanish:70|English:30|English.:0,100,Spanish:70|English:30|English.:0,100,Spanish:80|English:20|English.:0,100,14,1,Some post-secondary,10,10,10,7,8,9,10,20,12,20,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-03T13:55:32.714Z,GTEE389Y,2026-08-03,2026-08-03,10:55:32,2026-08-03 10:55:32,,,,,,,,698522f17bb2345fc22041ca,698522f17bb2345fc22041ca,,,,
