responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,demo_other_english_test,demo_other_english_test_score,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
529,raw_position_sample,2,3,adv,15,4,19,20,-1,999,570,100,1806530.8000000007,69e906251eb910cc8f365b09,69e906251eb910cc8f365b09,advanced,4,69e906251eb910cc8f365b09,69e906251eb910cc8f365b09,spotlight_PROLIFIC,,33,Brazil,Portuguese,"Portuguese,English,Spanish",Spanish,Portuguese:62|English:30|Spanish:8,100,Portuguese:50|English:40|Spanish:10,100,Portuguese:40|English:30|Spanish:30,100,15,4,Bachelor's,10,10,10,7,9,10,12,22,12,15,Duolingo,120,,,,,20,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T08:23:51.810Z,EW6MQ634,2026-08-16,2026-08-16,05:23:51,2026-08-16 05:23:51,,,,,,,,69e906251eb910cc8f365b09,69e906251eb910cc8f365b09,,,,
575,raw_position_sample,2,3,adv,15,4,19,20,-1,999,570,100,1806577,69e906251eb910cc8f365b09,69e906251eb910cc8f365b09,advanced,4,69e906251eb910cc8f365b09,69e906251eb910cc8f365b09,spotlight_PROLIFIC,,33,Brazil,Portuguese,"Portuguese,English,Spanish",Spanish,Portuguese:62|English:30|Spanish:8,100,Portuguese:50|English:40|Spanish:10,100,Portuguese:40|English:30|Spanish:30,100,15,4,Bachelor's,10,10,10,7,9,10,12,22,12,15,Duolingo,120,,,,,20,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T08:23:51.810Z,EW6MQ634,2026-08-16,2026-08-16,05:23:51,2026-08-16 05:23:51,,,,,,,,69e906251eb910cc8f365b09,69e906251eb910cc8f365b09,,,,
627,raw_position_sample,2,3,adv,15,4,19,20,-1,999,628,102,1806629,69e906251eb910cc8f365b09,69e906251eb910cc8f365b09,advanced,4,69e906251eb910cc8f365b09,69e906251eb910cc8f365b09,spotlight_PROLIFIC,,33,Brazil,Portuguese,"Portuguese,English,Spanish",Spanish,Portuguese:62|English:30|Spanish:8,100,Portuguese:50|English:40|Spanish:10,100,Portuguese:40|English:30|Spanish:30,100,15,4,Bachelor's,10,10,10,7,9,10,12,22,12,15,Duolingo,120,,,,,20,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T08:23:51.810Z,EW6MQ634,2026-08-16,2026-08-16,05:23:51,2026-08-16 05:23:51,,,,,,,,69e906251eb910cc8f365b09,69e906251eb910cc8f365b09,,,,
680,raw_position_sample,2,3,adv,15,4,19,20,-1,999,751,102,1806681.9000000004,69e906251eb910cc8f365b09,69e906251eb910cc8f365b09,advanced,4,69e906251eb910cc8f365b09,69e906251eb910cc8f365b09,spotlight_PROLIFIC,,33,Brazil,Portuguese,"Portuguese,English,Spanish",Spanish,Portuguese:62|English:30|Spanish:8,100,Portuguese:50|English:40|Spanish:10,100,Portuguese:40|English:30|Spanish:30,100,15,4,Bachelor's,10,10,10,7,9,10,12,22,12,15,Duolingo,120,,,,,20,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T08:23:51.810Z,EW6MQ634,2026-08-16,2026-08-16,05:23:51,2026-08-16 05:23:51,,,,,,,,69e906251eb910cc8f365b09,69e906251eb910cc8f365b09,,,,
722,raw_position_sample,2,3,adv,15,4,19,20,-1,999,822,101,1806724.3000000007,69e906251eb910cc8f365b09,69e906251eb910cc8f365b09,advanced,4,69e906251eb910cc8f365b09,69e906251eb910cc8f365b09,spotlight_PROLIFIC,,33,Brazil,Portuguese,"Portuguese,English,Spanish",Spanish,Portuguese:62|English:30|Spanish:8,100,Portuguese:50|English:40|Spanish:10,100,Portuguese:40|English:30|Spanish:30,100,15,4,Bachelor's,10,10,10,7,9,10,12,22,12,15,Duolingo,120,,,,,20,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T08:23:51.810Z,EW6MQ634,2026-08-16,2026-08-16,05:23:51,2026-08-16 05:23:51,,,,,,,,69e906251eb910cc8f365b09,69e906251eb910cc8f365b09,,,,
773,raw_position_sample,2,3,adv,15,4,19,20,-1,999,913,98,1806775.4000000004,69e906251eb910cc8f365b09,69e906251eb910cc8f365b09,advanced,4,69e906251eb910cc8f365b09,69e906251eb910cc8f365b09,spotlight_PROLIFIC,,33,Brazil,Portuguese,"Portuguese,English,Spanish",Spanish,Portuguese:62|English:30|Spanish:8,100,Portuguese:50|English:40|Spanish:10,100,Portuguese:40|English:30|Spanish:30,100,15,4,Bachelor's,10,10,10,7,9,10,12,22,12,15,Duolingo,120,,,,,20,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T08:23:51.810Z,EW6MQ634,2026-08-16,2026-08-16,05:23:51,2026-08-16 05:23:51,,,,,,,,69e906251eb910cc8f365b09,69e906251eb910cc8f365b09,,,,
827,raw_position_sample,2,3,adv,15,4,19,20,-1,999,949,96,1806828.8000000007,69e906251eb910cc8f365b09,69e906251eb910cc8f365b09,advanced,4,69e906251eb910cc8f365b09,69e906251eb910cc8f365b09,spotlight_PROLIFIC,,33,Brazil,Portuguese,"Portuguese,English,Spanish",Spanish,Portuguese:62|English:30|Spanish:8,100,Portuguese:50|English:40|Spanish:10,100,Portuguese:40|English:30|Spanish:30,100,15,4,Bachelor's,10,10,10,7,9,10,12,22,12,15,Duolingo,120,,,,,20,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T08:23:51.810Z,EW6MQ634,2026-08-16,2026-08-16,05:23:51,2026-08-16 05:23:51,,,,,,,,69e906251eb910cc8f365b09,69e906251eb910cc8f365b09,,,,
881,raw_position_sample,2,3,adv,15,4,19,20,-1,999,950,96,1806883.4000000004,69e906251eb910cc8f365b09,69e906251eb910cc8f365b09,advanced,4,69e906251eb910cc8f365b09,69e906251eb910cc8f365b09,spotlight_PROLIFIC,,33,Brazil,Portuguese,"Portuguese,English,Spanish",Spanish,Portuguese:62|English:30|Spanish:8,100,Portuguese:50|English:40|Spanish:10,100,Portuguese:40|English:30|Spanish:30,100,15,4,Bachelor's,10,10,10,7,9,10,12,22,12,15,Duolingo,120,,,,,20,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T08:23:51.810Z,EW6MQ634,2026-08-16,2026-08-16,05:23:51,2026-08-16 05:23:51,,,,,,,,69e906251eb910cc8f365b09,69e906251eb910cc8f365b09,,,,
926,raw_position_sample,2,3,adv,15,4,19,20,-1,999,950,96,1806928.5,69e906251eb910cc8f365b09,69e906251eb910cc8f365b09,advanced,4,69e906251eb910cc8f365b09,69e906251eb910cc8f365b09,spotlight_PROLIFIC,,33,Brazil,Portuguese,"Portuguese,English,Spanish",Spanish,Portuguese:62|English:30|Spanish:8,100,Portuguese:50|English:40|Spanish:10,100,Portuguese:40|English:30|Spanish:30,100,15,4,Bachelor's,10,10,10,7,9,10,12,22,12,15,Duolingo,120,,,,,20,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T08:23:51.810Z,EW6MQ634,2026-08-16,2026-08-16,05:23:51,2026-08-16 05:23:51,,,,,,,,69e906251eb910cc8f365b09,69e906251eb910cc8f365b09,,,,
972,raw_position_sample,2,3,adv,15,4,19,20,-1,999,950,96,1806974,69e906251eb910cc8f365b09,69e906251eb910cc8f365b09,advanced,4,69e906251eb910cc8f365b09,69e906251eb910cc8f365b09,spotlight_PROLIFIC,,33,Brazil,Portuguese,"Portuguese,English,Spanish",Spanish,Portuguese:62|English:30|Spanish:8,100,Portuguese:50|English:40|Spanish:10,100,Portuguese:40|English:30|Spanish:30,100,15,4,Bachelor's,10,10,10,7,9,10,12,22,12,15,Duolingo,120,,,,,20,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T08:23:51.810Z,EW6MQ634,2026-08-16,2026-08-16,05:23:51,2026-08-16 05:23:51,,,,,,,,69e906251eb910cc8f365b09,69e906251eb910cc8f365b09,,,,
1022,raw_position_sample,2,3,adv,15,4,19,20,-1,999,950,96,1807024.1000000006,69e906251eb910cc8f365b09,69e906251eb910cc8f365b09,advanced,4,69e906251eb910cc8f365b09,69e906251eb910cc8f365b09,spotlight_PROLIFIC,,33,Brazil,Portuguese,"Portuguese,English,Spanish",Spanish,Portuguese:62|English:30|Spanish:8,100,Portuguese:50|English:40|Spanish:10,100,Portuguese:40|English:30|Spanish:30,100,15,4,Bachelor's,10,10,10,7,9,10,12,22,12,15,Duolingo,120,,,,,20,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T08:23:51.810Z,EW6MQ634,2026-08-16,2026-08-16,05:23:51,2026-08-16 05:23:51,,,,,,,,69e906251eb910cc8f365b09,69e906251eb910cc8f365b09,,,,
1082,raw_position_sample,2,3,adv,15,4,19,20,-1,999,950,96,1807083.8000000007,69e906251eb910cc8f365b09,69e906251eb910cc8f365b09,advanced,4,69e906251eb910cc8f365b09,69e906251eb910cc8f365b09,spotlight_PROLIFIC,,33,Brazil,Portuguese,"Portuguese,English,Spanish",Spanish,Portuguese:62|English:30|Spanish:8,100,Portuguese:50|English:40|Spanish:10,100,Portuguese:40|English:30|Spanish:30,100,15,4,Bachelor's,10,10,10,7,9,10,12,22,12,15,Duolingo,120,,,,,20,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T08:23:51.810Z,EW6MQ634,2026-08-16,2026-08-16,05:23:51,2026-08-16 05:23:51,,,,,,,,69e906251eb910cc8f365b09,69e906251eb910cc8f365b09,,,,
1128,raw_position_sample,2,3,adv,15,4,19,20,-1,999,950,96,1807130.1000000006,69e906251eb910cc8f365b09,69e906251eb910cc8f365b09,advanced,4,69e906251eb910cc8f365b09,69e906251eb910cc8f365b09,spotlight_PROLIFIC,,33,Brazil,Portuguese,"Portuguese,English,Spanish",Spanish,Portuguese:62|English:30|Spanish:8,100,Portuguese:50|English:40|Spanish:10,100,Portuguese:40|English:30|Spanish:30,100,15,4,Bachelor's,10,10,10,7,9,10,12,22,12,15,Duolingo,120,,,,,20,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T08:23:51.810Z,EW6MQ634,2026-08-16,2026-08-16,05:23:51,2026-08-16 05:23:51,,,,,,,,69e906251eb910cc8f365b09,69e906251eb910cc8f365b09,,,,
1173,raw_position_sample,2,3,adv,15,4,19,20,-1,999,950,96,1807175,69e906251eb910cc8f365b09,69e906251eb910cc8f365b09,advanced,4,69e906251eb910cc8f365b09,69e906251eb910cc8f365b09,spotlight_PROLIFIC,,33,Brazil,Portuguese,"Portuguese,English,Spanish",Spanish,Portuguese:62|English:30|Spanish:8,100,Portuguese:50|English:40|Spanish:10,100,Portuguese:40|English:30|Spanish:30,100,15,4,Bachelor's,10,10,10,7,9,10,12,22,12,15,Duolingo,120,,,,,20,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T08:23:51.810Z,EW6MQ634,2026-08-16,2026-08-16,05:23:51,2026-08-16 05:23:51,,,,,,,,69e906251eb910cc8f365b09,69e906251eb910cc8f365b09,,,,
1222,raw_position_sample,2,3,adv,15,4,19,20,-1,999,950,96,1807224.1000000006,69e906251eb910cc8f365b09,69e906251eb910cc8f365b09,advanced,4,69e906251eb910cc8f365b09,69e906251eb910cc8f365b09,spotlight_PROLIFIC,,33,Brazil,Portuguese,"Portuguese,English,Spanish",Spanish,Portuguese:62|English:30|Spanish:8,100,Portuguese:50|English:40|Spanish:10,100,Portuguese:40|English:30|Spanish:30,100,15,4,Bachelor's,10,10,10,7,9,10,12,22,12,15,Duolingo,120,,,,,20,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T08:23:51.810Z,EW6MQ634,2026-08-16,2026-08-16,05:23:51,2026-08-16 05:23:51,,,,,,,,69e906251eb910cc8f365b09,69e906251eb910cc8f365b09,,,,
1272,raw_position_sample,2,3,adv,15,4,19,20,-1,999,950,96,1807274.1000000006,69e906251eb910cc8f365b09,69e906251eb910cc8f365b09,advanced,4,69e906251eb910cc8f365b09,69e906251eb910cc8f365b09,spotlight_PROLIFIC,,33,Brazil,Portuguese,"Portuguese,English,Spanish",Spanish,Portuguese:62|English:30|Spanish:8,100,Portuguese:50|English:40|Spanish:10,100,Portuguese:40|English:30|Spanish:30,100,15,4,Bachelor's,10,10,10,7,9,10,12,22,12,15,Duolingo,120,,,,,20,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T08:23:51.810Z,EW6MQ634,2026-08-16,2026-08-16,05:23:51,2026-08-16 05:23:51,,,,,,,,69e906251eb910cc8f365b09,69e906251eb910cc8f365b09,,,,
1326,raw_position_sample,2,3,adv,15,4,19,20,-1,999,950,96,1807328.5,69e906251eb910cc8f365b09,69e906251eb910cc8f365b09,advanced,4,69e906251eb910cc8f365b09,69e906251eb910cc8f365b09,spotlight_PROLIFIC,,33,Brazil,Portuguese,"Portuguese,English,Spanish",Spanish,Portuguese:62|English:30|Spanish:8,100,Portuguese:50|English:40|Spanish:10,100,Portuguese:40|English:30|Spanish:30,100,15,4,Bachelor's,10,10,10,7,9,10,12,22,12,15,Duolingo,120,,,,,20,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T08:23:51.810Z,EW6MQ634,2026-08-16,2026-08-16,05:23:51,2026-08-16 05:23:51,,,,,,,,69e906251eb910cc8f365b09,69e906251eb910cc8f365b09,,,,
1372,raw_position_sample,2,3,adv,15,4,19,20,-1,999,950,96,1807374.4000000004,69e906251eb910cc8f365b09,69e906251eb910cc8f365b09,advanced,4,69e906251eb910cc8f365b09,69e906251eb910cc8f365b09,spotlight_PROLIFIC,,33,Brazil,Portuguese,"Portuguese,English,Spanish",Spanish,Portuguese:62|English:30|Spanish:8,100,Portuguese:50|English:40|Spanish:10,100,Portuguese:40|English:30|Spanish:30,100,15,4,Bachelor's,10,10,10,7,9,10,12,22,12,15,Duolingo,120,,,,,20,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T08:23:51.810Z,EW6MQ634,2026-08-16,2026-08-16,05:23:51,2026-08-16 05:23:51,,,,,,,,69e906251eb910cc8f365b09,69e906251eb910cc8f365b09,,,,
