responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,demo_other_english_test,demo_other_english_test_score,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
28,raw_position_sample,2,2,int,20,3,16,17,-1,999,452,98,4060182,69852098fe19014d25a496b1,69852098fe19014d25a496b1,intermediate,3,69852098fe19014d25a496b1,69852098fe19014d25a496b1,spotlight_PROLIFIC,,23,México ,Mexican Spanish  ,English ,,Mexican Spanish:80|English:20,100,Mexican Spanish:60|English:40,100,Mexican Spanish:90|English:10,100,18,3,Bachelor's,10,10,10,4,7,9,18,23,18,23,Duolingo,135,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-08-25T07:52:48.652Z,3BN5CRF4,2026-08-25,2026-08-25,01:52:48,2026-08-25 01:52:48,,,,,,,,69852098fe19014d25a496b1,69852098fe19014d25a496b1,,,,
77,raw_position_sample,2,2,int,20,3,16,17,-1,999,453,88,4060231.2000000477,69852098fe19014d25a496b1,69852098fe19014d25a496b1,intermediate,3,69852098fe19014d25a496b1,69852098fe19014d25a496b1,spotlight_PROLIFIC,,23,México ,Mexican Spanish  ,English ,,Mexican Spanish:80|English:20,100,Mexican Spanish:60|English:40,100,Mexican Spanish:90|English:10,100,18,3,Bachelor's,10,10,10,4,7,9,18,23,18,23,Duolingo,135,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-08-25T07:52:48.652Z,3BN5CRF4,2026-08-25,2026-08-25,01:52:48,2026-08-25 01:52:48,,,,,,,,69852098fe19014d25a496b1,69852098fe19014d25a496b1,,,,
127,raw_position_sample,2,2,int,20,3,16,17,-1,999,453,88,4060281.300000012,69852098fe19014d25a496b1,69852098fe19014d25a496b1,intermediate,3,69852098fe19014d25a496b1,69852098fe19014d25a496b1,spotlight_PROLIFIC,,23,México ,Mexican Spanish  ,English ,,Mexican Spanish:80|English:20,100,Mexican Spanish:60|English:40,100,Mexican Spanish:90|English:10,100,18,3,Bachelor's,10,10,10,4,7,9,18,23,18,23,Duolingo,135,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-08-25T07:52:48.652Z,3BN5CRF4,2026-08-25,2026-08-25,01:52:48,2026-08-25 01:52:48,,,,,,,,69852098fe19014d25a496b1,69852098fe19014d25a496b1,,,,
183,raw_position_sample,2,2,int,20,3,16,17,-1,999,453,88,4060337.600000024,69852098fe19014d25a496b1,69852098fe19014d25a496b1,intermediate,3,69852098fe19014d25a496b1,69852098fe19014d25a496b1,spotlight_PROLIFIC,,23,México ,Mexican Spanish  ,English ,,Mexican Spanish:80|English:20,100,Mexican Spanish:60|English:40,100,Mexican Spanish:90|English:10,100,18,3,Bachelor's,10,10,10,4,7,9,18,23,18,23,Duolingo,135,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-08-25T07:52:48.652Z,3BN5CRF4,2026-08-25,2026-08-25,01:52:48,2026-08-25 01:52:48,,,,,,,,69852098fe19014d25a496b1,69852098fe19014d25a496b1,,,,
234,raw_position_sample,2,2,int,20,3,16,17,-1,999,453,88,4060387.9000000358,69852098fe19014d25a496b1,69852098fe19014d25a496b1,intermediate,3,69852098fe19014d25a496b1,69852098fe19014d25a496b1,spotlight_PROLIFIC,,23,México ,Mexican Spanish  ,English ,,Mexican Spanish:80|English:20,100,Mexican Spanish:60|English:40,100,Mexican Spanish:90|English:10,100,18,3,Bachelor's,10,10,10,4,7,9,18,23,18,23,Duolingo,135,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-08-25T07:52:48.652Z,3BN5CRF4,2026-08-25,2026-08-25,01:52:48,2026-08-25 01:52:48,,,,,,,,69852098fe19014d25a496b1,69852098fe19014d25a496b1,,,,
277,raw_position_sample,2,2,int,20,3,16,17,-1,999,453,88,4060431,69852098fe19014d25a496b1,69852098fe19014d25a496b1,intermediate,3,69852098fe19014d25a496b1,69852098fe19014d25a496b1,spotlight_PROLIFIC,,23,México ,Mexican Spanish  ,English ,,Mexican Spanish:80|English:20,100,Mexican Spanish:60|English:40,100,Mexican Spanish:90|English:10,100,18,3,Bachelor's,10,10,10,4,7,9,18,23,18,23,Duolingo,135,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-08-25T07:52:48.652Z,3BN5CRF4,2026-08-25,2026-08-25,01:52:48,2026-08-25 01:52:48,,,,,,,,69852098fe19014d25a496b1,69852098fe19014d25a496b1,,,,
332,raw_position_sample,2,2,int,20,3,16,17,-1,999,453,88,4060486.5,69852098fe19014d25a496b1,69852098fe19014d25a496b1,intermediate,3,69852098fe19014d25a496b1,69852098fe19014d25a496b1,spotlight_PROLIFIC,,23,México ,Mexican Spanish  ,English ,,Mexican Spanish:80|English:20,100,Mexican Spanish:60|English:40,100,Mexican Spanish:90|English:10,100,18,3,Bachelor's,10,10,10,4,7,9,18,23,18,23,Duolingo,135,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-08-25T07:52:48.652Z,3BN5CRF4,2026-08-25,2026-08-25,01:52:48,2026-08-25 01:52:48,,,,,,,,69852098fe19014d25a496b1,69852098fe19014d25a496b1,,,,
383,raw_position_sample,2,2,int,20,3,16,17,-1,999,453,88,4060537.4000000358,69852098fe19014d25a496b1,69852098fe19014d25a496b1,intermediate,3,69852098fe19014d25a496b1,69852098fe19014d25a496b1,spotlight_PROLIFIC,,23,México ,Mexican Spanish  ,English ,,Mexican Spanish:80|English:20,100,Mexican Spanish:60|English:40,100,Mexican Spanish:90|English:10,100,18,3,Bachelor's,10,10,10,4,7,9,18,23,18,23,Duolingo,135,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-08-25T07:52:48.652Z,3BN5CRF4,2026-08-25,2026-08-25,01:52:48,2026-08-25 01:52:48,,,,,,,,69852098fe19014d25a496b1,69852098fe19014d25a496b1,,,,
438,raw_position_sample,2,2,int,20,3,16,17,1, Pullman ,583,108,4060592.100000024,69852098fe19014d25a496b1,69852098fe19014d25a496b1,intermediate,3,69852098fe19014d25a496b1,69852098fe19014d25a496b1,spotlight_PROLIFIC,,23,México ,Mexican Spanish  ,English ,,Mexican Spanish:80|English:20,100,Mexican Spanish:60|English:40,100,Mexican Spanish:90|English:10,100,18,3,Bachelor's,10,10,10,4,7,9,18,23,18,23,Duolingo,135,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,18,random,,117.12890625,519.31640625,137.12890625,589.35546875,1,1,,,,,,,,,,,,2026-08-25T07:52:48.652Z,3BN5CRF4,2026-08-25,2026-08-25,01:52:48,2026-08-25 01:52:48,,,,,,,,69852098fe19014d25a496b1,69852098fe19014d25a496b1,,,,
451,hover_association,2,2,int,20,3,16,17,1, Pullman ,583,108,,69852098fe19014d25a496b1,69852098fe19014d25a496b1,intermediate,3,69852098fe19014d25a496b1,69852098fe19014d25a496b1,spotlight_PROLIFIC,,23,México ,Mexican Spanish  ,English ,,Mexican Spanish:80|English:20,100,Mexican Spanish:60|English:40,100,Mexican Spanish:90|English:10,100,18,3,Bachelor's,10,10,10,4,7,9,18,23,18,23,Duolingo,135,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,18,random,,107.12890625,515.4253472222222,147.12890625,589.35546875,1,1,hover,16.69999998807907,16.69999998807907,0.914034109255291,0.02177734375,115,,,,,,2026-08-25T07:52:48.652Z,3BN5CRF4,2026-08-25,2026-08-25,01:52:48,2026-08-25 01:52:48,,,,,,,,69852098fe19014d25a496b1,69852098fe19014d25a496b1,,,,
