responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
205,raw_position_sample,2,2,int,8,3,13,14,-1,999,273,72,1474523.700000003,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,intermediate,3,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,spotlight_PROLIFIC,,26,Colombia,spanish,English,,spanish:60|English:40,100,spanish:30|English:70,100,spanish:50|English:50,100,17,4,Bachelor's,10,10,10,7,9,9,19,23,19,21,,,,,14,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,20,random,,,,,,,,,,,,,,,,,,,2026-07-02T20:56:44.148Z,N8KDPJAA,2026-07-02,2026-07-02,15:56:44,2026-07-02 15:56:44,,,,,,,,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,,,,
265,raw_position_sample,2,2,int,8,3,13,14,1, IUPAC ,337,81,1474584.400000006,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,intermediate,3,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,spotlight_PROLIFIC,,26,Colombia,spanish,English,,spanish:60|English:40,100,spanish:30|English:70,100,spanish:50|English:50,100,17,4,Bachelor's,10,10,10,7,9,9,19,23,19,21,,,,,14,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,20,random,,,,,,,,73.203125,340.875,93.203125,399.5625,1,1,,,,,,2026-07-02T20:56:44.148Z,N8KDPJAA,2026-07-02,2026-07-02,15:56:44,2026-07-02 15:56:44,,,,,,,,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,,,,
314,raw_position_sample,2,2,int,8,3,13,14,1, IUPAC ,370,81,1474633,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,intermediate,3,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,spotlight_PROLIFIC,,26,Colombia,spanish,English,,spanish:60|English:40,100,spanish:30|English:70,100,spanish:50|English:50,100,17,4,Bachelor's,10,10,10,7,9,9,19,23,19,21,,,,,14,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,20,random,,,,,,,,73.203125,340.875,93.203125,399.5625,1,1,,,,,,2026-07-02T20:56:44.148Z,N8KDPJAA,2026-07-02,2026-07-02,15:56:44,2026-07-02 15:56:44,,,,,,,,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,,,,
363,raw_position_sample,2,2,int,8,3,13,14,1, IUPAC ,389,84,1474682.300000012,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,intermediate,3,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,spotlight_PROLIFIC,,26,Colombia,spanish,English,,spanish:60|English:40,100,spanish:30|English:70,100,spanish:50|English:50,100,17,4,Bachelor's,10,10,10,7,9,9,19,23,19,21,,,,,14,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,20,random,,,,,,,,73.203125,340.875,93.203125,399.5625,1,1,,,,,,2026-07-02T20:56:44.148Z,N8KDPJAA,2026-07-02,2026-07-02,15:56:44,2026-07-02 15:56:44,,,,,,,,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,,,,
393,hover_association,2,2,int,8,3,13,14,1, IUPAC ,337,81,,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,intermediate,3,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,spotlight_PROLIFIC,,26,Colombia,spanish,English,,spanish:60|English:40,100,spanish:30|English:70,100,spanish:50|English:50,100,17,4,Bachelor's,10,10,10,7,9,9,19,23,19,21,,,,,14,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,20,random,,hover,132.3999999910593,132.3999999910593,0.9751508697195598,0.594921875,101,63.203125,336.6830357142857,103.203125,399.5625,1,1,,,,,,2026-07-02T20:56:44.148Z,N8KDPJAA,2026-07-02,2026-07-02,15:56:44,2026-07-02 15:56:44,,,,,,,,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,,,,
413,raw_position_sample,2,2,int,8,3,13,14,2, announced ,412,92,1474732.700000003,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,intermediate,3,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,spotlight_PROLIFIC,,26,Colombia,spanish,English,,spanish:60|English:40,100,spanish:30|English:70,100,spanish:50|English:50,100,17,4,Bachelor's,10,10,10,7,9,9,19,23,19,21,,,,,14,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,20,random,,,,,,,,73.203125,399.5625,93.203125,493.65625,1,2,,,,,,2026-07-02T20:56:44.148Z,N8KDPJAA,2026-07-02,2026-07-02,15:56:44,2026-07-02 15:56:44,,,,,,,,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,,,,
463,raw_position_sample,2,2,int,8,3,13,14,2, announced ,424,97,1474782.5,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,intermediate,3,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,spotlight_PROLIFIC,,26,Colombia,spanish,English,,spanish:60|English:40,100,spanish:30|English:70,100,spanish:50|English:50,100,17,4,Bachelor's,10,10,10,7,9,9,19,23,19,21,,,,,14,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,20,random,,,,,,,,73.203125,399.5625,93.203125,493.65625,1,2,,,,,,2026-07-02T20:56:44.148Z,N8KDPJAA,2026-07-02,2026-07-02,15:56:44,2026-07-02 15:56:44,,,,,,,,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,,,,
502,raw_position_sample,2,2,int,8,3,13,14,2, announced ,424,97,1474821.5,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,intermediate,3,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,spotlight_PROLIFIC,,26,Colombia,spanish,English,,spanish:60|English:40,100,spanish:30|English:70,100,spanish:50|English:50,100,17,4,Bachelor's,10,10,10,7,9,9,19,23,19,21,,,,,14,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,20,random,,,,,,,,73.203125,399.5625,93.203125,493.65625,1,2,,,,,,2026-07-02T20:56:44.148Z,N8KDPJAA,2026-07-02,2026-07-02,15:56:44,2026-07-02 15:56:44,,,,,,,,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,,,,
558,raw_position_sample,2,2,int,8,3,13,14,2, announced ,424,97,1474877.600000009,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,intermediate,3,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,spotlight_PROLIFIC,,26,Colombia,spanish,English,,spanish:60|English:40,100,spanish:30|English:70,100,spanish:50|English:50,100,17,4,Bachelor's,10,10,10,7,9,9,19,23,19,21,,,,,14,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,20,random,,,,,,,,73.203125,399.5625,93.203125,493.65625,1,2,,,,,,2026-07-02T20:56:44.148Z,N8KDPJAA,2026-07-02,2026-07-02,15:56:44,2026-07-02 15:56:44,,,,,,,,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,,,,
606,raw_position_sample,2,2,int,8,3,13,14,2, announced ,424,97,1474924.800000012,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,intermediate,3,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,spotlight_PROLIFIC,,26,Colombia,spanish,English,,spanish:60|English:40,100,spanish:30|English:70,100,spanish:50|English:50,100,17,4,Bachelor's,10,10,10,7,9,9,19,23,19,21,,,,,14,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,20,random,,,,,,,,73.203125,399.5625,93.203125,493.65625,1,2,,,,,,2026-07-02T20:56:44.148Z,N8KDPJAA,2026-07-02,2026-07-02,15:56:44,2026-07-02 15:56:44,,,,,,,,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,,,,
668,raw_position_sample,2,2,int,8,3,13,14,2, announced ,424,97,1474987.5,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,intermediate,3,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,spotlight_PROLIFIC,,26,Colombia,spanish,English,,spanish:60|English:40,100,spanish:30|English:70,100,spanish:50|English:50,100,17,4,Bachelor's,10,10,10,7,9,9,19,23,19,21,,,,,14,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,20,random,,,,,,,,73.203125,399.5625,93.203125,493.65625,1,2,,,,,,2026-07-02T20:56:44.148Z,N8KDPJAA,2026-07-02,2026-07-02,15:56:44,2026-07-02 15:56:44,,,,,,,,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,,,,
715,raw_position_sample,2,2,int,8,3,13,14,2, announced ,424,97,1475034.200000003,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,intermediate,3,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,spotlight_PROLIFIC,,26,Colombia,spanish,English,,spanish:60|English:40,100,spanish:30|English:70,100,spanish:50|English:50,100,17,4,Bachelor's,10,10,10,7,9,9,19,23,19,21,,,,,14,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,20,random,,,,,,,,73.203125,399.5625,93.203125,493.65625,1,2,,,,,,2026-07-02T20:56:44.148Z,N8KDPJAA,2026-07-02,2026-07-02,15:56:44,2026-07-02 15:56:44,,,,,,,,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,,,,
760,raw_position_sample,2,2,int,8,3,13,14,2, announced ,405,97,1475079.100000009,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,intermediate,3,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,spotlight_PROLIFIC,,26,Colombia,spanish,English,,spanish:60|English:40,100,spanish:30|English:70,100,spanish:50|English:50,100,17,4,Bachelor's,10,10,10,7,9,9,19,23,19,21,,,,,14,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,20,random,,,,,,,,73.203125,399.5625,93.203125,493.65625,1,2,,,,,,2026-07-02T20:56:44.148Z,N8KDPJAA,2026-07-02,2026-07-02,15:56:44,2026-07-02 15:56:44,,,,,,,,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,,,,
761,hover_association,2,2,int,8,3,13,14,2, announced ,405,89,,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,intermediate,3,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,spotlight_PROLIFIC,,26,Colombia,spanish,English,,spanish:60|English:40,100,spanish:30|English:70,100,spanish:50|English:50,100,17,4,Bachelor's,10,10,10,7,9,9,19,23,19,21,,,,,14,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,20,random,,hover,367.90000000596046,367.90000000596046,0.0577881102623713,0.844921875,101,63.203125,399.5625,103.203125,493.65625,1,2,,,,,,2026-07-02T20:56:44.148Z,N8KDPJAA,2026-07-02,2026-07-02,15:56:44,2026-07-02 15:56:44,,,,,,,,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,,,,
815,raw_position_sample,2,2,int,8,3,13,14,1, IUPAC ,363,95,1475133.800000012,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,intermediate,3,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,spotlight_PROLIFIC,,26,Colombia,spanish,English,,spanish:60|English:40,100,spanish:30|English:70,100,spanish:50|English:50,100,17,4,Bachelor's,10,10,10,7,9,9,19,23,19,21,,,,,14,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,20,random,,,,,,,,73.203125,340.875,93.203125,399.5625,1,1,,,,,,2026-07-02T20:56:44.148Z,N8KDPJAA,2026-07-02,2026-07-02,15:56:44,2026-07-02 15:56:44,,,,,,,,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,,,,
860,raw_position_sample,2,2,int,8,3,13,14,1, IUPAC ,355,93,1475179,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,intermediate,3,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,spotlight_PROLIFIC,,26,Colombia,spanish,English,,spanish:60|English:40,100,spanish:30|English:70,100,spanish:50|English:50,100,17,4,Bachelor's,10,10,10,7,9,9,19,23,19,21,,,,,14,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,20,random,,,,,,,,73.203125,340.875,93.203125,399.5625,1,1,,,,,,2026-07-02T20:56:44.148Z,N8KDPJAA,2026-07-02,2026-07-02,15:56:44,2026-07-02 15:56:44,,,,,,,,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,,,,
908,raw_position_sample,2,2,int,8,3,13,14,1, IUPAC ,355,93,1475227.200000003,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,intermediate,3,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,spotlight_PROLIFIC,,26,Colombia,spanish,English,,spanish:60|English:40,100,spanish:30|English:70,100,spanish:50|English:50,100,17,4,Bachelor's,10,10,10,7,9,9,19,23,19,21,,,,,14,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,20,random,,,,,,,,73.203125,340.875,93.203125,399.5625,1,1,,,,,,2026-07-02T20:56:44.148Z,N8KDPJAA,2026-07-02,2026-07-02,15:56:44,2026-07-02 15:56:44,,,,,,,,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,,,,
959,raw_position_sample,2,2,int,8,3,13,14,1, IUPAC ,355,93,1475278.100000009,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,intermediate,3,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,spotlight_PROLIFIC,,26,Colombia,spanish,English,,spanish:60|English:40,100,spanish:30|English:70,100,spanish:50|English:50,100,17,4,Bachelor's,10,10,10,7,9,9,19,23,19,21,,,,,14,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,20,random,,,,,,,,73.203125,340.875,93.203125,399.5625,1,1,,,,,,2026-07-02T20:56:44.148Z,N8KDPJAA,2026-07-02,2026-07-02,15:56:44,2026-07-02 15:56:44,,,,,,,,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,,,,
1004,raw_position_sample,2,2,int,8,3,13,14,1, IUPAC ,355,93,1475323.300000012,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,intermediate,3,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,spotlight_PROLIFIC,,26,Colombia,spanish,English,,spanish:60|English:40,100,spanish:30|English:70,100,spanish:50|English:50,100,17,4,Bachelor's,10,10,10,7,9,9,19,23,19,21,,,,,14,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,20,random,,,,,,,,73.203125,340.875,93.203125,399.5625,1,1,,,,,,2026-07-02T20:56:44.148Z,N8KDPJAA,2026-07-02,2026-07-02,15:56:44,2026-07-02 15:56:44,,,,,,,,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,,,,
1068,raw_position_sample,2,2,int,8,3,13,14,1, IUPAC ,355,93,1475386.800000012,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,intermediate,3,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,spotlight_PROLIFIC,,26,Colombia,spanish,English,,spanish:60|English:40,100,spanish:30|English:70,100,spanish:50|English:50,100,17,4,Bachelor's,10,10,10,7,9,9,19,23,19,21,,,,,14,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,20,random,,,,,,,,73.203125,340.875,93.203125,399.5625,1,1,,,,,,2026-07-02T20:56:44.148Z,N8KDPJAA,2026-07-02,2026-07-02,15:56:44,2026-07-02 15:56:44,,,,,,,,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,,,,
1115,raw_position_sample,2,2,int,8,3,13,14,1, IUPAC ,355,93,1475433.900000006,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,intermediate,3,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,spotlight_PROLIFIC,,26,Colombia,spanish,English,,spanish:60|English:40,100,spanish:30|English:70,100,spanish:50|English:50,100,17,4,Bachelor's,10,10,10,7,9,9,19,23,19,21,,,,,14,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,20,random,,,,,,,,73.203125,340.875,93.203125,399.5625,1,1,,,,,,2026-07-02T20:56:44.148Z,N8KDPJAA,2026-07-02,2026-07-02,15:56:44,2026-07-02 15:56:44,,,,,,,,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,,,,
1161,raw_position_sample,2,2,int,8,3,13,14,1, IUPAC ,355,93,1475479.900000006,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,intermediate,3,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,spotlight_PROLIFIC,,26,Colombia,spanish,English,,spanish:60|English:40,100,spanish:30|English:70,100,spanish:50|English:50,100,17,4,Bachelor's,10,10,10,7,9,9,19,23,19,21,,,,,14,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,20,random,,,,,,,,73.203125,340.875,93.203125,399.5625,1,1,,,,,,2026-07-02T20:56:44.148Z,N8KDPJAA,2026-07-02,2026-07-02,15:56:44,2026-07-02 15:56:44,,,,,,,,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,,,,
1209,raw_position_sample,2,2,int,8,3,13,14,1, IUPAC ,355,93,1475527.800000012,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,intermediate,3,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,spotlight_PROLIFIC,,26,Colombia,spanish,English,,spanish:60|English:40,100,spanish:30|English:70,100,spanish:50|English:50,100,17,4,Bachelor's,10,10,10,7,9,9,19,23,19,21,,,,,14,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,20,random,,,,,,,,73.203125,340.875,93.203125,399.5625,1,1,,,,,,2026-07-02T20:56:44.148Z,N8KDPJAA,2026-07-02,2026-07-02,15:56:44,2026-07-02 15:56:44,,,,,,,,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,,,,
1257,raw_position_sample,2,2,int,8,3,13,14,1, IUPAC ,355,93,1475575.900000006,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,intermediate,3,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,spotlight_PROLIFIC,,26,Colombia,spanish,English,,spanish:60|English:40,100,spanish:30|English:70,100,spanish:50|English:50,100,17,4,Bachelor's,10,10,10,7,9,9,19,23,19,21,,,,,14,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,20,random,,,,,,,,73.203125,340.875,93.203125,399.5625,1,1,,,,,,2026-07-02T20:56:44.148Z,N8KDPJAA,2026-07-02,2026-07-02,15:56:44,2026-07-02 15:56:44,,,,,,,,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,,,,
1303,raw_position_sample,2,2,int,8,3,13,14,1, IUPAC ,379,93,1475622.300000012,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,intermediate,3,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,spotlight_PROLIFIC,,26,Colombia,spanish,English,,spanish:60|English:40,100,spanish:30|English:70,100,spanish:50|English:50,100,17,4,Bachelor's,10,10,10,7,9,9,19,23,19,21,,,,,14,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,20,random,,,,,,,,73.203125,340.875,93.203125,399.5625,1,1,,,,,,2026-07-02T20:56:44.148Z,N8KDPJAA,2026-07-02,2026-07-02,15:56:44,2026-07-02 15:56:44,,,,,,,,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,,,,
1328,hover_association,2,2,int,8,3,13,14,1, IUPAC ,390,97,,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,intermediate,3,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,spotlight_PROLIFIC,,26,Colombia,spanish,English,,spanish:60|English:40,100,spanish:30|English:70,100,spanish:50|English:50,100,17,4,Bachelor's,10,10,10,7,9,9,19,23,19,21,,,,,14,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,20,random,,hover,566.7000000029802,566.7000000029802,0.8638267660631878,0.744921875,101,63.203125,336.6830357142857,103.203125,399.5625,1,1,,,,,,2026-07-02T20:56:44.148Z,N8KDPJAA,2026-07-02,2026-07-02,15:56:44,2026-07-02 15:56:44,,,,,,,,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,,,,
1363,raw_position_sample,2,2,int,8,3,13,14,2, announced ,412,93,1475682.700000003,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,intermediate,3,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,spotlight_PROLIFIC,,26,Colombia,spanish,English,,spanish:60|English:40,100,spanish:30|English:70,100,spanish:50|English:50,100,17,4,Bachelor's,10,10,10,7,9,9,19,23,19,21,,,,,14,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,20,random,,,,,,,,73.203125,399.5625,93.203125,493.65625,1,2,,,,,,2026-07-02T20:56:44.148Z,N8KDPJAA,2026-07-02,2026-07-02,15:56:44,2026-07-02 15:56:44,,,,,,,,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,,,,
1408,raw_position_sample,2,2,int,8,3,13,14,2, announced ,415,93,1475726.700000003,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,intermediate,3,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,spotlight_PROLIFIC,,26,Colombia,spanish,English,,spanish:60|English:40,100,spanish:30|English:70,100,spanish:50|English:50,100,17,4,Bachelor's,10,10,10,7,9,9,19,23,19,21,,,,,14,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,20,random,,,,,,,,73.203125,399.5625,93.203125,493.65625,1,2,,,,,,2026-07-02T20:56:44.148Z,N8KDPJAA,2026-07-02,2026-07-02,15:56:44,2026-07-02 15:56:44,,,,,,,,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,,,,
1458,raw_position_sample,2,2,int,8,3,13,14,2, announced ,416,93,1475777.300000012,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,intermediate,3,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,spotlight_PROLIFIC,,26,Colombia,spanish,English,,spanish:60|English:40,100,spanish:30|English:70,100,spanish:50|English:50,100,17,4,Bachelor's,10,10,10,7,9,9,19,23,19,21,,,,,14,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,20,random,,,,,,,,73.203125,399.5625,93.203125,493.65625,1,2,,,,,,2026-07-02T20:56:44.148Z,N8KDPJAA,2026-07-02,2026-07-02,15:56:44,2026-07-02 15:56:44,,,,,,,,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,,,,
1513,raw_position_sample,2,2,int,8,3,13,14,2, announced ,424,93,1475832.600000009,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,intermediate,3,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,spotlight_PROLIFIC,,26,Colombia,spanish,English,,spanish:60|English:40,100,spanish:30|English:70,100,spanish:50|English:50,100,17,4,Bachelor's,10,10,10,7,9,9,19,23,19,21,,,,,14,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,20,random,,,,,,,,73.203125,399.5625,93.203125,493.65625,1,2,,,,,,2026-07-02T20:56:44.148Z,N8KDPJAA,2026-07-02,2026-07-02,15:56:44,2026-07-02 15:56:44,,,,,,,,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,,,,
1559,raw_position_sample,2,2,int,8,3,13,14,2, announced ,428,99,1475878.700000003,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,intermediate,3,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,spotlight_PROLIFIC,,26,Colombia,spanish,English,,spanish:60|English:40,100,spanish:30|English:70,100,spanish:50|English:50,100,17,4,Bachelor's,10,10,10,7,9,9,19,23,19,21,,,,,14,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,20,random,,,,,,,,73.203125,399.5625,93.203125,493.65625,1,2,,,,,,2026-07-02T20:56:44.148Z,N8KDPJAA,2026-07-02,2026-07-02,15:56:44,2026-07-02 15:56:44,,,,,,,,6983fce9bf060dcd9aa51c28,6983fce9bf060dcd9aa51c28,,,,
