responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,demo_other_english_test,demo_other_english_test_score,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
15,raw_position_sample,2,2,int,7,1,1,2,-1,999,566,104,975501.900000006,6984d0c88553454852991ed8,6984d0c88553454852991ed8,intermediate,1,6984d0c88553454852991ed8,6984d0c88553454852991ed8,spotlight_PROLIFIC,,28,Brazil,Portuguese,english ,,Portuguese:50|English:50,100,Portuguese:50|English:50,100,Portuguese:60|English:40,100,21,4,Bachelor's,10,10,10,7,8,8,12,20,12,17,IELTS,7,,,,,18,25,B1,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-07-07T19:38:31.069Z,72HC2R5P,2026-07-07,2026-07-07,16:38:31,2026-07-07 16:38:31,,,,,,,,6984d0c88553454852991ed8,6984d0c88553454852991ed8,,,,
65,raw_position_sample,2,2,int,7,1,1,2,-1,999,556,96,975551.900000006,6984d0c88553454852991ed8,6984d0c88553454852991ed8,intermediate,1,6984d0c88553454852991ed8,6984d0c88553454852991ed8,spotlight_PROLIFIC,,28,Brazil,Portuguese,english ,,Portuguese:50|English:50,100,Portuguese:50|English:50,100,Portuguese:60|English:40,100,21,4,Bachelor's,10,10,10,7,8,8,12,20,12,17,IELTS,7,,,,,18,25,B1,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-07-07T19:38:31.069Z,72HC2R5P,2026-07-07,2026-07-07,16:38:31,2026-07-07 16:38:31,,,,,,,,6984d0c88553454852991ed8,6984d0c88553454852991ed8,,,,
125,raw_position_sample,2,2,int,7,1,1,2,-1,999,556,96,975611.7999999821,6984d0c88553454852991ed8,6984d0c88553454852991ed8,intermediate,1,6984d0c88553454852991ed8,6984d0c88553454852991ed8,spotlight_PROLIFIC,,28,Brazil,Portuguese,english ,,Portuguese:50|English:50,100,Portuguese:50|English:50,100,Portuguese:60|English:40,100,21,4,Bachelor's,10,10,10,7,8,8,12,20,12,17,IELTS,7,,,,,18,25,B1,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-07-07T19:38:31.069Z,72HC2R5P,2026-07-07,2026-07-07,16:38:31,2026-07-07 16:38:31,,,,,,,,6984d0c88553454852991ed8,6984d0c88553454852991ed8,,,,
171,raw_position_sample,2,2,int,7,1,1,2,-1,999,556,96,975657.900000006,6984d0c88553454852991ed8,6984d0c88553454852991ed8,intermediate,1,6984d0c88553454852991ed8,6984d0c88553454852991ed8,spotlight_PROLIFIC,,28,Brazil,Portuguese,english ,,Portuguese:50|English:50,100,Portuguese:50|English:50,100,Portuguese:60|English:40,100,21,4,Bachelor's,10,10,10,7,8,8,12,20,12,17,IELTS,7,,,,,18,25,B1,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-07-07T19:38:31.069Z,72HC2R5P,2026-07-07,2026-07-07,16:38:31,2026-07-07 16:38:31,,,,,,,,6984d0c88553454852991ed8,6984d0c88553454852991ed8,,,,
218,raw_position_sample,2,2,int,7,1,1,2,-1,999,556,96,975704.900000006,6984d0c88553454852991ed8,6984d0c88553454852991ed8,intermediate,1,6984d0c88553454852991ed8,6984d0c88553454852991ed8,spotlight_PROLIFIC,,28,Brazil,Portuguese,english ,,Portuguese:50|English:50,100,Portuguese:50|English:50,100,Portuguese:60|English:40,100,21,4,Bachelor's,10,10,10,7,8,8,12,20,12,17,IELTS,7,,,,,18,25,B1,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-07-07T19:38:31.069Z,72HC2R5P,2026-07-07,2026-07-07,16:38:31,2026-07-07 16:38:31,,,,,,,,6984d0c88553454852991ed8,6984d0c88553454852991ed8,,,,
262,raw_position_sample,2,2,int,7,1,1,2,-1,999,556,96,975749.599999994,6984d0c88553454852991ed8,6984d0c88553454852991ed8,intermediate,1,6984d0c88553454852991ed8,6984d0c88553454852991ed8,spotlight_PROLIFIC,,28,Brazil,Portuguese,english ,,Portuguese:50|English:50,100,Portuguese:50|English:50,100,Portuguese:60|English:40,100,21,4,Bachelor's,10,10,10,7,8,8,12,20,12,17,IELTS,7,,,,,18,25,B1,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-07-07T19:38:31.069Z,72HC2R5P,2026-07-07,2026-07-07,16:38:31,2026-07-07 16:38:31,,,,,,,,6984d0c88553454852991ed8,6984d0c88553454852991ed8,,,,
314,raw_position_sample,2,2,int,7,1,1,2,-1,999,556,96,975800.599999994,6984d0c88553454852991ed8,6984d0c88553454852991ed8,intermediate,1,6984d0c88553454852991ed8,6984d0c88553454852991ed8,spotlight_PROLIFIC,,28,Brazil,Portuguese,english ,,Portuguese:50|English:50,100,Portuguese:50|English:50,100,Portuguese:60|English:40,100,21,4,Bachelor's,10,10,10,7,8,8,12,20,12,17,IELTS,7,,,,,18,25,B1,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-07-07T19:38:31.069Z,72HC2R5P,2026-07-07,2026-07-07,16:38:31,2026-07-07 16:38:31,,,,,,,,6984d0c88553454852991ed8,6984d0c88553454852991ed8,,,,
364,raw_position_sample,2,2,int,7,1,1,2,1, When ,629,121,975850.7999999821,6984d0c88553454852991ed8,6984d0c88553454852991ed8,intermediate,1,6984d0c88553454852991ed8,6984d0c88553454852991ed8,spotlight_PROLIFIC,,28,Brazil,Portuguese,english ,,Portuguese:50|English:50,100,Portuguese:50|English:50,100,Portuguese:60|English:40,100,21,4,Bachelor's,10,10,10,7,8,8,12,20,12,17,IELTS,7,,,,,18,25,B1,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,123.265625,625.375,143.265625,677.40625,1,1,,,,,,,,,,,,2026-07-07T19:38:31.069Z,72HC2R5P,2026-07-07,2026-07-07,16:38:31,2026-07-07 16:38:31,,,,,,,,6984d0c88553454852991ed8,6984d0c88553454852991ed8,,,,
405,hover_association,2,2,int,7,1,1,2,1, When ,629,121,,6984d0c88553454852991ed8,6984d0c88553454852991ed8,intermediate,1,6984d0c88553454852991ed8,6984d0c88553454852991ed8,spotlight_PROLIFIC,,28,Brazil,Portuguese,english ,,Portuguese:50|English:50,100,Portuguese:50|English:50,100,Portuguese:60|English:40,100,21,4,Bachelor's,10,10,10,7,8,8,12,20,12,17,IELTS,7,,,,,18,25,B1,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,113.265625,621.0390625,153.265625,677.40625,1,1,hover,41.79999998211861,41.79999998211861,0.9573111573111573,0.493359375,109,,,,,,2026-07-07T19:38:31.069Z,72HC2R5P,2026-07-07,2026-07-07,16:38:31,2026-07-07 16:38:31,,,,,,,,6984d0c88553454852991ed8,6984d0c88553454852991ed8,,,,
419,raw_position_sample,2,2,int,7,1,1,2,2, Larry ,680,133,975905.7999999821,6984d0c88553454852991ed8,6984d0c88553454852991ed8,intermediate,1,6984d0c88553454852991ed8,6984d0c88553454852991ed8,spotlight_PROLIFIC,,28,Brazil,Portuguese,english ,,Portuguese:50|English:50,100,Portuguese:50|English:50,100,Portuguese:60|English:40,100,21,4,Bachelor's,10,10,10,7,8,8,12,20,12,17,IELTS,7,,,,,18,25,B1,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,123.265625,677.40625,143.265625,723.421875,1,2,,,,,,,,,,,,2026-07-07T19:38:31.069Z,72HC2R5P,2026-07-07,2026-07-07,16:38:31,2026-07-07 16:38:31,,,,,,,,6984d0c88553454852991ed8,6984d0c88553454852991ed8,,,,
465,raw_position_sample,2,2,int,7,1,1,2,2, Larry ,680,133,975952.400000006,6984d0c88553454852991ed8,6984d0c88553454852991ed8,intermediate,1,6984d0c88553454852991ed8,6984d0c88553454852991ed8,spotlight_PROLIFIC,,28,Brazil,Portuguese,english ,,Portuguese:50|English:50,100,Portuguese:50|English:50,100,Portuguese:60|English:40,100,21,4,Bachelor's,10,10,10,7,8,8,12,20,12,17,IELTS,7,,,,,18,25,B1,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,123.265625,677.40625,143.265625,723.421875,1,2,,,,,,,,,,,,2026-07-07T19:38:31.069Z,72HC2R5P,2026-07-07,2026-07-07,16:38:31,2026-07-07 16:38:31,,,,,,,,6984d0c88553454852991ed8,6984d0c88553454852991ed8,,,,
522,raw_position_sample,2,2,int,7,1,1,2,2, Larry ,680,133,976009.400000006,6984d0c88553454852991ed8,6984d0c88553454852991ed8,intermediate,1,6984d0c88553454852991ed8,6984d0c88553454852991ed8,spotlight_PROLIFIC,,28,Brazil,Portuguese,english ,,Portuguese:50|English:50,100,Portuguese:50|English:50,100,Portuguese:60|English:40,100,21,4,Bachelor's,10,10,10,7,8,8,12,20,12,17,IELTS,7,,,,,18,25,B1,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,123.265625,677.40625,143.265625,723.421875,1,2,,,,,,,,,,,,2026-07-07T19:38:31.069Z,72HC2R5P,2026-07-07,2026-07-07,16:38:31,2026-07-07 16:38:31,,,,,,,,6984d0c88553454852991ed8,6984d0c88553454852991ed8,,,,
