responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
4057,raw_position_sample,2,2,int,13,4,4,5,-1,999,129,58,1048078.6999999881,6984b3a634835e281615c60f,6984b3a634835e281615c60f,intermediate,4,6984b3a634835e281615c60f,6984b3a634835e281615c60f,spotlight_PROLIFIC,,32,Brazil ,Portuguese ,English ,,Portuguese:80|English:20,100,Portuguese:70|English:30,100,Portuguese:50|English:50,100,11,2,Post-secondary,10,10,10,7,9,10,10,18,18,20,,,,,22,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-07-06T22:00:15.309Z,2CZDDGMA,2026-07-06,2026-07-06,19:00:15,2026-07-06 19:00:15,,,,,,,,6984b3a634835e281615c60f,6984b3a634835e281615c60f,,,,
4070,raw_position_sample,2,2,int,13,4,4,5,-1,999,129,58,1048091.900000006,6984b3a634835e281615c60f,6984b3a634835e281615c60f,intermediate,4,6984b3a634835e281615c60f,6984b3a634835e281615c60f,spotlight_PROLIFIC,,32,Brazil ,Portuguese ,English ,,Portuguese:80|English:20,100,Portuguese:70|English:30,100,Portuguese:50|English:50,100,11,2,Post-secondary,10,10,10,7,9,10,10,18,18,20,,,,,22,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-07-06T22:00:15.309Z,2CZDDGMA,2026-07-06,2026-07-06,19:00:15,2026-07-06 19:00:15,,,,,,,,6984b3a634835e281615c60f,6984b3a634835e281615c60f,,,,
4120,raw_position_sample,2,2,int,13,4,4,5,-1,999,129,58,1048141.900000006,6984b3a634835e281615c60f,6984b3a634835e281615c60f,intermediate,4,6984b3a634835e281615c60f,6984b3a634835e281615c60f,spotlight_PROLIFIC,,32,Brazil ,Portuguese ,English ,,Portuguese:80|English:20,100,Portuguese:70|English:30,100,Portuguese:50|English:50,100,11,2,Post-secondary,10,10,10,7,9,10,10,18,18,20,,,,,22,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-07-06T22:00:15.309Z,2CZDDGMA,2026-07-06,2026-07-06,19:00:15,2026-07-06 19:00:15,,,,,,,,6984b3a634835e281615c60f,6984b3a634835e281615c60f,,,,
4170,raw_position_sample,2,2,int,13,4,4,5,-1,999,129,58,1048192.099999994,6984b3a634835e281615c60f,6984b3a634835e281615c60f,intermediate,4,6984b3a634835e281615c60f,6984b3a634835e281615c60f,spotlight_PROLIFIC,,32,Brazil ,Portuguese ,English ,,Portuguese:80|English:20,100,Portuguese:70|English:30,100,Portuguese:50|English:50,100,11,2,Post-secondary,10,10,10,7,9,10,10,18,18,20,,,,,22,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-07-06T22:00:15.309Z,2CZDDGMA,2026-07-06,2026-07-06,19:00:15,2026-07-06 19:00:15,,,,,,,,6984b3a634835e281615c60f,6984b3a634835e281615c60f,,,,
4222,raw_position_sample,2,2,int,13,4,4,5,-1,999,129,58,1048243.900000006,6984b3a634835e281615c60f,6984b3a634835e281615c60f,intermediate,4,6984b3a634835e281615c60f,6984b3a634835e281615c60f,spotlight_PROLIFIC,,32,Brazil ,Portuguese ,English ,,Portuguese:80|English:20,100,Portuguese:70|English:30,100,Portuguese:50|English:50,100,11,2,Post-secondary,10,10,10,7,9,10,10,18,18,20,,,,,22,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-07-06T22:00:15.309Z,2CZDDGMA,2026-07-06,2026-07-06,19:00:15,2026-07-06 19:00:15,,,,,,,,6984b3a634835e281615c60f,6984b3a634835e281615c60f,,,,
4272,raw_position_sample,2,2,int,13,4,4,5,-1,999,129,58,1048293.5,6984b3a634835e281615c60f,6984b3a634835e281615c60f,intermediate,4,6984b3a634835e281615c60f,6984b3a634835e281615c60f,spotlight_PROLIFIC,,32,Brazil ,Portuguese ,English ,,Portuguese:80|English:20,100,Portuguese:70|English:30,100,Portuguese:50|English:50,100,11,2,Post-secondary,10,10,10,7,9,10,10,18,18,20,,,,,22,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-07-06T22:00:15.309Z,2CZDDGMA,2026-07-06,2026-07-06,19:00:15,2026-07-06 19:00:15,,,,,,,,6984b3a634835e281615c60f,6984b3a634835e281615c60f,,,,
4322,raw_position_sample,2,2,int,13,4,4,5,-1,999,129,58,1048343.8000000119,6984b3a634835e281615c60f,6984b3a634835e281615c60f,intermediate,4,6984b3a634835e281615c60f,6984b3a634835e281615c60f,spotlight_PROLIFIC,,32,Brazil ,Portuguese ,English ,,Portuguese:80|English:20,100,Portuguese:70|English:30,100,Portuguese:50|English:50,100,11,2,Post-secondary,10,10,10,7,9,10,10,18,18,20,,,,,22,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-07-06T22:00:15.309Z,2CZDDGMA,2026-07-06,2026-07-06,19:00:15,2026-07-06 19:00:15,,,,,,,,6984b3a634835e281615c60f,6984b3a634835e281615c60f,,,,
4370,raw_position_sample,2,2,int,13,4,4,5,-1,999,129,58,1048392.400000006,6984b3a634835e281615c60f,6984b3a634835e281615c60f,intermediate,4,6984b3a634835e281615c60f,6984b3a634835e281615c60f,spotlight_PROLIFIC,,32,Brazil ,Portuguese ,English ,,Portuguese:80|English:20,100,Portuguese:70|English:30,100,Portuguese:50|English:50,100,11,2,Post-secondary,10,10,10,7,9,10,10,18,18,20,,,,,22,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-07-06T22:00:15.309Z,2CZDDGMA,2026-07-06,2026-07-06,19:00:15,2026-07-06 19:00:15,,,,,,,,6984b3a634835e281615c60f,6984b3a634835e281615c60f,,,,
4420,raw_position_sample,2,2,int,13,4,4,5,-1,999,129,58,1048442.099999994,6984b3a634835e281615c60f,6984b3a634835e281615c60f,intermediate,4,6984b3a634835e281615c60f,6984b3a634835e281615c60f,spotlight_PROLIFIC,,32,Brazil ,Portuguese ,English ,,Portuguese:80|English:20,100,Portuguese:70|English:30,100,Portuguese:50|English:50,100,11,2,Post-secondary,10,10,10,7,9,10,10,18,18,20,,,,,22,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-07-06T22:00:15.309Z,2CZDDGMA,2026-07-06,2026-07-06,19:00:15,2026-07-06 19:00:15,,,,,,,,6984b3a634835e281615c60f,6984b3a634835e281615c60f,,,,
4470,raw_position_sample,2,2,int,13,4,4,5,-1,999,129,58,1048492.3000000119,6984b3a634835e281615c60f,6984b3a634835e281615c60f,intermediate,4,6984b3a634835e281615c60f,6984b3a634835e281615c60f,spotlight_PROLIFIC,,32,Brazil ,Portuguese ,English ,,Portuguese:80|English:20,100,Portuguese:70|English:30,100,Portuguese:50|English:50,100,11,2,Post-secondary,10,10,10,7,9,10,10,18,18,20,,,,,22,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-07-06T22:00:15.309Z,2CZDDGMA,2026-07-06,2026-07-06,19:00:15,2026-07-06 19:00:15,,,,,,,,6984b3a634835e281615c60f,6984b3a634835e281615c60f,,,,
