responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,demo_other_english_test,demo_other_english_test_score,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
71,raw_position_sample,2,3,adv,13,1,6,7,-1,999,386,85,956263.5,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,advanced,1,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,spotlight_PROLIFIC,,25,Mexico,Spanish,English,,Spanish:70|English:30,100,Spanish:50|English:50,100,Spanish:90|English:10,100,17,5,Bachelor's,10,10,10,6,9,9,12,16,14,17,CEFR,C2,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-07-02T21:54:38.711Z,ZKT4WSAG,2026-07-02,2026-07-02,15:54:38,2026-07-02 15:54:38,,,,,,,,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,,,,
129,raw_position_sample,2,3,adv,13,1,6,7,-1,999,372,91,956321.400000006,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,advanced,1,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,spotlight_PROLIFIC,,25,Mexico,Spanish,English,,Spanish:70|English:30,100,Spanish:50|English:50,100,Spanish:90|English:10,100,17,5,Bachelor's,10,10,10,6,9,9,12,16,14,17,CEFR,C2,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-07-02T21:54:38.711Z,ZKT4WSAG,2026-07-02,2026-07-02,15:54:38,2026-07-02 15:54:38,,,,,,,,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,,,,
172,raw_position_sample,2,3,adv,13,1,6,7,-1,999,363,92,956364.400000006,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,advanced,1,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,spotlight_PROLIFIC,,25,Mexico,Spanish,English,,Spanish:70|English:30,100,Spanish:50|English:50,100,Spanish:90|English:10,100,17,5,Bachelor's,10,10,10,6,9,9,12,16,14,17,CEFR,C2,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-07-02T21:54:38.711Z,ZKT4WSAG,2026-07-02,2026-07-02,15:54:38,2026-07-02 15:54:38,,,,,,,,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,,,,
233,raw_position_sample,2,3,adv,13,1,6,7,-1,999,349,89,956425.700000003,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,advanced,1,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,spotlight_PROLIFIC,,25,Mexico,Spanish,English,,Spanish:70|English:30,100,Spanish:50|English:50,100,Spanish:90|English:10,100,17,5,Bachelor's,10,10,10,6,9,9,12,16,14,17,CEFR,C2,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-07-02T21:54:38.711Z,ZKT4WSAG,2026-07-02,2026-07-02,15:54:38,2026-07-02 15:54:38,,,,,,,,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,,,,
283,raw_position_sample,2,3,adv,13,1,6,7,-1,999,349,89,956475.3000000119,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,advanced,1,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,spotlight_PROLIFIC,,25,Mexico,Spanish,English,,Spanish:70|English:30,100,Spanish:50|English:50,100,Spanish:90|English:10,100,17,5,Bachelor's,10,10,10,6,9,9,12,16,14,17,CEFR,C2,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-07-02T21:54:38.711Z,ZKT4WSAG,2026-07-02,2026-07-02,15:54:38,2026-07-02 15:54:38,,,,,,,,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,,,,
321,raw_position_sample,2,3,adv,13,1,6,7,-1,999,352,91,956513.8000000119,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,advanced,1,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,spotlight_PROLIFIC,,25,Mexico,Spanish,English,,Spanish:70|English:30,100,Spanish:50|English:50,100,Spanish:90|English:10,100,17,5,Bachelor's,10,10,10,6,9,9,12,16,14,17,CEFR,C2,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-07-02T21:54:38.711Z,ZKT4WSAG,2026-07-02,2026-07-02,15:54:38,2026-07-02 15:54:38,,,,,,,,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,,,,
369,raw_position_sample,2,3,adv,13,1,6,7,-1,999,359,93,956561.900000006,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,advanced,1,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,spotlight_PROLIFIC,,25,Mexico,Spanish,English,,Spanish:70|English:30,100,Spanish:50|English:50,100,Spanish:90|English:10,100,17,5,Bachelor's,10,10,10,6,9,9,12,16,14,17,CEFR,C2,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-07-02T21:54:38.711Z,ZKT4WSAG,2026-07-02,2026-07-02,15:54:38,2026-07-02 15:54:38,,,,,,,,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,,,,
421,raw_position_sample,2,3,adv,13,1,6,7,-1,999,364,95,956613.3000000119,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,advanced,1,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,spotlight_PROLIFIC,,25,Mexico,Spanish,English,,Spanish:70|English:30,100,Spanish:50|English:50,100,Spanish:90|English:10,100,17,5,Bachelor's,10,10,10,6,9,9,12,16,14,17,CEFR,C2,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-07-02T21:54:38.711Z,ZKT4WSAG,2026-07-02,2026-07-02,15:54:38,2026-07-02 15:54:38,,,,,,,,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,,,,
471,raw_position_sample,2,3,adv,13,1,6,7,-1,999,372,97,956663.200000003,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,advanced,1,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,spotlight_PROLIFIC,,25,Mexico,Spanish,English,,Spanish:70|English:30,100,Spanish:50|English:50,100,Spanish:90|English:10,100,17,5,Bachelor's,10,10,10,6,9,9,12,16,14,17,CEFR,C2,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-07-02T21:54:38.711Z,ZKT4WSAG,2026-07-02,2026-07-02,15:54:38,2026-07-02 15:54:38,,,,,,,,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,,,,
527,raw_position_sample,2,3,adv,13,1,6,7,-1,999,380,97,956720,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,advanced,1,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,spotlight_PROLIFIC,,25,Mexico,Spanish,English,,Spanish:70|English:30,100,Spanish:50|English:50,100,Spanish:90|English:10,100,17,5,Bachelor's,10,10,10,6,9,9,12,16,14,17,CEFR,C2,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-07-02T21:54:38.711Z,ZKT4WSAG,2026-07-02,2026-07-02,15:54:38,2026-07-02 15:54:38,,,,,,,,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,,,,
583,raw_position_sample,2,3,adv,13,1,6,7,-1,999,384,97,956775.700000003,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,advanced,1,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,spotlight_PROLIFIC,,25,Mexico,Spanish,English,,Spanish:70|English:30,100,Spanish:50|English:50,100,Spanish:90|English:10,100,17,5,Bachelor's,10,10,10,6,9,9,12,16,14,17,CEFR,C2,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-07-02T21:54:38.711Z,ZKT4WSAG,2026-07-02,2026-07-02,15:54:38,2026-07-02 15:54:38,,,,,,,,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,,,,
633,raw_position_sample,2,3,adv,13,1,6,7,-1,999,385,97,956825.700000003,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,advanced,1,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,spotlight_PROLIFIC,,25,Mexico,Spanish,English,,Spanish:70|English:30,100,Spanish:50|English:50,100,Spanish:90|English:10,100,17,5,Bachelor's,10,10,10,6,9,9,12,16,14,17,CEFR,C2,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-07-02T21:54:38.711Z,ZKT4WSAG,2026-07-02,2026-07-02,15:54:38,2026-07-02 15:54:38,,,,,,,,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,,,,
669,raw_position_sample,2,3,adv,13,1,6,7,-1,999,386,97,956861.3000000119,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,advanced,1,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,spotlight_PROLIFIC,,25,Mexico,Spanish,English,,Spanish:70|English:30,100,Spanish:50|English:50,100,Spanish:90|English:10,100,17,5,Bachelor's,10,10,10,6,9,9,12,16,14,17,CEFR,C2,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-07-02T21:54:38.711Z,ZKT4WSAG,2026-07-02,2026-07-02,15:54:38,2026-07-02 15:54:38,,,,,,,,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,,,,
727,raw_position_sample,2,3,adv,13,1,6,7,-1,999,388,99,956919.700000003,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,advanced,1,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,spotlight_PROLIFIC,,25,Mexico,Spanish,English,,Spanish:70|English:30,100,Spanish:50|English:50,100,Spanish:90|English:10,100,17,5,Bachelor's,10,10,10,6,9,9,12,16,14,17,CEFR,C2,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-07-02T21:54:38.711Z,ZKT4WSAG,2026-07-02,2026-07-02,15:54:38,2026-07-02 15:54:38,,,,,,,,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,,,,
783,raw_position_sample,2,3,adv,13,1,6,7,-1,999,392,100,956975.700000003,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,advanced,1,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,spotlight_PROLIFIC,,25,Mexico,Spanish,English,,Spanish:70|English:30,100,Spanish:50|English:50,100,Spanish:90|English:10,100,17,5,Bachelor's,10,10,10,6,9,9,12,16,14,17,CEFR,C2,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-07-02T21:54:38.711Z,ZKT4WSAG,2026-07-02,2026-07-02,15:54:38,2026-07-02 15:54:38,,,,,,,,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,,,,
820,raw_position_sample,2,3,adv,13,1,6,7,-1,999,396,101,957012.1000000089,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,advanced,1,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,spotlight_PROLIFIC,,25,Mexico,Spanish,English,,Spanish:70|English:30,100,Spanish:50|English:50,100,Spanish:90|English:10,100,17,5,Bachelor's,10,10,10,6,9,9,12,16,14,17,CEFR,C2,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-07-02T21:54:38.711Z,ZKT4WSAG,2026-07-02,2026-07-02,15:54:38,2026-07-02 15:54:38,,,,,,,,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,,,,
870,raw_position_sample,2,3,adv,13,1,6,7,-1,999,401,104,957062.200000003,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,advanced,1,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,spotlight_PROLIFIC,,25,Mexico,Spanish,English,,Spanish:70|English:30,100,Spanish:50|English:50,100,Spanish:90|English:10,100,17,5,Bachelor's,10,10,10,6,9,9,12,16,14,17,CEFR,C2,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-07-02T21:54:38.711Z,ZKT4WSAG,2026-07-02,2026-07-02,15:54:38,2026-07-02 15:54:38,,,,,,,,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,,,,
920,raw_position_sample,2,3,adv,13,1,6,7,-1,999,405,108,957112.200000003,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,advanced,1,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,spotlight_PROLIFIC,,25,Mexico,Spanish,English,,Spanish:70|English:30,100,Spanish:50|English:50,100,Spanish:90|English:10,100,17,5,Bachelor's,10,10,10,6,9,9,12,16,14,17,CEFR,C2,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-07-02T21:54:38.711Z,ZKT4WSAG,2026-07-02,2026-07-02,15:54:38,2026-07-02 15:54:38,,,,,,,,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,,,,
969,raw_position_sample,2,3,adv,13,1,6,7,-1,999,408,109,957161.6000000089,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,advanced,1,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,spotlight_PROLIFIC,,25,Mexico,Spanish,English,,Spanish:70|English:30,100,Spanish:50|English:50,100,Spanish:90|English:10,100,17,5,Bachelor's,10,10,10,6,9,9,12,16,14,17,CEFR,C2,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-07-02T21:54:38.711Z,ZKT4WSAG,2026-07-02,2026-07-02,15:54:38,2026-07-02 15:54:38,,,,,,,,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,,,,
1019,raw_position_sample,2,3,adv,13,1,6,7,-1,999,411,110,957211.5,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,advanced,1,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,spotlight_PROLIFIC,,25,Mexico,Spanish,English,,Spanish:70|English:30,100,Spanish:50|English:50,100,Spanish:90|English:10,100,17,5,Bachelor's,10,10,10,6,9,9,12,16,14,17,CEFR,C2,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-07-02T21:54:38.711Z,ZKT4WSAG,2026-07-02,2026-07-02,15:54:38,2026-07-02 15:54:38,,,,,,,,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,,,,
1069,raw_position_sample,2,3,adv,13,1,6,7,-1,999,416,111,957261.3000000119,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,advanced,1,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,spotlight_PROLIFIC,,25,Mexico,Spanish,English,,Spanish:70|English:30,100,Spanish:50|English:50,100,Spanish:90|English:10,100,17,5,Bachelor's,10,10,10,6,9,9,12,16,14,17,CEFR,C2,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-07-02T21:54:38.711Z,ZKT4WSAG,2026-07-02,2026-07-02,15:54:38,2026-07-02 15:54:38,,,,,,,,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,,,,
1119,raw_position_sample,2,3,adv,13,1,6,7,-1,999,423,113,957311.1000000089,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,advanced,1,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,spotlight_PROLIFIC,,25,Mexico,Spanish,English,,Spanish:70|English:30,100,Spanish:50|English:50,100,Spanish:90|English:10,100,17,5,Bachelor's,10,10,10,6,9,9,12,16,14,17,CEFR,C2,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-07-02T21:54:38.711Z,ZKT4WSAG,2026-07-02,2026-07-02,15:54:38,2026-07-02 15:54:38,,,,,,,,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,,,,
1169,raw_position_sample,2,3,adv,13,1,6,7,1, The ,430,113,957361.6000000089,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,advanced,1,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,spotlight_PROLIFIC,,25,Mexico,Spanish,English,,Spanish:70|English:30,100,Spanish:50|English:50,100,Spanish:90|English:10,100,17,5,Bachelor's,10,10,10,6,9,9,12,16,14,17,CEFR,C2,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,111.1624984741211,433.2124938964844,131.1624984741211,469.2374954223633,1,1,,,,,,,,,,,,2026-07-02T21:54:38.711Z,ZKT4WSAG,2026-07-02,2026-07-02,15:54:38,2026-07-02 15:54:38,,,,,,,,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,,,,
1219,raw_position_sample,2,3,adv,13,1,6,7,1, The ,434,114,957411.8000000119,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,advanced,1,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,spotlight_PROLIFIC,,25,Mexico,Spanish,English,,Spanish:70|English:30,100,Spanish:50|English:50,100,Spanish:90|English:10,100,17,5,Bachelor's,10,10,10,6,9,9,12,16,14,17,CEFR,C2,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,111.1624984741211,433.2124938964844,131.1624984741211,469.2374954223633,1,1,,,,,,,,,,,,2026-07-02T21:54:38.711Z,ZKT4WSAG,2026-07-02,2026-07-02,15:54:38,2026-07-02 15:54:38,,,,,,,,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,,,,
1269,raw_position_sample,2,3,adv,13,1,6,7,1, The ,437,115,957461.700000003,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,advanced,1,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,spotlight_PROLIFIC,,25,Mexico,Spanish,English,,Spanish:70|English:30,100,Spanish:50|English:50,100,Spanish:90|English:10,100,17,5,Bachelor's,10,10,10,6,9,9,12,16,14,17,CEFR,C2,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,111.1624984741211,433.2124938964844,131.1624984741211,469.2374954223633,1,1,,,,,,,,,,,,2026-07-02T21:54:38.711Z,ZKT4WSAG,2026-07-02,2026-07-02,15:54:38,2026-07-02 15:54:38,,,,,,,,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,,,,
1334,raw_position_sample,2,3,adv,13,1,6,7,1, The ,440,117,957526.1000000089,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,advanced,1,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,spotlight_PROLIFIC,,25,Mexico,Spanish,English,,Spanish:70|English:30,100,Spanish:50|English:50,100,Spanish:90|English:10,100,17,5,Bachelor's,10,10,10,6,9,9,12,16,14,17,CEFR,C2,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,111.1624984741211,433.2124938964844,131.1624984741211,469.2374954223633,1,1,,,,,,,,,,,,2026-07-02T21:54:38.711Z,ZKT4WSAG,2026-07-02,2026-07-02,15:54:38,2026-07-02 15:54:38,,,,,,,,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,,,,
1375,raw_position_sample,2,3,adv,13,1,6,7,1, The ,444,118,957567.3000000119,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,advanced,1,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,spotlight_PROLIFIC,,25,Mexico,Spanish,English,,Spanish:70|English:30,100,Spanish:50|English:50,100,Spanish:90|English:10,100,17,5,Bachelor's,10,10,10,6,9,9,12,16,14,17,CEFR,C2,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,111.1624984741211,433.2124938964844,131.1624984741211,469.2374954223633,1,1,,,,,,,,,,,,2026-07-02T21:54:38.711Z,ZKT4WSAG,2026-07-02,2026-07-02,15:54:38,2026-07-02 15:54:38,,,,,,,,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,,,,
1425,raw_position_sample,2,3,adv,13,1,6,7,1, The ,448,120,957617.1000000089,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,advanced,1,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,spotlight_PROLIFIC,,25,Mexico,Spanish,English,,Spanish:70|English:30,100,Spanish:50|English:50,100,Spanish:90|English:10,100,17,5,Bachelor's,10,10,10,6,9,9,12,16,14,17,CEFR,C2,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,111.1624984741211,433.2124938964844,131.1624984741211,469.2374954223633,1,1,,,,,,,,,,,,2026-07-02T21:54:38.711Z,ZKT4WSAG,2026-07-02,2026-07-02,15:54:38,2026-07-02 15:54:38,,,,,,,,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,,,,
1485,raw_position_sample,2,3,adv,13,1,6,7,1, The ,453,122,957677.400000006,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,advanced,1,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,spotlight_PROLIFIC,,25,Mexico,Spanish,English,,Spanish:70|English:30,100,Spanish:50|English:50,100,Spanish:90|English:10,100,17,5,Bachelor's,10,10,10,6,9,9,12,16,14,17,CEFR,C2,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,111.1624984741211,433.2124938964844,131.1624984741211,469.2374954223633,1,1,,,,,,,,,,,,2026-07-02T21:54:38.711Z,ZKT4WSAG,2026-07-02,2026-07-02,15:54:38,2026-07-02 15:54:38,,,,,,,,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,,,,
1535,raw_position_sample,2,3,adv,13,1,6,7,1, The ,457,124,957727.1000000089,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,advanced,1,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,spotlight_PROLIFIC,,25,Mexico,Spanish,English,,Spanish:70|English:30,100,Spanish:50|English:50,100,Spanish:90|English:10,100,17,5,Bachelor's,10,10,10,6,9,9,12,16,14,17,CEFR,C2,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,111.1624984741211,433.2124938964844,131.1624984741211,469.2374954223633,1,1,,,,,,,,,,,,2026-07-02T21:54:38.711Z,ZKT4WSAG,2026-07-02,2026-07-02,15:54:38,2026-07-02 15:54:38,,,,,,,,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,,,,
1574,raw_position_sample,2,3,adv,13,1,6,7,1, The ,460,125,957766.900000006,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,advanced,1,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,spotlight_PROLIFIC,,25,Mexico,Spanish,English,,Spanish:70|English:30,100,Spanish:50|English:50,100,Spanish:90|English:10,100,17,5,Bachelor's,10,10,10,6,9,9,12,16,14,17,CEFR,C2,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,111.1624984741211,433.2124938964844,131.1624984741211,469.2374954223633,1,1,,,,,,,,,,,,2026-07-02T21:54:38.711Z,ZKT4WSAG,2026-07-02,2026-07-02,15:54:38,2026-07-02 15:54:38,,,,,,,,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,,,,
1624,raw_position_sample,2,3,adv,13,1,6,7,1, The ,465,125,957816.5,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,advanced,1,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,spotlight_PROLIFIC,,25,Mexico,Spanish,English,,Spanish:70|English:30,100,Spanish:50|English:50,100,Spanish:90|English:10,100,17,5,Bachelor's,10,10,10,6,9,9,12,16,14,17,CEFR,C2,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,111.1624984741211,433.2124938964844,131.1624984741211,469.2374954223633,1,1,,,,,,,,,,,,2026-07-02T21:54:38.711Z,ZKT4WSAG,2026-07-02,2026-07-02,15:54:38,2026-07-02 15:54:38,,,,,,,,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,,,,
1650,hover_association,2,3,adv,13,1,6,7,1, The ,430,113,,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,advanced,1,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,spotlight_PROLIFIC,,25,Mexico,Spanish,English,,Spanish:70|English:30,100,Spanish:50|English:50,100,Spanish:90|English:10,100,17,5,Bachelor's,10,10,10,6,9,9,12,16,14,17,CEFR,C2,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,101.16249465942383,429.6099937438965,141.16250228881836,469.2375068664551,1,1,hover,483.20000000298023,483.20000000298023,0.9687715233951785,0.595937519848343,121,,,,,,2026-07-02T21:54:38.711Z,ZKT4WSAG,2026-07-02,2026-07-02,15:54:38,2026-07-02 15:54:38,,,,,,,,697a66f86ebfc5a812471650,697a66f86ebfc5a812471650,,,,
