responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,demo_other_english_test,demo_other_english_test_score,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
59,raw_position_sample,2,2,int,10,1,16,17,-1,999,118,59,1848587,69807af24ae6337e1c64bc86,69807af24ae6337e1c64bc86,intermediate,1,69807af24ae6337e1c64bc86,69807af24ae6337e1c64bc86,spotlight_PROLIFIC,,52,Argentina,Spanish,"Spanish, English",,Spanish:50|English:50,100,Spanish:20|English:80,100,Spanish:80|English:20,100,17,5,Bachelor's,10,10,10,7,10,10,9,25,13,15,Proficiency,C2,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T17:52:42.256Z,ZDK3L9FD,2026-08-16,2026-08-16,14:52:42,2026-08-16 14:52:42,,,,,,,,69807af24ae6337e1c64bc86,69807af24ae6337e1c64bc86,,,,
110,raw_position_sample,2,2,int,10,1,16,17,-1,999,119,48,1848637,69807af24ae6337e1c64bc86,69807af24ae6337e1c64bc86,intermediate,1,69807af24ae6337e1c64bc86,69807af24ae6337e1c64bc86,spotlight_PROLIFIC,,52,Argentina,Spanish,"Spanish, English",,Spanish:50|English:50,100,Spanish:20|English:80,100,Spanish:80|English:20,100,17,5,Bachelor's,10,10,10,7,10,10,9,25,13,15,Proficiency,C2,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T17:52:42.256Z,ZDK3L9FD,2026-08-16,2026-08-16,14:52:42,2026-08-16 14:52:42,,,,,,,,69807af24ae6337e1c64bc86,69807af24ae6337e1c64bc86,,,,
161,raw_position_sample,2,2,int,10,1,16,17,-1,999,112,41,1848687,69807af24ae6337e1c64bc86,69807af24ae6337e1c64bc86,intermediate,1,69807af24ae6337e1c64bc86,69807af24ae6337e1c64bc86,spotlight_PROLIFIC,,52,Argentina,Spanish,"Spanish, English",,Spanish:50|English:50,100,Spanish:20|English:80,100,Spanish:80|English:20,100,17,5,Bachelor's,10,10,10,7,10,10,9,25,13,15,Proficiency,C2,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T17:52:42.256Z,ZDK3L9FD,2026-08-16,2026-08-16,14:52:42,2026-08-16 14:52:42,,,,,,,,69807af24ae6337e1c64bc86,69807af24ae6337e1c64bc86,,,,
211,raw_position_sample,2,2,int,10,1,16,17,-1,999,112,41,1848738,69807af24ae6337e1c64bc86,69807af24ae6337e1c64bc86,intermediate,1,69807af24ae6337e1c64bc86,69807af24ae6337e1c64bc86,spotlight_PROLIFIC,,52,Argentina,Spanish,"Spanish, English",,Spanish:50|English:50,100,Spanish:20|English:80,100,Spanish:80|English:20,100,17,5,Bachelor's,10,10,10,7,10,10,9,25,13,15,Proficiency,C2,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T17:52:42.256Z,ZDK3L9FD,2026-08-16,2026-08-16,14:52:42,2026-08-16 14:52:42,,,,,,,,69807af24ae6337e1c64bc86,69807af24ae6337e1c64bc86,,,,
262,raw_position_sample,2,2,int,10,1,16,17,-1,999,112,41,1848789,69807af24ae6337e1c64bc86,69807af24ae6337e1c64bc86,intermediate,1,69807af24ae6337e1c64bc86,69807af24ae6337e1c64bc86,spotlight_PROLIFIC,,52,Argentina,Spanish,"Spanish, English",,Spanish:50|English:50,100,Spanish:20|English:80,100,Spanish:80|English:20,100,17,5,Bachelor's,10,10,10,7,10,10,9,25,13,15,Proficiency,C2,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T17:52:42.256Z,ZDK3L9FD,2026-08-16,2026-08-16,14:52:42,2026-08-16 14:52:42,,,,,,,,69807af24ae6337e1c64bc86,69807af24ae6337e1c64bc86,,,,
312,raw_position_sample,2,2,int,10,1,16,17,-1,999,112,41,1848839,69807af24ae6337e1c64bc86,69807af24ae6337e1c64bc86,intermediate,1,69807af24ae6337e1c64bc86,69807af24ae6337e1c64bc86,spotlight_PROLIFIC,,52,Argentina,Spanish,"Spanish, English",,Spanish:50|English:50,100,Spanish:20|English:80,100,Spanish:80|English:20,100,17,5,Bachelor's,10,10,10,7,10,10,9,25,13,15,Proficiency,C2,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T17:52:42.256Z,ZDK3L9FD,2026-08-16,2026-08-16,14:52:42,2026-08-16 14:52:42,,,,,,,,69807af24ae6337e1c64bc86,69807af24ae6337e1c64bc86,,,,
362,raw_position_sample,2,2,int,10,1,16,17,-1,999,112,41,1848889,69807af24ae6337e1c64bc86,69807af24ae6337e1c64bc86,intermediate,1,69807af24ae6337e1c64bc86,69807af24ae6337e1c64bc86,spotlight_PROLIFIC,,52,Argentina,Spanish,"Spanish, English",,Spanish:50|English:50,100,Spanish:20|English:80,100,Spanish:80|English:20,100,17,5,Bachelor's,10,10,10,7,10,10,9,25,13,15,Proficiency,C2,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T17:52:42.256Z,ZDK3L9FD,2026-08-16,2026-08-16,14:52:42,2026-08-16 14:52:42,,,,,,,,69807af24ae6337e1c64bc86,69807af24ae6337e1c64bc86,,,,
412,raw_position_sample,2,2,int,10,1,16,17,-1,999,112,41,1848939,69807af24ae6337e1c64bc86,69807af24ae6337e1c64bc86,intermediate,1,69807af24ae6337e1c64bc86,69807af24ae6337e1c64bc86,spotlight_PROLIFIC,,52,Argentina,Spanish,"Spanish, English",,Spanish:50|English:50,100,Spanish:20|English:80,100,Spanish:80|English:20,100,17,5,Bachelor's,10,10,10,7,10,10,9,25,13,15,Proficiency,C2,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T17:52:42.256Z,ZDK3L9FD,2026-08-16,2026-08-16,14:52:42,2026-08-16 14:52:42,,,,,,,,69807af24ae6337e1c64bc86,69807af24ae6337e1c64bc86,,,,
463,raw_position_sample,2,2,int,10,1,16,17,-1,999,112,41,1848991,69807af24ae6337e1c64bc86,69807af24ae6337e1c64bc86,intermediate,1,69807af24ae6337e1c64bc86,69807af24ae6337e1c64bc86,spotlight_PROLIFIC,,52,Argentina,Spanish,"Spanish, English",,Spanish:50|English:50,100,Spanish:20|English:80,100,Spanish:80|English:20,100,17,5,Bachelor's,10,10,10,7,10,10,9,25,13,15,Proficiency,C2,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T17:52:42.256Z,ZDK3L9FD,2026-08-16,2026-08-16,14:52:42,2026-08-16 14:52:42,,,,,,,,69807af24ae6337e1c64bc86,69807af24ae6337e1c64bc86,,,,
513,raw_position_sample,2,2,int,10,1,16,17,-1,999,112,41,1849041,69807af24ae6337e1c64bc86,69807af24ae6337e1c64bc86,intermediate,1,69807af24ae6337e1c64bc86,69807af24ae6337e1c64bc86,spotlight_PROLIFIC,,52,Argentina,Spanish,"Spanish, English",,Spanish:50|English:50,100,Spanish:20|English:80,100,Spanish:80|English:20,100,17,5,Bachelor's,10,10,10,7,10,10,9,25,13,15,Proficiency,C2,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T17:52:42.256Z,ZDK3L9FD,2026-08-16,2026-08-16,14:52:42,2026-08-16 14:52:42,,,,,,,,69807af24ae6337e1c64bc86,69807af24ae6337e1c64bc86,,,,
