responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,demo_other_english_test,demo_other_english_test_score,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
773,raw_position_sample,2,2,int,25,4,4,5,1, Like ,953,143,824225.8000000119,6981ede663a6defe2f290ea4,6981ede663a6defe2f290ea4,intermediate,4,6981ede663a6defe2f290ea4,6981ede663a6defe2f290ea4,spotlight_PROLIFIC,,35,Brazil,Portuguese,"English, Spanish",Spanish,Portuguese:80|English:19|Spanish:1,100,Portuguese:80|English:19|Spanish:1,100,Portuguese:70|English:29|Spanish:1,100,16,0,Bachelor's,10,10,10,9,10,10,7,15,8,12,TOEFL,110,,,,,21,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,140.46875,945.375,164.46875,983.90625,1,1,,,,,,,,,,,,2026-08-09T14:44:18.623Z,CS75Y6US,2026-08-09,2026-08-09,11:44:18,2026-08-09 11:44:18,,,,,,,,6981ede663a6defe2f290ea4,6981ede663a6defe2f290ea4,,,,
820,raw_position_sample,2,2,int,25,4,4,5,1, Like ,953,143,824272.7000000179,6981ede663a6defe2f290ea4,6981ede663a6defe2f290ea4,intermediate,4,6981ede663a6defe2f290ea4,6981ede663a6defe2f290ea4,spotlight_PROLIFIC,,35,Brazil,Portuguese,"English, Spanish",Spanish,Portuguese:80|English:19|Spanish:1,100,Portuguese:80|English:19|Spanish:1,100,Portuguese:70|English:29|Spanish:1,100,16,0,Bachelor's,10,10,10,9,10,10,7,15,8,12,TOEFL,110,,,,,21,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,140.46875,945.375,164.46875,983.90625,1,1,,,,,,,,,,,,2026-08-09T14:44:18.623Z,CS75Y6US,2026-08-09,2026-08-09,11:44:18,2026-08-09 11:44:18,,,,,,,,6981ede663a6defe2f290ea4,6981ede663a6defe2f290ea4,,,,
867,raw_position_sample,2,2,int,25,4,4,5,1, Like ,953,143,824319.7000000179,6981ede663a6defe2f290ea4,6981ede663a6defe2f290ea4,intermediate,4,6981ede663a6defe2f290ea4,6981ede663a6defe2f290ea4,spotlight_PROLIFIC,,35,Brazil,Portuguese,"English, Spanish",Spanish,Portuguese:80|English:19|Spanish:1,100,Portuguese:80|English:19|Spanish:1,100,Portuguese:70|English:29|Spanish:1,100,16,0,Bachelor's,10,10,10,9,10,10,7,15,8,12,TOEFL,110,,,,,21,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,140.46875,945.375,164.46875,983.90625,1,1,,,,,,,,,,,,2026-08-09T14:44:18.623Z,CS75Y6US,2026-08-09,2026-08-09,11:44:18,2026-08-09 11:44:18,,,,,,,,6981ede663a6defe2f290ea4,6981ede663a6defe2f290ea4,,,,
919,raw_position_sample,2,2,int,25,4,4,5,1, Like ,959,144,824371,6981ede663a6defe2f290ea4,6981ede663a6defe2f290ea4,intermediate,4,6981ede663a6defe2f290ea4,6981ede663a6defe2f290ea4,spotlight_PROLIFIC,,35,Brazil,Portuguese,"English, Spanish",Spanish,Portuguese:80|English:19|Spanish:1,100,Portuguese:80|English:19|Spanish:1,100,Portuguese:70|English:29|Spanish:1,100,16,0,Bachelor's,10,10,10,9,10,10,7,15,8,12,TOEFL,110,,,,,21,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,140.46875,945.375,164.46875,983.90625,1,1,,,,,,,,,,,,2026-08-09T14:44:18.623Z,CS75Y6US,2026-08-09,2026-08-09,11:44:18,2026-08-09 11:44:18,,,,,,,,6981ede663a6defe2f290ea4,6981ede663a6defe2f290ea4,,,,
966,raw_position_sample,2,2,int,25,4,4,5,1, Like ,977,145,824418.1000000238,6981ede663a6defe2f290ea4,6981ede663a6defe2f290ea4,intermediate,4,6981ede663a6defe2f290ea4,6981ede663a6defe2f290ea4,spotlight_PROLIFIC,,35,Brazil,Portuguese,"English, Spanish",Spanish,Portuguese:80|English:19|Spanish:1,100,Portuguese:80|English:19|Spanish:1,100,Portuguese:70|English:29|Spanish:1,100,16,0,Bachelor's,10,10,10,9,10,10,7,15,8,12,TOEFL,110,,,,,21,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,140.46875,945.375,164.46875,983.90625,1,1,,,,,,,,,,,,2026-08-09T14:44:18.623Z,CS75Y6US,2026-08-09,2026-08-09,11:44:18,2026-08-09 11:44:18,,,,,,,,6981ede663a6defe2f290ea4,6981ede663a6defe2f290ea4,,,,
989,hover_association,2,2,int,25,4,4,5,1, Like ,947,134,,6981ede663a6defe2f290ea4,6981ede663a6defe2f290ea4,intermediate,4,6981ede663a6defe2f290ea4,6981ede663a6defe2f290ea4,spotlight_PROLIFIC,,35,Brazil,Portuguese,"English, Spanish",Spanish,Portuguese:80|English:19|Spanish:1,100,Portuguese:80|English:19|Spanish:1,100,Portuguese:70|English:29|Spanish:1,100,16,0,Bachelor's,10,10,10,9,10,10,7,15,8,12,TOEFL,110,,,,,21,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,132.46875,942.1640625,172.46875,983.90625,1,1,hover,620.5999999940395,620.5999999940395,0.8824630357477072,0.31328125,115,,,,,,2026-08-09T14:44:18.623Z,CS75Y6US,2026-08-09,2026-08-09,11:44:18,2026-08-09 11:44:18,,,,,,,,6981ede663a6defe2f290ea4,6981ede663a6defe2f290ea4,,,,
1019,raw_position_sample,2,2,int,25,4,4,5,2, most ,995,146,824471.7000000179,6981ede663a6defe2f290ea4,6981ede663a6defe2f290ea4,intermediate,4,6981ede663a6defe2f290ea4,6981ede663a6defe2f290ea4,spotlight_PROLIFIC,,35,Brazil,Portuguese,"English, Spanish",Spanish,Portuguese:80|English:19|Spanish:1,100,Portuguese:80|English:19|Spanish:1,100,Portuguese:70|English:29|Spanish:1,100,16,0,Bachelor's,10,10,10,9,10,10,7,15,8,12,TOEFL,110,,,,,21,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,140.46875,983.90625,164.46875,1031.4375,1,2,,,,,,,,,,,,2026-08-09T14:44:18.623Z,CS75Y6US,2026-08-09,2026-08-09,11:44:18,2026-08-09 11:44:18,,,,,,,,6981ede663a6defe2f290ea4,6981ede663a6defe2f290ea4,,,,
1067,raw_position_sample,2,2,int,25,4,4,5,2, most ,1023,149,824519.7000000179,6981ede663a6defe2f290ea4,6981ede663a6defe2f290ea4,intermediate,4,6981ede663a6defe2f290ea4,6981ede663a6defe2f290ea4,spotlight_PROLIFIC,,35,Brazil,Portuguese,"English, Spanish",Spanish,Portuguese:80|English:19|Spanish:1,100,Portuguese:80|English:19|Spanish:1,100,Portuguese:70|English:29|Spanish:1,100,16,0,Bachelor's,10,10,10,9,10,10,7,15,8,12,TOEFL,110,,,,,21,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,140.46875,983.90625,164.46875,1031.4375,1,2,,,,,,,,,,,,2026-08-09T14:44:18.623Z,CS75Y6US,2026-08-09,2026-08-09,11:44:18,2026-08-09 11:44:18,,,,,,,,6981ede663a6defe2f290ea4,6981ede663a6defe2f290ea4,,,,
1119,raw_position_sample,2,2,int,25,4,4,5,2, most ,1031,149,824571.400000006,6981ede663a6defe2f290ea4,6981ede663a6defe2f290ea4,intermediate,4,6981ede663a6defe2f290ea4,6981ede663a6defe2f290ea4,spotlight_PROLIFIC,,35,Brazil,Portuguese,"English, Spanish",Spanish,Portuguese:80|English:19|Spanish:1,100,Portuguese:80|English:19|Spanish:1,100,Portuguese:70|English:29|Spanish:1,100,16,0,Bachelor's,10,10,10,9,10,10,7,15,8,12,TOEFL,110,,,,,21,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,140.46875,983.90625,164.46875,1031.4375,1,2,,,,,,,,,,,,2026-08-09T14:44:18.623Z,CS75Y6US,2026-08-09,2026-08-09,11:44:18,2026-08-09 11:44:18,,,,,,,,6981ede663a6defe2f290ea4,6981ede663a6defe2f290ea4,,,,
1165,hover_association,2,2,int,25,4,4,5,2, most ,984,145,,6981ede663a6defe2f290ea4,6981ede663a6defe2f290ea4,intermediate,4,6981ede663a6defe2f290ea4,6981ede663a6defe2f290ea4,spotlight_PROLIFIC,,35,Brazil,Portuguese,"English, Spanish",Spanish,Portuguese:80|English:19|Spanish:1,100,Portuguese:80|English:19|Spanish:1,100,Portuguese:70|English:29|Spanish:1,100,16,0,Bachelor's,10,10,10,9,10,10,7,15,8,12,TOEFL,110,,,,,21,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,132.46875,983.90625,172.46875,1031.4375,1,2,hover,176.5,176.5,0.9907955292570677,0.41328125,115,,,,,,2026-08-09T14:44:18.623Z,CS75Y6US,2026-08-09,2026-08-09,11:44:18,2026-08-09 11:44:18,,,,,,,,6981ede663a6defe2f290ea4,6981ede663a6defe2f290ea4,,,,
1166,raw_position_sample,2,2,int,25,4,4,5,3, full-time ,1032,149,824618.3000000119,6981ede663a6defe2f290ea4,6981ede663a6defe2f290ea4,intermediate,4,6981ede663a6defe2f290ea4,6981ede663a6defe2f290ea4,spotlight_PROLIFIC,,35,Brazil,Portuguese,"English, Spanish",Spanish,Portuguese:80|English:19|Spanish:1,100,Portuguese:80|English:19|Spanish:1,100,Portuguese:70|English:29|Spanish:1,100,16,0,Bachelor's,10,10,10,9,10,10,7,15,8,12,TOEFL,110,,,,,21,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,140.46875,1031.4375,164.46875,1106.65625,1,3,,,,,,,,,,,,2026-08-09T14:44:18.623Z,CS75Y6US,2026-08-09,2026-08-09,11:44:18,2026-08-09 11:44:18,,,,,,,,6981ede663a6defe2f290ea4,6981ede663a6defe2f290ea4,,,,
1219,raw_position_sample,2,2,int,25,4,4,5,3, full-time ,1036,151,824671.8000000119,6981ede663a6defe2f290ea4,6981ede663a6defe2f290ea4,intermediate,4,6981ede663a6defe2f290ea4,6981ede663a6defe2f290ea4,spotlight_PROLIFIC,,35,Brazil,Portuguese,"English, Spanish",Spanish,Portuguese:80|English:19|Spanish:1,100,Portuguese:80|English:19|Spanish:1,100,Portuguese:70|English:29|Spanish:1,100,16,0,Bachelor's,10,10,10,9,10,10,7,15,8,12,TOEFL,110,,,,,21,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,140.46875,1031.4375,164.46875,1106.65625,1,3,,,,,,,,,,,,2026-08-09T14:44:18.623Z,CS75Y6US,2026-08-09,2026-08-09,11:44:18,2026-08-09 11:44:18,,,,,,,,6981ede663a6defe2f290ea4,6981ede663a6defe2f290ea4,,,,
1272,raw_position_sample,2,2,int,25,4,4,5,3, full-time ,1045,152,824724,6981ede663a6defe2f290ea4,6981ede663a6defe2f290ea4,intermediate,4,6981ede663a6defe2f290ea4,6981ede663a6defe2f290ea4,spotlight_PROLIFIC,,35,Brazil,Portuguese,"English, Spanish",Spanish,Portuguese:80|English:19|Spanish:1,100,Portuguese:80|English:19|Spanish:1,100,Portuguese:70|English:29|Spanish:1,100,16,0,Bachelor's,10,10,10,9,10,10,7,15,8,12,TOEFL,110,,,,,21,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,140.46875,1031.4375,164.46875,1106.65625,1,3,,,,,,,,,,,,2026-08-09T14:44:18.623Z,CS75Y6US,2026-08-09,2026-08-09,11:44:18,2026-08-09 11:44:18,,,,,,,,6981ede663a6defe2f290ea4,6981ede663a6defe2f290ea4,,,,
1319,raw_position_sample,2,2,int,25,4,4,5,3, full-time ,1056,152,824771,6981ede663a6defe2f290ea4,6981ede663a6defe2f290ea4,intermediate,4,6981ede663a6defe2f290ea4,6981ede663a6defe2f290ea4,spotlight_PROLIFIC,,35,Brazil,Portuguese,"English, Spanish",Spanish,Portuguese:80|English:19|Spanish:1,100,Portuguese:80|English:19|Spanish:1,100,Portuguese:70|English:29|Spanish:1,100,16,0,Bachelor's,10,10,10,9,10,10,7,15,8,12,TOEFL,110,,,,,21,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,140.46875,1031.4375,164.46875,1106.65625,1,3,,,,,,,,,,,,2026-08-09T14:44:18.623Z,CS75Y6US,2026-08-09,2026-08-09,11:44:18,2026-08-09 11:44:18,,,,,,,,6981ede663a6defe2f290ea4,6981ede663a6defe2f290ea4,,,,
1366,raw_position_sample,2,2,int,25,4,4,5,3, full-time ,1063,152,824818.2000000179,6981ede663a6defe2f290ea4,6981ede663a6defe2f290ea4,intermediate,4,6981ede663a6defe2f290ea4,6981ede663a6defe2f290ea4,spotlight_PROLIFIC,,35,Brazil,Portuguese,"English, Spanish",Spanish,Portuguese:80|English:19|Spanish:1,100,Portuguese:80|English:19|Spanish:1,100,Portuguese:70|English:29|Spanish:1,100,16,0,Bachelor's,10,10,10,9,10,10,7,15,8,12,TOEFL,110,,,,,21,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,140.46875,1031.4375,164.46875,1106.65625,1,3,,,,,,,,,,,,2026-08-09T14:44:18.623Z,CS75Y6US,2026-08-09,2026-08-09,11:44:18,2026-08-09 11:44:18,,,,,,,,6981ede663a6defe2f290ea4,6981ede663a6defe2f290ea4,,,,
1419,raw_position_sample,2,2,int,25,4,4,5,3, full-time ,1069,152,824871.7000000179,6981ede663a6defe2f290ea4,6981ede663a6defe2f290ea4,intermediate,4,6981ede663a6defe2f290ea4,6981ede663a6defe2f290ea4,spotlight_PROLIFIC,,35,Brazil,Portuguese,"English, Spanish",Spanish,Portuguese:80|English:19|Spanish:1,100,Portuguese:80|English:19|Spanish:1,100,Portuguese:70|English:29|Spanish:1,100,16,0,Bachelor's,10,10,10,9,10,10,7,15,8,12,TOEFL,110,,,,,21,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,140.46875,1031.4375,164.46875,1106.65625,1,3,,,,,,,,,,,,2026-08-09T14:44:18.623Z,CS75Y6US,2026-08-09,2026-08-09,11:44:18,2026-08-09 11:44:18,,,,,,,,6981ede663a6defe2f290ea4,6981ede663a6defe2f290ea4,,,,
1467,raw_position_sample,2,2,int,25,4,4,5,3, full-time ,1077,157,824919.8000000119,6981ede663a6defe2f290ea4,6981ede663a6defe2f290ea4,intermediate,4,6981ede663a6defe2f290ea4,6981ede663a6defe2f290ea4,spotlight_PROLIFIC,,35,Brazil,Portuguese,"English, Spanish",Spanish,Portuguese:80|English:19|Spanish:1,100,Portuguese:80|English:19|Spanish:1,100,Portuguese:70|English:29|Spanish:1,100,16,0,Bachelor's,10,10,10,9,10,10,7,15,8,12,TOEFL,110,,,,,21,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,140.46875,1031.4375,164.46875,1106.65625,1,3,,,,,,,,,,,,2026-08-09T14:44:18.623Z,CS75Y6US,2026-08-09,2026-08-09,11:44:18,2026-08-09 11:44:18,,,,,,,,6981ede663a6defe2f290ea4,6981ede663a6defe2f290ea4,,,,
