responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
54,raw_position_sample,2,2,int,26,4,4,5,-1,999,548,105,1155778.5,6a02118e49970e05983c415a,6a02118e49970e05983c415a,intermediate,4,6a02118e49970e05983c415a,6a02118e49970e05983c415a,spotlight_PROLIFIC,,34,Mexico,Spanish,English,,Spanish:90|English:10,100,Spanish:50|English:50,100,Spanish:99|English:1,100,19,0,Master's,10,10,10,8,10,9,14,30,20,25,,,,,20,25,B2,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,18,random,,,,,,,,,,,,,,,,,,,2026-09-21T21:58:49.682Z,ZFG9JXLP,2026-09-21,2026-09-21,15:58:49,2026-09-21 15:58:49,,,,,,,,6a02118e49970e05983c415a,6a02118e49970e05983c415a,,,,
106,raw_position_sample,2,2,int,26,4,4,5,-1,999,548,105,1155830.1000000238,6a02118e49970e05983c415a,6a02118e49970e05983c415a,intermediate,4,6a02118e49970e05983c415a,6a02118e49970e05983c415a,spotlight_PROLIFIC,,34,Mexico,Spanish,English,,Spanish:90|English:10,100,Spanish:50|English:50,100,Spanish:99|English:1,100,19,0,Master's,10,10,10,8,10,9,14,30,20,25,,,,,20,25,B2,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,18,random,,,,,,,,,,,,,,,,,,,2026-09-21T21:58:49.682Z,ZFG9JXLP,2026-09-21,2026-09-21,15:58:49,2026-09-21 15:58:49,,,,,,,,6a02118e49970e05983c415a,6a02118e49970e05983c415a,,,,
153,raw_position_sample,2,2,int,26,4,4,5,-1,999,552,106,1155877.199999988,6a02118e49970e05983c415a,6a02118e49970e05983c415a,intermediate,4,6a02118e49970e05983c415a,6a02118e49970e05983c415a,spotlight_PROLIFIC,,34,Mexico,Spanish,English,,Spanish:90|English:10,100,Spanish:50|English:50,100,Spanish:99|English:1,100,19,0,Master's,10,10,10,8,10,9,14,30,20,25,,,,,20,25,B2,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,18,random,,,,,,,,,,,,,,,,,,,2026-09-21T21:58:49.682Z,ZFG9JXLP,2026-09-21,2026-09-21,15:58:49,2026-09-21 15:58:49,,,,,,,,6a02118e49970e05983c415a,6a02118e49970e05983c415a,,,,
204,raw_position_sample,2,2,int,26,4,4,5,-1,999,578,114,1155928.3999999762,6a02118e49970e05983c415a,6a02118e49970e05983c415a,intermediate,4,6a02118e49970e05983c415a,6a02118e49970e05983c415a,spotlight_PROLIFIC,,34,Mexico,Spanish,English,,Spanish:90|English:10,100,Spanish:50|English:50,100,Spanish:99|English:1,100,19,0,Master's,10,10,10,8,10,9,14,30,20,25,,,,,20,25,B2,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,18,random,,,,,,,,,,,,,,,,,,,2026-09-21T21:58:49.682Z,ZFG9JXLP,2026-09-21,2026-09-21,15:58:49,2026-09-21 15:58:49,,,,,,,,6a02118e49970e05983c415a,6a02118e49970e05983c415a,,,,
254,raw_position_sample,2,2,int,26,4,4,5,-1,999,610,128,1155978.800000012,6a02118e49970e05983c415a,6a02118e49970e05983c415a,intermediate,4,6a02118e49970e05983c415a,6a02118e49970e05983c415a,spotlight_PROLIFIC,,34,Mexico,Spanish,English,,Spanish:90|English:10,100,Spanish:50|English:50,100,Spanish:99|English:1,100,19,0,Master's,10,10,10,8,10,9,14,30,20,25,,,,,20,25,B2,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,18,random,,,,,,,,,,,,,,,,,,,2026-09-21T21:58:49.682Z,ZFG9JXLP,2026-09-21,2026-09-21,15:58:49,2026-09-21 15:58:49,,,,,,,,6a02118e49970e05983c415a,6a02118e49970e05983c415a,,,,
302,raw_position_sample,2,2,int,26,4,4,5,-1,999,614,128,1156026.699999988,6a02118e49970e05983c415a,6a02118e49970e05983c415a,intermediate,4,6a02118e49970e05983c415a,6a02118e49970e05983c415a,spotlight_PROLIFIC,,34,Mexico,Spanish,English,,Spanish:90|English:10,100,Spanish:50|English:50,100,Spanish:99|English:1,100,19,0,Master's,10,10,10,8,10,9,14,30,20,25,,,,,20,25,B2,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,18,random,,,,,,,,,,,,,,,,,,,2026-09-21T21:58:49.682Z,ZFG9JXLP,2026-09-21,2026-09-21,15:58:49,2026-09-21 15:58:49,,,,,,,,6a02118e49970e05983c415a,6a02118e49970e05983c415a,,,,
356,raw_position_sample,2,2,int,26,4,4,5,-1,999,615,128,1156080.5,6a02118e49970e05983c415a,6a02118e49970e05983c415a,intermediate,4,6a02118e49970e05983c415a,6a02118e49970e05983c415a,spotlight_PROLIFIC,,34,Mexico,Spanish,English,,Spanish:90|English:10,100,Spanish:50|English:50,100,Spanish:99|English:1,100,19,0,Master's,10,10,10,8,10,9,14,30,20,25,,,,,20,25,B2,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,18,random,,,,,,,,,,,,,,,,,,,2026-09-21T21:58:49.682Z,ZFG9JXLP,2026-09-21,2026-09-21,15:58:49,2026-09-21 15:58:49,,,,,,,,6a02118e49970e05983c415a,6a02118e49970e05983c415a,,,,
417,raw_position_sample,2,2,int,26,4,4,5,-1,999,615,128,1156141.800000012,6a02118e49970e05983c415a,6a02118e49970e05983c415a,intermediate,4,6a02118e49970e05983c415a,6a02118e49970e05983c415a,spotlight_PROLIFIC,,34,Mexico,Spanish,English,,Spanish:90|English:10,100,Spanish:50|English:50,100,Spanish:99|English:1,100,19,0,Master's,10,10,10,8,10,9,14,30,20,25,,,,,20,25,B2,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,18,random,,,,,,,,,,,,,,,,,,,2026-09-21T21:58:49.682Z,ZFG9JXLP,2026-09-21,2026-09-21,15:58:49,2026-09-21 15:58:49,,,,,,,,6a02118e49970e05983c415a,6a02118e49970e05983c415a,,,,
455,raw_position_sample,2,2,int,26,4,4,5,-1,999,616,128,1156179.699999988,6a02118e49970e05983c415a,6a02118e49970e05983c415a,intermediate,4,6a02118e49970e05983c415a,6a02118e49970e05983c415a,spotlight_PROLIFIC,,34,Mexico,Spanish,English,,Spanish:90|English:10,100,Spanish:50|English:50,100,Spanish:99|English:1,100,19,0,Master's,10,10,10,8,10,9,14,30,20,25,,,,,20,25,B2,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,18,random,,,,,,,,,,,,,,,,,,,2026-09-21T21:58:49.682Z,ZFG9JXLP,2026-09-21,2026-09-21,15:58:49,2026-09-21 15:58:49,,,,,,,,6a02118e49970e05983c415a,6a02118e49970e05983c415a,,,,
508,raw_position_sample,2,2,int,26,4,4,5,1, “Our ,622,128,1156232.8999999762,6a02118e49970e05983c415a,6a02118e49970e05983c415a,intermediate,4,6a02118e49970e05983c415a,6a02118e49970e05983c415a,spotlight_PROLIFIC,,34,Mexico,Spanish,English,,Spanish:90|English:10,100,Spanish:50|English:50,100,Spanish:99|English:1,100,19,0,Master's,10,10,10,8,10,9,14,30,20,25,,,,,20,25,B2,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,18,random,,123.265625,625.375,143.265625,666.390625,1,1,,,,,,,,,,,,2026-09-21T21:58:49.682Z,ZFG9JXLP,2026-09-21,2026-09-21,15:58:49,2026-09-21 15:58:49,,,,,,,,6a02118e49970e05983c415a,6a02118e49970e05983c415a,,,,
