responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,demo_other_english_test,demo_other_english_test_score,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
687,raw_position_sample,2,1,ele,27,5,9,10,-1,999,915,145,1229238.399999857,69e94a2fd7cf70f655a1577e,69e94a2fd7cf70f655a1577e,elementary,5,69e94a2fd7cf70f655a1577e,69e94a2fd7cf70f655a1577e,spotlight_PROLIFIC,,34,Brasil,Portuguese,"Portuguese, English",,Portuguese:50|English:50,100,Portuguese:40|English:60,100,Portuguese:70|English:30,100,10,4,Bachelor's,10,10,10,7,8,8,9,22,10,22,Duolingo,90,,,,,16,25,B1,elementary|intermediate,elementary|intermediate,cambridge_15_21_random_elementary_intermediate,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-16T11:48:09.548Z,U39PYQJ8,2026-08-16,2026-08-16,08:48:09,2026-08-16 08:48:09,,,,,,,,69e94a2fd7cf70f655a1577e,69e94a2fd7cf70f655a1577e,,,,
737,raw_position_sample,2,1,ele,27,5,9,10,-1,999,919,146,1229288.5,69e94a2fd7cf70f655a1577e,69e94a2fd7cf70f655a1577e,elementary,5,69e94a2fd7cf70f655a1577e,69e94a2fd7cf70f655a1577e,spotlight_PROLIFIC,,34,Brasil,Portuguese,"Portuguese, English",,Portuguese:50|English:50,100,Portuguese:40|English:60,100,Portuguese:70|English:30,100,10,4,Bachelor's,10,10,10,7,8,8,9,22,10,22,Duolingo,90,,,,,16,25,B1,elementary|intermediate,elementary|intermediate,cambridge_15_21_random_elementary_intermediate,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-16T11:48:09.548Z,U39PYQJ8,2026-08-16,2026-08-16,08:48:09,2026-08-16 08:48:09,,,,,,,,69e94a2fd7cf70f655a1577e,69e94a2fd7cf70f655a1577e,,,,
798,raw_position_sample,2,1,ele,27,5,9,10,-1,999,919,146,1229349.5,69e94a2fd7cf70f655a1577e,69e94a2fd7cf70f655a1577e,elementary,5,69e94a2fd7cf70f655a1577e,69e94a2fd7cf70f655a1577e,spotlight_PROLIFIC,,34,Brasil,Portuguese,"Portuguese, English",,Portuguese:50|English:50,100,Portuguese:40|English:60,100,Portuguese:70|English:30,100,10,4,Bachelor's,10,10,10,7,8,8,9,22,10,22,Duolingo,90,,,,,16,25,B1,elementary|intermediate,elementary|intermediate,cambridge_15_21_random_elementary_intermediate,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-16T11:48:09.548Z,U39PYQJ8,2026-08-16,2026-08-16,08:48:09,2026-08-16 08:48:09,,,,,,,,69e94a2fd7cf70f655a1577e,69e94a2fd7cf70f655a1577e,,,,
840,raw_position_sample,2,1,ele,27,5,9,10,-1,999,916,146,1229390.5999999046,69e94a2fd7cf70f655a1577e,69e94a2fd7cf70f655a1577e,elementary,5,69e94a2fd7cf70f655a1577e,69e94a2fd7cf70f655a1577e,spotlight_PROLIFIC,,34,Brasil,Portuguese,"Portuguese, English",,Portuguese:50|English:50,100,Portuguese:40|English:60,100,Portuguese:70|English:30,100,10,4,Bachelor's,10,10,10,7,8,8,9,22,10,22,Duolingo,90,,,,,16,25,B1,elementary|intermediate,elementary|intermediate,cambridge_15_21_random_elementary_intermediate,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-16T11:48:09.548Z,U39PYQJ8,2026-08-16,2026-08-16,08:48:09,2026-08-16 08:48:09,,,,,,,,69e94a2fd7cf70f655a1577e,69e94a2fd7cf70f655a1577e,,,,
887,raw_position_sample,2,1,ele,27,5,9,10,-1,999,896,144,1229438.2999999523,69e94a2fd7cf70f655a1577e,69e94a2fd7cf70f655a1577e,elementary,5,69e94a2fd7cf70f655a1577e,69e94a2fd7cf70f655a1577e,spotlight_PROLIFIC,,34,Brasil,Portuguese,"Portuguese, English",,Portuguese:50|English:50,100,Portuguese:40|English:60,100,Portuguese:70|English:30,100,10,4,Bachelor's,10,10,10,7,8,8,9,22,10,22,Duolingo,90,,,,,16,25,B1,elementary|intermediate,elementary|intermediate,cambridge_15_21_random_elementary_intermediate,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-16T11:48:09.548Z,U39PYQJ8,2026-08-16,2026-08-16,08:48:09,2026-08-16 08:48:09,,,,,,,,69e94a2fd7cf70f655a1577e,69e94a2fd7cf70f655a1577e,,,,
935,raw_position_sample,2,1,ele,27,5,9,10,-1,999,886,143,1229485.7999999523,69e94a2fd7cf70f655a1577e,69e94a2fd7cf70f655a1577e,elementary,5,69e94a2fd7cf70f655a1577e,69e94a2fd7cf70f655a1577e,spotlight_PROLIFIC,,34,Brasil,Portuguese,"Portuguese, English",,Portuguese:50|English:50,100,Portuguese:40|English:60,100,Portuguese:70|English:30,100,10,4,Bachelor's,10,10,10,7,8,8,9,22,10,22,Duolingo,90,,,,,16,25,B1,elementary|intermediate,elementary|intermediate,cambridge_15_21_random_elementary_intermediate,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-16T11:48:09.548Z,U39PYQJ8,2026-08-16,2026-08-16,08:48:09,2026-08-16 08:48:09,,,,,,,,69e94a2fd7cf70f655a1577e,69e94a2fd7cf70f655a1577e,,,,
998,raw_position_sample,2,1,ele,27,5,9,10,-1,999,883,143,1229549.1999998093,69e94a2fd7cf70f655a1577e,69e94a2fd7cf70f655a1577e,elementary,5,69e94a2fd7cf70f655a1577e,69e94a2fd7cf70f655a1577e,spotlight_PROLIFIC,,34,Brasil,Portuguese,"Portuguese, English",,Portuguese:50|English:50,100,Portuguese:40|English:60,100,Portuguese:70|English:30,100,10,4,Bachelor's,10,10,10,7,8,8,9,22,10,22,Duolingo,90,,,,,16,25,B1,elementary|intermediate,elementary|intermediate,cambridge_15_21_random_elementary_intermediate,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-16T11:48:09.548Z,U39PYQJ8,2026-08-16,2026-08-16,08:48:09,2026-08-16 08:48:09,,,,,,,,69e94a2fd7cf70f655a1577e,69e94a2fd7cf70f655a1577e,,,,
1044,raw_position_sample,2,1,ele,27,5,9,10,-1,999,881,143,1229594.6999998093,69e94a2fd7cf70f655a1577e,69e94a2fd7cf70f655a1577e,elementary,5,69e94a2fd7cf70f655a1577e,69e94a2fd7cf70f655a1577e,spotlight_PROLIFIC,,34,Brasil,Portuguese,"Portuguese, English",,Portuguese:50|English:50,100,Portuguese:40|English:60,100,Portuguese:70|English:30,100,10,4,Bachelor's,10,10,10,7,8,8,9,22,10,22,Duolingo,90,,,,,16,25,B1,elementary|intermediate,elementary|intermediate,cambridge_15_21_random_elementary_intermediate,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-16T11:48:09.548Z,U39PYQJ8,2026-08-16,2026-08-16,08:48:09,2026-08-16 08:48:09,,,,,,,,69e94a2fd7cf70f655a1577e,69e94a2fd7cf70f655a1577e,,,,
1089,raw_position_sample,2,1,ele,27,5,9,10,-1,999,881,143,1229640.399999857,69e94a2fd7cf70f655a1577e,69e94a2fd7cf70f655a1577e,elementary,5,69e94a2fd7cf70f655a1577e,69e94a2fd7cf70f655a1577e,spotlight_PROLIFIC,,34,Brasil,Portuguese,"Portuguese, English",,Portuguese:50|English:50,100,Portuguese:40|English:60,100,Portuguese:70|English:30,100,10,4,Bachelor's,10,10,10,7,8,8,9,22,10,22,Duolingo,90,,,,,16,25,B1,elementary|intermediate,elementary|intermediate,cambridge_15_21_random_elementary_intermediate,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-16T11:48:09.548Z,U39PYQJ8,2026-08-16,2026-08-16,08:48:09,2026-08-16 08:48:09,,,,,,,,69e94a2fd7cf70f655a1577e,69e94a2fd7cf70f655a1577e,,,,
1136,raw_position_sample,2,1,ele,27,5,9,10,-1,999,881,143,1229687.1999998093,69e94a2fd7cf70f655a1577e,69e94a2fd7cf70f655a1577e,elementary,5,69e94a2fd7cf70f655a1577e,69e94a2fd7cf70f655a1577e,spotlight_PROLIFIC,,34,Brasil,Portuguese,"Portuguese, English",,Portuguese:50|English:50,100,Portuguese:40|English:60,100,Portuguese:70|English:30,100,10,4,Bachelor's,10,10,10,7,8,8,9,22,10,22,Duolingo,90,,,,,16,25,B1,elementary|intermediate,elementary|intermediate,cambridge_15_21_random_elementary_intermediate,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-16T11:48:09.548Z,U39PYQJ8,2026-08-16,2026-08-16,08:48:09,2026-08-16 08:48:09,,,,,,,,69e94a2fd7cf70f655a1577e,69e94a2fd7cf70f655a1577e,,,,
1198,raw_position_sample,2,1,ele,27,5,9,10,-1,999,881,143,1229748.5999999046,69e94a2fd7cf70f655a1577e,69e94a2fd7cf70f655a1577e,elementary,5,69e94a2fd7cf70f655a1577e,69e94a2fd7cf70f655a1577e,spotlight_PROLIFIC,,34,Brasil,Portuguese,"Portuguese, English",,Portuguese:50|English:50,100,Portuguese:40|English:60,100,Portuguese:70|English:30,100,10,4,Bachelor's,10,10,10,7,8,8,9,22,10,22,Duolingo,90,,,,,16,25,B1,elementary|intermediate,elementary|intermediate,cambridge_15_21_random_elementary_intermediate,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-16T11:48:09.548Z,U39PYQJ8,2026-08-16,2026-08-16,08:48:09,2026-08-16 08:48:09,,,,,,,,69e94a2fd7cf70f655a1577e,69e94a2fd7cf70f655a1577e,,,,
1243,raw_position_sample,2,1,ele,27,5,9,10,-1,999,880,144,1229794.0999999046,69e94a2fd7cf70f655a1577e,69e94a2fd7cf70f655a1577e,elementary,5,69e94a2fd7cf70f655a1577e,69e94a2fd7cf70f655a1577e,spotlight_PROLIFIC,,34,Brasil,Portuguese,"Portuguese, English",,Portuguese:50|English:50,100,Portuguese:40|English:60,100,Portuguese:70|English:30,100,10,4,Bachelor's,10,10,10,7,8,8,9,22,10,22,Duolingo,90,,,,,16,25,B1,elementary|intermediate,elementary|intermediate,cambridge_15_21_random_elementary_intermediate,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-16T11:48:09.548Z,U39PYQJ8,2026-08-16,2026-08-16,08:48:09,2026-08-16 08:48:09,,,,,,,,69e94a2fd7cf70f655a1577e,69e94a2fd7cf70f655a1577e,,,,
1287,raw_position_sample,2,1,ele,27,5,9,10,-1,999,879,146,1229838.399999857,69e94a2fd7cf70f655a1577e,69e94a2fd7cf70f655a1577e,elementary,5,69e94a2fd7cf70f655a1577e,69e94a2fd7cf70f655a1577e,spotlight_PROLIFIC,,34,Brasil,Portuguese,"Portuguese, English",,Portuguese:50|English:50,100,Portuguese:40|English:60,100,Portuguese:70|English:30,100,10,4,Bachelor's,10,10,10,7,8,8,9,22,10,22,Duolingo,90,,,,,16,25,B1,elementary|intermediate,elementary|intermediate,cambridge_15_21_random_elementary_intermediate,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-16T11:48:09.548Z,U39PYQJ8,2026-08-16,2026-08-16,08:48:09,2026-08-16 08:48:09,,,,,,,,69e94a2fd7cf70f655a1577e,69e94a2fd7cf70f655a1577e,,,,
1335,raw_position_sample,2,1,ele,27,5,9,10,-1,999,879,147,1229886.1999998093,69e94a2fd7cf70f655a1577e,69e94a2fd7cf70f655a1577e,elementary,5,69e94a2fd7cf70f655a1577e,69e94a2fd7cf70f655a1577e,spotlight_PROLIFIC,,34,Brasil,Portuguese,"Portuguese, English",,Portuguese:50|English:50,100,Portuguese:40|English:60,100,Portuguese:70|English:30,100,10,4,Bachelor's,10,10,10,7,8,8,9,22,10,22,Duolingo,90,,,,,16,25,B1,elementary|intermediate,elementary|intermediate,cambridge_15_21_random_elementary_intermediate,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-16T11:48:09.548Z,U39PYQJ8,2026-08-16,2026-08-16,08:48:09,2026-08-16 08:48:09,,,,,,,,69e94a2fd7cf70f655a1577e,69e94a2fd7cf70f655a1577e,,,,
1396,raw_position_sample,2,1,ele,27,5,9,10,-1,999,879,147,1229947.399999857,69e94a2fd7cf70f655a1577e,69e94a2fd7cf70f655a1577e,elementary,5,69e94a2fd7cf70f655a1577e,69e94a2fd7cf70f655a1577e,spotlight_PROLIFIC,,34,Brasil,Portuguese,"Portuguese, English",,Portuguese:50|English:50,100,Portuguese:40|English:60,100,Portuguese:70|English:30,100,10,4,Bachelor's,10,10,10,7,8,8,9,22,10,22,Duolingo,90,,,,,16,25,B1,elementary|intermediate,elementary|intermediate,cambridge_15_21_random_elementary_intermediate,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-16T11:48:09.548Z,U39PYQJ8,2026-08-16,2026-08-16,08:48:09,2026-08-16 08:48:09,,,,,,,,69e94a2fd7cf70f655a1577e,69e94a2fd7cf70f655a1577e,,,,
1436,raw_position_sample,2,1,ele,27,5,9,10,-1,999,879,147,1229987.1999998093,69e94a2fd7cf70f655a1577e,69e94a2fd7cf70f655a1577e,elementary,5,69e94a2fd7cf70f655a1577e,69e94a2fd7cf70f655a1577e,spotlight_PROLIFIC,,34,Brasil,Portuguese,"Portuguese, English",,Portuguese:50|English:50,100,Portuguese:40|English:60,100,Portuguese:70|English:30,100,10,4,Bachelor's,10,10,10,7,8,8,9,22,10,22,Duolingo,90,,,,,16,25,B1,elementary|intermediate,elementary|intermediate,cambridge_15_21_random_elementary_intermediate,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-16T11:48:09.548Z,U39PYQJ8,2026-08-16,2026-08-16,08:48:09,2026-08-16 08:48:09,,,,,,,,69e94a2fd7cf70f655a1577e,69e94a2fd7cf70f655a1577e,,,,
