responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
557,raw_position_sample,2,2,int,7,5,9,10,-1,999,539,96,1501477.0999999046,613a972033d79df11a6570de,613a972033d79df11a6570de,intermediate,5,613a972033d79df11a6570de,613a972033d79df11a6570de,spotlight_PROLIFIC,,39,Mexico,Spanish,"Spanish, english",,Spanish:90|English:10,100,Spanish:85|English:15,100,Spanish:99|English:1,100,23,0,PhD,6,8,6,6,8,6,13,17,14,21,,,,,16,25,B1,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-08-03T13:52:15.867Z,Z2K38X7Y,2026-08-03,2026-08-03,07:52:15,2026-08-03 07:52:15,,,,,,,,613a972033d79df11a6570de,613a972033d79df11a6570de,,,,
601,raw_position_sample,2,2,int,7,5,9,10,-1,999,578,106,1501521,613a972033d79df11a6570de,613a972033d79df11a6570de,intermediate,5,613a972033d79df11a6570de,613a972033d79df11a6570de,spotlight_PROLIFIC,,39,Mexico,Spanish,"Spanish, english",,Spanish:90|English:10,100,Spanish:85|English:15,100,Spanish:99|English:1,100,23,0,PhD,6,8,6,6,8,6,13,17,14,21,,,,,16,25,B1,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-08-03T13:52:15.867Z,Z2K38X7Y,2026-08-03,2026-08-03,07:52:15,2026-08-03 07:52:15,,,,,,,,613a972033d79df11a6570de,613a972033d79df11a6570de,,,,
647,raw_position_sample,2,2,int,7,5,9,10,-1,999,598,113,1501567.0999999046,613a972033d79df11a6570de,613a972033d79df11a6570de,intermediate,5,613a972033d79df11a6570de,613a972033d79df11a6570de,spotlight_PROLIFIC,,39,Mexico,Spanish,"Spanish, english",,Spanish:90|English:10,100,Spanish:85|English:15,100,Spanish:99|English:1,100,23,0,PhD,6,8,6,6,8,6,13,17,14,21,,,,,16,25,B1,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-08-03T13:52:15.867Z,Z2K38X7Y,2026-08-03,2026-08-03,07:52:15,2026-08-03 07:52:15,,,,,,,,613a972033d79df11a6570de,613a972033d79df11a6570de,,,,
701,raw_position_sample,2,2,int,7,5,9,10,-1,999,616,117,1501621.7000000477,613a972033d79df11a6570de,613a972033d79df11a6570de,intermediate,5,613a972033d79df11a6570de,613a972033d79df11a6570de,spotlight_PROLIFIC,,39,Mexico,Spanish,"Spanish, english",,Spanish:90|English:10,100,Spanish:85|English:15,100,Spanish:99|English:1,100,23,0,PhD,6,8,6,6,8,6,13,17,14,21,,,,,16,25,B1,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-08-03T13:52:15.867Z,Z2K38X7Y,2026-08-03,2026-08-03,07:52:15,2026-08-03 07:52:15,,,,,,,,613a972033d79df11a6570de,613a972033d79df11a6570de,,,,
750,raw_position_sample,2,2,int,7,5,9,10,1, The ,622,117,1501670.7999999523,613a972033d79df11a6570de,613a972033d79df11a6570de,intermediate,5,613a972033d79df11a6570de,613a972033d79df11a6570de,spotlight_PROLIFIC,,39,Mexico,Spanish,"Spanish, english",,Spanish:90|English:10,100,Spanish:85|English:15,100,Spanish:99|English:1,100,23,0,PhD,6,8,6,6,8,6,13,17,14,21,,,,,16,25,B1,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,18,random,,121.265625,625.375,145.265625,661.34375,1,1,,,,,,,,,,,,2026-08-03T13:52:15.867Z,Z2K38X7Y,2026-08-03,2026-08-03,07:52:15,2026-08-03 07:52:15,,,,,,,,613a972033d79df11a6570de,613a972033d79df11a6570de,,,,
804,raw_position_sample,2,2,int,7,5,9,10,1, The ,622,117,1501724.5,613a972033d79df11a6570de,613a972033d79df11a6570de,intermediate,5,613a972033d79df11a6570de,613a972033d79df11a6570de,spotlight_PROLIFIC,,39,Mexico,Spanish,"Spanish, english",,Spanish:90|English:10,100,Spanish:85|English:15,100,Spanish:99|English:1,100,23,0,PhD,6,8,6,6,8,6,13,17,14,21,,,,,16,25,B1,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,18,random,,121.265625,625.375,145.265625,661.34375,1,1,,,,,,,,,,,,2026-08-03T13:52:15.867Z,Z2K38X7Y,2026-08-03,2026-08-03,07:52:15,2026-08-03 07:52:15,,,,,,,,613a972033d79df11a6570de,613a972033d79df11a6570de,,,,
852,raw_position_sample,2,2,int,7,5,9,10,1, The ,626,119,1501772,613a972033d79df11a6570de,613a972033d79df11a6570de,intermediate,5,613a972033d79df11a6570de,613a972033d79df11a6570de,spotlight_PROLIFIC,,39,Mexico,Spanish,"Spanish, english",,Spanish:90|English:10,100,Spanish:85|English:15,100,Spanish:99|English:1,100,23,0,PhD,6,8,6,6,8,6,13,17,14,21,,,,,16,25,B1,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,18,random,,121.265625,625.375,145.265625,661.34375,1,1,,,,,,,,,,,,2026-08-03T13:52:15.867Z,Z2K38X7Y,2026-08-03,2026-08-03,07:52:15,2026-08-03 07:52:15,,,,,,,,613a972033d79df11a6570de,613a972033d79df11a6570de,,,,
897,raw_position_sample,2,2,int,7,5,9,10,1, The ,637,132,1501817.899999857,613a972033d79df11a6570de,613a972033d79df11a6570de,intermediate,5,613a972033d79df11a6570de,613a972033d79df11a6570de,spotlight_PROLIFIC,,39,Mexico,Spanish,"Spanish, english",,Spanish:90|English:10,100,Spanish:85|English:15,100,Spanish:99|English:1,100,23,0,PhD,6,8,6,6,8,6,13,17,14,21,,,,,16,25,B1,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,18,random,,121.265625,625.375,145.265625,661.34375,1,1,,,,,,,,,,,,2026-08-03T13:52:15.867Z,Z2K38X7Y,2026-08-03,2026-08-03,07:52:15,2026-08-03 07:52:15,,,,,,,,613a972033d79df11a6570de,613a972033d79df11a6570de,,,,
946,raw_position_sample,2,2,int,7,5,9,10,1, The ,649,145,1501866.399999857,613a972033d79df11a6570de,613a972033d79df11a6570de,intermediate,5,613a972033d79df11a6570de,613a972033d79df11a6570de,spotlight_PROLIFIC,,39,Mexico,Spanish,"Spanish, english",,Spanish:90|English:10,100,Spanish:85|English:15,100,Spanish:99|English:1,100,23,0,PhD,6,8,6,6,8,6,13,17,14,21,,,,,16,25,B1,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,18,random,,121.265625,625.375,145.265625,661.34375,1,1,,,,,,,,,,,,2026-08-03T13:52:15.867Z,Z2K38X7Y,2026-08-03,2026-08-03,07:52:15,2026-08-03 07:52:15,,,,,,,,613a972033d79df11a6570de,613a972033d79df11a6570de,,,,
1007,raw_position_sample,2,2,int,7,5,9,10,1, The ,650,145,1501927.7000000477,613a972033d79df11a6570de,613a972033d79df11a6570de,intermediate,5,613a972033d79df11a6570de,613a972033d79df11a6570de,spotlight_PROLIFIC,,39,Mexico,Spanish,"Spanish, english",,Spanish:90|English:10,100,Spanish:85|English:15,100,Spanish:99|English:1,100,23,0,PhD,6,8,6,6,8,6,13,17,14,21,,,,,16,25,B1,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,18,random,,121.265625,625.375,145.265625,661.34375,1,1,,,,,,,,,,,,2026-08-03T13:52:15.867Z,Z2K38X7Y,2026-08-03,2026-08-03,07:52:15,2026-08-03 07:52:15,,,,,,,,613a972033d79df11a6570de,613a972033d79df11a6570de,,,,
