participant_id,SONAId,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,text_presentation_order,WordIndex,Word,responseTime,mousePositionX,mousePositionY,Regression,clickDurationMs,relativeXInWord,relativeYInWord,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,position_in_text,text_total_viewing_time_ms,saccade_start_x,saccade_start_y,saccade_start_time,saccade_end_x,saccade_end_y,saccade_end_time,saccade_length_px,device,hand,experiment_date,experiment_start_date,experiment_start_time,experiment_start_clock_time,experiment_start_time_local,experiment_end_date,experiment_end_time,experiment_end_clock_time,experiment_end_time_local,experiment_duration,experiment_duration_ms,experiment
P7Z8ZE3B,6a3f0089f9324a1bfb700d5a,1,ele,29,3,12,13,18, rhythm ,983,374,97,0,366.09999999403954,0.5608991113434396,0.019921875,96.203125,337.373046875,136.203125,400.890625,2,1,Physical exercise,0,18,6330,374,97,983,368,93,1416,7.21,Computer Trackpad,Left,2026-07-08,2026-07-08,2026-07-08T17:19:39.592Z,13:19:39,2026-07-08 13:19:39,2026-07-08,2026-07-08T17:29:45.669Z,13:29:45,2026-07-08 13:29:45,606077,606077,spotlight-prolific
P7Z8ZE3B,6a3f0089f9324a1bfb700d5a,1,ele,29,3,12,13,1, He ,1416,368,93,1,416.5,0.940013633265167,0.694921875,56.203125,337.373046875,96.203125,368.890625,1,1,Physical exercise,0,1,6330,368,93,1416,370,84,1616,9.22,Computer Trackpad,Left,2026-07-08,2026-07-08,2026-07-08T17:19:39.592Z,13:19:39,2026-07-08 13:19:39,2026-07-08,2026-07-08T17:29:45.669Z,13:29:45,2026-07-08 13:29:45,606077,606077,spotlight-prolific
P7Z8ZE3B,6a3f0089f9324a1bfb700d5a,1,ele,29,3,12,13,2, says ,1616,370,84,0,199.80000001192093,0.9546299739680179,0.669921875,56.203125,368.890625,96.203125,410.90625,1,2,Physical exercise,0,2,6330,370,84,1616,441,84,2016,71.00,Computer Trackpad,Left,2026-07-08,2026-07-08,2026-07-08T17:19:39.592Z,13:19:39,2026-07-08 13:19:39,2026-07-08,2026-07-08T17:29:45.669Z,13:29:45,2026-07-08 13:29:45,606077,606077,spotlight-prolific
P7Z8ZE3B,6a3f0089f9324a1bfb700d5a,1,ele,29,3,12,13,4, solution ,2016,441,84,0,299.89999997615814,0.9853181076672104,0.444921875,56.203125,440.9375,96.203125,507.984375,1,4,Physical exercise,0,4,6330,441,84,2016,891,70,3148,450.22,Computer Trackpad,Left,2026-07-08,2026-07-08,2026-07-08T17:19:39.592Z,13:19:39,2026-07-08 13:19:39,2026-07-08,2026-07-08T17:29:45.669Z,13:29:45,2026-07-08 13:29:45,606077,606077,spotlight-prolific
P7Z8ZE3B,6a3f0089f9324a1bfb700d5a,1,ele,29,3,12,13,16, body’s ,3148,891,70,0,183.09999999403954,0.9473829201101929,0.519921875,56.203125,890.265625,96.203125,946.984375,1,16,Physical exercise,0,16,6330,891,70,3148,954,77,3415,63.39,Computer Trackpad,Left,2026-07-08,2026-07-08,2026-07-08T17:19:39.592Z,13:19:39,2026-07-08 13:19:39,2026-07-08,2026-07-08T17:29:45.669Z,13:29:45,2026-07-08 13:29:45,606077,606077,spotlight-prolific
P7Z8ZE3B,6a3f0089f9324a1bfb700d5a,1,ele,29,3,12,13,17, natural ,3415,954,77,0,266.5,0.13690496046969344,0.594921875,56.203125,946.984375,96.203125,1005.533203125,1,17,Physical exercise,0,17,6330,954,77,3415,492,113,4114,463.40,Computer Trackpad,Left,2026-07-08,2026-07-08,2026-07-08T17:19:39.592Z,13:19:39,2026-07-08 13:19:39,2026-07-08,2026-07-08T17:29:45.669Z,13:29:45,2026-07-08 13:29:45,606077,606077,spotlight-prolific
P7Z8ZE3B,6a3f0089f9324a1bfb700d5a,1,ele,29,3,12,13,20, controlled ,4114,492,113,1,216.5,0.025395033860045147,0.419921875,96.203125,418.890625,136.203125,501.953125,2,3,Physical exercise,0,20,6330,492,113,4114,397,113,4531,95.00,Computer Trackpad,Left,2026-07-08,2026-07-08,2026-07-08T17:19:39.592Z,13:19:39,2026-07-08 13:19:39,2026-07-08,2026-07-08T17:29:45.669Z,13:29:45,2026-07-08 13:29:45,606077,606077,spotlight-prolific
P7Z8ZE3B,6a3f0089f9324a1bfb700d5a,1,ele,29,3,12,13,18, rhythm ,4531,397,113,1,366.40000000596046,0.9072599243565695,0.494921875,96.203125,337.373046875,136.203125,400.890625,2,1,Physical exercise,0,18,6330,397,113,4531,461,145,6330,71.55,Computer Trackpad,Left,2026-07-08,2026-07-08,2026-07-08T17:19:39.592Z,13:19:39,2026-07-08 13:19:39,2026-07-08,2026-07-08T17:29:45.669Z,13:29:45,2026-07-08 13:29:45,606077,606077,spotlight-prolific
P7Z8ZE3B,6a3f0089f9324a1bfb700d5a,1,ele,29,3,12,13,37, part ,6330,461,145,0,366.59999999403954,0.029488291413703384,0.369921875,136.203125,427.9375,176.203125,463.96875,3,4,Physical exercise,0,37,6330,461,145,6330,388,153,6630,73.44,Computer Trackpad,Left,2026-07-08,2026-07-08,2026-07-08T17:19:39.592Z,13:19:39,2026-07-08 13:19:39,2026-07-08,2026-07-08T17:29:45.669Z,13:29:45,2026-07-08 13:29:45,606077,606077,spotlight-prolific
P7Z8ZE3B,6a3f0089f9324a1bfb700d5a,1,ele,29,3,12,13,34, report ,6630,388,153,1,266.59999999403954,0.9116519537157528,0.594921875,136.203125,337.373046875,176.203125,392.90625,3,1,Physical exercise,0,34,6330,388,153,6630,742,166,7313,354.24,Computer Trackpad,Left,2026-07-08,2026-07-08,2026-07-08T17:19:39.592Z,13:19:39,2026-07-08 13:19:39,2026-07-08,2026-07-08T17:29:45.669Z,13:29:45,2026-07-08 13:29:45,606077,606077,spotlight-prolific
P7Z8ZE3B,6a3f0089f9324a1bfb700d5a,1,ele,29,3,12,13,45, rhythms ,7313,742,166,0,166.59999999403954,0.8811410459587956,0.769921875,136.203125,741.1875,176.203125,810.203125,3,12,Physical exercise,0,45,6330,742,166,7313,,,,,Computer Trackpad,Left,2026-07-08,2026-07-08,2026-07-08T17:19:39.592Z,13:19:39,2026-07-08 13:19:39,2026-07-08,2026-07-08T17:29:45.669Z,13:29:45,2026-07-08 13:29:45,606077,606077,spotlight-prolific
P7Z8ZE3B,6a3f0089f9324a1bfb700d5a,1,ele,29,4,13,14,18, should ,784,377,106,0,283.30000001192093,0.8457604306864065,0.394921875,96.203125,374.90625,136.203125,432.953125,2,2,A 14-year-old person,1,18,,377,106,784,,,,,Computer Trackpad,Left,2026-07-08,2026-07-08,2026-07-08T17:19:39.592Z,13:19:39,2026-07-08 13:19:39,2026-07-08,2026-07-08T17:29:45.669Z,13:29:45,2026-07-08 13:29:45,606077,606077,spotlight-prolific
P7Z8ZE3B,6a3f0089f9324a1bfb700d5a,1,ele,6,2,16,17,28, kilometers ,667,435,142,0,316.30000001192093,0.9775583482944344,0.694921875,136.203125,400.921875,176.203125,487.953125,3,2,Whether the park’s night sky is sufficiently dark,1,28,,435,142,667,,,,,Computer Trackpad,Left,2026-07-08,2026-07-08,2026-07-08T17:19:39.592Z,13:19:39,2026-07-08 13:19:39,2026-07-08,2026-07-08T17:29:45.669Z,13:29:45,2026-07-08 13:29:45,606077,606077,spotlight-prolific
P7Z8ZE3B,6a3f0089f9324a1bfb700d5a,1,ele,6,5,19,20,1," However, ",567,339,82,0,199.90000000596046,0.9295427716274877,0.694921875,56.203125,336.87265625,96.203125,420.921875,1,1,A Dark Sky Park,0,1,,339,82,567,,,,,Computer Trackpad,Left,2026-07-08,2026-07-08,2026-07-08T17:19:39.592Z,13:19:39,2026-07-08 13:19:39,2026-07-08,2026-07-08T17:29:45.669Z,13:29:45,2026-07-08 13:29:45,606077,606077,spotlight-prolific
