responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,demo_other_english_test,demo_other_english_test_score,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
540,raw_position_sample,2,3,adv,1,1,10,11,-1,999,298,93,727918.9000000954,697bc7af7a8a0a2a8950eae3,697bc7af7a8a0a2a8950eae3,advanced,1,697bc7af7a8a0a2a8950eae3,697bc7af7a8a0a2a8950eae3,spotlight_PROLIFIC,,23,Mexico,Spanish,"English, French",French,Spanish:50|English:45|French:5,100,Spanish:19|English:80|French:1,100,Spanish:50|English:50|French:0,100,16,3,Bachelor's,10,10,10,10,10,10,5,9,6,8,TOEFL,110,,,,,21,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-09-22T20:59:37.197Z,3GXK8ECF,2026-09-22,2026-09-22,14:59:37,2026-09-22 14:59:37,,,,,,,,697bc7af7a8a0a2a8950eae3,697bc7af7a8a0a2a8950eae3,,,,
591,raw_position_sample,2,3,adv,1,1,10,11,-1,999,298,93,727969.1999998093,697bc7af7a8a0a2a8950eae3,697bc7af7a8a0a2a8950eae3,advanced,1,697bc7af7a8a0a2a8950eae3,697bc7af7a8a0a2a8950eae3,spotlight_PROLIFIC,,23,Mexico,Spanish,"English, French",French,Spanish:50|English:45|French:5,100,Spanish:19|English:80|French:1,100,Spanish:50|English:50|French:0,100,16,3,Bachelor's,10,10,10,10,10,10,5,9,6,8,TOEFL,110,,,,,21,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-09-22T20:59:37.197Z,3GXK8ECF,2026-09-22,2026-09-22,14:59:37,2026-09-22 14:59:37,,,,,,,,697bc7af7a8a0a2a8950eae3,697bc7af7a8a0a2a8950eae3,,,,
640,raw_position_sample,2,3,adv,1,1,10,11,-1,999,298,93,728018.1999998093,697bc7af7a8a0a2a8950eae3,697bc7af7a8a0a2a8950eae3,advanced,1,697bc7af7a8a0a2a8950eae3,697bc7af7a8a0a2a8950eae3,spotlight_PROLIFIC,,23,Mexico,Spanish,"English, French",French,Spanish:50|English:45|French:5,100,Spanish:19|English:80|French:1,100,Spanish:50|English:50|French:0,100,16,3,Bachelor's,10,10,10,10,10,10,5,9,6,8,TOEFL,110,,,,,21,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-09-22T20:59:37.197Z,3GXK8ECF,2026-09-22,2026-09-22,14:59:37,2026-09-22 14:59:37,,,,,,,,697bc7af7a8a0a2a8950eae3,697bc7af7a8a0a2a8950eae3,,,,
690,raw_position_sample,2,3,adv,1,1,10,11,-1,999,298,93,728068.7999997139,697bc7af7a8a0a2a8950eae3,697bc7af7a8a0a2a8950eae3,advanced,1,697bc7af7a8a0a2a8950eae3,697bc7af7a8a0a2a8950eae3,spotlight_PROLIFIC,,23,Mexico,Spanish,"English, French",French,Spanish:50|English:45|French:5,100,Spanish:19|English:80|French:1,100,Spanish:50|English:50|French:0,100,16,3,Bachelor's,10,10,10,10,10,10,5,9,6,8,TOEFL,110,,,,,21,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-09-22T20:59:37.197Z,3GXK8ECF,2026-09-22,2026-09-22,14:59:37,2026-09-22 14:59:37,,,,,,,,697bc7af7a8a0a2a8950eae3,697bc7af7a8a0a2a8950eae3,,,,
740,raw_position_sample,2,3,adv,1,1,10,11,-1,999,298,93,728118.4000000954,697bc7af7a8a0a2a8950eae3,697bc7af7a8a0a2a8950eae3,advanced,1,697bc7af7a8a0a2a8950eae3,697bc7af7a8a0a2a8950eae3,spotlight_PROLIFIC,,23,Mexico,Spanish,"English, French",French,Spanish:50|English:45|French:5,100,Spanish:19|English:80|French:1,100,Spanish:50|English:50|French:0,100,16,3,Bachelor's,10,10,10,10,10,10,5,9,6,8,TOEFL,110,,,,,21,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-09-22T20:59:37.197Z,3GXK8ECF,2026-09-22,2026-09-22,14:59:37,2026-09-22 14:59:37,,,,,,,,697bc7af7a8a0a2a8950eae3,697bc7af7a8a0a2a8950eae3,,,,
790,raw_position_sample,2,3,adv,1,1,10,11,-1,999,298,93,728168.5999999046,697bc7af7a8a0a2a8950eae3,697bc7af7a8a0a2a8950eae3,advanced,1,697bc7af7a8a0a2a8950eae3,697bc7af7a8a0a2a8950eae3,spotlight_PROLIFIC,,23,Mexico,Spanish,"English, French",French,Spanish:50|English:45|French:5,100,Spanish:19|English:80|French:1,100,Spanish:50|English:50|French:0,100,16,3,Bachelor's,10,10,10,10,10,10,5,9,6,8,TOEFL,110,,,,,21,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-09-22T20:59:37.197Z,3GXK8ECF,2026-09-22,2026-09-22,14:59:37,2026-09-22 14:59:37,,,,,,,,697bc7af7a8a0a2a8950eae3,697bc7af7a8a0a2a8950eae3,,,,
840,raw_position_sample,2,3,adv,1,1,10,11,-1,999,298,93,728218.7999997139,697bc7af7a8a0a2a8950eae3,697bc7af7a8a0a2a8950eae3,advanced,1,697bc7af7a8a0a2a8950eae3,697bc7af7a8a0a2a8950eae3,spotlight_PROLIFIC,,23,Mexico,Spanish,"English, French",French,Spanish:50|English:45|French:5,100,Spanish:19|English:80|French:1,100,Spanish:50|English:50|French:0,100,16,3,Bachelor's,10,10,10,10,10,10,5,9,6,8,TOEFL,110,,,,,21,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-09-22T20:59:37.197Z,3GXK8ECF,2026-09-22,2026-09-22,14:59:37,2026-09-22 14:59:37,,,,,,,,697bc7af7a8a0a2a8950eae3,697bc7af7a8a0a2a8950eae3,,,,
890,raw_position_sample,2,3,adv,1,1,10,11,-1,999,298,93,728268.9000000954,697bc7af7a8a0a2a8950eae3,697bc7af7a8a0a2a8950eae3,advanced,1,697bc7af7a8a0a2a8950eae3,697bc7af7a8a0a2a8950eae3,spotlight_PROLIFIC,,23,Mexico,Spanish,"English, French",French,Spanish:50|English:45|French:5,100,Spanish:19|English:80|French:1,100,Spanish:50|English:50|French:0,100,16,3,Bachelor's,10,10,10,10,10,10,5,9,6,8,TOEFL,110,,,,,21,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-09-22T20:59:37.197Z,3GXK8ECF,2026-09-22,2026-09-22,14:59:37,2026-09-22 14:59:37,,,,,,,,697bc7af7a8a0a2a8950eae3,697bc7af7a8a0a2a8950eae3,,,,
940,raw_position_sample,2,3,adv,1,1,10,11,-1,999,298,93,728319,697bc7af7a8a0a2a8950eae3,697bc7af7a8a0a2a8950eae3,advanced,1,697bc7af7a8a0a2a8950eae3,697bc7af7a8a0a2a8950eae3,spotlight_PROLIFIC,,23,Mexico,Spanish,"English, French",French,Spanish:50|English:45|French:5,100,Spanish:19|English:80|French:1,100,Spanish:50|English:50|French:0,100,16,3,Bachelor's,10,10,10,10,10,10,5,9,6,8,TOEFL,110,,,,,21,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-09-22T20:59:37.197Z,3GXK8ECF,2026-09-22,2026-09-22,14:59:37,2026-09-22 14:59:37,,,,,,,,697bc7af7a8a0a2a8950eae3,697bc7af7a8a0a2a8950eae3,,,,
991,raw_position_sample,2,3,adv,1,1,10,11,-1,999,298,93,728369.1999998093,697bc7af7a8a0a2a8950eae3,697bc7af7a8a0a2a8950eae3,advanced,1,697bc7af7a8a0a2a8950eae3,697bc7af7a8a0a2a8950eae3,spotlight_PROLIFIC,,23,Mexico,Spanish,"English, French",French,Spanish:50|English:45|French:5,100,Spanish:19|English:80|French:1,100,Spanish:50|English:50|French:0,100,16,3,Bachelor's,10,10,10,10,10,10,5,9,6,8,TOEFL,110,,,,,21,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-09-22T20:59:37.197Z,3GXK8ECF,2026-09-22,2026-09-22,14:59:37,2026-09-22 14:59:37,,,,,,,,697bc7af7a8a0a2a8950eae3,697bc7af7a8a0a2a8950eae3,,,,
1041,raw_position_sample,2,3,adv,1,1,10,11,-1,999,298,93,728419.0999999046,697bc7af7a8a0a2a8950eae3,697bc7af7a8a0a2a8950eae3,advanced,1,697bc7af7a8a0a2a8950eae3,697bc7af7a8a0a2a8950eae3,spotlight_PROLIFIC,,23,Mexico,Spanish,"English, French",French,Spanish:50|English:45|French:5,100,Spanish:19|English:80|French:1,100,Spanish:50|English:50|French:0,100,16,3,Bachelor's,10,10,10,10,10,10,5,9,6,8,TOEFL,110,,,,,21,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-09-22T20:59:37.197Z,3GXK8ECF,2026-09-22,2026-09-22,14:59:37,2026-09-22 14:59:37,,,,,,,,697bc7af7a8a0a2a8950eae3,697bc7af7a8a0a2a8950eae3,,,,
1091,raw_position_sample,2,3,adv,1,1,10,11,-1,999,298,93,728469.1999998093,697bc7af7a8a0a2a8950eae3,697bc7af7a8a0a2a8950eae3,advanced,1,697bc7af7a8a0a2a8950eae3,697bc7af7a8a0a2a8950eae3,spotlight_PROLIFIC,,23,Mexico,Spanish,"English, French",French,Spanish:50|English:45|French:5,100,Spanish:19|English:80|French:1,100,Spanish:50|English:50|French:0,100,16,3,Bachelor's,10,10,10,10,10,10,5,9,6,8,TOEFL,110,,,,,21,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-09-22T20:59:37.197Z,3GXK8ECF,2026-09-22,2026-09-22,14:59:37,2026-09-22 14:59:37,,,,,,,,697bc7af7a8a0a2a8950eae3,697bc7af7a8a0a2a8950eae3,,,,
1141,raw_position_sample,2,3,adv,1,1,10,11,-1,999,298,93,728519.5,697bc7af7a8a0a2a8950eae3,697bc7af7a8a0a2a8950eae3,advanced,1,697bc7af7a8a0a2a8950eae3,697bc7af7a8a0a2a8950eae3,spotlight_PROLIFIC,,23,Mexico,Spanish,"English, French",French,Spanish:50|English:45|French:5,100,Spanish:19|English:80|French:1,100,Spanish:50|English:50|French:0,100,16,3,Bachelor's,10,10,10,10,10,10,5,9,6,8,TOEFL,110,,,,,21,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-09-22T20:59:37.197Z,3GXK8ECF,2026-09-22,2026-09-22,14:59:37,2026-09-22 14:59:37,,,,,,,,697bc7af7a8a0a2a8950eae3,697bc7af7a8a0a2a8950eae3,,,,
1190,raw_position_sample,2,3,adv,1,1,10,11,-1,999,298,93,728568.6999998093,697bc7af7a8a0a2a8950eae3,697bc7af7a8a0a2a8950eae3,advanced,1,697bc7af7a8a0a2a8950eae3,697bc7af7a8a0a2a8950eae3,spotlight_PROLIFIC,,23,Mexico,Spanish,"English, French",French,Spanish:50|English:45|French:5,100,Spanish:19|English:80|French:1,100,Spanish:50|English:50|French:0,100,16,3,Bachelor's,10,10,10,10,10,10,5,9,6,8,TOEFL,110,,,,,21,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-09-22T20:59:37.197Z,3GXK8ECF,2026-09-22,2026-09-22,14:59:37,2026-09-22 14:59:37,,,,,,,,697bc7af7a8a0a2a8950eae3,697bc7af7a8a0a2a8950eae3,,,,
1240,raw_position_sample,2,3,adv,1,1,10,11,-1,999,298,93,728618.7999997139,697bc7af7a8a0a2a8950eae3,697bc7af7a8a0a2a8950eae3,advanced,1,697bc7af7a8a0a2a8950eae3,697bc7af7a8a0a2a8950eae3,spotlight_PROLIFIC,,23,Mexico,Spanish,"English, French",French,Spanish:50|English:45|French:5,100,Spanish:19|English:80|French:1,100,Spanish:50|English:50|French:0,100,16,3,Bachelor's,10,10,10,10,10,10,5,9,6,8,TOEFL,110,,,,,21,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-09-22T20:59:37.197Z,3GXK8ECF,2026-09-22,2026-09-22,14:59:37,2026-09-22 14:59:37,,,,,,,,697bc7af7a8a0a2a8950eae3,697bc7af7a8a0a2a8950eae3,,,,
1291,raw_position_sample,2,3,adv,1,1,10,11,-1,999,298,93,728669,697bc7af7a8a0a2a8950eae3,697bc7af7a8a0a2a8950eae3,advanced,1,697bc7af7a8a0a2a8950eae3,697bc7af7a8a0a2a8950eae3,spotlight_PROLIFIC,,23,Mexico,Spanish,"English, French",French,Spanish:50|English:45|French:5,100,Spanish:19|English:80|French:1,100,Spanish:50|English:50|French:0,100,16,3,Bachelor's,10,10,10,10,10,10,5,9,6,8,TOEFL,110,,,,,21,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-09-22T20:59:37.197Z,3GXK8ECF,2026-09-22,2026-09-22,14:59:37,2026-09-22 14:59:37,,,,,,,,697bc7af7a8a0a2a8950eae3,697bc7af7a8a0a2a8950eae3,,,,
1341,raw_position_sample,2,3,adv,1,1,10,11,-1,999,298,93,728719.1999998093,697bc7af7a8a0a2a8950eae3,697bc7af7a8a0a2a8950eae3,advanced,1,697bc7af7a8a0a2a8950eae3,697bc7af7a8a0a2a8950eae3,spotlight_PROLIFIC,,23,Mexico,Spanish,"English, French",French,Spanish:50|English:45|French:5,100,Spanish:19|English:80|French:1,100,Spanish:50|English:50|French:0,100,16,3,Bachelor's,10,10,10,10,10,10,5,9,6,8,TOEFL,110,,,,,21,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-09-22T20:59:37.197Z,3GXK8ECF,2026-09-22,2026-09-22,14:59:37,2026-09-22 14:59:37,,,,,,,,697bc7af7a8a0a2a8950eae3,697bc7af7a8a0a2a8950eae3,,,,
1390,raw_position_sample,2,3,adv,1,1,10,11,-1,999,298,93,728768.5,697bc7af7a8a0a2a8950eae3,697bc7af7a8a0a2a8950eae3,advanced,1,697bc7af7a8a0a2a8950eae3,697bc7af7a8a0a2a8950eae3,spotlight_PROLIFIC,,23,Mexico,Spanish,"English, French",French,Spanish:50|English:45|French:5,100,Spanish:19|English:80|French:1,100,Spanish:50|English:50|French:0,100,16,3,Bachelor's,10,10,10,10,10,10,5,9,6,8,TOEFL,110,,,,,21,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-09-22T20:59:37.197Z,3GXK8ECF,2026-09-22,2026-09-22,14:59:37,2026-09-22 14:59:37,,,,,,,,697bc7af7a8a0a2a8950eae3,697bc7af7a8a0a2a8950eae3,,,,
1440,raw_position_sample,2,3,adv,1,1,10,11,-1,999,298,93,728818.5999999046,697bc7af7a8a0a2a8950eae3,697bc7af7a8a0a2a8950eae3,advanced,1,697bc7af7a8a0a2a8950eae3,697bc7af7a8a0a2a8950eae3,spotlight_PROLIFIC,,23,Mexico,Spanish,"English, French",French,Spanish:50|English:45|French:5,100,Spanish:19|English:80|French:1,100,Spanish:50|English:50|French:0,100,16,3,Bachelor's,10,10,10,10,10,10,5,9,6,8,TOEFL,110,,,,,21,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-09-22T20:59:37.197Z,3GXK8ECF,2026-09-22,2026-09-22,14:59:37,2026-09-22 14:59:37,,,,,,,,697bc7af7a8a0a2a8950eae3,697bc7af7a8a0a2a8950eae3,,,,
