responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,demo_other_english_test,demo_other_english_test_score,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
1360,raw_position_sample,2,3,adv,8,1,10,11,-1,999,537,98,2662643.7999999523,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,advanced,1,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,spotlight_PROLIFIC,,24,Mexico,Spanish,"Spanish, English ",,Spanish:90|English:10,100,Spanish:95|English:5,100,Spanish:80|English:20,100,17,4,Bachelor's,10,10,10,7,7,8,13,16,13,16,Uady English test,B2,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-09-22T17:21:26.273Z,6NRFSR7P,2026-09-22,2026-09-22,11:21:26,2026-09-22 11:21:26,,,,,,,,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,,,,
1411,raw_position_sample,2,3,adv,8,1,10,11,-1,999,586,112,2662694,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,advanced,1,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,spotlight_PROLIFIC,,24,Mexico,Spanish,"Spanish, English ",,Spanish:90|English:10,100,Spanish:95|English:5,100,Spanish:80|English:20,100,17,4,Bachelor's,10,10,10,7,7,8,13,16,13,16,Uady English test,B2,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-09-22T17:21:26.273Z,6NRFSR7P,2026-09-22,2026-09-22,11:21:26,2026-09-22 11:21:26,,,,,,,,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,,,,
1446,hover_association,2,3,adv,8,1,10,11,1, Such ,602,135,,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,advanced,1,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,spotlight_PROLIFIC,,24,Mexico,Spanish,"Spanish, English ",,Spanish:90|English:10,100,Spanish:95|English:5,100,Spanish:80|English:20,100,17,4,Bachelor's,10,10,10,7,7,8,13,16,13,16,Uady English test,B2,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,112.015625,600.5390625,152.015625,650.40625,1,1,hover,14.100000023841858,14.100000023841858,0.16966943443521854,0.899609375,82,,,,,,2026-09-22T17:21:26.273Z,6NRFSR7P,2026-09-22,2026-09-22,11:21:26,2026-09-22 11:21:26,,,,,,,,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,,,,
1462,raw_position_sample,2,3,adv,8,1,10,11,18, up ,618,169,2662745.5,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,advanced,1,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,spotlight_PROLIFIC,,24,Mexico,Spanish,"Spanish, English ",,Spanish:90|English:10,100,Spanish:95|English:5,100,Spanish:80|English:20,100,17,4,Bachelor's,10,10,10,7,7,8,13,16,13,16,Uady English test,B2,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,162.015625,604.375,182.015625,629.40625,2,1,,,,,,,,,,,,2026-09-22T17:21:26.273Z,6NRFSR7P,2026-09-22,2026-09-22,11:21:26,2026-09-22 11:21:26,,,,,,,,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,,,,
1510,raw_position_sample,2,3,adv,8,1,10,11,18, up ,624,177,2662793.2000000477,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,advanced,1,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,spotlight_PROLIFIC,,24,Mexico,Spanish,"Spanish, English ",,Spanish:90|English:10,100,Spanish:95|English:5,100,Spanish:80|English:20,100,17,4,Bachelor's,10,10,10,7,7,8,13,16,13,16,Uady English test,B2,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,162.015625,604.375,182.015625,629.40625,2,1,,,,,,,,,,,,2026-09-22T17:21:26.273Z,6NRFSR7P,2026-09-22,2026-09-22,11:21:26,2026-09-22 11:21:26,,,,,,,,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,,,,
1571,raw_position_sample,2,3,adv,8,1,10,11,18, up ,619,173,2662854.5,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,advanced,1,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,spotlight_PROLIFIC,,24,Mexico,Spanish,"Spanish, English ",,Spanish:90|English:10,100,Spanish:95|English:5,100,Spanish:80|English:20,100,17,4,Bachelor's,10,10,10,7,7,8,13,16,13,16,Uady English test,B2,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,162.015625,604.375,182.015625,629.40625,2,1,,,,,,,,,,,,2026-09-22T17:21:26.273Z,6NRFSR7P,2026-09-22,2026-09-22,11:21:26,2026-09-22 11:21:26,,,,,,,,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,,,,
1611,raw_position_sample,2,3,adv,8,1,10,11,18, up ,617,172,2662894.5,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,advanced,1,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,spotlight_PROLIFIC,,24,Mexico,Spanish,"Spanish, English ",,Spanish:90|English:10,100,Spanish:95|English:5,100,Spanish:80|English:20,100,17,4,Bachelor's,10,10,10,7,7,8,13,16,13,16,Uady English test,B2,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,162.015625,604.375,182.015625,629.40625,2,1,,,,,,,,,,,,2026-09-22T17:21:26.273Z,6NRFSR7P,2026-09-22,2026-09-22,11:21:26,2026-09-22 11:21:26,,,,,,,,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,,,,
1660,hover_association,2,3,adv,8,1,10,11,18, up ,612,154,,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,advanced,1,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,spotlight_PROLIFIC,,24,Mexico,Spanish,"Spanish, English ",,Spanish:90|English:10,100,Spanish:95|English:5,100,Spanish:80|English:20,100,17,4,Bachelor's,10,10,10,7,7,8,13,16,13,16,Uady English test,B2,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,152.015625,600.5390625,192.015625,629.40625,2,1,hover,214.59999990463257,214.59999990463257,0.22381596752368066,0.024609375,82,,,,,,2026-09-22T17:21:26.273Z,6NRFSR7P,2026-09-22,2026-09-22,11:21:26,2026-09-22 11:21:26,,,,,,,,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,,,,
1661,raw_position_sample,2,3,adv,8,1,10,11,1, Such ,605,149,2662944.2000000477,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,advanced,1,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,spotlight_PROLIFIC,,24,Mexico,Spanish,"Spanish, English ",,Spanish:90|English:10,100,Spanish:95|English:5,100,Spanish:80|English:20,100,17,4,Bachelor's,10,10,10,7,7,8,13,16,13,16,Uady English test,B2,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,122.015625,604.375,142.015625,650.40625,1,1,,,,,,,,,,,,2026-09-22T17:21:26.273Z,6NRFSR7P,2026-09-22,2026-09-22,11:21:26,2026-09-22 11:21:26,,,,,,,,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,,,,
1675,hover_association,2,3,adv,8,1,10,11,1, Such ,605,149,,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,advanced,1,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,spotlight_PROLIFIC,,24,Mexico,Spanish,"Spanish, English ",,Spanish:90|English:10,100,Spanish:95|English:5,100,Spanish:80|English:20,100,17,4,Bachelor's,10,10,10,7,7,8,13,16,13,16,Uady English test,B2,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,112.015625,600.5390625,152.015625,650.40625,1,1,hover,15.200000047683716,15.200000047683716,0.009243302522324925,0.674609375,82,,,,,,2026-09-22T17:21:26.273Z,6NRFSR7P,2026-09-22,2026-09-22,11:21:26,2026-09-22 11:21:26,,,,,,,,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,,,,
1709,raw_position_sample,2,3,adv,8,1,10,11,-1,999,598,123,2662992.2999999523,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,advanced,1,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,spotlight_PROLIFIC,,24,Mexico,Spanish,"Spanish, English ",,Spanish:90|English:10,100,Spanish:95|English:5,100,Spanish:80|English:20,100,17,4,Bachelor's,10,10,10,7,7,8,13,16,13,16,Uady English test,B2,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-09-22T17:21:26.273Z,6NRFSR7P,2026-09-22,2026-09-22,11:21:26,2026-09-22 11:21:26,,,,,,,,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,,,,
1759,raw_position_sample,2,3,adv,8,1,10,11,-1,999,598,118,2663042.2999999523,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,advanced,1,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,spotlight_PROLIFIC,,24,Mexico,Spanish,"Spanish, English ",,Spanish:90|English:10,100,Spanish:95|English:5,100,Spanish:80|English:20,100,17,4,Bachelor's,10,10,10,7,7,8,13,16,13,16,Uady English test,B2,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-09-22T17:21:26.273Z,6NRFSR7P,2026-09-22,2026-09-22,11:21:26,2026-09-22 11:21:26,,,,,,,,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,,,,
1814,raw_position_sample,2,3,adv,8,1,10,11,-1,999,598,118,2663097.5,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,advanced,1,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,spotlight_PROLIFIC,,24,Mexico,Spanish,"Spanish, English ",,Spanish:90|English:10,100,Spanish:95|English:5,100,Spanish:80|English:20,100,17,4,Bachelor's,10,10,10,7,7,8,13,16,13,16,Uady English test,B2,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-09-22T17:21:26.273Z,6NRFSR7P,2026-09-22,2026-09-22,11:21:26,2026-09-22 11:21:26,,,,,,,,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,,,,
1862,raw_position_sample,2,3,adv,8,1,10,11,-1,999,599,117,2663145.2999999523,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,advanced,1,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,spotlight_PROLIFIC,,24,Mexico,Spanish,"Spanish, English ",,Spanish:90|English:10,100,Spanish:95|English:5,100,Spanish:80|English:20,100,17,4,Bachelor's,10,10,10,7,7,8,13,16,13,16,Uady English test,B2,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-09-22T17:21:26.273Z,6NRFSR7P,2026-09-22,2026-09-22,11:21:26,2026-09-22 11:21:26,,,,,,,,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,,,,
1911,raw_position_sample,2,3,adv,8,1,10,11,-1,999,599,117,2663194.399999976,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,advanced,1,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,spotlight_PROLIFIC,,24,Mexico,Spanish,"Spanish, English ",,Spanish:90|English:10,100,Spanish:95|English:5,100,Spanish:80|English:20,100,17,4,Bachelor's,10,10,10,7,7,8,13,16,13,16,Uady English test,B2,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-09-22T17:21:26.273Z,6NRFSR7P,2026-09-22,2026-09-22,11:21:26,2026-09-22 11:21:26,,,,,,,,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,,,,
1959,raw_position_sample,2,3,adv,8,1,10,11,-1,999,599,117,2663242.7999999523,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,advanced,1,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,spotlight_PROLIFIC,,24,Mexico,Spanish,"Spanish, English ",,Spanish:90|English:10,100,Spanish:95|English:5,100,Spanish:80|English:20,100,17,4,Bachelor's,10,10,10,7,7,8,13,16,13,16,Uady English test,B2,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-09-22T17:21:26.273Z,6NRFSR7P,2026-09-22,2026-09-22,11:21:26,2026-09-22 11:21:26,,,,,,,,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,,,,
2024,raw_position_sample,2,3,adv,8,1,10,11,-1,999,599,117,2663307.7000000477,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,advanced,1,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,spotlight_PROLIFIC,,24,Mexico,Spanish,"Spanish, English ",,Spanish:90|English:10,100,Spanish:95|English:5,100,Spanish:80|English:20,100,17,4,Bachelor's,10,10,10,7,7,8,13,16,13,16,Uady English test,B2,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-09-22T17:21:26.273Z,6NRFSR7P,2026-09-22,2026-09-22,11:21:26,2026-09-22 11:21:26,,,,,,,,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,,,,
2061,raw_position_sample,2,3,adv,8,1,10,11,1, Such ,602,118,2663344.399999976,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,advanced,1,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,spotlight_PROLIFIC,,24,Mexico,Spanish,"Spanish, English ",,Spanish:90|English:10,100,Spanish:95|English:5,100,Spanish:80|English:20,100,17,4,Bachelor's,10,10,10,7,7,8,13,16,13,16,Uady English test,B2,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,122.015625,604.375,142.015625,650.40625,1,1,,,,,,,,,,,,2026-09-22T17:21:26.273Z,6NRFSR7P,2026-09-22,2026-09-22,11:21:26,2026-09-22 11:21:26,,,,,,,,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,,,,
2118,raw_position_sample,2,3,adv,8,1,10,11,1, Such ,602,118,2663401.600000024,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,advanced,1,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,spotlight_PROLIFIC,,24,Mexico,Spanish,"Spanish, English ",,Spanish:90|English:10,100,Spanish:95|English:5,100,Spanish:80|English:20,100,17,4,Bachelor's,10,10,10,7,7,8,13,16,13,16,Uady English test,B2,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,122.015625,604.375,142.015625,650.40625,1,1,,,,,,,,,,,,2026-09-22T17:21:26.273Z,6NRFSR7P,2026-09-22,2026-09-22,11:21:26,2026-09-22 11:21:26,,,,,,,,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,,,,
2161,raw_position_sample,2,3,adv,8,1,10,11,1, Such ,610,125,2663444.7000000477,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,advanced,1,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,spotlight_PROLIFIC,,24,Mexico,Spanish,"Spanish, English ",,Spanish:90|English:10,100,Spanish:95|English:5,100,Spanish:80|English:20,100,17,4,Bachelor's,10,10,10,7,7,8,13,16,13,16,Uady English test,B2,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,122.015625,604.375,142.015625,650.40625,1,1,,,,,,,,,,,,2026-09-22T17:21:26.273Z,6NRFSR7P,2026-09-22,2026-09-22,11:21:26,2026-09-22 11:21:26,,,,,,,,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,,,,
2211,raw_position_sample,2,3,adv,8,1,10,11,1, Such ,624,137,2663494,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,advanced,1,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,spotlight_PROLIFIC,,24,Mexico,Spanish,"Spanish, English ",,Spanish:90|English:10,100,Spanish:95|English:5,100,Spanish:80|English:20,100,17,4,Bachelor's,10,10,10,7,7,8,13,16,13,16,Uady English test,B2,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,122.015625,604.375,142.015625,650.40625,1,1,,,,,,,,,,,,2026-09-22T17:21:26.273Z,6NRFSR7P,2026-09-22,2026-09-22,11:21:26,2026-09-22 11:21:26,,,,,,,,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,,,,
2274,raw_position_sample,2,3,adv,8,1,10,11,1, Such ,625,137,2663557,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,advanced,1,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,spotlight_PROLIFIC,,24,Mexico,Spanish,"Spanish, English ",,Spanish:90|English:10,100,Spanish:95|English:5,100,Spanish:80|English:20,100,17,4,Bachelor's,10,10,10,7,7,8,13,16,13,16,Uady English test,B2,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,122.015625,604.375,142.015625,650.40625,1,1,,,,,,,,,,,,2026-09-22T17:21:26.273Z,6NRFSR7P,2026-09-22,2026-09-22,11:21:26,2026-09-22 11:21:26,,,,,,,,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,,,,
2322,raw_position_sample,2,3,adv,8,1,10,11,1, Such ,625,137,2663605.399999976,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,advanced,1,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,spotlight_PROLIFIC,,24,Mexico,Spanish,"Spanish, English ",,Spanish:90|English:10,100,Spanish:95|English:5,100,Spanish:80|English:20,100,17,4,Bachelor's,10,10,10,7,7,8,13,16,13,16,Uady English test,B2,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,122.015625,604.375,142.015625,650.40625,1,1,,,,,,,,,,,,2026-09-22T17:21:26.273Z,6NRFSR7P,2026-09-22,2026-09-22,11:21:26,2026-09-22 11:21:26,,,,,,,,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,,,,
2371,raw_position_sample,2,3,adv,8,1,10,11,1, Such ,625,137,2663654.100000024,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,advanced,1,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,spotlight_PROLIFIC,,24,Mexico,Spanish,"Spanish, English ",,Spanish:90|English:10,100,Spanish:95|English:5,100,Spanish:80|English:20,100,17,4,Bachelor's,10,10,10,7,7,8,13,16,13,16,Uady English test,B2,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,122.015625,604.375,142.015625,650.40625,1,1,,,,,,,,,,,,2026-09-22T17:21:26.273Z,6NRFSR7P,2026-09-22,2026-09-22,11:21:26,2026-09-22 11:21:26,,,,,,,,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,,,,
2419,raw_position_sample,2,3,adv,8,1,10,11,1, Such ,625,137,2663702.5,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,advanced,1,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,spotlight_PROLIFIC,,24,Mexico,Spanish,"Spanish, English ",,Spanish:90|English:10,100,Spanish:95|English:5,100,Spanish:80|English:20,100,17,4,Bachelor's,10,10,10,7,7,8,13,16,13,16,Uady English test,B2,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,122.015625,604.375,142.015625,650.40625,1,1,,,,,,,,,,,,2026-09-22T17:21:26.273Z,6NRFSR7P,2026-09-22,2026-09-22,11:21:26,2026-09-22 11:21:26,,,,,,,,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,,,,
2460,raw_position_sample,2,3,adv,8,1,10,11,1, Such ,627,137,2663743.2000000477,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,advanced,1,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,spotlight_PROLIFIC,,24,Mexico,Spanish,"Spanish, English ",,Spanish:90|English:10,100,Spanish:95|English:5,100,Spanish:80|English:20,100,17,4,Bachelor's,10,10,10,7,7,8,13,16,13,16,Uady English test,B2,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,122.015625,604.375,142.015625,650.40625,1,1,,,,,,,,,,,,2026-09-22T17:21:26.273Z,6NRFSR7P,2026-09-22,2026-09-22,11:21:26,2026-09-22 11:21:26,,,,,,,,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,,,,
2512,raw_position_sample,2,3,adv,8,1,10,11,1, Such ,631,135,2663795,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,advanced,1,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,spotlight_PROLIFIC,,24,Mexico,Spanish,"Spanish, English ",,Spanish:90|English:10,100,Spanish:95|English:5,100,Spanish:80|English:20,100,17,4,Bachelor's,10,10,10,7,7,8,13,16,13,16,Uady English test,B2,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,122.015625,604.375,142.015625,650.40625,1,1,,,,,,,,,,,,2026-09-22T17:21:26.273Z,6NRFSR7P,2026-09-22,2026-09-22,11:21:26,2026-09-22 11:21:26,,,,,,,,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,,,,
2560,raw_position_sample,2,3,adv,8,1,10,11,1, Such ,631,135,2663843.399999976,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,advanced,1,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,spotlight_PROLIFIC,,24,Mexico,Spanish,"Spanish, English ",,Spanish:90|English:10,100,Spanish:95|English:5,100,Spanish:80|English:20,100,17,4,Bachelor's,10,10,10,7,7,8,13,16,13,16,Uady English test,B2,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,122.015625,604.375,142.015625,650.40625,1,1,,,,,,,,,,,,2026-09-22T17:21:26.273Z,6NRFSR7P,2026-09-22,2026-09-22,11:21:26,2026-09-22 11:21:26,,,,,,,,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,,,,
2615,raw_position_sample,2,3,adv,8,1,10,11,1, Such ,631,135,2663898.100000024,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,advanced,1,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,spotlight_PROLIFIC,,24,Mexico,Spanish,"Spanish, English ",,Spanish:90|English:10,100,Spanish:95|English:5,100,Spanish:80|English:20,100,17,4,Bachelor's,10,10,10,7,7,8,13,16,13,16,Uady English test,B2,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,122.015625,604.375,142.015625,650.40625,1,1,,,,,,,,,,,,2026-09-22T17:21:26.273Z,6NRFSR7P,2026-09-22,2026-09-22,11:21:26,2026-09-22 11:21:26,,,,,,,,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,,,,
2661,raw_position_sample,2,3,adv,8,1,10,11,1, Such ,617,134,2663944.100000024,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,advanced,1,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,spotlight_PROLIFIC,,24,Mexico,Spanish,"Spanish, English ",,Spanish:90|English:10,100,Spanish:95|English:5,100,Spanish:80|English:20,100,17,4,Bachelor's,10,10,10,7,7,8,13,16,13,16,Uady English test,B2,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,122.015625,604.375,142.015625,650.40625,1,1,,,,,,,,,,,,2026-09-22T17:21:26.273Z,6NRFSR7P,2026-09-22,2026-09-22,11:21:26,2026-09-22 11:21:26,,,,,,,,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,,,,
2716,raw_position_sample,2,3,adv,8,1,10,11,1, Such ,615,134,2663999.2000000477,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,advanced,1,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,spotlight_PROLIFIC,,24,Mexico,Spanish,"Spanish, English ",,Spanish:90|English:10,100,Spanish:95|English:5,100,Spanish:80|English:20,100,17,4,Bachelor's,10,10,10,7,7,8,13,16,13,16,Uady English test,B2,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,122.015625,604.375,142.015625,650.40625,1,1,,,,,,,,,,,,2026-09-22T17:21:26.273Z,6NRFSR7P,2026-09-22,2026-09-22,11:21:26,2026-09-22 11:21:26,,,,,,,,69b0ac288dc55a030aad812e,69b0ac288dc55a030aad812e,,,,
