responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
551,raw_position_sample,2,2,int,1,4,9,10,-1,999,306,72,982408.299999997,697a67a01ede7b9c39fe6214,697a67a01ede7b9c39fe6214,intermediate,4,697a67a01ede7b9c39fe6214,697a67a01ede7b9c39fe6214,spotlight_PROLIFIC,,27,Brazil,Portuguese,"English, Spanish",Spanish,Portuguese:60|English:30|Spanish:10,100,Portuguese:70|English:25|Spanish:5,100,Portuguese:60|English:30|Spanish:10,100,23,1,Bachelor's,10,10,10,9,9,9,5,10,7,9,,,,,24,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-08-16T15:49:17.340Z,U5HGUVVZ,2026-08-16,2026-08-16,12:49:17,2026-08-16 12:49:17,,,,,,,,697a67a01ede7b9c39fe6214,697a67a01ede7b9c39fe6214,,,,
600,raw_position_sample,2,2,int,1,4,9,10,-1,999,306,72,982456.6000000015,697a67a01ede7b9c39fe6214,697a67a01ede7b9c39fe6214,intermediate,4,697a67a01ede7b9c39fe6214,697a67a01ede7b9c39fe6214,spotlight_PROLIFIC,,27,Brazil,Portuguese,"English, Spanish",Spanish,Portuguese:60|English:30|Spanish:10,100,Portuguese:70|English:25|Spanish:5,100,Portuguese:60|English:30|Spanish:10,100,23,1,Bachelor's,10,10,10,9,9,9,5,10,7,9,,,,,24,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-08-16T15:49:17.340Z,U5HGUVVZ,2026-08-16,2026-08-16,12:49:17,2026-08-16 12:49:17,,,,,,,,697a67a01ede7b9c39fe6214,697a67a01ede7b9c39fe6214,,,,
651,raw_position_sample,2,2,int,1,4,9,10,-1,999,306,72,982508.200000003,697a67a01ede7b9c39fe6214,697a67a01ede7b9c39fe6214,intermediate,4,697a67a01ede7b9c39fe6214,697a67a01ede7b9c39fe6214,spotlight_PROLIFIC,,27,Brazil,Portuguese,"English, Spanish",Spanish,Portuguese:60|English:30|Spanish:10,100,Portuguese:70|English:25|Spanish:5,100,Portuguese:60|English:30|Spanish:10,100,23,1,Bachelor's,10,10,10,9,9,9,5,10,7,9,,,,,24,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-08-16T15:49:17.340Z,U5HGUVVZ,2026-08-16,2026-08-16,12:49:17,2026-08-16 12:49:17,,,,,,,,697a67a01ede7b9c39fe6214,697a67a01ede7b9c39fe6214,,,,
700,raw_position_sample,2,2,int,1,4,9,10,-1,999,306,72,982557.700000003,697a67a01ede7b9c39fe6214,697a67a01ede7b9c39fe6214,intermediate,4,697a67a01ede7b9c39fe6214,697a67a01ede7b9c39fe6214,spotlight_PROLIFIC,,27,Brazil,Portuguese,"English, Spanish",Spanish,Portuguese:60|English:30|Spanish:10,100,Portuguese:70|English:25|Spanish:5,100,Portuguese:60|English:30|Spanish:10,100,23,1,Bachelor's,10,10,10,9,9,9,5,10,7,9,,,,,24,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-08-16T15:49:17.340Z,U5HGUVVZ,2026-08-16,2026-08-16,12:49:17,2026-08-16 12:49:17,,,,,,,,697a67a01ede7b9c39fe6214,697a67a01ede7b9c39fe6214,,,,
751,raw_position_sample,2,2,int,1,4,9,10,-1,999,306,72,982608,697a67a01ede7b9c39fe6214,697a67a01ede7b9c39fe6214,intermediate,4,697a67a01ede7b9c39fe6214,697a67a01ede7b9c39fe6214,spotlight_PROLIFIC,,27,Brazil,Portuguese,"English, Spanish",Spanish,Portuguese:60|English:30|Spanish:10,100,Portuguese:70|English:25|Spanish:5,100,Portuguese:60|English:30|Spanish:10,100,23,1,Bachelor's,10,10,10,9,9,9,5,10,7,9,,,,,24,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-08-16T15:49:17.340Z,U5HGUVVZ,2026-08-16,2026-08-16,12:49:17,2026-08-16 12:49:17,,,,,,,,697a67a01ede7b9c39fe6214,697a67a01ede7b9c39fe6214,,,,
801,raw_position_sample,2,2,int,1,4,9,10,-1,999,306,72,982658.299999997,697a67a01ede7b9c39fe6214,697a67a01ede7b9c39fe6214,intermediate,4,697a67a01ede7b9c39fe6214,697a67a01ede7b9c39fe6214,spotlight_PROLIFIC,,27,Brazil,Portuguese,"English, Spanish",Spanish,Portuguese:60|English:30|Spanish:10,100,Portuguese:70|English:25|Spanish:5,100,Portuguese:60|English:30|Spanish:10,100,23,1,Bachelor's,10,10,10,9,9,9,5,10,7,9,,,,,24,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-08-16T15:49:17.340Z,U5HGUVVZ,2026-08-16,2026-08-16,12:49:17,2026-08-16 12:49:17,,,,,,,,697a67a01ede7b9c39fe6214,697a67a01ede7b9c39fe6214,,,,
850,raw_position_sample,2,2,int,1,4,9,10,-1,999,306,72,982707.6000000015,697a67a01ede7b9c39fe6214,697a67a01ede7b9c39fe6214,intermediate,4,697a67a01ede7b9c39fe6214,697a67a01ede7b9c39fe6214,spotlight_PROLIFIC,,27,Brazil,Portuguese,"English, Spanish",Spanish,Portuguese:60|English:30|Spanish:10,100,Portuguese:70|English:25|Spanish:5,100,Portuguese:60|English:30|Spanish:10,100,23,1,Bachelor's,10,10,10,9,9,9,5,10,7,9,,,,,24,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-08-16T15:49:17.340Z,U5HGUVVZ,2026-08-16,2026-08-16,12:49:17,2026-08-16 12:49:17,,,,,,,,697a67a01ede7b9c39fe6214,697a67a01ede7b9c39fe6214,,,,
901,raw_position_sample,2,2,int,1,4,9,10,-1,999,306,72,982758,697a67a01ede7b9c39fe6214,697a67a01ede7b9c39fe6214,intermediate,4,697a67a01ede7b9c39fe6214,697a67a01ede7b9c39fe6214,spotlight_PROLIFIC,,27,Brazil,Portuguese,"English, Spanish",Spanish,Portuguese:60|English:30|Spanish:10,100,Portuguese:70|English:25|Spanish:5,100,Portuguese:60|English:30|Spanish:10,100,23,1,Bachelor's,10,10,10,9,9,9,5,10,7,9,,,,,24,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-08-16T15:49:17.340Z,U5HGUVVZ,2026-08-16,2026-08-16,12:49:17,2026-08-16 12:49:17,,,,,,,,697a67a01ede7b9c39fe6214,697a67a01ede7b9c39fe6214,,,,
950,raw_position_sample,2,2,int,1,4,9,10,-1,999,306,72,982807.200000003,697a67a01ede7b9c39fe6214,697a67a01ede7b9c39fe6214,intermediate,4,697a67a01ede7b9c39fe6214,697a67a01ede7b9c39fe6214,spotlight_PROLIFIC,,27,Brazil,Portuguese,"English, Spanish",Spanish,Portuguese:60|English:30|Spanish:10,100,Portuguese:70|English:25|Spanish:5,100,Portuguese:60|English:30|Spanish:10,100,23,1,Bachelor's,10,10,10,9,9,9,5,10,7,9,,,,,24,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-08-16T15:49:17.340Z,U5HGUVVZ,2026-08-16,2026-08-16,12:49:17,2026-08-16 12:49:17,,,,,,,,697a67a01ede7b9c39fe6214,697a67a01ede7b9c39fe6214,,,,
1000,raw_position_sample,2,2,int,1,4,9,10,-1,999,306,72,982857.3999999985,697a67a01ede7b9c39fe6214,697a67a01ede7b9c39fe6214,intermediate,4,697a67a01ede7b9c39fe6214,697a67a01ede7b9c39fe6214,spotlight_PROLIFIC,,27,Brazil,Portuguese,"English, Spanish",Spanish,Portuguese:60|English:30|Spanish:10,100,Portuguese:70|English:25|Spanish:5,100,Portuguese:60|English:30|Spanish:10,100,23,1,Bachelor's,10,10,10,9,9,9,5,10,7,9,,,,,24,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-08-16T15:49:17.340Z,U5HGUVVZ,2026-08-16,2026-08-16,12:49:17,2026-08-16 12:49:17,,,,,,,,697a67a01ede7b9c39fe6214,697a67a01ede7b9c39fe6214,,,,
1051,raw_position_sample,2,2,int,1,4,9,10,-1,999,306,72,982907.700000003,697a67a01ede7b9c39fe6214,697a67a01ede7b9c39fe6214,intermediate,4,697a67a01ede7b9c39fe6214,697a67a01ede7b9c39fe6214,spotlight_PROLIFIC,,27,Brazil,Portuguese,"English, Spanish",Spanish,Portuguese:60|English:30|Spanish:10,100,Portuguese:70|English:25|Spanish:5,100,Portuguese:60|English:30|Spanish:10,100,23,1,Bachelor's,10,10,10,9,9,9,5,10,7,9,,,,,24,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-08-16T15:49:17.340Z,U5HGUVVZ,2026-08-16,2026-08-16,12:49:17,2026-08-16 12:49:17,,,,,,,,697a67a01ede7b9c39fe6214,697a67a01ede7b9c39fe6214,,,,
1101,raw_position_sample,2,2,int,1,4,9,10,-1,999,306,72,982958.1000000015,697a67a01ede7b9c39fe6214,697a67a01ede7b9c39fe6214,intermediate,4,697a67a01ede7b9c39fe6214,697a67a01ede7b9c39fe6214,spotlight_PROLIFIC,,27,Brazil,Portuguese,"English, Spanish",Spanish,Portuguese:60|English:30|Spanish:10,100,Portuguese:70|English:25|Spanish:5,100,Portuguese:60|English:30|Spanish:10,100,23,1,Bachelor's,10,10,10,9,9,9,5,10,7,9,,,,,24,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-08-16T15:49:17.340Z,U5HGUVVZ,2026-08-16,2026-08-16,12:49:17,2026-08-16 12:49:17,,,,,,,,697a67a01ede7b9c39fe6214,697a67a01ede7b9c39fe6214,,,,
1151,raw_position_sample,2,2,int,1,4,9,10,-1,999,306,72,983008.3999999985,697a67a01ede7b9c39fe6214,697a67a01ede7b9c39fe6214,intermediate,4,697a67a01ede7b9c39fe6214,697a67a01ede7b9c39fe6214,spotlight_PROLIFIC,,27,Brazil,Portuguese,"English, Spanish",Spanish,Portuguese:60|English:30|Spanish:10,100,Portuguese:70|English:25|Spanish:5,100,Portuguese:60|English:30|Spanish:10,100,23,1,Bachelor's,10,10,10,9,9,9,5,10,7,9,,,,,24,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-08-16T15:49:17.340Z,U5HGUVVZ,2026-08-16,2026-08-16,12:49:17,2026-08-16 12:49:17,,,,,,,,697a67a01ede7b9c39fe6214,697a67a01ede7b9c39fe6214,,,,
1201,raw_position_sample,2,2,int,1,4,9,10,-1,999,306,72,983058,697a67a01ede7b9c39fe6214,697a67a01ede7b9c39fe6214,intermediate,4,697a67a01ede7b9c39fe6214,697a67a01ede7b9c39fe6214,spotlight_PROLIFIC,,27,Brazil,Portuguese,"English, Spanish",Spanish,Portuguese:60|English:30|Spanish:10,100,Portuguese:70|English:25|Spanish:5,100,Portuguese:60|English:30|Spanish:10,100,23,1,Bachelor's,10,10,10,9,9,9,5,10,7,9,,,,,24,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-08-16T15:49:17.340Z,U5HGUVVZ,2026-08-16,2026-08-16,12:49:17,2026-08-16 12:49:17,,,,,,,,697a67a01ede7b9c39fe6214,697a67a01ede7b9c39fe6214,,,,
1251,raw_position_sample,2,2,int,1,4,9,10,-1,999,306,72,983107.799999997,697a67a01ede7b9c39fe6214,697a67a01ede7b9c39fe6214,intermediate,4,697a67a01ede7b9c39fe6214,697a67a01ede7b9c39fe6214,spotlight_PROLIFIC,,27,Brazil,Portuguese,"English, Spanish",Spanish,Portuguese:60|English:30|Spanish:10,100,Portuguese:70|English:25|Spanish:5,100,Portuguese:60|English:30|Spanish:10,100,23,1,Bachelor's,10,10,10,9,9,9,5,10,7,9,,,,,24,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-08-16T15:49:17.340Z,U5HGUVVZ,2026-08-16,2026-08-16,12:49:17,2026-08-16 12:49:17,,,,,,,,697a67a01ede7b9c39fe6214,697a67a01ede7b9c39fe6214,,,,
1301,raw_position_sample,2,2,int,1,4,9,10,-1,999,306,72,983158.200000003,697a67a01ede7b9c39fe6214,697a67a01ede7b9c39fe6214,intermediate,4,697a67a01ede7b9c39fe6214,697a67a01ede7b9c39fe6214,spotlight_PROLIFIC,,27,Brazil,Portuguese,"English, Spanish",Spanish,Portuguese:60|English:30|Spanish:10,100,Portuguese:70|English:25|Spanish:5,100,Portuguese:60|English:30|Spanish:10,100,23,1,Bachelor's,10,10,10,9,9,9,5,10,7,9,,,,,24,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-08-16T15:49:17.340Z,U5HGUVVZ,2026-08-16,2026-08-16,12:49:17,2026-08-16 12:49:17,,,,,,,,697a67a01ede7b9c39fe6214,697a67a01ede7b9c39fe6214,,,,
1350,raw_position_sample,2,2,int,1,4,9,10,-1,999,306,72,983207.6000000015,697a67a01ede7b9c39fe6214,697a67a01ede7b9c39fe6214,intermediate,4,697a67a01ede7b9c39fe6214,697a67a01ede7b9c39fe6214,spotlight_PROLIFIC,,27,Brazil,Portuguese,"English, Spanish",Spanish,Portuguese:60|English:30|Spanish:10,100,Portuguese:70|English:25|Spanish:5,100,Portuguese:60|English:30|Spanish:10,100,23,1,Bachelor's,10,10,10,9,9,9,5,10,7,9,,,,,24,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-08-16T15:49:17.340Z,U5HGUVVZ,2026-08-16,2026-08-16,12:49:17,2026-08-16 12:49:17,,,,,,,,697a67a01ede7b9c39fe6214,697a67a01ede7b9c39fe6214,,,,
1400,raw_position_sample,2,2,int,1,4,9,10,-1,999,306,72,983257.5,697a67a01ede7b9c39fe6214,697a67a01ede7b9c39fe6214,intermediate,4,697a67a01ede7b9c39fe6214,697a67a01ede7b9c39fe6214,spotlight_PROLIFIC,,27,Brazil,Portuguese,"English, Spanish",Spanish,Portuguese:60|English:30|Spanish:10,100,Portuguese:70|English:25|Spanish:5,100,Portuguese:60|English:30|Spanish:10,100,23,1,Bachelor's,10,10,10,9,9,9,5,10,7,9,,,,,24,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-08-16T15:49:17.340Z,U5HGUVVZ,2026-08-16,2026-08-16,12:49:17,2026-08-16 12:49:17,,,,,,,,697a67a01ede7b9c39fe6214,697a67a01ede7b9c39fe6214,,,,
1451,raw_position_sample,2,2,int,1,4,9,10,-1,999,306,72,983307.799999997,697a67a01ede7b9c39fe6214,697a67a01ede7b9c39fe6214,intermediate,4,697a67a01ede7b9c39fe6214,697a67a01ede7b9c39fe6214,spotlight_PROLIFIC,,27,Brazil,Portuguese,"English, Spanish",Spanish,Portuguese:60|English:30|Spanish:10,100,Portuguese:70|English:25|Spanish:5,100,Portuguese:60|English:30|Spanish:10,100,23,1,Bachelor's,10,10,10,9,9,9,5,10,7,9,,,,,24,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-08-16T15:49:17.340Z,U5HGUVVZ,2026-08-16,2026-08-16,12:49:17,2026-08-16 12:49:17,,,,,,,,697a67a01ede7b9c39fe6214,697a67a01ede7b9c39fe6214,,,,
