responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,demo_other_english_test,demo_other_english_test_score,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
130,raw_position_sample,2,2,int,30,1,1,2,-1,999,372,83,621846,697a6e39e21f7782997a8cae,697a6e39e21f7782997a8cae,intermediate,1,697a6e39e21f7782997a8cae,697a6e39e21f7782997a8cae,spotlight_PROLIFIC,,46,Mexico,Spanish/,English,,Spanish/:40|English:60,100,Spanish/:1|English:99,100,Spanish/:50|English:50,100,18,0,High school,10,10,10,10,10,10,4,11,6,10,TOEFL,115,,,,,23,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-22T21:14:35.020Z,56W37BLD,2026-09-22,2026-09-22,15:14:35,2026-09-22 15:14:35,,,,,,,,697a6e39e21f7782997a8cae,697a6e39e21f7782997a8cae,,,,
181,raw_position_sample,2,2,int,30,1,1,2,-1,999,372,83,621896.1000000015,697a6e39e21f7782997a8cae,697a6e39e21f7782997a8cae,intermediate,1,697a6e39e21f7782997a8cae,697a6e39e21f7782997a8cae,spotlight_PROLIFIC,,46,Mexico,Spanish/,English,,Spanish/:40|English:60,100,Spanish/:1|English:99,100,Spanish/:50|English:50,100,18,0,High school,10,10,10,10,10,10,4,11,6,10,TOEFL,115,,,,,23,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-22T21:14:35.020Z,56W37BLD,2026-09-22,2026-09-22,15:14:35,2026-09-22 15:14:35,,,,,,,,697a6e39e21f7782997a8cae,697a6e39e21f7782997a8cae,,,,
228,raw_position_sample,2,2,int,30,1,1,2,-1,999,372,83,621943.8000000007,697a6e39e21f7782997a8cae,697a6e39e21f7782997a8cae,intermediate,1,697a6e39e21f7782997a8cae,697a6e39e21f7782997a8cae,spotlight_PROLIFIC,,46,Mexico,Spanish/,English,,Spanish/:40|English:60,100,Spanish/:1|English:99,100,Spanish/:50|English:50,100,18,0,High school,10,10,10,10,10,10,4,11,6,10,TOEFL,115,,,,,23,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-22T21:14:35.020Z,56W37BLD,2026-09-22,2026-09-22,15:14:35,2026-09-22 15:14:35,,,,,,,,697a6e39e21f7782997a8cae,697a6e39e21f7782997a8cae,,,,
284,raw_position_sample,2,2,int,30,1,1,2,-1,999,372,83,621999.8000000007,697a6e39e21f7782997a8cae,697a6e39e21f7782997a8cae,intermediate,1,697a6e39e21f7782997a8cae,697a6e39e21f7782997a8cae,spotlight_PROLIFIC,,46,Mexico,Spanish/,English,,Spanish/:40|English:60,100,Spanish/:1|English:99,100,Spanish/:50|English:50,100,18,0,High school,10,10,10,10,10,10,4,11,6,10,TOEFL,115,,,,,23,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-22T21:14:35.020Z,56W37BLD,2026-09-22,2026-09-22,15:14:35,2026-09-22 15:14:35,,,,,,,,697a6e39e21f7782997a8cae,697a6e39e21f7782997a8cae,,,,
324,raw_position_sample,2,2,int,30,1,1,2,-1,999,372,83,622039.6000000015,697a6e39e21f7782997a8cae,697a6e39e21f7782997a8cae,intermediate,1,697a6e39e21f7782997a8cae,697a6e39e21f7782997a8cae,spotlight_PROLIFIC,,46,Mexico,Spanish/,English,,Spanish/:40|English:60,100,Spanish/:1|English:99,100,Spanish/:50|English:50,100,18,0,High school,10,10,10,10,10,10,4,11,6,10,TOEFL,115,,,,,23,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-22T21:14:35.020Z,56W37BLD,2026-09-22,2026-09-22,15:14:35,2026-09-22 15:14:35,,,,,,,,697a6e39e21f7782997a8cae,697a6e39e21f7782997a8cae,,,,
380,raw_position_sample,2,2,int,30,1,1,2,-1,999,372,83,622095.1999999993,697a6e39e21f7782997a8cae,697a6e39e21f7782997a8cae,intermediate,1,697a6e39e21f7782997a8cae,697a6e39e21f7782997a8cae,spotlight_PROLIFIC,,46,Mexico,Spanish/,English,,Spanish/:40|English:60,100,Spanish/:1|English:99,100,Spanish/:50|English:50,100,18,0,High school,10,10,10,10,10,10,4,11,6,10,TOEFL,115,,,,,23,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-22T21:14:35.020Z,56W37BLD,2026-09-22,2026-09-22,15:14:35,2026-09-22 15:14:35,,,,,,,,697a6e39e21f7782997a8cae,697a6e39e21f7782997a8cae,,,,
428,raw_position_sample,2,2,int,30,1,1,2,-1,999,372,83,622143.6000000015,697a6e39e21f7782997a8cae,697a6e39e21f7782997a8cae,intermediate,1,697a6e39e21f7782997a8cae,697a6e39e21f7782997a8cae,spotlight_PROLIFIC,,46,Mexico,Spanish/,English,,Spanish/:40|English:60,100,Spanish/:1|English:99,100,Spanish/:50|English:50,100,18,0,High school,10,10,10,10,10,10,4,11,6,10,TOEFL,115,,,,,23,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-22T21:14:35.020Z,56W37BLD,2026-09-22,2026-09-22,15:14:35,2026-09-22 15:14:35,,,,,,,,697a6e39e21f7782997a8cae,697a6e39e21f7782997a8cae,,,,
476,raw_position_sample,2,2,int,30,1,1,2,-1,999,372,83,622191.8000000007,697a6e39e21f7782997a8cae,697a6e39e21f7782997a8cae,intermediate,1,697a6e39e21f7782997a8cae,697a6e39e21f7782997a8cae,spotlight_PROLIFIC,,46,Mexico,Spanish/,English,,Spanish/:40|English:60,100,Spanish/:1|English:99,100,Spanish/:50|English:50,100,18,0,High school,10,10,10,10,10,10,4,11,6,10,TOEFL,115,,,,,23,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-22T21:14:35.020Z,56W37BLD,2026-09-22,2026-09-22,15:14:35,2026-09-22 15:14:35,,,,,,,,697a6e39e21f7782997a8cae,697a6e39e21f7782997a8cae,,,,
523,raw_position_sample,2,2,int,30,1,1,2,-1,999,404,101,622238.1999999993,697a6e39e21f7782997a8cae,697a6e39e21f7782997a8cae,intermediate,1,697a6e39e21f7782997a8cae,697a6e39e21f7782997a8cae,spotlight_PROLIFIC,,46,Mexico,Spanish/,English,,Spanish/:40|English:60,100,Spanish/:1|English:99,100,Spanish/:50|English:50,100,18,0,High school,10,10,10,10,10,10,4,11,6,10,TOEFL,115,,,,,23,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-22T21:14:35.020Z,56W37BLD,2026-09-22,2026-09-22,15:14:35,2026-09-22 15:14:35,,,,,,,,697a6e39e21f7782997a8cae,697a6e39e21f7782997a8cae,,,,
579,raw_position_sample,2,2,int,30,1,1,2,-1,999,420,110,622294.1999999993,697a6e39e21f7782997a8cae,697a6e39e21f7782997a8cae,intermediate,1,697a6e39e21f7782997a8cae,697a6e39e21f7782997a8cae,spotlight_PROLIFIC,,46,Mexico,Spanish/,English,,Spanish/:40|English:60,100,Spanish/:1|English:99,100,Spanish/:50|English:50,100,18,0,High school,10,10,10,10,10,10,4,11,6,10,TOEFL,115,,,,,23,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-22T21:14:35.020Z,56W37BLD,2026-09-22,2026-09-22,15:14:35,2026-09-22 15:14:35,,,,,,,,697a6e39e21f7782997a8cae,697a6e39e21f7782997a8cae,,,,
