responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,demo_other_english_test,demo_other_english_test_score,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
35,raw_position_sample,2,3,adv,16,3,17,18,-1,999,225,57,993784.3999999985,6980d6c084e07e1b37bca3fd,6980d6c084e07e1b37bca3fd,advanced,3,6980d6c084e07e1b37bca3fd,6980d6c084e07e1b37bca3fd,spotlight_PROLIFIC,,27,Argentina,Spanish,"English, Portuguese",Portuguese,Spanish:30|English:60|Portuguese:10,100,Spanish:10|English:90|Portuguese:0,100,Spanish:70|English:30|Portuguese:0,100,20,1,Post-secondary,10,10,10,10,10,10,4,14,7,11,CEFR,C2,,,,,24,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-07-02T18:46:20.492Z,NQV9VUAZ,2026-07-02,2026-07-02,15:46:20,2026-07-02 15:46:20,,,,,,,,6980d6c084e07e1b37bca3fd,6980d6c084e07e1b37bca3fd,,,,
83,raw_position_sample,2,3,adv,16,3,17,18,-1,999,225,57,993832.8999999985,6980d6c084e07e1b37bca3fd,6980d6c084e07e1b37bca3fd,advanced,3,6980d6c084e07e1b37bca3fd,6980d6c084e07e1b37bca3fd,spotlight_PROLIFIC,,27,Argentina,Spanish,"English, Portuguese",Portuguese,Spanish:30|English:60|Portuguese:10,100,Spanish:10|English:90|Portuguese:0,100,Spanish:70|English:30|Portuguese:0,100,20,1,Post-secondary,10,10,10,10,10,10,4,14,7,11,CEFR,C2,,,,,24,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-07-02T18:46:20.492Z,NQV9VUAZ,2026-07-02,2026-07-02,15:46:20,2026-07-02 15:46:20,,,,,,,,6980d6c084e07e1b37bca3fd,6980d6c084e07e1b37bca3fd,,,,
143,raw_position_sample,2,3,adv,16,3,17,18,-1,999,225,57,993892.3999999985,6980d6c084e07e1b37bca3fd,6980d6c084e07e1b37bca3fd,advanced,3,6980d6c084e07e1b37bca3fd,6980d6c084e07e1b37bca3fd,spotlight_PROLIFIC,,27,Argentina,Spanish,"English, Portuguese",Portuguese,Spanish:30|English:60|Portuguese:10,100,Spanish:10|English:90|Portuguese:0,100,Spanish:70|English:30|Portuguese:0,100,20,1,Post-secondary,10,10,10,10,10,10,4,14,7,11,CEFR,C2,,,,,24,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-07-02T18:46:20.492Z,NQV9VUAZ,2026-07-02,2026-07-02,15:46:20,2026-07-02 15:46:20,,,,,,,,6980d6c084e07e1b37bca3fd,6980d6c084e07e1b37bca3fd,,,,
183,raw_position_sample,2,3,adv,16,3,17,18,-1,999,225,57,993932.5999999996,6980d6c084e07e1b37bca3fd,6980d6c084e07e1b37bca3fd,advanced,3,6980d6c084e07e1b37bca3fd,6980d6c084e07e1b37bca3fd,spotlight_PROLIFIC,,27,Argentina,Spanish,"English, Portuguese",Portuguese,Spanish:30|English:60|Portuguese:10,100,Spanish:10|English:90|Portuguese:0,100,Spanish:70|English:30|Portuguese:0,100,20,1,Post-secondary,10,10,10,10,10,10,4,14,7,11,CEFR,C2,,,,,24,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-07-02T18:46:20.492Z,NQV9VUAZ,2026-07-02,2026-07-02,15:46:20,2026-07-02 15:46:20,,,,,,,,6980d6c084e07e1b37bca3fd,6980d6c084e07e1b37bca3fd,,,,
233,raw_position_sample,2,3,adv,16,3,17,18,-1,999,225,57,993982.7999999989,6980d6c084e07e1b37bca3fd,6980d6c084e07e1b37bca3fd,advanced,3,6980d6c084e07e1b37bca3fd,6980d6c084e07e1b37bca3fd,spotlight_PROLIFIC,,27,Argentina,Spanish,"English, Portuguese",Portuguese,Spanish:30|English:60|Portuguese:10,100,Spanish:10|English:90|Portuguese:0,100,Spanish:70|English:30|Portuguese:0,100,20,1,Post-secondary,10,10,10,10,10,10,4,14,7,11,CEFR,C2,,,,,24,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-07-02T18:46:20.492Z,NQV9VUAZ,2026-07-02,2026-07-02,15:46:20,2026-07-02 15:46:20,,,,,,,,6980d6c084e07e1b37bca3fd,6980d6c084e07e1b37bca3fd,,,,
286,raw_position_sample,2,3,adv,16,3,17,18,-1,999,229,57,994035.3999999985,6980d6c084e07e1b37bca3fd,6980d6c084e07e1b37bca3fd,advanced,3,6980d6c084e07e1b37bca3fd,6980d6c084e07e1b37bca3fd,spotlight_PROLIFIC,,27,Argentina,Spanish,"English, Portuguese",Portuguese,Spanish:30|English:60|Portuguese:10,100,Spanish:10|English:90|Portuguese:0,100,Spanish:70|English:30|Portuguese:0,100,20,1,Post-secondary,10,10,10,10,10,10,4,14,7,11,CEFR,C2,,,,,24,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-07-02T18:46:20.492Z,NQV9VUAZ,2026-07-02,2026-07-02,15:46:20,2026-07-02 15:46:20,,,,,,,,6980d6c084e07e1b37bca3fd,6980d6c084e07e1b37bca3fd,,,,
335,raw_position_sample,2,3,adv,16,3,17,18,-1,999,243,60,994084.5,6980d6c084e07e1b37bca3fd,6980d6c084e07e1b37bca3fd,advanced,3,6980d6c084e07e1b37bca3fd,6980d6c084e07e1b37bca3fd,spotlight_PROLIFIC,,27,Argentina,Spanish,"English, Portuguese",Portuguese,Spanish:30|English:60|Portuguese:10,100,Spanish:10|English:90|Portuguese:0,100,Spanish:70|English:30|Portuguese:0,100,20,1,Post-secondary,10,10,10,10,10,10,4,14,7,11,CEFR,C2,,,,,24,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-07-02T18:46:20.492Z,NQV9VUAZ,2026-07-02,2026-07-02,15:46:20,2026-07-02 15:46:20,,,,,,,,6980d6c084e07e1b37bca3fd,6980d6c084e07e1b37bca3fd,,,,
385,raw_position_sample,2,3,adv,16,3,17,18,-1,999,261,60,994134.5,6980d6c084e07e1b37bca3fd,6980d6c084e07e1b37bca3fd,advanced,3,6980d6c084e07e1b37bca3fd,6980d6c084e07e1b37bca3fd,spotlight_PROLIFIC,,27,Argentina,Spanish,"English, Portuguese",Portuguese,Spanish:30|English:60|Portuguese:10,100,Spanish:10|English:90|Portuguese:0,100,Spanish:70|English:30|Portuguese:0,100,20,1,Post-secondary,10,10,10,10,10,10,4,14,7,11,CEFR,C2,,,,,24,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-07-02T18:46:20.492Z,NQV9VUAZ,2026-07-02,2026-07-02,15:46:20,2026-07-02 15:46:20,,,,,,,,6980d6c084e07e1b37bca3fd,6980d6c084e07e1b37bca3fd,,,,
435,raw_position_sample,2,3,adv,16,3,17,18,-1,999,295,64,994184.3999999985,6980d6c084e07e1b37bca3fd,6980d6c084e07e1b37bca3fd,advanced,3,6980d6c084e07e1b37bca3fd,6980d6c084e07e1b37bca3fd,spotlight_PROLIFIC,,27,Argentina,Spanish,"English, Portuguese",Portuguese,Spanish:30|English:60|Portuguese:10,100,Spanish:10|English:90|Portuguese:0,100,Spanish:70|English:30|Portuguese:0,100,20,1,Post-secondary,10,10,10,10,10,10,4,14,7,11,CEFR,C2,,,,,24,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-07-02T18:46:20.492Z,NQV9VUAZ,2026-07-02,2026-07-02,15:46:20,2026-07-02 15:46:20,,,,,,,,6980d6c084e07e1b37bca3fd,6980d6c084e07e1b37bca3fd,,,,
486,raw_position_sample,2,3,adv,16,3,17,18,1, The ,324,70,994235.2999999989,6980d6c084e07e1b37bca3fd,6980d6c084e07e1b37bca3fd,advanced,3,6980d6c084e07e1b37bca3fd,6980d6c084e07e1b37bca3fd,spotlight_PROLIFIC,,27,Argentina,Spanish,"English, Portuguese",Portuguese,Spanish:30|English:60|Portuguese:10,100,Spanish:10|English:90|Portuguese:0,100,Spanish:70|English:30|Portuguese:0,100,20,1,Post-secondary,10,10,10,10,10,10,4,14,7,11,CEFR,C2,,,,,24,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,65.671875,315.375,85.671875,351.40625,1,1,,,,,,,,,,,,2026-07-02T18:46:20.492Z,NQV9VUAZ,2026-07-02,2026-07-02,15:46:20,2026-07-02 15:46:20,,,,,,,,6980d6c084e07e1b37bca3fd,6980d6c084e07e1b37bca3fd,,,,
