responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
357,raw_position_sample,2,3,adv,22,2,7,8,15, banks ,562,154,1106273,69ea39918927908e0d8fc2c4,69ea39918927908e0d8fc2c4,158.703125,549.375,178.703125,602.421875,2,1,advanced,2,69ea39918927908e0d8fc2c4,69ea39918927908e0d8fc2c4,spotlight_PROLIFIC,,23,Brazil,Portuguese,"Portuguese, english, spanish.",spanish.,Portuguese:70|English:25|spanish.:5,100,Portuguese:60|English:40|spanish.:0,100,Portuguese:70|English:30|spanish.:0,100,23,5,Bachelor's,10,10,10,7,8,10,12,18,12,14,,,,,22,25,C1,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,2026-07-06T21:58:41.878Z,NZAF7Q8V,2026-07-06,2026-07-06,18:58:41,2026-07-06 18:58:41,,,,,,,,69ea39918927908e0d8fc2c4,69ea39918927908e0d8fc2c4,,,,
411,raw_position_sample,2,3,adv,22,2,7,8,15, banks ,581,164,1106326.400000006,69ea39918927908e0d8fc2c4,69ea39918927908e0d8fc2c4,158.703125,549.375,178.703125,602.421875,2,1,advanced,2,69ea39918927908e0d8fc2c4,69ea39918927908e0d8fc2c4,spotlight_PROLIFIC,,23,Brazil,Portuguese,"Portuguese, english, spanish.",spanish.,Portuguese:70|English:25|spanish.:5,100,Portuguese:60|English:40|spanish.:0,100,Portuguese:70|English:30|spanish.:0,100,23,5,Bachelor's,10,10,10,7,8,10,12,18,12,14,,,,,22,25,C1,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,2026-07-06T21:58:41.878Z,NZAF7Q8V,2026-07-06,2026-07-06,18:58:41,2026-07-06 18:58:41,,,,,,,,69ea39918927908e0d8fc2c4,69ea39918927908e0d8fc2c4,,,,
472,raw_position_sample,2,3,adv,22,2,7,8,15, banks ,581,164,1106387.299999997,69ea39918927908e0d8fc2c4,69ea39918927908e0d8fc2c4,158.703125,549.375,178.703125,602.421875,2,1,advanced,2,69ea39918927908e0d8fc2c4,69ea39918927908e0d8fc2c4,spotlight_PROLIFIC,,23,Brazil,Portuguese,"Portuguese, english, spanish.",spanish.,Portuguese:70|English:25|spanish.:5,100,Portuguese:60|English:40|spanish.:0,100,Portuguese:70|English:30|spanish.:0,100,23,5,Bachelor's,10,10,10,7,8,10,12,18,12,14,,,,,22,25,C1,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,2026-07-06T21:58:41.878Z,NZAF7Q8V,2026-07-06,2026-07-06,18:58:41,2026-07-06 18:58:41,,,,,,,,69ea39918927908e0d8fc2c4,69ea39918927908e0d8fc2c4,,,,
507,raw_position_sample,2,3,adv,22,2,7,8,15, banks ,582,163,1106422.599999994,69ea39918927908e0d8fc2c4,69ea39918927908e0d8fc2c4,158.703125,549.375,178.703125,602.421875,2,1,advanced,2,69ea39918927908e0d8fc2c4,69ea39918927908e0d8fc2c4,spotlight_PROLIFIC,,23,Brazil,Portuguese,"Portuguese, english, spanish.",spanish.,Portuguese:70|English:25|spanish.:5,100,Portuguese:60|English:40|spanish.:0,100,Portuguese:70|English:30|spanish.:0,100,23,5,Bachelor's,10,10,10,7,8,10,12,18,12,14,,,,,22,25,C1,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,2026-07-06T21:58:41.878Z,NZAF7Q8V,2026-07-06,2026-07-06,18:58:41,2026-07-06 18:58:41,,,,,,,,69ea39918927908e0d8fc2c4,69ea39918927908e0d8fc2c4,,,,
565,raw_position_sample,2,3,adv,22,2,7,8,15, banks ,576,152,1106481.099999994,69ea39918927908e0d8fc2c4,69ea39918927908e0d8fc2c4,158.703125,549.375,178.703125,602.421875,2,1,advanced,2,69ea39918927908e0d8fc2c4,69ea39918927908e0d8fc2c4,spotlight_PROLIFIC,,23,Brazil,Portuguese,"Portuguese, english, spanish.",spanish.,Portuguese:70|English:25|spanish.:5,100,Portuguese:60|English:40|spanish.:0,100,Portuguese:70|English:30|spanish.:0,100,23,5,Bachelor's,10,10,10,7,8,10,12,18,12,14,,,,,22,25,C1,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,2026-07-06T21:58:41.878Z,NZAF7Q8V,2026-07-06,2026-07-06,18:58:41,2026-07-06 18:58:41,,,,,,,,69ea39918927908e0d8fc2c4,69ea39918927908e0d8fc2c4,,,,
584,hover_association,2,3,adv,22,2,7,8,15, banks ,562,154,,69ea39918927908e0d8fc2c4,69ea39918927908e0d8fc2c4,148.703125,545.4583333333334,188.703125,602.421875,2,1,advanced,2,69ea39918927908e0d8fc2c4,69ea39918927908e0d8fc2c4,spotlight_PROLIFIC,,23,Brazil,Portuguese,"Portuguese, english, spanish.",spanish.,Portuguese:70|English:25|spanish.:5,100,Portuguese:60|English:40|spanish.:0,100,Portuguese:70|English:30|spanish.:0,100,23,5,Bachelor's,10,10,10,7,8,10,12,18,12,14,,,,,22,25,C1,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,hover,233.40000000596046,233.40000000596046,0.5186065648715367,0.032421875,76,,,,,,2026-07-06T21:58:41.878Z,NZAF7Q8V,2026-07-06,2026-07-06,18:58:41,2026-07-06 18:58:41,,,,,,,,69ea39918927908e0d8fc2c4,69ea39918927908e0d8fc2c4,,,,
615,raw_position_sample,2,3,adv,22,2,7,8,1, From ,571,145,1106530.599999994,69ea39918927908e0d8fc2c4,69ea39918927908e0d8fc2c4,118.703125,549.375,138.703125,596.375,1,1,advanced,2,69ea39918927908e0d8fc2c4,69ea39918927908e0d8fc2c4,spotlight_PROLIFIC,,23,Brazil,Portuguese,"Portuguese, english, spanish.",spanish.,Portuguese:70|English:25|spanish.:5,100,Portuguese:60|English:40|spanish.:0,100,Portuguese:70|English:30|spanish.:0,100,23,5,Bachelor's,10,10,10,7,8,10,12,18,12,14,,,,,22,25,C1,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,2026-07-06T21:58:41.878Z,NZAF7Q8V,2026-07-06,2026-07-06,18:58:41,2026-07-06 18:58:41,,,,,,,,69ea39918927908e0d8fc2c4,69ea39918927908e0d8fc2c4,,,,
661,raw_position_sample,2,3,adv,22,2,7,8,1, From ,566,137,1106577.099999994,69ea39918927908e0d8fc2c4,69ea39918927908e0d8fc2c4,118.703125,549.375,138.703125,596.375,1,1,advanced,2,69ea39918927908e0d8fc2c4,69ea39918927908e0d8fc2c4,spotlight_PROLIFIC,,23,Brazil,Portuguese,"Portuguese, english, spanish.",spanish.,Portuguese:70|English:25|spanish.:5,100,Portuguese:60|English:40|spanish.:0,100,Portuguese:70|English:30|spanish.:0,100,23,5,Bachelor's,10,10,10,7,8,10,12,18,12,14,,,,,22,25,C1,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,2026-07-06T21:58:41.878Z,NZAF7Q8V,2026-07-06,2026-07-06,18:58:41,2026-07-06 18:58:41,,,,,,,,69ea39918927908e0d8fc2c4,69ea39918927908e0d8fc2c4,,,,
708,raw_position_sample,2,3,adv,22,2,7,8,1, From ,564,136,1106624,69ea39918927908e0d8fc2c4,69ea39918927908e0d8fc2c4,118.703125,549.375,138.703125,596.375,1,1,advanced,2,69ea39918927908e0d8fc2c4,69ea39918927908e0d8fc2c4,spotlight_PROLIFIC,,23,Brazil,Portuguese,"Portuguese, english, spanish.",spanish.,Portuguese:70|English:25|spanish.:5,100,Portuguese:60|English:40|spanish.:0,100,Portuguese:70|English:30|spanish.:0,100,23,5,Bachelor's,10,10,10,7,8,10,12,18,12,14,,,,,22,25,C1,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,2026-07-06T21:58:41.878Z,NZAF7Q8V,2026-07-06,2026-07-06,18:58:41,2026-07-06 18:58:41,,,,,,,,69ea39918927908e0d8fc2c4,69ea39918927908e0d8fc2c4,,,,
756,raw_position_sample,2,3,adv,22,2,7,8,1, From ,564,136,1106671.900000006,69ea39918927908e0d8fc2c4,69ea39918927908e0d8fc2c4,118.703125,549.375,138.703125,596.375,1,1,advanced,2,69ea39918927908e0d8fc2c4,69ea39918927908e0d8fc2c4,spotlight_PROLIFIC,,23,Brazil,Portuguese,"Portuguese, english, spanish.",spanish.,Portuguese:70|English:25|spanish.:5,100,Portuguese:60|English:40|spanish.:0,100,Portuguese:70|English:30|spanish.:0,100,23,5,Bachelor's,10,10,10,7,8,10,12,18,12,14,,,,,22,25,C1,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,2026-07-06T21:58:41.878Z,NZAF7Q8V,2026-07-06,2026-07-06,18:58:41,2026-07-06 18:58:41,,,,,,,,69ea39918927908e0d8fc2c4,69ea39918927908e0d8fc2c4,,,,
