responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,demo_other_english_test,demo_other_english_test_score,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
51,raw_position_sample,2,2,int,7,1,6,7,-1,999,526,105,1937674.7999999523,69e7016e0394fd7c239d5f0c,69e7016e0394fd7c239d5f0c,intermediate,1,69e7016e0394fd7c239d5f0c,69e7016e0394fd7c239d5f0c,spotlight_PROLIFIC,,46,México,Spanish,English,,Spanish:40|English:60,100,Spanish:60|English:40,100,Spanish:80|English:20,100,16,0,Bachelor's,10,10,10,8,9,9,20,24,16,22,TOEFL,92,,,,,17,25,B1,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-22T15:59:34.450Z,HWH7G2A4,2026-09-22,2026-09-22,09:59:34,2026-09-22 09:59:34,,,,,,,,69e7016e0394fd7c239d5f0c,69e7016e0394fd7c239d5f0c,,,,
97,raw_position_sample,2,2,int,7,1,6,7,-1,999,522,102,1937720.2999999523,69e7016e0394fd7c239d5f0c,69e7016e0394fd7c239d5f0c,intermediate,1,69e7016e0394fd7c239d5f0c,69e7016e0394fd7c239d5f0c,spotlight_PROLIFIC,,46,México,Spanish,English,,Spanish:40|English:60,100,Spanish:60|English:40,100,Spanish:80|English:20,100,16,0,Bachelor's,10,10,10,8,9,9,20,24,16,22,TOEFL,92,,,,,17,25,B1,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-22T15:59:34.450Z,HWH7G2A4,2026-09-22,2026-09-22,09:59:34,2026-09-22 09:59:34,,,,,,,,69e7016e0394fd7c239d5f0c,69e7016e0394fd7c239d5f0c,,,,
144,raw_position_sample,2,2,int,7,1,6,7,-1,999,521,101,1937767.699999988,69e7016e0394fd7c239d5f0c,69e7016e0394fd7c239d5f0c,intermediate,1,69e7016e0394fd7c239d5f0c,69e7016e0394fd7c239d5f0c,spotlight_PROLIFIC,,46,México,Spanish,English,,Spanish:40|English:60,100,Spanish:60|English:40,100,Spanish:80|English:20,100,16,0,Bachelor's,10,10,10,8,9,9,20,24,16,22,TOEFL,92,,,,,17,25,B1,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-22T15:59:34.450Z,HWH7G2A4,2026-09-22,2026-09-22,09:59:34,2026-09-22 09:59:34,,,,,,,,69e7016e0394fd7c239d5f0c,69e7016e0394fd7c239d5f0c,,,,
195,raw_position_sample,2,2,int,7,1,6,7,-1,999,521,101,1937818.7999999523,69e7016e0394fd7c239d5f0c,69e7016e0394fd7c239d5f0c,intermediate,1,69e7016e0394fd7c239d5f0c,69e7016e0394fd7c239d5f0c,spotlight_PROLIFIC,,46,México,Spanish,English,,Spanish:40|English:60,100,Spanish:60|English:40,100,Spanish:80|English:20,100,16,0,Bachelor's,10,10,10,8,9,9,20,24,16,22,TOEFL,92,,,,,17,25,B1,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-22T15:59:34.450Z,HWH7G2A4,2026-09-22,2026-09-22,09:59:34,2026-09-22 09:59:34,,,,,,,,69e7016e0394fd7c239d5f0c,69e7016e0394fd7c239d5f0c,,,,
244,raw_position_sample,2,2,int,7,1,6,7,-1,999,521,101,1937868.0999999642,69e7016e0394fd7c239d5f0c,69e7016e0394fd7c239d5f0c,intermediate,1,69e7016e0394fd7c239d5f0c,69e7016e0394fd7c239d5f0c,spotlight_PROLIFIC,,46,México,Spanish,English,,Spanish:40|English:60,100,Spanish:60|English:40,100,Spanish:80|English:20,100,16,0,Bachelor's,10,10,10,8,9,9,20,24,16,22,TOEFL,92,,,,,17,25,B1,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-22T15:59:34.450Z,HWH7G2A4,2026-09-22,2026-09-22,09:59:34,2026-09-22 09:59:34,,,,,,,,69e7016e0394fd7c239d5f0c,69e7016e0394fd7c239d5f0c,,,,
308,raw_position_sample,2,2,int,7,1,6,7,-1,999,521,101,1937931.3999999762,69e7016e0394fd7c239d5f0c,69e7016e0394fd7c239d5f0c,intermediate,1,69e7016e0394fd7c239d5f0c,69e7016e0394fd7c239d5f0c,spotlight_PROLIFIC,,46,México,Spanish,English,,Spanish:40|English:60,100,Spanish:60|English:40,100,Spanish:80|English:20,100,16,0,Bachelor's,10,10,10,8,9,9,20,24,16,22,TOEFL,92,,,,,17,25,B1,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-22T15:59:34.450Z,HWH7G2A4,2026-09-22,2026-09-22,09:59:34,2026-09-22 09:59:34,,,,,,,,69e7016e0394fd7c239d5f0c,69e7016e0394fd7c239d5f0c,,,,
360,raw_position_sample,2,2,int,7,1,6,7,-1,999,521,101,1937983.7999999523,69e7016e0394fd7c239d5f0c,69e7016e0394fd7c239d5f0c,intermediate,1,69e7016e0394fd7c239d5f0c,69e7016e0394fd7c239d5f0c,spotlight_PROLIFIC,,46,México,Spanish,English,,Spanish:40|English:60,100,Spanish:60|English:40,100,Spanish:80|English:20,100,16,0,Bachelor's,10,10,10,8,9,9,20,24,16,22,TOEFL,92,,,,,17,25,B1,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-22T15:59:34.450Z,HWH7G2A4,2026-09-22,2026-09-22,09:59:34,2026-09-22 09:59:34,,,,,,,,69e7016e0394fd7c239d5f0c,69e7016e0394fd7c239d5f0c,,,,
396,raw_position_sample,2,2,int,7,1,6,7,-1,999,521,101,1938019.699999988,69e7016e0394fd7c239d5f0c,69e7016e0394fd7c239d5f0c,intermediate,1,69e7016e0394fd7c239d5f0c,69e7016e0394fd7c239d5f0c,spotlight_PROLIFIC,,46,México,Spanish,English,,Spanish:40|English:60,100,Spanish:60|English:40,100,Spanish:80|English:20,100,16,0,Bachelor's,10,10,10,8,9,9,20,24,16,22,TOEFL,92,,,,,17,25,B1,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-22T15:59:34.450Z,HWH7G2A4,2026-09-22,2026-09-22,09:59:34,2026-09-22 09:59:34,,,,,,,,69e7016e0394fd7c239d5f0c,69e7016e0394fd7c239d5f0c,,,,
446,raw_position_sample,2,2,int,7,1,6,7,-1,999,521,101,1938069.3999999762,69e7016e0394fd7c239d5f0c,69e7016e0394fd7c239d5f0c,intermediate,1,69e7016e0394fd7c239d5f0c,69e7016e0394fd7c239d5f0c,spotlight_PROLIFIC,,46,México,Spanish,English,,Spanish:40|English:60,100,Spanish:60|English:40,100,Spanish:80|English:20,100,16,0,Bachelor's,10,10,10,8,9,9,20,24,16,22,TOEFL,92,,,,,17,25,B1,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-22T15:59:34.450Z,HWH7G2A4,2026-09-22,2026-09-22,09:59:34,2026-09-22 09:59:34,,,,,,,,69e7016e0394fd7c239d5f0c,69e7016e0394fd7c239d5f0c,,,,
501,raw_position_sample,2,2,int,7,1,6,7,-1,999,521,101,1938124.5,69e7016e0394fd7c239d5f0c,69e7016e0394fd7c239d5f0c,intermediate,1,69e7016e0394fd7c239d5f0c,69e7016e0394fd7c239d5f0c,spotlight_PROLIFIC,,46,México,Spanish,English,,Spanish:40|English:60,100,Spanish:60|English:40,100,Spanish:80|English:20,100,16,0,Bachelor's,10,10,10,8,9,9,20,24,16,22,TOEFL,92,,,,,17,25,B1,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-22T15:59:34.450Z,HWH7G2A4,2026-09-22,2026-09-22,09:59:34,2026-09-22 09:59:34,,,,,,,,69e7016e0394fd7c239d5f0c,69e7016e0394fd7c239d5f0c,,,,
