responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
59,raw_position_sample,2,3,adv,29,3,3,4,-1,999,290,55,1839122.1999998093,5e522598d5aa4824b5829900,5e522598d5aa4824b5829900,advanced,3,5e522598d5aa4824b5829900,5e522598d5aa4824b5829900,spotlight_PROLIFIC,,42,México,Spanish,NA,,Spanish:100|English:0,100,Spanish:80|English:20,100,Spanish:100|English:0,100,18,0,Bachelor's,10,10,10,7,7,8,10,18,11,16,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-22T17:51:16.438Z,ZAWTWG8J,2026-09-22,2026-09-22,11:51:16,2026-09-22 11:51:16,,,,,,,,5e522598d5aa4824b5829900,5e522598d5aa4824b5829900,,,,
94,raw_position_sample,2,3,adv,29,3,3,4,-1,999,282,60,1839156.9000000954,5e522598d5aa4824b5829900,5e522598d5aa4824b5829900,advanced,3,5e522598d5aa4824b5829900,5e522598d5aa4824b5829900,spotlight_PROLIFIC,,42,México,Spanish,NA,,Spanish:100|English:0,100,Spanish:80|English:20,100,Spanish:100|English:0,100,18,0,Bachelor's,10,10,10,7,7,8,10,18,11,16,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-22T17:51:16.438Z,ZAWTWG8J,2026-09-22,2026-09-22,11:51:16,2026-09-22 11:51:16,,,,,,,,5e522598d5aa4824b5829900,5e522598d5aa4824b5829900,,,,
151,raw_position_sample,2,3,adv,29,3,3,4,-1,999,282,60,1839214,5e522598d5aa4824b5829900,5e522598d5aa4824b5829900,advanced,3,5e522598d5aa4824b5829900,5e522598d5aa4824b5829900,spotlight_PROLIFIC,,42,México,Spanish,NA,,Spanish:100|English:0,100,Spanish:80|English:20,100,Spanish:100|English:0,100,18,0,Bachelor's,10,10,10,7,7,8,10,18,11,16,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-22T17:51:16.438Z,ZAWTWG8J,2026-09-22,2026-09-22,11:51:16,2026-09-22 11:51:16,,,,,,,,5e522598d5aa4824b5829900,5e522598d5aa4824b5829900,,,,
197,raw_position_sample,2,3,adv,29,3,3,4,-1,999,282,60,1839260.299999714,5e522598d5aa4824b5829900,5e522598d5aa4824b5829900,advanced,3,5e522598d5aa4824b5829900,5e522598d5aa4824b5829900,spotlight_PROLIFIC,,42,México,Spanish,NA,,Spanish:100|English:0,100,Spanish:80|English:20,100,Spanish:100|English:0,100,18,0,Bachelor's,10,10,10,7,7,8,10,18,11,16,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-22T17:51:16.438Z,ZAWTWG8J,2026-09-22,2026-09-22,11:51:16,2026-09-22 11:51:16,,,,,,,,5e522598d5aa4824b5829900,5e522598d5aa4824b5829900,,,,
243,raw_position_sample,2,3,adv,29,3,3,4,-1,999,282,60,1839306.5,5e522598d5aa4824b5829900,5e522598d5aa4824b5829900,advanced,3,5e522598d5aa4824b5829900,5e522598d5aa4824b5829900,spotlight_PROLIFIC,,42,México,Spanish,NA,,Spanish:100|English:0,100,Spanish:80|English:20,100,Spanish:100|English:0,100,18,0,Bachelor's,10,10,10,7,7,8,10,18,11,16,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-22T17:51:16.438Z,ZAWTWG8J,2026-09-22,2026-09-22,11:51:16,2026-09-22 11:51:16,,,,,,,,5e522598d5aa4824b5829900,5e522598d5aa4824b5829900,,,,
306,raw_position_sample,2,3,adv,29,3,3,4,-1,999,282,60,1839369.1999998093,5e522598d5aa4824b5829900,5e522598d5aa4824b5829900,advanced,3,5e522598d5aa4824b5829900,5e522598d5aa4824b5829900,spotlight_PROLIFIC,,42,México,Spanish,NA,,Spanish:100|English:0,100,Spanish:80|English:20,100,Spanish:100|English:0,100,18,0,Bachelor's,10,10,10,7,7,8,10,18,11,16,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-22T17:51:16.438Z,ZAWTWG8J,2026-09-22,2026-09-22,11:51:16,2026-09-22 11:51:16,,,,,,,,5e522598d5aa4824b5829900,5e522598d5aa4824b5829900,,,,
353,raw_position_sample,2,3,adv,29,3,3,4,-1,999,282,60,1839415.9000000954,5e522598d5aa4824b5829900,5e522598d5aa4824b5829900,advanced,3,5e522598d5aa4824b5829900,5e522598d5aa4824b5829900,spotlight_PROLIFIC,,42,México,Spanish,NA,,Spanish:100|English:0,100,Spanish:80|English:20,100,Spanish:100|English:0,100,18,0,Bachelor's,10,10,10,7,7,8,10,18,11,16,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-22T17:51:16.438Z,ZAWTWG8J,2026-09-22,2026-09-22,11:51:16,2026-09-22 11:51:16,,,,,,,,5e522598d5aa4824b5829900,5e522598d5aa4824b5829900,,,,
399,raw_position_sample,2,3,adv,29,3,3,4,-1,999,282,60,1839462.4000000954,5e522598d5aa4824b5829900,5e522598d5aa4824b5829900,advanced,3,5e522598d5aa4824b5829900,5e522598d5aa4824b5829900,spotlight_PROLIFIC,,42,México,Spanish,NA,,Spanish:100|English:0,100,Spanish:80|English:20,100,Spanish:100|English:0,100,18,0,Bachelor's,10,10,10,7,7,8,10,18,11,16,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-22T17:51:16.438Z,ZAWTWG8J,2026-09-22,2026-09-22,11:51:16,2026-09-22 11:51:16,,,,,,,,5e522598d5aa4824b5829900,5e522598d5aa4824b5829900,,,,
445,raw_position_sample,2,3,adv,29,3,3,4,-1,999,282,60,1839508.4000000954,5e522598d5aa4824b5829900,5e522598d5aa4824b5829900,advanced,3,5e522598d5aa4824b5829900,5e522598d5aa4824b5829900,spotlight_PROLIFIC,,42,México,Spanish,NA,,Spanish:100|English:0,100,Spanish:80|English:20,100,Spanish:100|English:0,100,18,0,Bachelor's,10,10,10,7,7,8,10,18,11,16,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-22T17:51:16.438Z,ZAWTWG8J,2026-09-22,2026-09-22,11:51:16,2026-09-22 11:51:16,,,,,,,,5e522598d5aa4824b5829900,5e522598d5aa4824b5829900,,,,
492,raw_position_sample,2,3,adv,29,3,3,4,-1,999,282,60,1839554.9000000954,5e522598d5aa4824b5829900,5e522598d5aa4824b5829900,advanced,3,5e522598d5aa4824b5829900,5e522598d5aa4824b5829900,spotlight_PROLIFIC,,42,México,Spanish,NA,,Spanish:100|English:0,100,Spanish:80|English:20,100,Spanish:100|English:0,100,18,0,Bachelor's,10,10,10,7,7,8,10,18,11,16,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-22T17:51:16.438Z,ZAWTWG8J,2026-09-22,2026-09-22,11:51:16,2026-09-22 11:51:16,,,,,,,,5e522598d5aa4824b5829900,5e522598d5aa4824b5829900,,,,
