responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,demo_other_english_test,demo_other_english_test_score,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
651,raw_position_sample,2,2,int,16,3,12,13,2, removal ,668,139,1613882.1000000015,697a68b4be90614fc34aa25c,697a68b4be90614fc34aa25c,intermediate,3,697a68b4be90614fc34aa25c,697a68b4be90614fc34aa25c,spotlight_PROLIFIC,,26,Mexico,Spanish,English,,Spanish:85|English:15,100,Spanish:40|English:60,100,Spanish:75|English:25,100,17,4,Bachelor's,10,10,10,8,9,10,18,23,21,24,CEFR,C2,,,,,18,25,B1,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,19,random,,123.265625,661.40625,143.265625,730.4375,1,2,,,,,,,,,,,,2026-09-22T16:10:10.433Z,32VZA45H,2026-09-22,2026-09-22,10:10:10,2026-09-22 10:10:10,,,,,,,,697a68b4be90614fc34aa25c,697a68b4be90614fc34aa25c,,,,
701,raw_position_sample,2,2,int,16,3,12,13,2, removal ,668,139,1613931.6000000015,697a68b4be90614fc34aa25c,697a68b4be90614fc34aa25c,intermediate,3,697a68b4be90614fc34aa25c,697a68b4be90614fc34aa25c,spotlight_PROLIFIC,,26,Mexico,Spanish,English,,Spanish:85|English:15,100,Spanish:40|English:60,100,Spanish:75|English:25,100,17,4,Bachelor's,10,10,10,8,9,10,18,23,21,24,CEFR,C2,,,,,18,25,B1,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,19,random,,123.265625,661.40625,143.265625,730.4375,1,2,,,,,,,,,,,,2026-09-22T16:10:10.433Z,32VZA45H,2026-09-22,2026-09-22,10:10:10,2026-09-22 10:10:10,,,,,,,,697a68b4be90614fc34aa25c,697a68b4be90614fc34aa25c,,,,
756,raw_position_sample,2,2,int,16,3,12,13,2, removal ,665,139,1613986.200000003,697a68b4be90614fc34aa25c,697a68b4be90614fc34aa25c,intermediate,3,697a68b4be90614fc34aa25c,697a68b4be90614fc34aa25c,spotlight_PROLIFIC,,26,Mexico,Spanish,English,,Spanish:85|English:15,100,Spanish:40|English:60,100,Spanish:75|English:25,100,17,4,Bachelor's,10,10,10,8,9,10,18,23,21,24,CEFR,C2,,,,,18,25,B1,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,19,random,,123.265625,661.40625,143.265625,730.4375,1,2,,,,,,,,,,,,2026-09-22T16:10:10.433Z,32VZA45H,2026-09-22,2026-09-22,10:10:10,2026-09-22 10:10:10,,,,,,,,697a68b4be90614fc34aa25c,697a68b4be90614fc34aa25c,,,,
801,raw_position_sample,2,2,int,16,3,12,13,2, removal ,663,139,1614031.200000003,697a68b4be90614fc34aa25c,697a68b4be90614fc34aa25c,intermediate,3,697a68b4be90614fc34aa25c,697a68b4be90614fc34aa25c,spotlight_PROLIFIC,,26,Mexico,Spanish,English,,Spanish:85|English:15,100,Spanish:40|English:60,100,Spanish:75|English:25,100,17,4,Bachelor's,10,10,10,8,9,10,18,23,21,24,CEFR,C2,,,,,18,25,B1,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,19,random,,123.265625,661.40625,143.265625,730.4375,1,2,,,,,,,,,,,,2026-09-22T16:10:10.433Z,32VZA45H,2026-09-22,2026-09-22,10:10:10,2026-09-22 10:10:10,,,,,,,,697a68b4be90614fc34aa25c,697a68b4be90614fc34aa25c,,,,
817,hover_association,2,2,int,16,3,12,13,2, removal ,664,140,,697a68b4be90614fc34aa25c,697a68b4be90614fc34aa25c,intermediate,3,697a68b4be90614fc34aa25c,697a68b4be90614fc34aa25c,spotlight_PROLIFIC,,26,Mexico,Spanish,English,,Spanish:85|English:15,100,Spanish:40|English:60,100,Spanish:75|English:25,100,17,4,Bachelor's,10,10,10,8,9,10,18,23,21,24,CEFR,C2,,,,,18,25,B1,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,19,random,,113.265625,661.40625,153.265625,730.4375,1,2,hover,199.79999999701977,199.79999999701977,0.008601177003168854,0.643359375,116,,,,,,2026-09-22T16:10:10.433Z,32VZA45H,2026-09-22,2026-09-22,10:10:10,2026-09-22 10:10:10,,,,,,,,697a68b4be90614fc34aa25c,697a68b4be90614fc34aa25c,,,,
852,raw_position_sample,2,2,int,16,3,12,13,1, The ,652,139,1614082.5,697a68b4be90614fc34aa25c,697a68b4be90614fc34aa25c,intermediate,3,697a68b4be90614fc34aa25c,697a68b4be90614fc34aa25c,spotlight_PROLIFIC,,26,Mexico,Spanish,English,,Spanish:85|English:15,100,Spanish:40|English:60,100,Spanish:75|English:25,100,17,4,Bachelor's,10,10,10,8,9,10,18,23,21,24,CEFR,C2,,,,,18,25,B1,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,19,random,,123.265625,625.375,143.265625,661.40625,1,1,,,,,,,,,,,,2026-09-22T16:10:10.433Z,32VZA45H,2026-09-22,2026-09-22,10:10:10,2026-09-22 10:10:10,,,,,,,,697a68b4be90614fc34aa25c,697a68b4be90614fc34aa25c,,,,
900,raw_position_sample,2,2,int,16,3,12,13,1, The ,647,139,1614131,697a68b4be90614fc34aa25c,697a68b4be90614fc34aa25c,intermediate,3,697a68b4be90614fc34aa25c,697a68b4be90614fc34aa25c,spotlight_PROLIFIC,,26,Mexico,Spanish,English,,Spanish:85|English:15,100,Spanish:40|English:60,100,Spanish:75|English:25,100,17,4,Bachelor's,10,10,10,8,9,10,18,23,21,24,CEFR,C2,,,,,18,25,B1,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,19,random,,123.265625,625.375,143.265625,661.40625,1,1,,,,,,,,,,,,2026-09-22T16:10:10.433Z,32VZA45H,2026-09-22,2026-09-22,10:10:10,2026-09-22 10:10:10,,,,,,,,697a68b4be90614fc34aa25c,697a68b4be90614fc34aa25c,,,,
952,raw_position_sample,2,2,int,16,3,12,13,1, The ,646,140,1614182.299999997,697a68b4be90614fc34aa25c,697a68b4be90614fc34aa25c,intermediate,3,697a68b4be90614fc34aa25c,697a68b4be90614fc34aa25c,spotlight_PROLIFIC,,26,Mexico,Spanish,English,,Spanish:85|English:15,100,Spanish:40|English:60,100,Spanish:75|English:25,100,17,4,Bachelor's,10,10,10,8,9,10,18,23,21,24,CEFR,C2,,,,,18,25,B1,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,19,random,,123.265625,625.375,143.265625,661.40625,1,1,,,,,,,,,,,,2026-09-22T16:10:10.433Z,32VZA45H,2026-09-22,2026-09-22,10:10:10,2026-09-22 10:10:10,,,,,,,,697a68b4be90614fc34aa25c,697a68b4be90614fc34aa25c,,,,
1012,raw_position_sample,2,2,int,16,3,12,13,1, The ,646,140,1614243,697a68b4be90614fc34aa25c,697a68b4be90614fc34aa25c,intermediate,3,697a68b4be90614fc34aa25c,697a68b4be90614fc34aa25c,spotlight_PROLIFIC,,26,Mexico,Spanish,English,,Spanish:85|English:15,100,Spanish:40|English:60,100,Spanish:75|English:25,100,17,4,Bachelor's,10,10,10,8,9,10,18,23,21,24,CEFR,C2,,,,,18,25,B1,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,19,random,,123.265625,625.375,143.265625,661.40625,1,1,,,,,,,,,,,,2026-09-22T16:10:10.433Z,32VZA45H,2026-09-22,2026-09-22,10:10:10,2026-09-22 10:10:10,,,,,,,,697a68b4be90614fc34aa25c,697a68b4be90614fc34aa25c,,,,
1060,raw_position_sample,2,2,int,16,3,12,13,1, The ,646,140,1614290.5,697a68b4be90614fc34aa25c,697a68b4be90614fc34aa25c,intermediate,3,697a68b4be90614fc34aa25c,697a68b4be90614fc34aa25c,spotlight_PROLIFIC,,26,Mexico,Spanish,English,,Spanish:85|English:15,100,Spanish:40|English:60,100,Spanish:75|English:25,100,17,4,Bachelor's,10,10,10,8,9,10,18,23,21,24,CEFR,C2,,,,,18,25,B1,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,19,random,,123.265625,625.375,143.265625,661.40625,1,1,,,,,,,,,,,,2026-09-22T16:10:10.433Z,32VZA45H,2026-09-22,2026-09-22,10:10:10,2026-09-22 10:10:10,,,,,,,,697a68b4be90614fc34aa25c,697a68b4be90614fc34aa25c,,,,
1105,raw_position_sample,2,2,int,16,3,12,13,1, The ,645,139,1614335.799999997,697a68b4be90614fc34aa25c,697a68b4be90614fc34aa25c,intermediate,3,697a68b4be90614fc34aa25c,697a68b4be90614fc34aa25c,spotlight_PROLIFIC,,26,Mexico,Spanish,English,,Spanish:85|English:15,100,Spanish:40|English:60,100,Spanish:75|English:25,100,17,4,Bachelor's,10,10,10,8,9,10,18,23,21,24,CEFR,C2,,,,,18,25,B1,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,19,random,,123.265625,625.375,143.265625,661.40625,1,1,,,,,,,,,,,,2026-09-22T16:10:10.433Z,32VZA45H,2026-09-22,2026-09-22,10:10:10,2026-09-22 10:10:10,,,,,,,,697a68b4be90614fc34aa25c,697a68b4be90614fc34aa25c,,,,
1152,raw_position_sample,2,2,int,16,3,12,13,1, The ,645,139,1614382.5,697a68b4be90614fc34aa25c,697a68b4be90614fc34aa25c,intermediate,3,697a68b4be90614fc34aa25c,697a68b4be90614fc34aa25c,spotlight_PROLIFIC,,26,Mexico,Spanish,English,,Spanish:85|English:15,100,Spanish:40|English:60,100,Spanish:75|English:25,100,17,4,Bachelor's,10,10,10,8,9,10,18,23,21,24,CEFR,C2,,,,,18,25,B1,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,19,random,,123.265625,625.375,143.265625,661.40625,1,1,,,,,,,,,,,,2026-09-22T16:10:10.433Z,32VZA45H,2026-09-22,2026-09-22,10:10:10,2026-09-22 10:10:10,,,,,,,,697a68b4be90614fc34aa25c,697a68b4be90614fc34aa25c,,,,
1201,raw_position_sample,2,2,int,16,3,12,13,1, The ,642,139,1614432.1000000015,697a68b4be90614fc34aa25c,697a68b4be90614fc34aa25c,intermediate,3,697a68b4be90614fc34aa25c,697a68b4be90614fc34aa25c,spotlight_PROLIFIC,,26,Mexico,Spanish,English,,Spanish:85|English:15,100,Spanish:40|English:60,100,Spanish:75|English:25,100,17,4,Bachelor's,10,10,10,8,9,10,18,23,21,24,CEFR,C2,,,,,18,25,B1,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,19,random,,123.265625,625.375,143.265625,661.40625,1,1,,,,,,,,,,,,2026-09-22T16:10:10.433Z,32VZA45H,2026-09-22,2026-09-22,10:10:10,2026-09-22 10:10:10,,,,,,,,697a68b4be90614fc34aa25c,697a68b4be90614fc34aa25c,,,,
1252,raw_position_sample,2,2,int,16,3,12,13,1, The ,628,141,1614482.700000003,697a68b4be90614fc34aa25c,697a68b4be90614fc34aa25c,intermediate,3,697a68b4be90614fc34aa25c,697a68b4be90614fc34aa25c,spotlight_PROLIFIC,,26,Mexico,Spanish,English,,Spanish:85|English:15,100,Spanish:40|English:60,100,Spanish:75|English:25,100,17,4,Bachelor's,10,10,10,8,9,10,18,23,21,24,CEFR,C2,,,,,18,25,B1,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,19,random,,123.265625,625.375,143.265625,661.40625,1,1,,,,,,,,,,,,2026-09-22T16:10:10.433Z,32VZA45H,2026-09-22,2026-09-22,10:10:10,2026-09-22 10:10:10,,,,,,,,697a68b4be90614fc34aa25c,697a68b4be90614fc34aa25c,,,,
1306,raw_position_sample,2,2,int,16,3,12,13,1, The ,628,140,1614536.8999999985,697a68b4be90614fc34aa25c,697a68b4be90614fc34aa25c,intermediate,3,697a68b4be90614fc34aa25c,697a68b4be90614fc34aa25c,spotlight_PROLIFIC,,26,Mexico,Spanish,English,,Spanish:85|English:15,100,Spanish:40|English:60,100,Spanish:75|English:25,100,17,4,Bachelor's,10,10,10,8,9,10,18,23,21,24,CEFR,C2,,,,,18,25,B1,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,19,random,,123.265625,625.375,143.265625,661.40625,1,1,,,,,,,,,,,,2026-09-22T16:10:10.433Z,32VZA45H,2026-09-22,2026-09-22,10:10:10,2026-09-22 10:10:10,,,,,,,,697a68b4be90614fc34aa25c,697a68b4be90614fc34aa25c,,,,
1353,raw_position_sample,2,2,int,16,3,12,13,1, The ,628,140,1614583.5,697a68b4be90614fc34aa25c,697a68b4be90614fc34aa25c,intermediate,3,697a68b4be90614fc34aa25c,697a68b4be90614fc34aa25c,spotlight_PROLIFIC,,26,Mexico,Spanish,English,,Spanish:85|English:15,100,Spanish:40|English:60,100,Spanish:75|English:25,100,17,4,Bachelor's,10,10,10,8,9,10,18,23,21,24,CEFR,C2,,,,,18,25,B1,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,19,random,,123.265625,625.375,143.265625,661.40625,1,1,,,,,,,,,,,,2026-09-22T16:10:10.433Z,32VZA45H,2026-09-22,2026-09-22,10:10:10,2026-09-22 10:10:10,,,,,,,,697a68b4be90614fc34aa25c,697a68b4be90614fc34aa25c,,,,
1414,raw_position_sample,2,2,int,16,3,12,13,1, The ,628,140,1614644.6000000015,697a68b4be90614fc34aa25c,697a68b4be90614fc34aa25c,intermediate,3,697a68b4be90614fc34aa25c,697a68b4be90614fc34aa25c,spotlight_PROLIFIC,,26,Mexico,Spanish,English,,Spanish:85|English:15,100,Spanish:40|English:60,100,Spanish:75|English:25,100,17,4,Bachelor's,10,10,10,8,9,10,18,23,21,24,CEFR,C2,,,,,18,25,B1,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,19,random,,123.265625,625.375,143.265625,661.40625,1,1,,,,,,,,,,,,2026-09-22T16:10:10.433Z,32VZA45H,2026-09-22,2026-09-22,10:10:10,2026-09-22 10:10:10,,,,,,,,697a68b4be90614fc34aa25c,697a68b4be90614fc34aa25c,,,,
