responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,demo_other_english_test,demo_other_english_test_score,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
68,raw_position_sample,2,3,adv,29,4,4,5,-1,999,498,102,1521392.4,6983d22287e7b36df98c4785,6983d22287e7b36df98c4785,advanced,4,6983d22287e7b36df98c4785,6983d22287e7b36df98c4785,spotlight_PROLIFIC,,43,Brasil,portuguese,N/A,,portuguese:70|English:30,100,portuguese:100|English:0,100,portuguese:100|English:0,100,14,2,Master's,10,10,10,4,7,5,12,21,21,21,Duolingo,70,,,,,22,25,C1,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-07-08T17:23:27.142Z,8QXAJLC8,2026-07-08,2026-07-08,14:23:27,2026-07-08 14:23:27,,,,,,,,6983d22287e7b36df98c4785,6983d22287e7b36df98c4785,,,,
118,raw_position_sample,2,3,adv,29,4,4,5,-1,999,491,94,1521442.4,6983d22287e7b36df98c4785,6983d22287e7b36df98c4785,advanced,4,6983d22287e7b36df98c4785,6983d22287e7b36df98c4785,spotlight_PROLIFIC,,43,Brasil,portuguese,N/A,,portuguese:70|English:30,100,portuguese:100|English:0,100,portuguese:100|English:0,100,14,2,Master's,10,10,10,4,7,5,12,21,21,21,Duolingo,70,,,,,22,25,C1,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-07-08T17:23:27.142Z,8QXAJLC8,2026-07-08,2026-07-08,14:23:27,2026-07-08 14:23:27,,,,,,,,6983d22287e7b36df98c4785,6983d22287e7b36df98c4785,,,,
155,raw_position_sample,2,3,adv,29,4,4,5,-1,999,491,93,1521479.1999999997,6983d22287e7b36df98c4785,6983d22287e7b36df98c4785,advanced,4,6983d22287e7b36df98c4785,6983d22287e7b36df98c4785,spotlight_PROLIFIC,,43,Brasil,portuguese,N/A,,portuguese:70|English:30,100,portuguese:100|English:0,100,portuguese:100|English:0,100,14,2,Master's,10,10,10,4,7,5,12,21,21,21,Duolingo,70,,,,,22,25,C1,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-07-08T17:23:27.142Z,8QXAJLC8,2026-07-08,2026-07-08,14:23:27,2026-07-08 14:23:27,,,,,,,,6983d22287e7b36df98c4785,6983d22287e7b36df98c4785,,,,
205,raw_position_sample,2,3,adv,29,4,4,5,-1,999,491,93,1521529.2999999998,6983d22287e7b36df98c4785,6983d22287e7b36df98c4785,advanced,4,6983d22287e7b36df98c4785,6983d22287e7b36df98c4785,spotlight_PROLIFIC,,43,Brasil,portuguese,N/A,,portuguese:70|English:30,100,portuguese:100|English:0,100,portuguese:100|English:0,100,14,2,Master's,10,10,10,4,7,5,12,21,21,21,Duolingo,70,,,,,22,25,C1,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-07-08T17:23:27.142Z,8QXAJLC8,2026-07-08,2026-07-08,14:23:27,2026-07-08 14:23:27,,,,,,,,6983d22287e7b36df98c4785,6983d22287e7b36df98c4785,,,,
262,raw_position_sample,2,3,adv,29,4,4,5,-1,999,491,93,1521586.1,6983d22287e7b36df98c4785,6983d22287e7b36df98c4785,advanced,4,6983d22287e7b36df98c4785,6983d22287e7b36df98c4785,spotlight_PROLIFIC,,43,Brasil,portuguese,N/A,,portuguese:70|English:30,100,portuguese:100|English:0,100,portuguese:100|English:0,100,14,2,Master's,10,10,10,4,7,5,12,21,21,21,Duolingo,70,,,,,22,25,C1,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-07-08T17:23:27.142Z,8QXAJLC8,2026-07-08,2026-07-08,14:23:27,2026-07-08 14:23:27,,,,,,,,6983d22287e7b36df98c4785,6983d22287e7b36df98c4785,,,,
313,raw_position_sample,2,3,adv,29,4,4,5,-1,999,491,93,1521637.7999999998,6983d22287e7b36df98c4785,6983d22287e7b36df98c4785,advanced,4,6983d22287e7b36df98c4785,6983d22287e7b36df98c4785,spotlight_PROLIFIC,,43,Brasil,portuguese,N/A,,portuguese:70|English:30,100,portuguese:100|English:0,100,portuguese:100|English:0,100,14,2,Master's,10,10,10,4,7,5,12,21,21,21,Duolingo,70,,,,,22,25,C1,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-07-08T17:23:27.142Z,8QXAJLC8,2026-07-08,2026-07-08,14:23:27,2026-07-08 14:23:27,,,,,,,,6983d22287e7b36df98c4785,6983d22287e7b36df98c4785,,,,
354,raw_position_sample,2,3,adv,29,4,4,5,-1,999,491,93,1521678.6,6983d22287e7b36df98c4785,6983d22287e7b36df98c4785,advanced,4,6983d22287e7b36df98c4785,6983d22287e7b36df98c4785,spotlight_PROLIFIC,,43,Brasil,portuguese,N/A,,portuguese:70|English:30,100,portuguese:100|English:0,100,portuguese:100|English:0,100,14,2,Master's,10,10,10,4,7,5,12,21,21,21,Duolingo,70,,,,,22,25,C1,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-07-08T17:23:27.142Z,8QXAJLC8,2026-07-08,2026-07-08,14:23:27,2026-07-08 14:23:27,,,,,,,,6983d22287e7b36df98c4785,6983d22287e7b36df98c4785,,,,
417,raw_position_sample,2,3,adv,29,4,4,5,-1,999,491,93,1521741.1999999997,6983d22287e7b36df98c4785,6983d22287e7b36df98c4785,advanced,4,6983d22287e7b36df98c4785,6983d22287e7b36df98c4785,spotlight_PROLIFIC,,43,Brasil,portuguese,N/A,,portuguese:70|English:30,100,portuguese:100|English:0,100,portuguese:100|English:0,100,14,2,Master's,10,10,10,4,7,5,12,21,21,21,Duolingo,70,,,,,22,25,C1,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-07-08T17:23:27.142Z,8QXAJLC8,2026-07-08,2026-07-08,14:23:27,2026-07-08 14:23:27,,,,,,,,6983d22287e7b36df98c4785,6983d22287e7b36df98c4785,,,,
465,raw_position_sample,2,3,adv,29,4,4,5,-1,999,491,93,1521789.1999999997,6983d22287e7b36df98c4785,6983d22287e7b36df98c4785,advanced,4,6983d22287e7b36df98c4785,6983d22287e7b36df98c4785,spotlight_PROLIFIC,,43,Brasil,portuguese,N/A,,portuguese:70|English:30,100,portuguese:100|English:0,100,portuguese:100|English:0,100,14,2,Master's,10,10,10,4,7,5,12,21,21,21,Duolingo,70,,,,,22,25,C1,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-07-08T17:23:27.142Z,8QXAJLC8,2026-07-08,2026-07-08,14:23:27,2026-07-08 14:23:27,,,,,,,,6983d22287e7b36df98c4785,6983d22287e7b36df98c4785,,,,
512,raw_position_sample,2,3,adv,29,4,4,5,-1,999,491,93,1521837.1,6983d22287e7b36df98c4785,6983d22287e7b36df98c4785,advanced,4,6983d22287e7b36df98c4785,6983d22287e7b36df98c4785,spotlight_PROLIFIC,,43,Brasil,portuguese,N/A,,portuguese:70|English:30,100,portuguese:100|English:0,100,portuguese:100|English:0,100,14,2,Master's,10,10,10,4,7,5,12,21,21,21,Duolingo,70,,,,,22,25,C1,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-07-08T17:23:27.142Z,8QXAJLC8,2026-07-08,2026-07-08,14:23:27,2026-07-08 14:23:27,,,,,,,,6983d22287e7b36df98c4785,6983d22287e7b36df98c4785,,,,
560,raw_position_sample,2,3,adv,29,4,4,5,-1,999,491,93,1521884.9,6983d22287e7b36df98c4785,6983d22287e7b36df98c4785,advanced,4,6983d22287e7b36df98c4785,6983d22287e7b36df98c4785,spotlight_PROLIFIC,,43,Brasil,portuguese,N/A,,portuguese:70|English:30,100,portuguese:100|English:0,100,portuguese:100|English:0,100,14,2,Master's,10,10,10,4,7,5,12,21,21,21,Duolingo,70,,,,,22,25,C1,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-07-08T17:23:27.142Z,8QXAJLC8,2026-07-08,2026-07-08,14:23:27,2026-07-08 14:23:27,,,,,,,,6983d22287e7b36df98c4785,6983d22287e7b36df98c4785,,,,
609,raw_position_sample,2,3,adv,29,4,4,5,-1,999,491,93,1521933.1999999997,6983d22287e7b36df98c4785,6983d22287e7b36df98c4785,advanced,4,6983d22287e7b36df98c4785,6983d22287e7b36df98c4785,spotlight_PROLIFIC,,43,Brasil,portuguese,N/A,,portuguese:70|English:30,100,portuguese:100|English:0,100,portuguese:100|English:0,100,14,2,Master's,10,10,10,4,7,5,12,21,21,21,Duolingo,70,,,,,22,25,C1,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-07-08T17:23:27.142Z,8QXAJLC8,2026-07-08,2026-07-08,14:23:27,2026-07-08 14:23:27,,,,,,,,6983d22287e7b36df98c4785,6983d22287e7b36df98c4785,,,,
657,raw_position_sample,2,3,adv,29,4,4,5,-1,999,491,93,1521981.1999999997,6983d22287e7b36df98c4785,6983d22287e7b36df98c4785,advanced,4,6983d22287e7b36df98c4785,6983d22287e7b36df98c4785,spotlight_PROLIFIC,,43,Brasil,portuguese,N/A,,portuguese:70|English:30,100,portuguese:100|English:0,100,portuguese:100|English:0,100,14,2,Master's,10,10,10,4,7,5,12,21,21,21,Duolingo,70,,,,,22,25,C1,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-07-08T17:23:27.142Z,8QXAJLC8,2026-07-08,2026-07-08,14:23:27,2026-07-08 14:23:27,,,,,,,,6983d22287e7b36df98c4785,6983d22287e7b36df98c4785,,,,
713,raw_position_sample,2,3,adv,29,4,4,5,-1,999,491,93,1522037.4,6983d22287e7b36df98c4785,6983d22287e7b36df98c4785,advanced,4,6983d22287e7b36df98c4785,6983d22287e7b36df98c4785,spotlight_PROLIFIC,,43,Brasil,portuguese,N/A,,portuguese:70|English:30,100,portuguese:100|English:0,100,portuguese:100|English:0,100,14,2,Master's,10,10,10,4,7,5,12,21,21,21,Duolingo,70,,,,,22,25,C1,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-07-08T17:23:27.142Z,8QXAJLC8,2026-07-08,2026-07-08,14:23:27,2026-07-08 14:23:27,,,,,,,,6983d22287e7b36df98c4785,6983d22287e7b36df98c4785,,,,
754,raw_position_sample,2,3,adv,29,4,4,5,-1,999,493,93,1522078.1999999997,6983d22287e7b36df98c4785,6983d22287e7b36df98c4785,advanced,4,6983d22287e7b36df98c4785,6983d22287e7b36df98c4785,spotlight_PROLIFIC,,43,Brasil,portuguese,N/A,,portuguese:70|English:30,100,portuguese:100|English:0,100,portuguese:100|English:0,100,14,2,Master's,10,10,10,4,7,5,12,21,21,21,Duolingo,70,,,,,22,25,C1,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-07-08T17:23:27.142Z,8QXAJLC8,2026-07-08,2026-07-08,14:23:27,2026-07-08 14:23:27,,,,,,,,6983d22287e7b36df98c4785,6983d22287e7b36df98c4785,,,,
