responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
11,raw_position_sample,2,2,int,20,3,3,4,-1,999,574,114,1407233.900000006,697a69c0fb82fb2f83debc19,697a69c0fb82fb2f83debc19,intermediate,3,697a69c0fb82fb2f83debc19,697a69c0fb82fb2f83debc19,spotlight_PROLIFIC,,38,Brazil,Portuguese,English,,Portuguese:80|English:20,100,Portuguese:65|English:35,100,Portuguese:98|English:2,100,14,0,High school,10,10,10,5,9,8,10,20,14,20,,,,,16,25,B1,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-07-08T17:26:54.943Z,4TX2VJVF,2026-07-08,2026-07-08,14:26:54,2026-07-08 14:26:54,,,,,,,,697a69c0fb82fb2f83debc19,697a69c0fb82fb2f83debc19,,,,
55,raw_position_sample,2,2,int,20,3,3,4,-1,999,555,96,1407277.800000012,697a69c0fb82fb2f83debc19,697a69c0fb82fb2f83debc19,intermediate,3,697a69c0fb82fb2f83debc19,697a69c0fb82fb2f83debc19,spotlight_PROLIFIC,,38,Brazil,Portuguese,English,,Portuguese:80|English:20,100,Portuguese:65|English:35,100,Portuguese:98|English:2,100,14,0,High school,10,10,10,5,9,8,10,20,14,20,,,,,16,25,B1,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-07-08T17:26:54.943Z,4TX2VJVF,2026-07-08,2026-07-08,14:26:54,2026-07-08 14:26:54,,,,,,,,697a69c0fb82fb2f83debc19,697a69c0fb82fb2f83debc19,,,,
107,raw_position_sample,2,2,int,20,3,3,4,-1,999,555,96,1407330.7000000179,697a69c0fb82fb2f83debc19,697a69c0fb82fb2f83debc19,intermediate,3,697a69c0fb82fb2f83debc19,697a69c0fb82fb2f83debc19,spotlight_PROLIFIC,,38,Brazil,Portuguese,English,,Portuguese:80|English:20,100,Portuguese:65|English:35,100,Portuguese:98|English:2,100,14,0,High school,10,10,10,5,9,8,10,20,14,20,,,,,16,25,B1,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-07-08T17:26:54.943Z,4TX2VJVF,2026-07-08,2026-07-08,14:26:54,2026-07-08 14:26:54,,,,,,,,697a69c0fb82fb2f83debc19,697a69c0fb82fb2f83debc19,,,,
154,raw_position_sample,2,2,int,20,3,3,4,-1,999,555,96,1407377.6000000238,697a69c0fb82fb2f83debc19,697a69c0fb82fb2f83debc19,intermediate,3,697a69c0fb82fb2f83debc19,697a69c0fb82fb2f83debc19,spotlight_PROLIFIC,,38,Brazil,Portuguese,English,,Portuguese:80|English:20,100,Portuguese:65|English:35,100,Portuguese:98|English:2,100,14,0,High school,10,10,10,5,9,8,10,20,14,20,,,,,16,25,B1,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-07-08T17:26:54.943Z,4TX2VJVF,2026-07-08,2026-07-08,14:26:54,2026-07-08 14:26:54,,,,,,,,697a69c0fb82fb2f83debc19,697a69c0fb82fb2f83debc19,,,,
214,raw_position_sample,2,2,int,20,3,3,4,-1,999,555,96,1407437,697a69c0fb82fb2f83debc19,697a69c0fb82fb2f83debc19,intermediate,3,697a69c0fb82fb2f83debc19,697a69c0fb82fb2f83debc19,spotlight_PROLIFIC,,38,Brazil,Portuguese,English,,Portuguese:80|English:20,100,Portuguese:65|English:35,100,Portuguese:98|English:2,100,14,0,High school,10,10,10,5,9,8,10,20,14,20,,,,,16,25,B1,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-07-08T17:26:54.943Z,4TX2VJVF,2026-07-08,2026-07-08,14:26:54,2026-07-08 14:26:54,,,,,,,,697a69c0fb82fb2f83debc19,697a69c0fb82fb2f83debc19,,,,
254,raw_position_sample,2,2,int,20,3,3,4,-1,999,555,96,1407476.900000006,697a69c0fb82fb2f83debc19,697a69c0fb82fb2f83debc19,intermediate,3,697a69c0fb82fb2f83debc19,697a69c0fb82fb2f83debc19,spotlight_PROLIFIC,,38,Brazil,Portuguese,English,,Portuguese:80|English:20,100,Portuguese:65|English:35,100,Portuguese:98|English:2,100,14,0,High school,10,10,10,5,9,8,10,20,14,20,,,,,16,25,B1,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-07-08T17:26:54.943Z,4TX2VJVF,2026-07-08,2026-07-08,14:26:54,2026-07-08 14:26:54,,,,,,,,697a69c0fb82fb2f83debc19,697a69c0fb82fb2f83debc19,,,,
304,raw_position_sample,2,2,int,20,3,3,4,-1,999,569,102,1407526.900000006,697a69c0fb82fb2f83debc19,697a69c0fb82fb2f83debc19,intermediate,3,697a69c0fb82fb2f83debc19,697a69c0fb82fb2f83debc19,spotlight_PROLIFIC,,38,Brazil,Portuguese,English,,Portuguese:80|English:20,100,Portuguese:65|English:35,100,Portuguese:98|English:2,100,14,0,High school,10,10,10,5,9,8,10,20,14,20,,,,,16,25,B1,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-07-08T17:26:54.943Z,4TX2VJVF,2026-07-08,2026-07-08,14:26:54,2026-07-08 14:26:54,,,,,,,,697a69c0fb82fb2f83debc19,697a69c0fb82fb2f83debc19,,,,
354,raw_position_sample,2,2,int,20,3,3,4,-1,999,588,111,1407577.1000000238,697a69c0fb82fb2f83debc19,697a69c0fb82fb2f83debc19,intermediate,3,697a69c0fb82fb2f83debc19,697a69c0fb82fb2f83debc19,spotlight_PROLIFIC,,38,Brazil,Portuguese,English,,Portuguese:80|English:20,100,Portuguese:65|English:35,100,Portuguese:98|English:2,100,14,0,High school,10,10,10,5,9,8,10,20,14,20,,,,,16,25,B1,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-07-08T17:26:54.943Z,4TX2VJVF,2026-07-08,2026-07-08,14:26:54,2026-07-08 14:26:54,,,,,,,,697a69c0fb82fb2f83debc19,697a69c0fb82fb2f83debc19,,,,
408,raw_position_sample,2,2,int,20,3,3,4,1, Pullman ,627,124,1407631.6000000238,697a69c0fb82fb2f83debc19,697a69c0fb82fb2f83debc19,intermediate,3,697a69c0fb82fb2f83debc19,697a69c0fb82fb2f83debc19,spotlight_PROLIFIC,,38,Brazil,Portuguese,English,,Portuguese:80|English:20,100,Portuguese:65|English:35,100,Portuguese:98|English:2,100,14,0,High school,10,10,10,5,9,8,10,20,14,20,,,,,16,25,B1,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,19,random,,122.96875,620.375,142.96875,690.40625,1,1,,,,,,,,,,,,2026-07-08T17:26:54.943Z,4TX2VJVF,2026-07-08,2026-07-08,14:26:54,2026-07-08 14:26:54,,,,,,,,697a69c0fb82fb2f83debc19,697a69c0fb82fb2f83debc19,,,,
454,raw_position_sample,2,2,int,20,3,3,4,1, Pullman ,666,133,1407677.2000000179,697a69c0fb82fb2f83debc19,697a69c0fb82fb2f83debc19,intermediate,3,697a69c0fb82fb2f83debc19,697a69c0fb82fb2f83debc19,spotlight_PROLIFIC,,38,Brazil,Portuguese,English,,Portuguese:80|English:20,100,Portuguese:65|English:35,100,Portuguese:98|English:2,100,14,0,High school,10,10,10,5,9,8,10,20,14,20,,,,,16,25,B1,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,19,random,,122.96875,620.375,142.96875,690.40625,1,1,,,,,,,,,,,,2026-07-08T17:26:54.943Z,4TX2VJVF,2026-07-08,2026-07-08,14:26:54,2026-07-08 14:26:54,,,,,,,,697a69c0fb82fb2f83debc19,697a69c0fb82fb2f83debc19,,,,
