responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,demo_other_english_test,demo_other_english_test_score,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
674,raw_position_sample,2,3,adv,30,4,17,18,-1,999,633,100,2310265.3000000045,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,advanced,4,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,spotlight_PROLIFIC,,24,Brazil,Portuguese,English,,Portuguese:80|English:20,100,Portuguese:50|English:50,100,Portuguese:70|English:30,100,16,4,Bachelor's,10,10,10,10,10,10,5,13,7,11,TOEFL,113,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-08-16T08:31:34.988Z,684VCK85,2026-08-16,2026-08-16,05:31:34,2026-08-16 05:31:34,,,,,,,,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,,,,
723,raw_position_sample,2,3,adv,30,4,17,18,1, Huber ,691,121,2310314.6000000015,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,advanced,4,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,spotlight_PROLIFIC,,24,Brazil,Portuguese,English,,Portuguese:80|English:20,100,Portuguese:50|English:50,100,Portuguese:70|English:30,100,16,4,Bachelor's,10,10,10,10,10,10,5,13,7,11,TOEFL,113,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,18,random,,126.5859375,690.2578125,147.5859375,744.3046875,1,1,,,,,,,,,,,,2026-08-16T08:31:34.988Z,684VCK85,2026-08-16,2026-08-16,05:31:34,2026-08-16 05:31:34,,,,,,,,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,,,,
773,raw_position_sample,2,3,adv,30,4,17,18,1, Huber ,714,130,2310364.8000000045,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,advanced,4,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,spotlight_PROLIFIC,,24,Brazil,Portuguese,English,,Portuguese:80|English:20,100,Portuguese:50|English:50,100,Portuguese:70|English:30,100,16,4,Bachelor's,10,10,10,10,10,10,5,13,7,11,TOEFL,113,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,18,random,,126.5859375,690.2578125,147.5859375,744.3046875,1,1,,,,,,,,,,,,2026-08-16T08:31:34.988Z,684VCK85,2026-08-16,2026-08-16,05:31:34,2026-08-16 05:31:34,,,,,,,,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,,,,
822,raw_position_sample,2,3,adv,30,4,17,18,1, Huber ,721,133,2310413.5,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,advanced,4,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,spotlight_PROLIFIC,,24,Brazil,Portuguese,English,,Portuguese:80|English:20,100,Portuguese:50|English:50,100,Portuguese:70|English:30,100,16,4,Bachelor's,10,10,10,10,10,10,5,13,7,11,TOEFL,113,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,18,random,,126.5859375,690.2578125,147.5859375,744.3046875,1,1,,,,,,,,,,,,2026-08-16T08:31:34.988Z,684VCK85,2026-08-16,2026-08-16,05:31:34,2026-08-16 05:31:34,,,,,,,,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,,,,
870,raw_position_sample,2,3,adv,30,4,17,18,1, Huber ,721,133,2310461.3000000045,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,advanced,4,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,spotlight_PROLIFIC,,24,Brazil,Portuguese,English,,Portuguese:80|English:20,100,Portuguese:50|English:50,100,Portuguese:70|English:30,100,16,4,Bachelor's,10,10,10,10,10,10,5,13,7,11,TOEFL,113,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,18,random,,126.5859375,690.2578125,147.5859375,744.3046875,1,1,,,,,,,,,,,,2026-08-16T08:31:34.988Z,684VCK85,2026-08-16,2026-08-16,05:31:34,2026-08-16 05:31:34,,,,,,,,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,,,,
925,raw_position_sample,2,3,adv,30,4,17,18,1, Huber ,721,133,2310516.8000000045,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,advanced,4,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,spotlight_PROLIFIC,,24,Brazil,Portuguese,English,,Portuguese:80|English:20,100,Portuguese:50|English:50,100,Portuguese:70|English:30,100,16,4,Bachelor's,10,10,10,10,10,10,5,13,7,11,TOEFL,113,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,18,random,,126.5859375,690.2578125,147.5859375,744.3046875,1,1,,,,,,,,,,,,2026-08-16T08:31:34.988Z,684VCK85,2026-08-16,2026-08-16,05:31:34,2026-08-16 05:31:34,,,,,,,,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,,,,
975,raw_position_sample,2,3,adv,30,4,17,18,1, Huber ,715,132,2310566.6000000015,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,advanced,4,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,spotlight_PROLIFIC,,24,Brazil,Portuguese,English,,Portuguese:80|English:20,100,Portuguese:50|English:50,100,Portuguese:70|English:30,100,16,4,Bachelor's,10,10,10,10,10,10,5,13,7,11,TOEFL,113,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,18,random,,126.5859375,690.2578125,147.5859375,744.3046875,1,1,,,,,,,,,,,,2026-08-16T08:31:34.988Z,684VCK85,2026-08-16,2026-08-16,05:31:34,2026-08-16 05:31:34,,,,,,,,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,,,,
1026,raw_position_sample,2,3,adv,30,4,17,18,1, Huber ,711,129,2310617.3000000045,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,advanced,4,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,spotlight_PROLIFIC,,24,Brazil,Portuguese,English,,Portuguese:80|English:20,100,Portuguese:50|English:50,100,Portuguese:70|English:30,100,16,4,Bachelor's,10,10,10,10,10,10,5,13,7,11,TOEFL,113,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,18,random,,126.5859375,690.2578125,147.5859375,744.3046875,1,1,,,,,,,,,,,,2026-08-16T08:31:34.988Z,684VCK85,2026-08-16,2026-08-16,05:31:34,2026-08-16 05:31:34,,,,,,,,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,,,,
1071,raw_position_sample,2,3,adv,30,4,17,18,1, Huber ,708,126,2310662.1000000015,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,advanced,4,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,spotlight_PROLIFIC,,24,Brazil,Portuguese,English,,Portuguese:80|English:20,100,Portuguese:50|English:50,100,Portuguese:70|English:30,100,16,4,Bachelor's,10,10,10,10,10,10,5,13,7,11,TOEFL,113,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,18,random,,126.5859375,690.2578125,147.5859375,744.3046875,1,1,,,,,,,,,,,,2026-08-16T08:31:34.988Z,684VCK85,2026-08-16,2026-08-16,05:31:34,2026-08-16 05:31:34,,,,,,,,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,,,,
1123,raw_position_sample,2,3,adv,30,4,17,18,1, Huber ,705,123,2310714,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,advanced,4,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,spotlight_PROLIFIC,,24,Brazil,Portuguese,English,,Portuguese:80|English:20,100,Portuguese:50|English:50,100,Portuguese:70|English:30,100,16,4,Bachelor's,10,10,10,10,10,10,5,13,7,11,TOEFL,113,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,18,random,,126.5859375,690.2578125,147.5859375,744.3046875,1,1,,,,,,,,,,,,2026-08-16T08:31:34.988Z,684VCK85,2026-08-16,2026-08-16,05:31:34,2026-08-16 05:31:34,,,,,,,,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,,,,
1171,raw_position_sample,2,3,adv,30,4,17,18,1, Huber ,703,120,2310762.3000000045,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,advanced,4,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,spotlight_PROLIFIC,,24,Brazil,Portuguese,English,,Portuguese:80|English:20,100,Portuguese:50|English:50,100,Portuguese:70|English:30,100,16,4,Bachelor's,10,10,10,10,10,10,5,13,7,11,TOEFL,113,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,18,random,,126.5859375,690.2578125,147.5859375,744.3046875,1,1,,,,,,,,,,,,2026-08-16T08:31:34.988Z,684VCK85,2026-08-16,2026-08-16,05:31:34,2026-08-16 05:31:34,,,,,,,,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,,,,
1222,raw_position_sample,2,3,adv,30,4,17,18,1, Huber ,702,118,2310813.6000000015,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,advanced,4,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,spotlight_PROLIFIC,,24,Brazil,Portuguese,English,,Portuguese:80|English:20,100,Portuguese:50|English:50,100,Portuguese:70|English:30,100,16,4,Bachelor's,10,10,10,10,10,10,5,13,7,11,TOEFL,113,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,18,random,,126.5859375,690.2578125,147.5859375,744.3046875,1,1,,,,,,,,,,,,2026-08-16T08:31:34.988Z,684VCK85,2026-08-16,2026-08-16,05:31:34,2026-08-16 05:31:34,,,,,,,,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,,,,
1271,raw_position_sample,2,3,adv,30,4,17,18,1, Huber ,700,118,2310862.1000000015,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,advanced,4,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,spotlight_PROLIFIC,,24,Brazil,Portuguese,English,,Portuguese:80|English:20,100,Portuguese:50|English:50,100,Portuguese:70|English:30,100,16,4,Bachelor's,10,10,10,10,10,10,5,13,7,11,TOEFL,113,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,18,random,,126.5859375,690.2578125,147.5859375,744.3046875,1,1,,,,,,,,,,,,2026-08-16T08:31:34.988Z,684VCK85,2026-08-16,2026-08-16,05:31:34,2026-08-16 05:31:34,,,,,,,,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,,,,
1327,raw_position_sample,2,3,adv,30,4,17,18,1, Huber ,700,118,2310918.1000000015,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,advanced,4,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,spotlight_PROLIFIC,,24,Brazil,Portuguese,English,,Portuguese:80|English:20,100,Portuguese:50|English:50,100,Portuguese:70|English:30,100,16,4,Bachelor's,10,10,10,10,10,10,5,13,7,11,TOEFL,113,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,18,random,,126.5859375,690.2578125,147.5859375,744.3046875,1,1,,,,,,,,,,,,2026-08-16T08:31:34.988Z,684VCK85,2026-08-16,2026-08-16,05:31:34,2026-08-16 05:31:34,,,,,,,,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,,,,
1373,raw_position_sample,2,3,adv,30,4,17,18,1, Huber ,699,120,2310964.200000003,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,advanced,4,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,spotlight_PROLIFIC,,24,Brazil,Portuguese,English,,Portuguese:80|English:20,100,Portuguese:50|English:50,100,Portuguese:70|English:30,100,16,4,Bachelor's,10,10,10,10,10,10,5,13,7,11,TOEFL,113,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,18,random,,126.5859375,690.2578125,147.5859375,744.3046875,1,1,,,,,,,,,,,,2026-08-16T08:31:34.988Z,684VCK85,2026-08-16,2026-08-16,05:31:34,2026-08-16 05:31:34,,,,,,,,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,,,,
1426,raw_position_sample,2,3,adv,30,4,17,18,1, Huber ,702,126,2311017.200000003,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,advanced,4,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,spotlight_PROLIFIC,,24,Brazil,Portuguese,English,,Portuguese:80|English:20,100,Portuguese:50|English:50,100,Portuguese:70|English:30,100,16,4,Bachelor's,10,10,10,10,10,10,5,13,7,11,TOEFL,113,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,18,random,,126.5859375,690.2578125,147.5859375,744.3046875,1,1,,,,,,,,,,,,2026-08-16T08:31:34.988Z,684VCK85,2026-08-16,2026-08-16,05:31:34,2026-08-16 05:31:34,,,,,,,,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,,,,
1477,raw_position_sample,2,3,adv,30,4,17,18,1, Huber ,715,135,2311068,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,advanced,4,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,spotlight_PROLIFIC,,24,Brazil,Portuguese,English,,Portuguese:80|English:20,100,Portuguese:50|English:50,100,Portuguese:70|English:30,100,16,4,Bachelor's,10,10,10,10,10,10,5,13,7,11,TOEFL,113,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,18,random,,126.5859375,690.2578125,147.5859375,744.3046875,1,1,,,,,,,,,,,,2026-08-16T08:31:34.988Z,684VCK85,2026-08-16,2026-08-16,05:31:34,2026-08-16 05:31:34,,,,,,,,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,,,,
1530,raw_position_sample,2,3,adv,30,4,17,18,1, Huber ,723,139,2311121.200000003,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,advanced,4,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,spotlight_PROLIFIC,,24,Brazil,Portuguese,English,,Portuguese:80|English:20,100,Portuguese:50|English:50,100,Portuguese:70|English:30,100,16,4,Bachelor's,10,10,10,10,10,10,5,13,7,11,TOEFL,113,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,18,random,,126.5859375,690.2578125,147.5859375,744.3046875,1,1,,,,,,,,,,,,2026-08-16T08:31:34.988Z,684VCK85,2026-08-16,2026-08-16,05:31:34,2026-08-16 05:31:34,,,,,,,,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,,,,
1572,raw_position_sample,2,3,adv,30,4,17,18,1, Huber ,723,145,2311163.8000000045,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,advanced,4,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,spotlight_PROLIFIC,,24,Brazil,Portuguese,English,,Portuguese:80|English:20,100,Portuguese:50|English:50,100,Portuguese:70|English:30,100,16,4,Bachelor's,10,10,10,10,10,10,5,13,7,11,TOEFL,113,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,18,random,,126.5859375,690.2578125,147.5859375,744.3046875,1,1,,,,,,,,,,,,2026-08-16T08:31:34.988Z,684VCK85,2026-08-16,2026-08-16,05:31:34,2026-08-16 05:31:34,,,,,,,,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,,,,
1627,raw_position_sample,2,3,adv,30,4,17,18,1, Huber ,715,154,2311218.3000000045,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,advanced,4,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,spotlight_PROLIFIC,,24,Brazil,Portuguese,English,,Portuguese:80|English:20,100,Portuguese:50|English:50,100,Portuguese:70|English:30,100,16,4,Bachelor's,10,10,10,10,10,10,5,13,7,11,TOEFL,113,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,18,random,,126.5859375,690.2578125,147.5859375,744.3046875,1,1,,,,,,,,,,,,2026-08-16T08:31:34.988Z,684VCK85,2026-08-16,2026-08-16,05:31:34,2026-08-16 05:31:34,,,,,,,,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,,,,
1678,raw_position_sample,2,3,adv,30,4,17,18,1, Huber ,706,156,2311269.1000000015,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,advanced,4,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,spotlight_PROLIFIC,,24,Brazil,Portuguese,English,,Portuguese:80|English:20,100,Portuguese:50|English:50,100,Portuguese:70|English:30,100,16,4,Bachelor's,10,10,10,10,10,10,5,13,7,11,TOEFL,113,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,18,random,,126.5859375,690.2578125,147.5859375,744.3046875,1,1,,,,,,,,,,,,2026-08-16T08:31:34.988Z,684VCK85,2026-08-16,2026-08-16,05:31:34,2026-08-16 05:31:34,,,,,,,,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,,,,
1727,raw_position_sample,2,3,adv,30,4,17,18,1, Huber ,702,156,2311318.1000000015,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,advanced,4,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,spotlight_PROLIFIC,,24,Brazil,Portuguese,English,,Portuguese:80|English:20,100,Portuguese:50|English:50,100,Portuguese:70|English:30,100,16,4,Bachelor's,10,10,10,10,10,10,5,13,7,11,TOEFL,113,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,18,random,,126.5859375,690.2578125,147.5859375,744.3046875,1,1,,,,,,,,,,,,2026-08-16T08:31:34.988Z,684VCK85,2026-08-16,2026-08-16,05:31:34,2026-08-16 05:31:34,,,,,,,,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,,,,
1777,raw_position_sample,2,3,adv,30,4,17,18,1, Huber ,699,153,2311367.8999999985,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,advanced,4,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,spotlight_PROLIFIC,,24,Brazil,Portuguese,English,,Portuguese:80|English:20,100,Portuguese:50|English:50,100,Portuguese:70|English:30,100,16,4,Bachelor's,10,10,10,10,10,10,5,13,7,11,TOEFL,113,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,18,random,,126.5859375,690.2578125,147.5859375,744.3046875,1,1,,,,,,,,,,,,2026-08-16T08:31:34.988Z,684VCK85,2026-08-16,2026-08-16,05:31:34,2026-08-16 05:31:34,,,,,,,,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,,,,
1827,raw_position_sample,2,3,adv,30,4,17,18,1, Huber ,696,150,2311417.8999999985,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,advanced,4,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,spotlight_PROLIFIC,,24,Brazil,Portuguese,English,,Portuguese:80|English:20,100,Portuguese:50|English:50,100,Portuguese:70|English:30,100,16,4,Bachelor's,10,10,10,10,10,10,5,13,7,11,TOEFL,113,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,18,random,,126.5859375,690.2578125,147.5859375,744.3046875,1,1,,,,,,,,,,,,2026-08-16T08:31:34.988Z,684VCK85,2026-08-16,2026-08-16,05:31:34,2026-08-16 05:31:34,,,,,,,,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,,,,
1878,raw_position_sample,2,3,adv,30,4,17,18,1, Huber ,693,145,2311469.3999999985,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,advanced,4,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,spotlight_PROLIFIC,,24,Brazil,Portuguese,English,,Portuguese:80|English:20,100,Portuguese:50|English:50,100,Portuguese:70|English:30,100,16,4,Bachelor's,10,10,10,10,10,10,5,13,7,11,TOEFL,113,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,18,random,,126.5859375,690.2578125,147.5859375,744.3046875,1,1,,,,,,,,,,,,2026-08-16T08:31:34.988Z,684VCK85,2026-08-16,2026-08-16,05:31:34,2026-08-16 05:31:34,,,,,,,,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,,,,
1922,raw_position_sample,2,3,adv,30,4,17,18,1, Huber ,693,141,2311513.200000003,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,advanced,4,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,spotlight_PROLIFIC,,24,Brazil,Portuguese,English,,Portuguese:80|English:20,100,Portuguese:50|English:50,100,Portuguese:70|English:30,100,16,4,Bachelor's,10,10,10,10,10,10,5,13,7,11,TOEFL,113,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,18,random,,126.5859375,690.2578125,147.5859375,744.3046875,1,1,,,,,,,,,,,,2026-08-16T08:31:34.988Z,684VCK85,2026-08-16,2026-08-16,05:31:34,2026-08-16 05:31:34,,,,,,,,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,,,,
1977,raw_position_sample,2,3,adv,30,4,17,18,1, Huber ,694,139,2311568.3000000045,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,advanced,4,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,spotlight_PROLIFIC,,24,Brazil,Portuguese,English,,Portuguese:80|English:20,100,Portuguese:50|English:50,100,Portuguese:70|English:30,100,16,4,Bachelor's,10,10,10,10,10,10,5,13,7,11,TOEFL,113,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,18,random,,126.5859375,690.2578125,147.5859375,744.3046875,1,1,,,,,,,,,,,,2026-08-16T08:31:34.988Z,684VCK85,2026-08-16,2026-08-16,05:31:34,2026-08-16 05:31:34,,,,,,,,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,,,,
2027,raw_position_sample,2,3,adv,30,4,17,18,1, Huber ,700,138,2311618.700000003,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,advanced,4,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,spotlight_PROLIFIC,,24,Brazil,Portuguese,English,,Portuguese:80|English:20,100,Portuguese:50|English:50,100,Portuguese:70|English:30,100,16,4,Bachelor's,10,10,10,10,10,10,5,13,7,11,TOEFL,113,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,18,random,,126.5859375,690.2578125,147.5859375,744.3046875,1,1,,,,,,,,,,,,2026-08-16T08:31:34.988Z,684VCK85,2026-08-16,2026-08-16,05:31:34,2026-08-16 05:31:34,,,,,,,,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,,,,
2071,raw_position_sample,2,3,adv,30,4,17,18,1, Huber ,703,138,2311662.200000003,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,advanced,4,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,spotlight_PROLIFIC,,24,Brazil,Portuguese,English,,Portuguese:80|English:20,100,Portuguese:50|English:50,100,Portuguese:70|English:30,100,16,4,Bachelor's,10,10,10,10,10,10,5,13,7,11,TOEFL,113,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,18,random,,126.5859375,690.2578125,147.5859375,744.3046875,1,1,,,,,,,,,,,,2026-08-16T08:31:34.988Z,684VCK85,2026-08-16,2026-08-16,05:31:34,2026-08-16 05:31:34,,,,,,,,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,,,,
2127,raw_position_sample,2,3,adv,30,4,17,18,1, Huber ,703,138,2311718.200000003,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,advanced,4,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,spotlight_PROLIFIC,,24,Brazil,Portuguese,English,,Portuguese:80|English:20,100,Portuguese:50|English:50,100,Portuguese:70|English:30,100,16,4,Bachelor's,10,10,10,10,10,10,5,13,7,11,TOEFL,113,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,18,random,,126.5859375,690.2578125,147.5859375,744.3046875,1,1,,,,,,,,,,,,2026-08-16T08:31:34.988Z,684VCK85,2026-08-16,2026-08-16,05:31:34,2026-08-16 05:31:34,,,,,,,,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,,,,
2175,raw_position_sample,2,3,adv,30,4,17,18,1, Huber ,703,138,2311766,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,advanced,4,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,spotlight_PROLIFIC,,24,Brazil,Portuguese,English,,Portuguese:80|English:20,100,Portuguese:50|English:50,100,Portuguese:70|English:30,100,16,4,Bachelor's,10,10,10,10,10,10,5,13,7,11,TOEFL,113,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,18,random,,126.5859375,690.2578125,147.5859375,744.3046875,1,1,,,,,,,,,,,,2026-08-16T08:31:34.988Z,684VCK85,2026-08-16,2026-08-16,05:31:34,2026-08-16 05:31:34,,,,,,,,69839dbf8fe506b68e4b4189,69839dbf8fe506b68e4b4189,,,,
