responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,demo_other_english_test,demo_other_english_test_score,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
322,raw_position_sample,2,3,adv,22,5,10,11,-1,999,976,122,1356452.1000000238,697a807bd747b89e4abbb52b,697a807bd747b89e4abbb52b,advanced,5,697a807bd747b89e4abbb52b,697a807bd747b89e4abbb52b,spotlight_PROLIFIC,,22,Brazil,Portuguese,N/A,,Portuguese:60|English:40,100,Portuguese:70|English:30,100,Portuguese:60|English:40,100,12,0,High school,10,9,9,6,7,7,11,21,11,21,Duolingo,120,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T12:35:38.312Z,C2FGX5G4,2026-08-16,2026-08-16,09:35:38,2026-08-16 09:35:38,,,,,,,,697a807bd747b89e4abbb52b,697a807bd747b89e4abbb52b,,,,
382,raw_position_sample,2,3,adv,22,5,10,11,-1,999,974,126,1356511.5,697a807bd747b89e4abbb52b,697a807bd747b89e4abbb52b,advanced,5,697a807bd747b89e4abbb52b,697a807bd747b89e4abbb52b,spotlight_PROLIFIC,,22,Brazil,Portuguese,N/A,,Portuguese:60|English:40,100,Portuguese:70|English:30,100,Portuguese:60|English:40,100,12,0,High school,10,9,9,6,7,7,11,21,11,21,Duolingo,120,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T12:35:38.312Z,C2FGX5G4,2026-08-16,2026-08-16,09:35:38,2026-08-16 09:35:38,,,,,,,,697a807bd747b89e4abbb52b,697a807bd747b89e4abbb52b,,,,
421,raw_position_sample,2,3,adv,22,5,10,11,-1,999,978,130,1356550.4000000358,697a807bd747b89e4abbb52b,697a807bd747b89e4abbb52b,advanced,5,697a807bd747b89e4abbb52b,697a807bd747b89e4abbb52b,spotlight_PROLIFIC,,22,Brazil,Portuguese,N/A,,Portuguese:60|English:40,100,Portuguese:70|English:30,100,Portuguese:60|English:40,100,12,0,High school,10,9,9,6,7,7,11,21,11,21,Duolingo,120,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T12:35:38.312Z,C2FGX5G4,2026-08-16,2026-08-16,09:35:38,2026-08-16 09:35:38,,,,,,,,697a807bd747b89e4abbb52b,697a807bd747b89e4abbb52b,,,,
474,raw_position_sample,2,3,adv,22,5,10,11,-1,999,990,134,1356603.800000012,697a807bd747b89e4abbb52b,697a807bd747b89e4abbb52b,advanced,5,697a807bd747b89e4abbb52b,697a807bd747b89e4abbb52b,spotlight_PROLIFIC,,22,Brazil,Portuguese,N/A,,Portuguese:60|English:40,100,Portuguese:70|English:30,100,Portuguese:60|English:40,100,12,0,High school,10,9,9,6,7,7,11,21,11,21,Duolingo,120,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T12:35:38.312Z,C2FGX5G4,2026-08-16,2026-08-16,09:35:38,2026-08-16 09:35:38,,,,,,,,697a807bd747b89e4abbb52b,697a807bd747b89e4abbb52b,,,,
522,raw_position_sample,2,3,adv,22,5,10,11,-1,999,998,138,1356651.800000012,697a807bd747b89e4abbb52b,697a807bd747b89e4abbb52b,advanced,5,697a807bd747b89e4abbb52b,697a807bd747b89e4abbb52b,spotlight_PROLIFIC,,22,Brazil,Portuguese,N/A,,Portuguese:60|English:40,100,Portuguese:70|English:30,100,Portuguese:60|English:40,100,12,0,High school,10,9,9,6,7,7,11,21,11,21,Duolingo,120,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T12:35:38.312Z,C2FGX5G4,2026-08-16,2026-08-16,09:35:38,2026-08-16 09:35:38,,,,,,,,697a807bd747b89e4abbb52b,697a807bd747b89e4abbb52b,,,,
576,raw_position_sample,2,3,adv,22,5,10,11,-1,999,1010,144,1356706.2000000477,697a807bd747b89e4abbb52b,697a807bd747b89e4abbb52b,advanced,5,697a807bd747b89e4abbb52b,697a807bd747b89e4abbb52b,spotlight_PROLIFIC,,22,Brazil,Portuguese,N/A,,Portuguese:60|English:40,100,Portuguese:70|English:30,100,Portuguese:60|English:40,100,12,0,High school,10,9,9,6,7,7,11,21,11,21,Duolingo,120,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T12:35:38.312Z,C2FGX5G4,2026-08-16,2026-08-16,09:35:38,2026-08-16 09:35:38,,,,,,,,697a807bd747b89e4abbb52b,697a807bd747b89e4abbb52b,,,,
624,raw_position_sample,2,3,adv,22,5,10,11,-1,999,1024,152,1356753.5,697a807bd747b89e4abbb52b,697a807bd747b89e4abbb52b,advanced,5,697a807bd747b89e4abbb52b,697a807bd747b89e4abbb52b,spotlight_PROLIFIC,,22,Brazil,Portuguese,N/A,,Portuguese:60|English:40,100,Portuguese:70|English:30,100,Portuguese:60|English:40,100,12,0,High school,10,9,9,6,7,7,11,21,11,21,Duolingo,120,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T12:35:38.312Z,C2FGX5G4,2026-08-16,2026-08-16,09:35:38,2026-08-16 09:35:38,,,,,,,,697a807bd747b89e4abbb52b,697a807bd747b89e4abbb52b,,,,
672,raw_position_sample,2,3,adv,22,5,10,11,-1,999,1026,154,1356801.5,697a807bd747b89e4abbb52b,697a807bd747b89e4abbb52b,advanced,5,697a807bd747b89e4abbb52b,697a807bd747b89e4abbb52b,spotlight_PROLIFIC,,22,Brazil,Portuguese,N/A,,Portuguese:60|English:40,100,Portuguese:70|English:30,100,Portuguese:60|English:40,100,12,0,High school,10,9,9,6,7,7,11,21,11,21,Duolingo,120,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-08-16T12:35:38.312Z,C2FGX5G4,2026-08-16,2026-08-16,09:35:38,2026-08-16 09:35:38,,,,,,,,697a807bd747b89e4abbb52b,697a807bd747b89e4abbb52b,,,,
725,raw_position_sample,2,3,adv,22,5,10,11,1, While ,1030,158,1356855.1000000238,697a807bd747b89e4abbb52b,697a807bd747b89e4abbb52b,advanced,5,697a807bd747b89e4abbb52b,697a807bd747b89e4abbb52b,spotlight_PROLIFIC,,22,Brazil,Portuguese,N/A,,Portuguese:60|English:40,100,Portuguese:70|English:30,100,Portuguese:60|English:40,100,12,0,High school,10,9,9,6,7,7,11,21,11,21,Duolingo,120,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,148.5625,1032.15625,168.5625,1082.1875,1,1,,,,,,,,,,,,2026-08-16T12:35:38.312Z,C2FGX5G4,2026-08-16,2026-08-16,09:35:38,2026-08-16 09:35:38,,,,,,,,697a807bd747b89e4abbb52b,697a807bd747b89e4abbb52b,,,,
777,raw_position_sample,2,3,adv,22,5,10,11,1, While ,1052,170,1356907.2000000477,697a807bd747b89e4abbb52b,697a807bd747b89e4abbb52b,advanced,5,697a807bd747b89e4abbb52b,697a807bd747b89e4abbb52b,spotlight_PROLIFIC,,22,Brazil,Portuguese,N/A,,Portuguese:60|English:40,100,Portuguese:70|English:30,100,Portuguese:60|English:40,100,12,0,High school,10,9,9,6,7,7,11,21,11,21,Duolingo,120,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,148.5625,1032.15625,168.5625,1082.1875,1,1,,,,,,,,,,,,2026-08-16T12:35:38.312Z,C2FGX5G4,2026-08-16,2026-08-16,09:35:38,2026-08-16 09:35:38,,,,,,,,697a807bd747b89e4abbb52b,697a807bd747b89e4abbb52b,,,,
