responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,demo_other_english_test,demo_other_english_test_score,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
71,raw_position_sample,2,2,int,15,3,3,4,-1,999,380,83,1015108.0999999642,6983af7e9569fa0945330618,6983af7e9569fa0945330618,intermediate,3,6983af7e9569fa0945330618,6983af7e9569fa0945330618,spotlight_PROLIFIC,,26,Brazil,Portuguese,English,,Portuguese:90|English:10,100,Portuguese:85|English:15,100,Portuguese:100|English:0,100,15,5,High school,10,10,10,4,8,6,10,22,10,20,Duolingo,120,,,,,21,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-16T12:58:52.708Z,KWNLVK6K,2026-08-16,2026-08-16,09:58:52,2026-08-16 09:58:52,,,,,,,,6983af7e9569fa0945330618,6983af7e9569fa0945330618,,,,
118,raw_position_sample,2,2,int,15,3,3,4,-1,999,376,85,1015154.8999999762,6983af7e9569fa0945330618,6983af7e9569fa0945330618,intermediate,3,6983af7e9569fa0945330618,6983af7e9569fa0945330618,spotlight_PROLIFIC,,26,Brazil,Portuguese,English,,Portuguese:90|English:10,100,Portuguese:85|English:15,100,Portuguese:100|English:0,100,15,5,High school,10,10,10,4,8,6,10,22,10,20,Duolingo,120,,,,,21,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-16T12:58:52.708Z,KWNLVK6K,2026-08-16,2026-08-16,09:58:52,2026-08-16 09:58:52,,,,,,,,6983af7e9569fa0945330618,6983af7e9569fa0945330618,,,,
169,raw_position_sample,2,2,int,15,3,3,4,-1,999,373,88,1015206.5,6983af7e9569fa0945330618,6983af7e9569fa0945330618,intermediate,3,6983af7e9569fa0945330618,6983af7e9569fa0945330618,spotlight_PROLIFIC,,26,Brazil,Portuguese,English,,Portuguese:90|English:10,100,Portuguese:85|English:15,100,Portuguese:100|English:0,100,15,5,High school,10,10,10,4,8,6,10,22,10,20,Duolingo,120,,,,,21,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-16T12:58:52.708Z,KWNLVK6K,2026-08-16,2026-08-16,09:58:52,2026-08-16 09:58:52,,,,,,,,6983af7e9569fa0945330618,6983af7e9569fa0945330618,,,,
233,raw_position_sample,2,2,int,15,3,3,4,-1,999,373,88,1015270.7999999523,6983af7e9569fa0945330618,6983af7e9569fa0945330618,intermediate,3,6983af7e9569fa0945330618,6983af7e9569fa0945330618,spotlight_PROLIFIC,,26,Brazil,Portuguese,English,,Portuguese:90|English:10,100,Portuguese:85|English:15,100,Portuguese:100|English:0,100,15,5,High school,10,10,10,4,8,6,10,22,10,20,Duolingo,120,,,,,21,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-16T12:58:52.708Z,KWNLVK6K,2026-08-16,2026-08-16,09:58:52,2026-08-16 09:58:52,,,,,,,,6983af7e9569fa0945330618,6983af7e9569fa0945330618,,,,
282,raw_position_sample,2,2,int,15,3,3,4,-1,999,373,88,1015319,6983af7e9569fa0945330618,6983af7e9569fa0945330618,intermediate,3,6983af7e9569fa0945330618,6983af7e9569fa0945330618,spotlight_PROLIFIC,,26,Brazil,Portuguese,English,,Portuguese:90|English:10,100,Portuguese:85|English:15,100,Portuguese:100|English:0,100,15,5,High school,10,10,10,4,8,6,10,22,10,20,Duolingo,120,,,,,21,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-16T12:58:52.708Z,KWNLVK6K,2026-08-16,2026-08-16,09:58:52,2026-08-16 09:58:52,,,,,,,,6983af7e9569fa0945330618,6983af7e9569fa0945330618,,,,
330,raw_position_sample,2,2,int,15,3,3,4,-1,999,373,88,1015366.8999999762,6983af7e9569fa0945330618,6983af7e9569fa0945330618,intermediate,3,6983af7e9569fa0945330618,6983af7e9569fa0945330618,spotlight_PROLIFIC,,26,Brazil,Portuguese,English,,Portuguese:90|English:10,100,Portuguese:85|English:15,100,Portuguese:100|English:0,100,15,5,High school,10,10,10,4,8,6,10,22,10,20,Duolingo,120,,,,,21,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-16T12:58:52.708Z,KWNLVK6K,2026-08-16,2026-08-16,09:58:52,2026-08-16 09:58:52,,,,,,,,6983af7e9569fa0945330618,6983af7e9569fa0945330618,,,,
379,raw_position_sample,2,2,int,15,3,3,4,-1,999,373,88,1015416.0999999642,6983af7e9569fa0945330618,6983af7e9569fa0945330618,intermediate,3,6983af7e9569fa0945330618,6983af7e9569fa0945330618,spotlight_PROLIFIC,,26,Brazil,Portuguese,English,,Portuguese:90|English:10,100,Portuguese:85|English:15,100,Portuguese:100|English:0,100,15,5,High school,10,10,10,4,8,6,10,22,10,20,Duolingo,120,,,,,21,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-16T12:58:52.708Z,KWNLVK6K,2026-08-16,2026-08-16,09:58:52,2026-08-16 09:58:52,,,,,,,,6983af7e9569fa0945330618,6983af7e9569fa0945330618,,,,
427,raw_position_sample,2,2,int,15,3,3,4,-1,999,373,88,1015464.7999999523,6983af7e9569fa0945330618,6983af7e9569fa0945330618,intermediate,3,6983af7e9569fa0945330618,6983af7e9569fa0945330618,spotlight_PROLIFIC,,26,Brazil,Portuguese,English,,Portuguese:90|English:10,100,Portuguese:85|English:15,100,Portuguese:100|English:0,100,15,5,High school,10,10,10,4,8,6,10,22,10,20,Duolingo,120,,,,,21,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-16T12:58:52.708Z,KWNLVK6K,2026-08-16,2026-08-16,09:58:52,2026-08-16 09:58:52,,,,,,,,6983af7e9569fa0945330618,6983af7e9569fa0945330618,,,,
476,raw_position_sample,2,2,int,15,3,3,4,-1,999,373,88,1015513.1999999881,6983af7e9569fa0945330618,6983af7e9569fa0945330618,intermediate,3,6983af7e9569fa0945330618,6983af7e9569fa0945330618,spotlight_PROLIFIC,,26,Brazil,Portuguese,English,,Portuguese:90|English:10,100,Portuguese:85|English:15,100,Portuguese:100|English:0,100,15,5,High school,10,10,10,4,8,6,10,22,10,20,Duolingo,120,,,,,21,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-16T12:58:52.708Z,KWNLVK6K,2026-08-16,2026-08-16,09:58:52,2026-08-16 09:58:52,,,,,,,,6983af7e9569fa0945330618,6983af7e9569fa0945330618,,,,
525,raw_position_sample,2,2,int,15,3,3,4,-1,999,373,88,1015562.0999999642,6983af7e9569fa0945330618,6983af7e9569fa0945330618,intermediate,3,6983af7e9569fa0945330618,6983af7e9569fa0945330618,spotlight_PROLIFIC,,26,Brazil,Portuguese,English,,Portuguese:90|English:10,100,Portuguese:85|English:15,100,Portuguese:100|English:0,100,15,5,High school,10,10,10,4,8,6,10,22,10,20,Duolingo,120,,,,,21,25,B2,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-16T12:58:52.708Z,KWNLVK6K,2026-08-16,2026-08-16,09:58:52,2026-08-16 09:58:52,,,,,,,,6983af7e9569fa0945330618,6983af7e9569fa0945330618,,,,
