responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
1161,raw_position_sample,2,2,int,11,3,3,4,-1,999,230,77,4121352,69e946907b8c3bd544d7454a,69e946907b8c3bd544d7454a,intermediate,3,69e946907b8c3bd544d7454a,69e946907b8c3bd544d7454a,spotlight_PROLIFIC,,29,brazil,Portuguese,N/A,,Portuguese:90|English:10,100,Portuguese:90|English:10,100,Portuguese:95|English:5,100,12,0,High school,10,10,10,3,4,5,14,0,17,0,,,,,24,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-07-06T22:07:56.628Z,VVVDUVCT,2026-07-06,2026-07-06,19:07:56,2026-07-06 19:07:56,,,,,,,,69e946907b8c3bd544d7454a,69e946907b8c3bd544d7454a,,,,
1218,raw_position_sample,2,2,int,11,3,3,4,-1,999,260,102,4121409,69e946907b8c3bd544d7454a,69e946907b8c3bd544d7454a,intermediate,3,69e946907b8c3bd544d7454a,69e946907b8c3bd544d7454a,spotlight_PROLIFIC,,29,brazil,Portuguese,N/A,,Portuguese:90|English:10,100,Portuguese:90|English:10,100,Portuguese:95|English:5,100,12,0,High school,10,10,10,3,4,5,14,0,17,0,,,,,24,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-07-06T22:07:56.628Z,VVVDUVCT,2026-07-06,2026-07-06,19:07:56,2026-07-06 19:07:56,,,,,,,,69e946907b8c3bd544d7454a,69e946907b8c3bd544d7454a,,,,
1268,raw_position_sample,2,2,int,11,3,3,4,-1,999,282,112,4121459,69e946907b8c3bd544d7454a,69e946907b8c3bd544d7454a,intermediate,3,69e946907b8c3bd544d7454a,69e946907b8c3bd544d7454a,spotlight_PROLIFIC,,29,brazil,Portuguese,N/A,,Portuguese:90|English:10,100,Portuguese:90|English:10,100,Portuguese:95|English:5,100,12,0,High school,10,10,10,3,4,5,14,0,17,0,,,,,24,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-07-06T22:07:56.628Z,VVVDUVCT,2026-07-06,2026-07-06,19:07:56,2026-07-06 19:07:56,,,,,,,,69e946907b8c3bd544d7454a,69e946907b8c3bd544d7454a,,,,
1305,raw_position_sample,2,2,int,11,3,3,4,-1,999,283,113,4121496,69e946907b8c3bd544d7454a,69e946907b8c3bd544d7454a,intermediate,3,69e946907b8c3bd544d7454a,69e946907b8c3bd544d7454a,spotlight_PROLIFIC,,29,brazil,Portuguese,N/A,,Portuguese:90|English:10,100,Portuguese:90|English:10,100,Portuguese:95|English:5,100,12,0,High school,10,10,10,3,4,5,14,0,17,0,,,,,24,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-07-06T22:07:56.628Z,VVVDUVCT,2026-07-06,2026-07-06,19:07:56,2026-07-06 19:07:56,,,,,,,,69e946907b8c3bd544d7454a,69e946907b8c3bd544d7454a,,,,
1359,raw_position_sample,2,2,int,11,3,3,4,-1,999,283,113,4121550,69e946907b8c3bd544d7454a,69e946907b8c3bd544d7454a,intermediate,3,69e946907b8c3bd544d7454a,69e946907b8c3bd544d7454a,spotlight_PROLIFIC,,29,brazil,Portuguese,N/A,,Portuguese:90|English:10,100,Portuguese:90|English:10,100,Portuguese:95|English:5,100,12,0,High school,10,10,10,3,4,5,14,0,17,0,,,,,24,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-07-06T22:07:56.628Z,VVVDUVCT,2026-07-06,2026-07-06,19:07:56,2026-07-06 19:07:56,,,,,,,,69e946907b8c3bd544d7454a,69e946907b8c3bd544d7454a,,,,
1414,raw_position_sample,2,2,int,11,3,3,4,-1,999,284,113,4121605,69e946907b8c3bd544d7454a,69e946907b8c3bd544d7454a,intermediate,3,69e946907b8c3bd544d7454a,69e946907b8c3bd544d7454a,spotlight_PROLIFIC,,29,brazil,Portuguese,N/A,,Portuguese:90|English:10,100,Portuguese:90|English:10,100,Portuguese:95|English:5,100,12,0,High school,10,10,10,3,4,5,14,0,17,0,,,,,24,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-07-06T22:07:56.628Z,VVVDUVCT,2026-07-06,2026-07-06,19:07:56,2026-07-06 19:07:56,,,,,,,,69e946907b8c3bd544d7454a,69e946907b8c3bd544d7454a,,,,
1462,raw_position_sample,2,2,int,11,3,3,4,-1,999,284,113,4121653,69e946907b8c3bd544d7454a,69e946907b8c3bd544d7454a,intermediate,3,69e946907b8c3bd544d7454a,69e946907b8c3bd544d7454a,spotlight_PROLIFIC,,29,brazil,Portuguese,N/A,,Portuguese:90|English:10,100,Portuguese:90|English:10,100,Portuguese:95|English:5,100,12,0,High school,10,10,10,3,4,5,14,0,17,0,,,,,24,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-07-06T22:07:56.628Z,VVVDUVCT,2026-07-06,2026-07-06,19:07:56,2026-07-06 19:07:56,,,,,,,,69e946907b8c3bd544d7454a,69e946907b8c3bd544d7454a,,,,
1508,raw_position_sample,2,2,int,11,3,3,4,-1,999,286,113,4121699,69e946907b8c3bd544d7454a,69e946907b8c3bd544d7454a,intermediate,3,69e946907b8c3bd544d7454a,69e946907b8c3bd544d7454a,spotlight_PROLIFIC,,29,brazil,Portuguese,N/A,,Portuguese:90|English:10,100,Portuguese:90|English:10,100,Portuguese:95|English:5,100,12,0,High school,10,10,10,3,4,5,14,0,17,0,,,,,24,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-07-06T22:07:56.628Z,VVVDUVCT,2026-07-06,2026-07-06,19:07:56,2026-07-06 19:07:56,,,,,,,,69e946907b8c3bd544d7454a,69e946907b8c3bd544d7454a,,,,
1567,raw_position_sample,2,2,int,11,3,3,4,-1,999,293,113,4121758,69e946907b8c3bd544d7454a,69e946907b8c3bd544d7454a,intermediate,3,69e946907b8c3bd544d7454a,69e946907b8c3bd544d7454a,spotlight_PROLIFIC,,29,brazil,Portuguese,N/A,,Portuguese:90|English:10,100,Portuguese:90|English:10,100,Portuguese:95|English:5,100,12,0,High school,10,10,10,3,4,5,14,0,17,0,,,,,24,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-07-06T22:07:56.628Z,VVVDUVCT,2026-07-06,2026-07-06,19:07:56,2026-07-06 19:07:56,,,,,,,,69e946907b8c3bd544d7454a,69e946907b8c3bd544d7454a,,,,
1605,raw_position_sample,2,2,int,11,3,3,4,-1,999,295,113,4121796,69e946907b8c3bd544d7454a,69e946907b8c3bd544d7454a,intermediate,3,69e946907b8c3bd544d7454a,69e946907b8c3bd544d7454a,spotlight_PROLIFIC,,29,brazil,Portuguese,N/A,,Portuguese:90|English:10,100,Portuguese:90|English:10,100,Portuguese:95|English:5,100,12,0,High school,10,10,10,3,4,5,14,0,17,0,,,,,24,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,18,random,,,,,,,,,,,,,,,,,,,2026-07-06T22:07:56.628Z,VVVDUVCT,2026-07-06,2026-07-06,19:07:56,2026-07-06 19:07:56,,,,,,,,69e946907b8c3bd544d7454a,69e946907b8c3bd544d7454a,,,,
