responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,demo_other_english_test,demo_other_english_test_score,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
71,raw_position_sample,2,2,int,13,2,7,8,-1,999,554,136,1274416.7000000002,5f87993abcee241dace4a140,5f87993abcee241dace4a140,intermediate,2,5f87993abcee241dace4a140,5f87993abcee241dace4a140,spotlight_PROLIFIC,,26,chile,spanish,english,,spanish:98|English:2,100,spanish:50|English:50,100,spanish:99|English:1,100,10,6,Master's,10,10,10,3,7,9,14,16,22,24,CEFR,B1,,,,,13,25,A1/A2,elementary|intermediate,intermediate|elementary,cambridge_0_14_elementary_intermediate,4,20,random,,,,,,,,,,,,,,,,,,,2026-07-02T16:35:25.538Z,VPLLPMXY,2026-07-02,2026-07-02,12:35:25,2026-07-02 12:35:25,,,,,,,,5f87993abcee241dace4a140,5f87993abcee241dace4a140,,,,
123,raw_position_sample,2,2,int,13,2,7,8,-1,999,550,145,1274468.2999999998,5f87993abcee241dace4a140,5f87993abcee241dace4a140,intermediate,2,5f87993abcee241dace4a140,5f87993abcee241dace4a140,spotlight_PROLIFIC,,26,chile,spanish,english,,spanish:98|English:2,100,spanish:50|English:50,100,spanish:99|English:1,100,10,6,Master's,10,10,10,3,7,9,14,16,22,24,CEFR,B1,,,,,13,25,A1/A2,elementary|intermediate,intermediate|elementary,cambridge_0_14_elementary_intermediate,4,20,random,,,,,,,,,,,,,,,,,,,2026-07-02T16:35:25.538Z,VPLLPMXY,2026-07-02,2026-07-02,12:35:25,2026-07-02 12:35:25,,,,,,,,5f87993abcee241dace4a140,5f87993abcee241dace4a140,,,,
184,raw_position_sample,2,2,int,13,2,7,8,-1,999,550,145,1274529.7000000002,5f87993abcee241dace4a140,5f87993abcee241dace4a140,intermediate,2,5f87993abcee241dace4a140,5f87993abcee241dace4a140,spotlight_PROLIFIC,,26,chile,spanish,english,,spanish:98|English:2,100,spanish:50|English:50,100,spanish:99|English:1,100,10,6,Master's,10,10,10,3,7,9,14,16,22,24,CEFR,B1,,,,,13,25,A1/A2,elementary|intermediate,intermediate|elementary,cambridge_0_14_elementary_intermediate,4,20,random,,,,,,,,,,,,,,,,,,,2026-07-02T16:35:25.538Z,VPLLPMXY,2026-07-02,2026-07-02,12:35:25,2026-07-02 12:35:25,,,,,,,,5f87993abcee241dace4a140,5f87993abcee241dace4a140,,,,
231,raw_position_sample,2,2,int,13,2,7,8,-1,999,550,145,1274576,5f87993abcee241dace4a140,5f87993abcee241dace4a140,intermediate,2,5f87993abcee241dace4a140,5f87993abcee241dace4a140,spotlight_PROLIFIC,,26,chile,spanish,english,,spanish:98|English:2,100,spanish:50|English:50,100,spanish:99|English:1,100,10,6,Master's,10,10,10,3,7,9,14,16,22,24,CEFR,B1,,,,,13,25,A1/A2,elementary|intermediate,intermediate|elementary,cambridge_0_14_elementary_intermediate,4,20,random,,,,,,,,,,,,,,,,,,,2026-07-02T16:35:25.538Z,VPLLPMXY,2026-07-02,2026-07-02,12:35:25,2026-07-02 12:35:25,,,,,,,,5f87993abcee241dace4a140,5f87993abcee241dace4a140,,,,
276,raw_position_sample,2,2,int,13,2,7,8,-1,999,550,145,1274621.4000000004,5f87993abcee241dace4a140,5f87993abcee241dace4a140,intermediate,2,5f87993abcee241dace4a140,5f87993abcee241dace4a140,spotlight_PROLIFIC,,26,chile,spanish,english,,spanish:98|English:2,100,spanish:50|English:50,100,spanish:99|English:1,100,10,6,Master's,10,10,10,3,7,9,14,16,22,24,CEFR,B1,,,,,13,25,A1/A2,elementary|intermediate,intermediate|elementary,cambridge_0_14_elementary_intermediate,4,20,random,,,,,,,,,,,,,,,,,,,2026-07-02T16:35:25.538Z,VPLLPMXY,2026-07-02,2026-07-02,12:35:25,2026-07-02 12:35:25,,,,,,,,5f87993abcee241dace4a140,5f87993abcee241dace4a140,,,,
321,raw_position_sample,2,2,int,13,2,7,8,-1,999,554,130,1274666.9000000004,5f87993abcee241dace4a140,5f87993abcee241dace4a140,intermediate,2,5f87993abcee241dace4a140,5f87993abcee241dace4a140,spotlight_PROLIFIC,,26,chile,spanish,english,,spanish:98|English:2,100,spanish:50|English:50,100,spanish:99|English:1,100,10,6,Master's,10,10,10,3,7,9,14,16,22,24,CEFR,B1,,,,,13,25,A1/A2,elementary|intermediate,intermediate|elementary,cambridge_0_14_elementary_intermediate,4,20,random,,,,,,,,,,,,,,,,,,,2026-07-02T16:35:25.538Z,VPLLPMXY,2026-07-02,2026-07-02,12:35:25,2026-07-02 12:35:25,,,,,,,,5f87993abcee241dace4a140,5f87993abcee241dace4a140,,,,
385,raw_position_sample,2,2,int,13,2,7,8,-1,999,553,126,1274730,5f87993abcee241dace4a140,5f87993abcee241dace4a140,intermediate,2,5f87993abcee241dace4a140,5f87993abcee241dace4a140,spotlight_PROLIFIC,,26,chile,spanish,english,,spanish:98|English:2,100,spanish:50|English:50,100,spanish:99|English:1,100,10,6,Master's,10,10,10,3,7,9,14,16,22,24,CEFR,B1,,,,,13,25,A1/A2,elementary|intermediate,intermediate|elementary,cambridge_0_14_elementary_intermediate,4,20,random,,,,,,,,,,,,,,,,,,,2026-07-02T16:35:25.538Z,VPLLPMXY,2026-07-02,2026-07-02,12:35:25,2026-07-02 12:35:25,,,,,,,,5f87993abcee241dace4a140,5f87993abcee241dace4a140,,,,
429,raw_position_sample,2,2,int,13,2,7,8,-1,999,553,126,1274774.7999999998,5f87993abcee241dace4a140,5f87993abcee241dace4a140,intermediate,2,5f87993abcee241dace4a140,5f87993abcee241dace4a140,spotlight_PROLIFIC,,26,chile,spanish,english,,spanish:98|English:2,100,spanish:50|English:50,100,spanish:99|English:1,100,10,6,Master's,10,10,10,3,7,9,14,16,22,24,CEFR,B1,,,,,13,25,A1/A2,elementary|intermediate,intermediate|elementary,cambridge_0_14_elementary_intermediate,4,20,random,,,,,,,,,,,,,,,,,,,2026-07-02T16:35:25.538Z,VPLLPMXY,2026-07-02,2026-07-02,12:35:25,2026-07-02 12:35:25,,,,,,,,5f87993abcee241dace4a140,5f87993abcee241dace4a140,,,,
471,raw_position_sample,2,2,int,13,2,7,8,-1,999,552,122,1274816.7999999998,5f87993abcee241dace4a140,5f87993abcee241dace4a140,intermediate,2,5f87993abcee241dace4a140,5f87993abcee241dace4a140,spotlight_PROLIFIC,,26,chile,spanish,english,,spanish:98|English:2,100,spanish:50|English:50,100,spanish:99|English:1,100,10,6,Master's,10,10,10,3,7,9,14,16,22,24,CEFR,B1,,,,,13,25,A1/A2,elementary|intermediate,intermediate|elementary,cambridge_0_14_elementary_intermediate,4,20,random,,,,,,,,,,,,,,,,,,,2026-07-02T16:35:25.538Z,VPLLPMXY,2026-07-02,2026-07-02,12:35:25,2026-07-02 12:35:25,,,,,,,,5f87993abcee241dace4a140,5f87993abcee241dace4a140,,,,
524,raw_position_sample,2,2,int,13,2,7,8,-1,999,552,122,1274869.5,5f87993abcee241dace4a140,5f87993abcee241dace4a140,intermediate,2,5f87993abcee241dace4a140,5f87993abcee241dace4a140,spotlight_PROLIFIC,,26,chile,spanish,english,,spanish:98|English:2,100,spanish:50|English:50,100,spanish:99|English:1,100,10,6,Master's,10,10,10,3,7,9,14,16,22,24,CEFR,B1,,,,,13,25,A1/A2,elementary|intermediate,intermediate|elementary,cambridge_0_14_elementary_intermediate,4,20,random,,,,,,,,,,,,,,,,,,,2026-07-02T16:35:25.538Z,VPLLPMXY,2026-07-02,2026-07-02,12:35:25,2026-07-02 12:35:25,,,,,,,,5f87993abcee241dace4a140,5f87993abcee241dace4a140,,,,
