responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,demo_other_english_test,demo_other_english_test_score,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
561,raw_position_sample,2,3,adv,30,1,1,2,1, How ,686,135,1214607.1000000238,6a0b8007871b3534691a96f2,6a0b8007871b3534691a96f2,advanced,1,6a0b8007871b3534691a96f2,6a0b8007871b3534691a96f2,spotlight_PROLIFIC,,28,Mexico,Spanish,English,,Spanish:70|English:30,100,Spanish:80|English:20,100,Spanish:90|English:10,100,12,0,Bachelor's,10,10,10,7,9,9,6,20,15,18,CEFR,B2,,,,,23,25,C1,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,126.76667022705078,689.4166870117188,147.03333854675293,730.416690826416,1,1,,,,,,,,,,,,2026-08-24T16:14:18.902Z,TMBDCVQD,2026-08-24,2026-08-24,10:14:18,2026-08-24 10:14:18,,,,,,,,6a0b8007871b3534691a96f2,6a0b8007871b3534691a96f2,,,,
623,raw_position_sample,2,3,adv,30,1,1,2,1, How ,688,135,1214669.300000012,6a0b8007871b3534691a96f2,6a0b8007871b3534691a96f2,advanced,1,6a0b8007871b3534691a96f2,6a0b8007871b3534691a96f2,spotlight_PROLIFIC,,28,Mexico,Spanish,English,,Spanish:70|English:30,100,Spanish:80|English:20,100,Spanish:90|English:10,100,12,0,Bachelor's,10,10,10,7,9,9,6,20,15,18,CEFR,B2,,,,,23,25,C1,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,126.76667022705078,689.4166870117188,147.03333854675293,730.416690826416,1,1,,,,,,,,,,,,2026-08-24T16:14:18.902Z,TMBDCVQD,2026-08-24,2026-08-24,10:14:18,2026-08-24 10:14:18,,,,,,,,6a0b8007871b3534691a96f2,6a0b8007871b3534691a96f2,,,,
670,raw_position_sample,2,3,adv,30,1,1,2,1, How ,688,135,1214716,6a0b8007871b3534691a96f2,6a0b8007871b3534691a96f2,advanced,1,6a0b8007871b3534691a96f2,6a0b8007871b3534691a96f2,spotlight_PROLIFIC,,28,Mexico,Spanish,English,,Spanish:70|English:30,100,Spanish:80|English:20,100,Spanish:90|English:10,100,12,0,Bachelor's,10,10,10,7,9,9,6,20,15,18,CEFR,B2,,,,,23,25,C1,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,126.76667022705078,689.4166870117188,147.03333854675293,730.416690826416,1,1,,,,,,,,,,,,2026-08-24T16:14:18.902Z,TMBDCVQD,2026-08-24,2026-08-24,10:14:18,2026-08-24 10:14:18,,,,,,,,6a0b8007871b3534691a96f2,6a0b8007871b3534691a96f2,,,,
717,raw_position_sample,2,3,adv,30,1,1,2,1, How ,688,135,1214762.9000000358,6a0b8007871b3534691a96f2,6a0b8007871b3534691a96f2,advanced,1,6a0b8007871b3534691a96f2,6a0b8007871b3534691a96f2,spotlight_PROLIFIC,,28,Mexico,Spanish,English,,Spanish:70|English:30,100,Spanish:80|English:20,100,Spanish:90|English:10,100,12,0,Bachelor's,10,10,10,7,9,9,6,20,15,18,CEFR,B2,,,,,23,25,C1,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,126.76667022705078,689.4166870117188,147.03333854675293,730.416690826416,1,1,,,,,,,,,,,,2026-08-24T16:14:18.902Z,TMBDCVQD,2026-08-24,2026-08-24,10:14:18,2026-08-24 10:14:18,,,,,,,,6a0b8007871b3534691a96f2,6a0b8007871b3534691a96f2,,,,
762,raw_position_sample,2,3,adv,30,1,1,2,1, How ,688,135,1214808.2000000477,6a0b8007871b3534691a96f2,6a0b8007871b3534691a96f2,advanced,1,6a0b8007871b3534691a96f2,6a0b8007871b3534691a96f2,spotlight_PROLIFIC,,28,Mexico,Spanish,English,,Spanish:70|English:30,100,Spanish:80|English:20,100,Spanish:90|English:10,100,12,0,Bachelor's,10,10,10,7,9,9,6,20,15,18,CEFR,B2,,,,,23,25,C1,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,126.76667022705078,689.4166870117188,147.03333854675293,730.416690826416,1,1,,,,,,,,,,,,2026-08-24T16:14:18.902Z,TMBDCVQD,2026-08-24,2026-08-24,10:14:18,2026-08-24 10:14:18,,,,,,,,6a0b8007871b3534691a96f2,6a0b8007871b3534691a96f2,,,,
825,raw_position_sample,2,3,adv,30,1,1,2,1, How ,688,135,1214871.4000000358,6a0b8007871b3534691a96f2,6a0b8007871b3534691a96f2,advanced,1,6a0b8007871b3534691a96f2,6a0b8007871b3534691a96f2,spotlight_PROLIFIC,,28,Mexico,Spanish,English,,Spanish:70|English:30,100,Spanish:80|English:20,100,Spanish:90|English:10,100,12,0,Bachelor's,10,10,10,7,9,9,6,20,15,18,CEFR,B2,,,,,23,25,C1,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,126.76667022705078,689.4166870117188,147.03333854675293,730.416690826416,1,1,,,,,,,,,,,,2026-08-24T16:14:18.902Z,TMBDCVQD,2026-08-24,2026-08-24,10:14:18,2026-08-24 10:14:18,,,,,,,,6a0b8007871b3534691a96f2,6a0b8007871b3534691a96f2,,,,
872,raw_position_sample,2,3,adv,30,1,1,2,1, How ,688,135,1214918.300000012,6a0b8007871b3534691a96f2,6a0b8007871b3534691a96f2,advanced,1,6a0b8007871b3534691a96f2,6a0b8007871b3534691a96f2,spotlight_PROLIFIC,,28,Mexico,Spanish,English,,Spanish:70|English:30,100,Spanish:80|English:20,100,Spanish:90|English:10,100,12,0,Bachelor's,10,10,10,7,9,9,6,20,15,18,CEFR,B2,,,,,23,25,C1,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,126.76667022705078,689.4166870117188,147.03333854675293,730.416690826416,1,1,,,,,,,,,,,,2026-08-24T16:14:18.902Z,TMBDCVQD,2026-08-24,2026-08-24,10:14:18,2026-08-24 10:14:18,,,,,,,,6a0b8007871b3534691a96f2,6a0b8007871b3534691a96f2,,,,
918,raw_position_sample,2,3,adv,30,1,1,2,1, How ,688,135,1214964.6000000238,6a0b8007871b3534691a96f2,6a0b8007871b3534691a96f2,advanced,1,6a0b8007871b3534691a96f2,6a0b8007871b3534691a96f2,spotlight_PROLIFIC,,28,Mexico,Spanish,English,,Spanish:70|English:30,100,Spanish:80|English:20,100,Spanish:90|English:10,100,12,0,Bachelor's,10,10,10,7,9,9,6,20,15,18,CEFR,B2,,,,,23,25,C1,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,126.76667022705078,689.4166870117188,147.03333854675293,730.416690826416,1,1,,,,,,,,,,,,2026-08-24T16:14:18.902Z,TMBDCVQD,2026-08-24,2026-08-24,10:14:18,2026-08-24 10:14:18,,,,,,,,6a0b8007871b3534691a96f2,6a0b8007871b3534691a96f2,,,,
965,raw_position_sample,2,3,adv,30,1,1,2,1, How ,688,135,1215010.800000012,6a0b8007871b3534691a96f2,6a0b8007871b3534691a96f2,advanced,1,6a0b8007871b3534691a96f2,6a0b8007871b3534691a96f2,spotlight_PROLIFIC,,28,Mexico,Spanish,English,,Spanish:70|English:30,100,Spanish:80|English:20,100,Spanish:90|English:10,100,12,0,Bachelor's,10,10,10,7,9,9,6,20,15,18,CEFR,B2,,,,,23,25,C1,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,126.76667022705078,689.4166870117188,147.03333854675293,730.416690826416,1,1,,,,,,,,,,,,2026-08-24T16:14:18.902Z,TMBDCVQD,2026-08-24,2026-08-24,10:14:18,2026-08-24 10:14:18,,,,,,,,6a0b8007871b3534691a96f2,6a0b8007871b3534691a96f2,,,,
1012,raw_position_sample,2,3,adv,30,1,1,2,1, How ,688,135,1215058.1000000238,6a0b8007871b3534691a96f2,6a0b8007871b3534691a96f2,advanced,1,6a0b8007871b3534691a96f2,6a0b8007871b3534691a96f2,spotlight_PROLIFIC,,28,Mexico,Spanish,English,,Spanish:70|English:30,100,Spanish:80|English:20,100,Spanish:90|English:10,100,12,0,Bachelor's,10,10,10,7,9,9,6,20,15,18,CEFR,B2,,,,,23,25,C1,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,126.76667022705078,689.4166870117188,147.03333854675293,730.416690826416,1,1,,,,,,,,,,,,2026-08-24T16:14:18.902Z,TMBDCVQD,2026-08-24,2026-08-24,10:14:18,2026-08-24 10:14:18,,,,,,,,6a0b8007871b3534691a96f2,6a0b8007871b3534691a96f2,,,,
1073,raw_position_sample,2,3,adv,30,1,1,2,1, How ,688,135,1215119.300000012,6a0b8007871b3534691a96f2,6a0b8007871b3534691a96f2,advanced,1,6a0b8007871b3534691a96f2,6a0b8007871b3534691a96f2,spotlight_PROLIFIC,,28,Mexico,Spanish,English,,Spanish:70|English:30,100,Spanish:80|English:20,100,Spanish:90|English:10,100,12,0,Bachelor's,10,10,10,7,9,9,6,20,15,18,CEFR,B2,,,,,23,25,C1,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,126.76667022705078,689.4166870117188,147.03333854675293,730.416690826416,1,1,,,,,,,,,,,,2026-08-24T16:14:18.902Z,TMBDCVQD,2026-08-24,2026-08-24,10:14:18,2026-08-24 10:14:18,,,,,,,,6a0b8007871b3534691a96f2,6a0b8007871b3534691a96f2,,,,
1121,raw_position_sample,2,3,adv,30,1,1,2,1, How ,688,135,1215166.7000000477,6a0b8007871b3534691a96f2,6a0b8007871b3534691a96f2,advanced,1,6a0b8007871b3534691a96f2,6a0b8007871b3534691a96f2,spotlight_PROLIFIC,,28,Mexico,Spanish,English,,Spanish:70|English:30,100,Spanish:80|English:20,100,Spanish:90|English:10,100,12,0,Bachelor's,10,10,10,7,9,9,6,20,15,18,CEFR,B2,,,,,23,25,C1,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,126.76667022705078,689.4166870117188,147.03333854675293,730.416690826416,1,1,,,,,,,,,,,,2026-08-24T16:14:18.902Z,TMBDCVQD,2026-08-24,2026-08-24,10:14:18,2026-08-24 10:14:18,,,,,,,,6a0b8007871b3534691a96f2,6a0b8007871b3534691a96f2,,,,
1162,raw_position_sample,2,3,adv,30,1,1,2,1, How ,691,135,1215207.800000012,6a0b8007871b3534691a96f2,6a0b8007871b3534691a96f2,advanced,1,6a0b8007871b3534691a96f2,6a0b8007871b3534691a96f2,spotlight_PROLIFIC,,28,Mexico,Spanish,English,,Spanish:70|English:30,100,Spanish:80|English:20,100,Spanish:90|English:10,100,12,0,Bachelor's,10,10,10,7,9,9,6,20,15,18,CEFR,B2,,,,,23,25,C1,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,126.76667022705078,689.4166870117188,147.03333854675293,730.416690826416,1,1,,,,,,,,,,,,2026-08-24T16:14:18.902Z,TMBDCVQD,2026-08-24,2026-08-24,10:14:18,2026-08-24 10:14:18,,,,,,,,6a0b8007871b3534691a96f2,6a0b8007871b3534691a96f2,,,,
1214,raw_position_sample,2,3,adv,30,1,1,2,1, How ,700,137,1215259.9000000358,6a0b8007871b3534691a96f2,6a0b8007871b3534691a96f2,advanced,1,6a0b8007871b3534691a96f2,6a0b8007871b3534691a96f2,spotlight_PROLIFIC,,28,Mexico,Spanish,English,,Spanish:70|English:30,100,Spanish:80|English:20,100,Spanish:90|English:10,100,12,0,Bachelor's,10,10,10,7,9,9,6,20,15,18,CEFR,B2,,,,,23,25,C1,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,126.76667022705078,689.4166870117188,147.03333854675293,730.416690826416,1,1,,,,,,,,,,,,2026-08-24T16:14:18.902Z,TMBDCVQD,2026-08-24,2026-08-24,10:14:18,2026-08-24 10:14:18,,,,,,,,6a0b8007871b3534691a96f2,6a0b8007871b3534691a96f2,,,,
1260,raw_position_sample,2,3,adv,30,1,1,2,1, How ,707,139,1215306.5,6a0b8007871b3534691a96f2,6a0b8007871b3534691a96f2,advanced,1,6a0b8007871b3534691a96f2,6a0b8007871b3534691a96f2,spotlight_PROLIFIC,,28,Mexico,Spanish,English,,Spanish:70|English:30,100,Spanish:80|English:20,100,Spanish:90|English:10,100,12,0,Bachelor's,10,10,10,7,9,9,6,20,15,18,CEFR,B2,,,,,23,25,C1,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,126.76667022705078,689.4166870117188,147.03333854675293,730.416690826416,1,1,,,,,,,,,,,,2026-08-24T16:14:18.902Z,TMBDCVQD,2026-08-24,2026-08-24,10:14:18,2026-08-24 10:14:18,,,,,,,,6a0b8007871b3534691a96f2,6a0b8007871b3534691a96f2,,,,
1323,raw_position_sample,2,3,adv,30,1,1,2,1, How ,711,139,1215369.1000000238,6a0b8007871b3534691a96f2,6a0b8007871b3534691a96f2,advanced,1,6a0b8007871b3534691a96f2,6a0b8007871b3534691a96f2,spotlight_PROLIFIC,,28,Mexico,Spanish,English,,Spanish:70|English:30,100,Spanish:80|English:20,100,Spanish:90|English:10,100,12,0,Bachelor's,10,10,10,7,9,9,6,20,15,18,CEFR,B2,,,,,23,25,C1,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,126.76667022705078,689.4166870117188,147.03333854675293,730.416690826416,1,1,,,,,,,,,,,,2026-08-24T16:14:18.902Z,TMBDCVQD,2026-08-24,2026-08-24,10:14:18,2026-08-24 10:14:18,,,,,,,,6a0b8007871b3534691a96f2,6a0b8007871b3534691a96f2,,,,
1368,raw_position_sample,2,3,adv,30,1,1,2,1, How ,714,140,1215414.6000000238,6a0b8007871b3534691a96f2,6a0b8007871b3534691a96f2,advanced,1,6a0b8007871b3534691a96f2,6a0b8007871b3534691a96f2,spotlight_PROLIFIC,,28,Mexico,Spanish,English,,Spanish:70|English:30,100,Spanish:80|English:20,100,Spanish:90|English:10,100,12,0,Bachelor's,10,10,10,7,9,9,6,20,15,18,CEFR,B2,,,,,23,25,C1,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,126.76667022705078,689.4166870117188,147.03333854675293,730.416690826416,1,1,,,,,,,,,,,,2026-08-24T16:14:18.902Z,TMBDCVQD,2026-08-24,2026-08-24,10:14:18,2026-08-24 10:14:18,,,,,,,,6a0b8007871b3534691a96f2,6a0b8007871b3534691a96f2,,,,
1411,raw_position_sample,2,3,adv,30,1,1,2,1, How ,725,141,1215456.800000012,6a0b8007871b3534691a96f2,6a0b8007871b3534691a96f2,advanced,1,6a0b8007871b3534691a96f2,6a0b8007871b3534691a96f2,spotlight_PROLIFIC,,28,Mexico,Spanish,English,,Spanish:70|English:30,100,Spanish:80|English:20,100,Spanish:90|English:10,100,12,0,Bachelor's,10,10,10,7,9,9,6,20,15,18,CEFR,B2,,,,,23,25,C1,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,126.76667022705078,689.4166870117188,147.03333854675293,730.416690826416,1,1,,,,,,,,,,,,2026-08-24T16:14:18.902Z,TMBDCVQD,2026-08-24,2026-08-24,10:14:18,2026-08-24 10:14:18,,,,,,,,6a0b8007871b3534691a96f2,6a0b8007871b3534691a96f2,,,,
1425,hover_association,2,3,adv,30,1,1,2,1, How ,686,135,,6a0b8007871b3534691a96f2,6a0b8007871b3534691a96f2,advanced,1,6a0b8007871b3534691a96f2,6a0b8007871b3534691a96f2,spotlight_PROLIFIC,,28,Mexico,Spanish,English,,Spanish:70|English:30,100,Spanish:80|English:20,100,Spanish:90|English:10,100,12,0,Bachelor's,10,10,10,7,9,9,6,20,15,18,CEFR,B2,,,,,23,25,C1,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,116.90000057220459,685.316686630249,156.90000820159912,730.4166889190674,1,1,hover,869,869,0.9464148825627321,0.627499866008784,155,,,,,,2026-08-24T16:14:18.902Z,TMBDCVQD,2026-08-24,2026-08-24,10:14:18,2026-08-24 10:14:18,,,,,,,,6a0b8007871b3534691a96f2,6a0b8007871b3534691a96f2,,,,
1463,raw_position_sample,2,3,adv,30,1,1,2,2, far ,741,143,1215509.4000000358,6a0b8007871b3534691a96f2,6a0b8007871b3534691a96f2,advanced,1,6a0b8007871b3534691a96f2,6a0b8007871b3534691a96f2,spotlight_PROLIFIC,,28,Mexico,Spanish,English,,Spanish:70|English:30,100,Spanish:80|English:20,100,Spanish:90|English:10,100,12,0,Bachelor's,10,10,10,7,9,9,6,20,15,18,CEFR,B2,,,,,23,25,C1,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,126.76667022705078,730.4166870117188,147.03333854675293,756.4166889190674,1,2,,,,,,,,,,,,2026-08-24T16:14:18.902Z,TMBDCVQD,2026-08-24,2026-08-24,10:14:18,2026-08-24 10:14:18,,,,,,,,6a0b8007871b3534691a96f2,6a0b8007871b3534691a96f2,,,,
