responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,demo_other_english_test,demo_other_english_test_score,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
32,raw_position_sample,2,2,int,7,1,1,2,-1,999,205,42,702033,6995d13c1b50d719c3d4876e,6995d13c1b50d719c3d4876e,intermediate,1,6995d13c1b50d719c3d4876e,6995d13c1b50d719c3d4876e,spotlight_PROLIFIC,,33,Argentina,Spanish,English,,Spanish:70|English:30,100,Spanish:70|English:30,100,Spanish:70|English:30,100,16,4,Bachelor's,10,10,10,10,10,10,12,25,12,25,IELTS,8.5,,,,,22,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-07-02T16:38:59.554Z,4HH589NE,2026-07-02,2026-07-02,13:38:59,2026-07-02 13:38:59,,,,,,,,6995d13c1b50d719c3d4876e,6995d13c1b50d719c3d4876e,,,,
82,raw_position_sample,2,2,int,7,1,1,2,-1,999,197,38,702083,6995d13c1b50d719c3d4876e,6995d13c1b50d719c3d4876e,intermediate,1,6995d13c1b50d719c3d4876e,6995d13c1b50d719c3d4876e,spotlight_PROLIFIC,,33,Argentina,Spanish,English,,Spanish:70|English:30,100,Spanish:70|English:30,100,Spanish:70|English:30,100,16,4,Bachelor's,10,10,10,10,10,10,12,25,12,25,IELTS,8.5,,,,,22,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-07-02T16:38:59.554Z,4HH589NE,2026-07-02,2026-07-02,13:38:59,2026-07-02 13:38:59,,,,,,,,6995d13c1b50d719c3d4876e,6995d13c1b50d719c3d4876e,,,,
132,raw_position_sample,2,2,int,7,1,1,2,-1,999,197,38,702133,6995d13c1b50d719c3d4876e,6995d13c1b50d719c3d4876e,intermediate,1,6995d13c1b50d719c3d4876e,6995d13c1b50d719c3d4876e,spotlight_PROLIFIC,,33,Argentina,Spanish,English,,Spanish:70|English:30,100,Spanish:70|English:30,100,Spanish:70|English:30,100,16,4,Bachelor's,10,10,10,10,10,10,12,25,12,25,IELTS,8.5,,,,,22,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-07-02T16:38:59.554Z,4HH589NE,2026-07-02,2026-07-02,13:38:59,2026-07-02 13:38:59,,,,,,,,6995d13c1b50d719c3d4876e,6995d13c1b50d719c3d4876e,,,,
182,raw_position_sample,2,2,int,7,1,1,2,-1,999,197,38,702183,6995d13c1b50d719c3d4876e,6995d13c1b50d719c3d4876e,intermediate,1,6995d13c1b50d719c3d4876e,6995d13c1b50d719c3d4876e,spotlight_PROLIFIC,,33,Argentina,Spanish,English,,Spanish:70|English:30,100,Spanish:70|English:30,100,Spanish:70|English:30,100,16,4,Bachelor's,10,10,10,10,10,10,12,25,12,25,IELTS,8.5,,,,,22,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-07-02T16:38:59.554Z,4HH589NE,2026-07-02,2026-07-02,13:38:59,2026-07-02 13:38:59,,,,,,,,6995d13c1b50d719c3d4876e,6995d13c1b50d719c3d4876e,,,,
232,raw_position_sample,2,2,int,7,1,1,2,-1,999,197,38,702233.4000000004,6995d13c1b50d719c3d4876e,6995d13c1b50d719c3d4876e,intermediate,1,6995d13c1b50d719c3d4876e,6995d13c1b50d719c3d4876e,spotlight_PROLIFIC,,33,Argentina,Spanish,English,,Spanish:70|English:30,100,Spanish:70|English:30,100,Spanish:70|English:30,100,16,4,Bachelor's,10,10,10,10,10,10,12,25,12,25,IELTS,8.5,,,,,22,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-07-02T16:38:59.554Z,4HH589NE,2026-07-02,2026-07-02,13:38:59,2026-07-02 13:38:59,,,,,,,,6995d13c1b50d719c3d4876e,6995d13c1b50d719c3d4876e,,,,
282,raw_position_sample,2,2,int,7,1,1,2,-1,999,197,38,702283.5999999996,6995d13c1b50d719c3d4876e,6995d13c1b50d719c3d4876e,intermediate,1,6995d13c1b50d719c3d4876e,6995d13c1b50d719c3d4876e,spotlight_PROLIFIC,,33,Argentina,Spanish,English,,Spanish:70|English:30,100,Spanish:70|English:30,100,Spanish:70|English:30,100,16,4,Bachelor's,10,10,10,10,10,10,12,25,12,25,IELTS,8.5,,,,,22,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-07-02T16:38:59.554Z,4HH589NE,2026-07-02,2026-07-02,13:38:59,2026-07-02 13:38:59,,,,,,,,6995d13c1b50d719c3d4876e,6995d13c1b50d719c3d4876e,,,,
332,raw_position_sample,2,2,int,7,1,1,2,-1,999,197,38,702333.2999999989,6995d13c1b50d719c3d4876e,6995d13c1b50d719c3d4876e,intermediate,1,6995d13c1b50d719c3d4876e,6995d13c1b50d719c3d4876e,spotlight_PROLIFIC,,33,Argentina,Spanish,English,,Spanish:70|English:30,100,Spanish:70|English:30,100,Spanish:70|English:30,100,16,4,Bachelor's,10,10,10,10,10,10,12,25,12,25,IELTS,8.5,,,,,22,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-07-02T16:38:59.554Z,4HH589NE,2026-07-02,2026-07-02,13:38:59,2026-07-02 13:38:59,,,,,,,,6995d13c1b50d719c3d4876e,6995d13c1b50d719c3d4876e,,,,
382,raw_position_sample,2,2,int,7,1,1,2,-1,999,197,38,702383.0999999996,6995d13c1b50d719c3d4876e,6995d13c1b50d719c3d4876e,intermediate,1,6995d13c1b50d719c3d4876e,6995d13c1b50d719c3d4876e,spotlight_PROLIFIC,,33,Argentina,Spanish,English,,Spanish:70|English:30,100,Spanish:70|English:30,100,Spanish:70|English:30,100,16,4,Bachelor's,10,10,10,10,10,10,12,25,12,25,IELTS,8.5,,,,,22,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-07-02T16:38:59.554Z,4HH589NE,2026-07-02,2026-07-02,13:38:59,2026-07-02 13:38:59,,,,,,,,6995d13c1b50d719c3d4876e,6995d13c1b50d719c3d4876e,,,,
432,raw_position_sample,2,2,int,7,1,1,2,-1,999,197,38,702433.0999999996,6995d13c1b50d719c3d4876e,6995d13c1b50d719c3d4876e,intermediate,1,6995d13c1b50d719c3d4876e,6995d13c1b50d719c3d4876e,spotlight_PROLIFIC,,33,Argentina,Spanish,English,,Spanish:70|English:30,100,Spanish:70|English:30,100,Spanish:70|English:30,100,16,4,Bachelor's,10,10,10,10,10,10,12,25,12,25,IELTS,8.5,,,,,22,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-07-02T16:38:59.554Z,4HH589NE,2026-07-02,2026-07-02,13:38:59,2026-07-02 13:38:59,,,,,,,,6995d13c1b50d719c3d4876e,6995d13c1b50d719c3d4876e,,,,
482,raw_position_sample,2,2,int,7,1,1,2,-1,999,241,56,702483.0999999996,6995d13c1b50d719c3d4876e,6995d13c1b50d719c3d4876e,intermediate,1,6995d13c1b50d719c3d4876e,6995d13c1b50d719c3d4876e,spotlight_PROLIFIC,,33,Argentina,Spanish,English,,Spanish:70|English:30,100,Spanish:70|English:30,100,Spanish:70|English:30,100,16,4,Bachelor's,10,10,10,10,10,10,12,25,12,25,IELTS,8.5,,,,,22,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-07-02T16:38:59.554Z,4HH589NE,2026-07-02,2026-07-02,13:38:59,2026-07-02 13:38:59,,,,,,,,6995d13c1b50d719c3d4876e,6995d13c1b50d719c3d4876e,,,,
