responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,demo_other_english_test,demo_other_english_test_score,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
85,raw_position_sample,2,1,ele,23,2,12,13,-1,999,262,47,2158394.3999996185,6a1e3ce6297d6928815268c8,6a1e3ce6297d6928815268c8,elementary,2,6a1e3ce6297d6928815268c8,6a1e3ce6297d6928815268c8,spotlight_PROLIFIC,,29,México,spanish,english,,spanish:60|English:40,100,spanish:80|English:20,100,spanish:90|English:10,100,15,5,Bachelor's,10,10,10,7,10,8,5,20,16,20,TOEFL,90,,,,,15,25,B1,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-25T07:40:52.273Z,2CD2T79F,2026-08-25,2026-08-25,01:40:52,2026-08-25 01:40:52,,,,,,,,6a1e3ce6297d6928815268c8,6a1e3ce6297d6928815268c8,,,,
130,raw_position_sample,2,1,ele,23,2,12,13,-1,999,257,46,2158439.5999999046,6a1e3ce6297d6928815268c8,6a1e3ce6297d6928815268c8,elementary,2,6a1e3ce6297d6928815268c8,6a1e3ce6297d6928815268c8,spotlight_PROLIFIC,,29,México,spanish,english,,spanish:60|English:40,100,spanish:80|English:20,100,spanish:90|English:10,100,15,5,Bachelor's,10,10,10,7,10,8,5,20,16,20,TOEFL,90,,,,,15,25,B1,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-25T07:40:52.273Z,2CD2T79F,2026-08-25,2026-08-25,01:40:52,2026-08-25 01:40:52,,,,,,,,6a1e3ce6297d6928815268c8,6a1e3ce6297d6928815268c8,,,,
181,raw_position_sample,2,1,ele,23,2,12,13,-1,999,253,46,2158490.8999996185,6a1e3ce6297d6928815268c8,6a1e3ce6297d6928815268c8,elementary,2,6a1e3ce6297d6928815268c8,6a1e3ce6297d6928815268c8,spotlight_PROLIFIC,,29,México,spanish,english,,spanish:60|English:40,100,spanish:80|English:20,100,spanish:90|English:10,100,15,5,Bachelor's,10,10,10,7,10,8,5,20,16,20,TOEFL,90,,,,,15,25,B1,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-25T07:40:52.273Z,2CD2T79F,2026-08-25,2026-08-25,01:40:52,2026-08-25 01:40:52,,,,,,,,6a1e3ce6297d6928815268c8,6a1e3ce6297d6928815268c8,,,,
229,raw_position_sample,2,1,ele,23,2,12,13,-1,999,253,46,2158539.0999999046,6a1e3ce6297d6928815268c8,6a1e3ce6297d6928815268c8,elementary,2,6a1e3ce6297d6928815268c8,6a1e3ce6297d6928815268c8,spotlight_PROLIFIC,,29,México,spanish,english,,spanish:60|English:40,100,spanish:80|English:20,100,spanish:90|English:10,100,15,5,Bachelor's,10,10,10,7,10,8,5,20,16,20,TOEFL,90,,,,,15,25,B1,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-25T07:40:52.273Z,2CD2T79F,2026-08-25,2026-08-25,01:40:52,2026-08-25 01:40:52,,,,,,,,6a1e3ce6297d6928815268c8,6a1e3ce6297d6928815268c8,,,,
286,raw_position_sample,2,1,ele,23,2,12,13,-1,999,266,54,2158596.1999998093,6a1e3ce6297d6928815268c8,6a1e3ce6297d6928815268c8,elementary,2,6a1e3ce6297d6928815268c8,6a1e3ce6297d6928815268c8,spotlight_PROLIFIC,,29,México,spanish,english,,spanish:60|English:40,100,spanish:80|English:20,100,spanish:90|English:10,100,15,5,Bachelor's,10,10,10,7,10,8,5,20,16,20,TOEFL,90,,,,,15,25,B1,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-25T07:40:52.273Z,2CD2T79F,2026-08-25,2026-08-25,01:40:52,2026-08-25 01:40:52,,,,,,,,6a1e3ce6297d6928815268c8,6a1e3ce6297d6928815268c8,,,,
329,raw_position_sample,2,1,ele,23,2,12,13,-1,999,279,60,2158639.299999714,6a1e3ce6297d6928815268c8,6a1e3ce6297d6928815268c8,elementary,2,6a1e3ce6297d6928815268c8,6a1e3ce6297d6928815268c8,spotlight_PROLIFIC,,29,México,spanish,english,,spanish:60|English:40,100,spanish:80|English:20,100,spanish:90|English:10,100,15,5,Bachelor's,10,10,10,7,10,8,5,20,16,20,TOEFL,90,,,,,15,25,B1,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-25T07:40:52.273Z,2CD2T79F,2026-08-25,2026-08-25,01:40:52,2026-08-25 01:40:52,,,,,,,,6a1e3ce6297d6928815268c8,6a1e3ce6297d6928815268c8,,,,
385,raw_position_sample,2,1,ele,23,2,12,13,-1,999,305,68,2158695.1999998093,6a1e3ce6297d6928815268c8,6a1e3ce6297d6928815268c8,elementary,2,6a1e3ce6297d6928815268c8,6a1e3ce6297d6928815268c8,spotlight_PROLIFIC,,29,México,spanish,english,,spanish:60|English:40,100,spanish:80|English:20,100,spanish:90|English:10,100,15,5,Bachelor's,10,10,10,7,10,8,5,20,16,20,TOEFL,90,,,,,15,25,B1,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-25T07:40:52.273Z,2CD2T79F,2026-08-25,2026-08-25,01:40:52,2026-08-25 01:40:52,,,,,,,,6a1e3ce6297d6928815268c8,6a1e3ce6297d6928815268c8,,,,
435,raw_position_sample,2,1,ele,23,2,12,13,-1,999,318,72,2158744.3999996185,6a1e3ce6297d6928815268c8,6a1e3ce6297d6928815268c8,elementary,2,6a1e3ce6297d6928815268c8,6a1e3ce6297d6928815268c8,spotlight_PROLIFIC,,29,México,spanish,english,,spanish:60|English:40,100,spanish:80|English:20,100,spanish:90|English:10,100,15,5,Bachelor's,10,10,10,7,10,8,5,20,16,20,TOEFL,90,,,,,15,25,B1,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-25T07:40:52.273Z,2CD2T79F,2026-08-25,2026-08-25,01:40:52,2026-08-25 01:40:52,,,,,,,,6a1e3ce6297d6928815268c8,6a1e3ce6297d6928815268c8,,,,
484,raw_position_sample,2,1,ele,23,2,12,13,-1,999,324,72,2158793.5,6a1e3ce6297d6928815268c8,6a1e3ce6297d6928815268c8,elementary,2,6a1e3ce6297d6928815268c8,6a1e3ce6297d6928815268c8,spotlight_PROLIFIC,,29,México,spanish,english,,spanish:60|English:40,100,spanish:80|English:20,100,spanish:90|English:10,100,15,5,Bachelor's,10,10,10,7,10,8,5,20,16,20,TOEFL,90,,,,,15,25,B1,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-25T07:40:52.273Z,2CD2T79F,2026-08-25,2026-08-25,01:40:52,2026-08-25 01:40:52,,,,,,,,6a1e3ce6297d6928815268c8,6a1e3ce6297d6928815268c8,,,,
538,raw_position_sample,2,1,ele,23,2,12,13,-1,999,331,73,2158847.799999714,6a1e3ce6297d6928815268c8,6a1e3ce6297d6928815268c8,elementary,2,6a1e3ce6297d6928815268c8,6a1e3ce6297d6928815268c8,spotlight_PROLIFIC,,29,México,spanish,english,,spanish:60|English:40,100,spanish:80|English:20,100,spanish:90|English:10,100,15,5,Bachelor's,10,10,10,7,10,8,5,20,16,20,TOEFL,90,,,,,15,25,B1,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-25T07:40:52.273Z,2CD2T79F,2026-08-25,2026-08-25,01:40:52,2026-08-25 01:40:52,,,,,,,,6a1e3ce6297d6928815268c8,6a1e3ce6297d6928815268c8,,,,
590,raw_position_sample,2,1,ele,23,2,12,13,1, The ,343,76,2158900.1999998093,6a1e3ce6297d6928815268c8,6a1e3ce6297d6928815268c8,elementary,2,6a1e3ce6297d6928815268c8,6a1e3ce6297d6928815268c8,spotlight_PROLIFIC,,29,México,spanish,english,,spanish:60|English:40,100,spanish:80|English:20,100,spanish:90|English:10,100,15,5,Bachelor's,10,10,10,7,10,8,5,20,16,20,TOEFL,90,,,,,15,25,B1,elementary|intermediate,intermediate|elementary,cambridge_15_21_random_elementary_intermediate,4,19,random,,65.953125,336.875,85.953125,372.90625,1,1,,,,,,,,,,,,2026-08-25T07:40:52.273Z,2CD2T79F,2026-08-25,2026-08-25,01:40:52,2026-08-25 01:40:52,,,,,,,,6a1e3ce6297d6928815268c8,6a1e3ce6297d6928815268c8,,,,
