responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
368,raw_position_sample,2,2,int,7,4,4,5,-1,999,352,114,847677.6000000238,5e8a0912524dca6ad71ecb86,5e8a0912524dca6ad71ecb86,intermediate,4,5e8a0912524dca6ad71ecb86,5e8a0912524dca6ad71ecb86,spotlight_PROLIFIC,,36,Mexico,Spanish,English,,Spanish:60|English:40,100,Spanish:30|English:70,100,Spanish:80|English:20,100,15,0,Bachelor's,10,10,10,8,9,10,6,16,10,15,,,,,15,25,B1,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-22T21:16:02.435Z,T2TZ5A3N,2026-09-22,2026-09-22,15:16:02,2026-09-22 15:16:02,,,,,,,,5e8a0912524dca6ad71ecb86,5e8a0912524dca6ad71ecb86,,,,
434,raw_position_sample,2,2,int,7,4,4,5,-1,999,381,115,847743.3000000119,5e8a0912524dca6ad71ecb86,5e8a0912524dca6ad71ecb86,intermediate,4,5e8a0912524dca6ad71ecb86,5e8a0912524dca6ad71ecb86,spotlight_PROLIFIC,,36,Mexico,Spanish,English,,Spanish:60|English:40,100,Spanish:30|English:70,100,Spanish:80|English:20,100,15,0,Bachelor's,10,10,10,8,9,10,6,16,10,15,,,,,15,25,B1,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-22T21:16:02.435Z,T2TZ5A3N,2026-09-22,2026-09-22,15:16:02,2026-09-22 15:16:02,,,,,,,,5e8a0912524dca6ad71ecb86,5e8a0912524dca6ad71ecb86,,,,
484,raw_position_sample,2,2,int,7,4,4,5,-1,999,391,115,847793.3999999762,5e8a0912524dca6ad71ecb86,5e8a0912524dca6ad71ecb86,intermediate,4,5e8a0912524dca6ad71ecb86,5e8a0912524dca6ad71ecb86,spotlight_PROLIFIC,,36,Mexico,Spanish,English,,Spanish:60|English:40,100,Spanish:30|English:70,100,Spanish:80|English:20,100,15,0,Bachelor's,10,10,10,8,9,10,6,16,10,15,,,,,15,25,B1,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-22T21:16:02.435Z,T2TZ5A3N,2026-09-22,2026-09-22,15:16:02,2026-09-22 15:16:02,,,,,,,,5e8a0912524dca6ad71ecb86,5e8a0912524dca6ad71ecb86,,,,
534,raw_position_sample,2,2,int,7,4,4,5,-1,999,398,115,847843.5,5e8a0912524dca6ad71ecb86,5e8a0912524dca6ad71ecb86,intermediate,4,5e8a0912524dca6ad71ecb86,5e8a0912524dca6ad71ecb86,spotlight_PROLIFIC,,36,Mexico,Spanish,English,,Spanish:60|English:40,100,Spanish:30|English:70,100,Spanish:80|English:20,100,15,0,Bachelor's,10,10,10,8,9,10,6,16,10,15,,,,,15,25,B1,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-22T21:16:02.435Z,T2TZ5A3N,2026-09-22,2026-09-22,15:16:02,2026-09-22 15:16:02,,,,,,,,5e8a0912524dca6ad71ecb86,5e8a0912524dca6ad71ecb86,,,,
569,raw_position_sample,2,2,int,7,4,4,5,-1,999,408,116,847877.6999999881,5e8a0912524dca6ad71ecb86,5e8a0912524dca6ad71ecb86,intermediate,4,5e8a0912524dca6ad71ecb86,5e8a0912524dca6ad71ecb86,spotlight_PROLIFIC,,36,Mexico,Spanish,English,,Spanish:60|English:40,100,Spanish:30|English:70,100,Spanish:80|English:20,100,15,0,Bachelor's,10,10,10,8,9,10,6,16,10,15,,,,,15,25,B1,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-22T21:16:02.435Z,T2TZ5A3N,2026-09-22,2026-09-22,15:16:02,2026-09-22 15:16:02,,,,,,,,5e8a0912524dca6ad71ecb86,5e8a0912524dca6ad71ecb86,,,,
633,raw_position_sample,2,2,int,7,4,4,5,-1,999,417,118,847942.3999999762,5e8a0912524dca6ad71ecb86,5e8a0912524dca6ad71ecb86,intermediate,4,5e8a0912524dca6ad71ecb86,5e8a0912524dca6ad71ecb86,spotlight_PROLIFIC,,36,Mexico,Spanish,English,,Spanish:60|English:40,100,Spanish:30|English:70,100,Spanish:80|English:20,100,15,0,Bachelor's,10,10,10,8,9,10,6,16,10,15,,,,,15,25,B1,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-22T21:16:02.435Z,T2TZ5A3N,2026-09-22,2026-09-22,15:16:02,2026-09-22 15:16:02,,,,,,,,5e8a0912524dca6ad71ecb86,5e8a0912524dca6ad71ecb86,,,,
684,raw_position_sample,2,2,int,7,4,4,5,-1,999,427,119,847993.3999999762,5e8a0912524dca6ad71ecb86,5e8a0912524dca6ad71ecb86,intermediate,4,5e8a0912524dca6ad71ecb86,5e8a0912524dca6ad71ecb86,spotlight_PROLIFIC,,36,Mexico,Spanish,English,,Spanish:60|English:40,100,Spanish:30|English:70,100,Spanish:80|English:20,100,15,0,Bachelor's,10,10,10,8,9,10,6,16,10,15,,,,,15,25,B1,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-22T21:16:02.435Z,T2TZ5A3N,2026-09-22,2026-09-22,15:16:02,2026-09-22 15:16:02,,,,,,,,5e8a0912524dca6ad71ecb86,5e8a0912524dca6ad71ecb86,,,,
719,raw_position_sample,2,2,int,7,4,4,5,1, To ,431,119,848028.1999999881,5e8a0912524dca6ad71ecb86,5e8a0912524dca6ad71ecb86,intermediate,4,5e8a0912524dca6ad71ecb86,5e8a0912524dca6ad71ecb86,spotlight_PROLIFIC,,36,Mexico,Spanish,English,,Spanish:60|English:40,100,Spanish:30|English:70,100,Spanish:80|English:20,100,15,0,Bachelor's,10,10,10,8,9,10,6,16,10,15,,,,,15,25,B1,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,111.1624984741211,433.2124938964844,131.1624984741211,457.2249946594238,1,1,,,,,,,,,,,,2026-09-22T21:16:02.435Z,T2TZ5A3N,2026-09-22,2026-09-22,15:16:02,2026-09-22 15:16:02,,,,,,,,5e8a0912524dca6ad71ecb86,5e8a0912524dca6ad71ecb86,,,,
783,raw_position_sample,2,2,int,7,4,4,5,1, To ,432,119,848092.5,5e8a0912524dca6ad71ecb86,5e8a0912524dca6ad71ecb86,intermediate,4,5e8a0912524dca6ad71ecb86,5e8a0912524dca6ad71ecb86,spotlight_PROLIFIC,,36,Mexico,Spanish,English,,Spanish:60|English:40,100,Spanish:30|English:70,100,Spanish:80|English:20,100,15,0,Bachelor's,10,10,10,8,9,10,6,16,10,15,,,,,15,25,B1,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,111.1624984741211,433.2124938964844,131.1624984741211,457.2249946594238,1,1,,,,,,,,,,,,2026-09-22T21:16:02.435Z,T2TZ5A3N,2026-09-22,2026-09-22,15:16:02,2026-09-22 15:16:02,,,,,,,,5e8a0912524dca6ad71ecb86,5e8a0912524dca6ad71ecb86,,,,
819,raw_position_sample,2,2,int,7,4,4,5,1, To ,436,119,848127.8999999762,5e8a0912524dca6ad71ecb86,5e8a0912524dca6ad71ecb86,intermediate,4,5e8a0912524dca6ad71ecb86,5e8a0912524dca6ad71ecb86,spotlight_PROLIFIC,,36,Mexico,Spanish,English,,Spanish:60|English:40,100,Spanish:30|English:70,100,Spanish:80|English:20,100,15,0,Bachelor's,10,10,10,8,9,10,6,16,10,15,,,,,15,25,B1,intermediate|advanced,intermediate|advanced,cambridge_15_21_random_intermediate_advanced,4,20,random,,111.1624984741211,433.2124938964844,131.1624984741211,457.2249946594238,1,1,,,,,,,,,,,,2026-09-22T21:16:02.435Z,T2TZ5A3N,2026-09-22,2026-09-22,15:16:02,2026-09-22 15:16:02,,,,,,,,5e8a0912524dca6ad71ecb86,5e8a0912524dca6ad71ecb86,,,,
