responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,demo_other_english_test,demo_other_english_test_score,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
27,raw_position_sample,2,3,adv,22,5,5,6,-1,999,368,118,1397727.700000003,697c29460b37ddfe80bae9ca,697c29460b37ddfe80bae9ca,advanced,5,697c29460b37ddfe80bae9ca,697c29460b37ddfe80bae9ca,spotlight_PROLIFIC,,38,MEXICO,SPANISH,ENGLISH,,SPANISH:50|English:50,100,SPANISH:50|English:50,100,SPANISH:50|English:50,100,35,5,Bachelor's,10,10,10,8,10,10,5,18,16,20,TOEFL,115,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-16T17:54:11.306Z,ADABA3SH,2026-08-16,2026-08-16,11:54:11,2026-08-16 11:54:11,,,,,,,,697c29460b37ddfe80bae9ca,697c29460b37ddfe80bae9ca,,,,
73,raw_position_sample,2,3,adv,22,5,5,6,-1,999,400,95,1397773.3000000045,697c29460b37ddfe80bae9ca,697c29460b37ddfe80bae9ca,advanced,5,697c29460b37ddfe80bae9ca,697c29460b37ddfe80bae9ca,spotlight_PROLIFIC,,38,MEXICO,SPANISH,ENGLISH,,SPANISH:50|English:50,100,SPANISH:50|English:50,100,SPANISH:50|English:50,100,35,5,Bachelor's,10,10,10,8,10,10,5,18,16,20,TOEFL,115,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-16T17:54:11.306Z,ADABA3SH,2026-08-16,2026-08-16,11:54:11,2026-08-16 11:54:11,,,,,,,,697c29460b37ddfe80bae9ca,697c29460b37ddfe80bae9ca,,,,
134,raw_position_sample,2,3,adv,22,5,5,6,-1,999,429,83,1397834.400000006,697c29460b37ddfe80bae9ca,697c29460b37ddfe80bae9ca,advanced,5,697c29460b37ddfe80bae9ca,697c29460b37ddfe80bae9ca,spotlight_PROLIFIC,,38,MEXICO,SPANISH,ENGLISH,,SPANISH:50|English:50,100,SPANISH:50|English:50,100,SPANISH:50|English:50,100,35,5,Bachelor's,10,10,10,8,10,10,5,18,16,20,TOEFL,115,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-16T17:54:11.306Z,ADABA3SH,2026-08-16,2026-08-16,11:54:11,2026-08-16 11:54:11,,,,,,,,697c29460b37ddfe80bae9ca,697c29460b37ddfe80bae9ca,,,,
181,raw_position_sample,2,3,adv,22,5,5,6,-1,999,429,85,1397881.1000000015,697c29460b37ddfe80bae9ca,697c29460b37ddfe80bae9ca,advanced,5,697c29460b37ddfe80bae9ca,697c29460b37ddfe80bae9ca,spotlight_PROLIFIC,,38,MEXICO,SPANISH,ENGLISH,,SPANISH:50|English:50,100,SPANISH:50|English:50,100,SPANISH:50|English:50,100,35,5,Bachelor's,10,10,10,8,10,10,5,18,16,20,TOEFL,115,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-16T17:54:11.306Z,ADABA3SH,2026-08-16,2026-08-16,11:54:11,2026-08-16 11:54:11,,,,,,,,697c29460b37ddfe80bae9ca,697c29460b37ddfe80bae9ca,,,,
227,raw_position_sample,2,3,adv,22,5,5,6,-1,999,429,87,1397927,697c29460b37ddfe80bae9ca,697c29460b37ddfe80bae9ca,advanced,5,697c29460b37ddfe80bae9ca,697c29460b37ddfe80bae9ca,spotlight_PROLIFIC,,38,MEXICO,SPANISH,ENGLISH,,SPANISH:50|English:50,100,SPANISH:50|English:50,100,SPANISH:50|English:50,100,35,5,Bachelor's,10,10,10,8,10,10,5,18,16,20,TOEFL,115,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-16T17:54:11.306Z,ADABA3SH,2026-08-16,2026-08-16,11:54:11,2026-08-16 11:54:11,,,,,,,,697c29460b37ddfe80bae9ca,697c29460b37ddfe80bae9ca,,,,
274,raw_position_sample,2,3,adv,22,5,5,6,-1,999,429,89,1397974.1000000015,697c29460b37ddfe80bae9ca,697c29460b37ddfe80bae9ca,advanced,5,697c29460b37ddfe80bae9ca,697c29460b37ddfe80bae9ca,spotlight_PROLIFIC,,38,MEXICO,SPANISH,ENGLISH,,SPANISH:50|English:50,100,SPANISH:50|English:50,100,SPANISH:50|English:50,100,35,5,Bachelor's,10,10,10,8,10,10,5,18,16,20,TOEFL,115,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-16T17:54:11.306Z,ADABA3SH,2026-08-16,2026-08-16,11:54:11,2026-08-16 11:54:11,,,,,,,,697c29460b37ddfe80bae9ca,697c29460b37ddfe80bae9ca,,,,
332,raw_position_sample,2,3,adv,22,5,5,6,-1,999,428,97,1398032.200000003,697c29460b37ddfe80bae9ca,697c29460b37ddfe80bae9ca,advanced,5,697c29460b37ddfe80bae9ca,697c29460b37ddfe80bae9ca,spotlight_PROLIFIC,,38,MEXICO,SPANISH,ENGLISH,,SPANISH:50|English:50,100,SPANISH:50|English:50,100,SPANISH:50|English:50,100,35,5,Bachelor's,10,10,10,8,10,10,5,18,16,20,TOEFL,115,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-16T17:54:11.306Z,ADABA3SH,2026-08-16,2026-08-16,11:54:11,2026-08-16 11:54:11,,,,,,,,697c29460b37ddfe80bae9ca,697c29460b37ddfe80bae9ca,,,,
377,raw_position_sample,2,3,adv,22,5,5,6,1, While ,426,112,1398077.700000003,697c29460b37ddfe80bae9ca,697c29460b37ddfe80bae9ca,advanced,5,697c29460b37ddfe80bae9ca,697c29460b37ddfe80bae9ca,spotlight_PROLIFIC,,38,MEXICO,SPANISH,ENGLISH,,SPANISH:50|English:50,100,SPANISH:50|English:50,100,SPANISH:50|English:50,100,35,5,Bachelor's,10,10,10,8,10,10,5,18,16,20,TOEFL,115,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,19,random,,110.70000457763672,425.6125183105469,130.70000457763672,475.6250190734863,1,1,,,,,,,,,,,,2026-08-16T17:54:11.306Z,ADABA3SH,2026-08-16,2026-08-16,11:54:11,2026-08-16 11:54:11,,,,,,,,697c29460b37ddfe80bae9ca,697c29460b37ddfe80bae9ca,,,,
427,raw_position_sample,2,3,adv,22,5,5,6,1, While ,432,126,1398127.1000000015,697c29460b37ddfe80bae9ca,697c29460b37ddfe80bae9ca,advanced,5,697c29460b37ddfe80bae9ca,697c29460b37ddfe80bae9ca,spotlight_PROLIFIC,,38,MEXICO,SPANISH,ENGLISH,,SPANISH:50|English:50,100,SPANISH:50|English:50,100,SPANISH:50|English:50,100,35,5,Bachelor's,10,10,10,8,10,10,5,18,16,20,TOEFL,115,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,19,random,,110.70000457763672,425.6125183105469,130.70000457763672,475.6250190734863,1,1,,,,,,,,,,,,2026-08-16T17:54:11.306Z,ADABA3SH,2026-08-16,2026-08-16,11:54:11,2026-08-16 11:54:11,,,,,,,,697c29460b37ddfe80bae9ca,697c29460b37ddfe80bae9ca,,,,
476,raw_position_sample,2,3,adv,22,5,5,6,1, While ,444,134,1398176,697c29460b37ddfe80bae9ca,697c29460b37ddfe80bae9ca,advanced,5,697c29460b37ddfe80bae9ca,697c29460b37ddfe80bae9ca,spotlight_PROLIFIC,,38,MEXICO,SPANISH,ENGLISH,,SPANISH:50|English:50,100,SPANISH:50|English:50,100,SPANISH:50|English:50,100,35,5,Bachelor's,10,10,10,8,10,10,5,18,16,20,TOEFL,115,,,,,25,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,19,random,,110.70000457763672,425.6125183105469,130.70000457763672,475.6250190734863,1,1,,,,,,,,,,,,2026-08-16T17:54:11.306Z,ADABA3SH,2026-08-16,2026-08-16,11:54:11,2026-08-16 11:54:11,,,,,,,,697c29460b37ddfe80bae9ca,697c29460b37ddfe80bae9ca,,,,
