responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,demo_other_english_test,demo_other_english_test_score,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
16,raw_position_sample,2,3,adv,7,3,3,4,-1,999,378,108,1196559,6933319d2dfa1f1c823219d8,6933319d2dfa1f1c823219d8,advanced,3,6933319d2dfa1f1c823219d8,6933319d2dfa1f1c823219d8,spotlight_PROLIFIC,,31,Chile,Spanish,"English, Japanese",Japanese,Spanish:50|English:30|Japanese:20,100,Spanish:20|English:70|Japanese:10,100,Spanish:25|English:70|Japanese:5,100,12,0,High school,10,10,10,4,8,10,6,16,12,14,EF SET Inglés,C2 Proficiente,,,,,21,25,B2,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-25T07:48:09.344Z,K263JNT4,2026-08-25,2026-08-25,03:48:09,2026-08-25 03:48:09,,,,,,,,6933319d2dfa1f1c823219d8,6933319d2dfa1f1c823219d8,,,,
67,raw_position_sample,2,3,adv,7,3,3,4,-1,999,361,85,1196609,6933319d2dfa1f1c823219d8,6933319d2dfa1f1c823219d8,advanced,3,6933319d2dfa1f1c823219d8,6933319d2dfa1f1c823219d8,spotlight_PROLIFIC,,31,Chile,Spanish,"English, Japanese",Japanese,Spanish:50|English:30|Japanese:20,100,Spanish:20|English:70|Japanese:10,100,Spanish:25|English:70|Japanese:5,100,12,0,High school,10,10,10,4,8,10,6,16,12,14,EF SET Inglés,C2 Proficiente,,,,,21,25,B2,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-25T07:48:09.344Z,K263JNT4,2026-08-25,2026-08-25,03:48:09,2026-08-25 03:48:09,,,,,,,,6933319d2dfa1f1c823219d8,6933319d2dfa1f1c823219d8,,,,
122,raw_position_sample,2,3,adv,7,3,3,4,-1,999,361,85,1196665,6933319d2dfa1f1c823219d8,6933319d2dfa1f1c823219d8,advanced,3,6933319d2dfa1f1c823219d8,6933319d2dfa1f1c823219d8,spotlight_PROLIFIC,,31,Chile,Spanish,"English, Japanese",Japanese,Spanish:50|English:30|Japanese:20,100,Spanish:20|English:70|Japanese:10,100,Spanish:25|English:70|Japanese:5,100,12,0,High school,10,10,10,4,8,10,6,16,12,14,EF SET Inglés,C2 Proficiente,,,,,21,25,B2,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-25T07:48:09.344Z,K263JNT4,2026-08-25,2026-08-25,03:48:09,2026-08-25 03:48:09,,,,,,,,6933319d2dfa1f1c823219d8,6933319d2dfa1f1c823219d8,,,,
173,raw_position_sample,2,3,adv,7,3,3,4,-1,999,361,85,1196715,6933319d2dfa1f1c823219d8,6933319d2dfa1f1c823219d8,advanced,3,6933319d2dfa1f1c823219d8,6933319d2dfa1f1c823219d8,spotlight_PROLIFIC,,31,Chile,Spanish,"English, Japanese",Japanese,Spanish:50|English:30|Japanese:20,100,Spanish:20|English:70|Japanese:10,100,Spanish:25|English:70|Japanese:5,100,12,0,High school,10,10,10,4,8,10,6,16,12,14,EF SET Inglés,C2 Proficiente,,,,,21,25,B2,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-25T07:48:09.344Z,K263JNT4,2026-08-25,2026-08-25,03:48:09,2026-08-25 03:48:09,,,,,,,,6933319d2dfa1f1c823219d8,6933319d2dfa1f1c823219d8,,,,
224,raw_position_sample,2,3,adv,7,3,3,4,-1,999,361,85,1196766,6933319d2dfa1f1c823219d8,6933319d2dfa1f1c823219d8,advanced,3,6933319d2dfa1f1c823219d8,6933319d2dfa1f1c823219d8,spotlight_PROLIFIC,,31,Chile,Spanish,"English, Japanese",Japanese,Spanish:50|English:30|Japanese:20,100,Spanish:20|English:70|Japanese:10,100,Spanish:25|English:70|Japanese:5,100,12,0,High school,10,10,10,4,8,10,6,16,12,14,EF SET Inglés,C2 Proficiente,,,,,21,25,B2,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-25T07:48:09.344Z,K263JNT4,2026-08-25,2026-08-25,03:48:09,2026-08-25 03:48:09,,,,,,,,6933319d2dfa1f1c823219d8,6933319d2dfa1f1c823219d8,,,,
274,raw_position_sample,2,3,adv,7,3,3,4,-1,999,361,85,1196815,6933319d2dfa1f1c823219d8,6933319d2dfa1f1c823219d8,advanced,3,6933319d2dfa1f1c823219d8,6933319d2dfa1f1c823219d8,spotlight_PROLIFIC,,31,Chile,Spanish,"English, Japanese",Japanese,Spanish:50|English:30|Japanese:20,100,Spanish:20|English:70|Japanese:10,100,Spanish:25|English:70|Japanese:5,100,12,0,High school,10,10,10,4,8,10,6,16,12,14,EF SET Inglés,C2 Proficiente,,,,,21,25,B2,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-25T07:48:09.344Z,K263JNT4,2026-08-25,2026-08-25,03:48:09,2026-08-25 03:48:09,,,,,,,,6933319d2dfa1f1c823219d8,6933319d2dfa1f1c823219d8,,,,
330,raw_position_sample,2,3,adv,7,3,3,4,-1,999,361,85,1196871,6933319d2dfa1f1c823219d8,6933319d2dfa1f1c823219d8,advanced,3,6933319d2dfa1f1c823219d8,6933319d2dfa1f1c823219d8,spotlight_PROLIFIC,,31,Chile,Spanish,"English, Japanese",Japanese,Spanish:50|English:30|Japanese:20,100,Spanish:20|English:70|Japanese:10,100,Spanish:25|English:70|Japanese:5,100,12,0,High school,10,10,10,4,8,10,6,16,12,14,EF SET Inglés,C2 Proficiente,,,,,21,25,B2,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-25T07:48:09.344Z,K263JNT4,2026-08-25,2026-08-25,03:48:09,2026-08-25 03:48:09,,,,,,,,6933319d2dfa1f1c823219d8,6933319d2dfa1f1c823219d8,,,,
380,raw_position_sample,2,3,adv,7,3,3,4,1, Electric ,438,114,1196922,6933319d2dfa1f1c823219d8,6933319d2dfa1f1c823219d8,advanced,3,6933319d2dfa1f1c823219d8,6933319d2dfa1f1c823219d8,spotlight_PROLIFIC,,31,Chile,Spanish,"English, Japanese",Japanese,Spanish:50|English:30|Japanese:20,100,Spanish:20|English:70|Japanese:10,100,Spanish:25|English:70|Japanese:5,100,12,0,High school,10,10,10,4,8,10,6,16,12,14,EF SET Inglés,C2 Proficiente,,,,,21,25,B2,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,19,random,,111.56666564941406,433.2166748046875,131.56666564941406,497.2333526611328,1,1,,,,,,,,,,,,2026-08-25T07:48:09.344Z,K263JNT4,2026-08-25,2026-08-25,03:48:09,2026-08-25 03:48:09,,,,,,,,6933319d2dfa1f1c823219d8,6933319d2dfa1f1c823219d8,,,,
430,raw_position_sample,2,3,adv,7,3,3,4,1, Electric ,450,122,1196972,6933319d2dfa1f1c823219d8,6933319d2dfa1f1c823219d8,advanced,3,6933319d2dfa1f1c823219d8,6933319d2dfa1f1c823219d8,spotlight_PROLIFIC,,31,Chile,Spanish,"English, Japanese",Japanese,Spanish:50|English:30|Japanese:20,100,Spanish:20|English:70|Japanese:10,100,Spanish:25|English:70|Japanese:5,100,12,0,High school,10,10,10,4,8,10,6,16,12,14,EF SET Inglés,C2 Proficiente,,,,,21,25,B2,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,19,random,,111.56666564941406,433.2166748046875,131.56666564941406,497.2333526611328,1,1,,,,,,,,,,,,2026-08-25T07:48:09.344Z,K263JNT4,2026-08-25,2026-08-25,03:48:09,2026-08-25 03:48:09,,,,,,,,6933319d2dfa1f1c823219d8,6933319d2dfa1f1c823219d8,,,,
481,raw_position_sample,2,3,adv,7,3,3,4,1, Electric ,450,122,1197023,6933319d2dfa1f1c823219d8,6933319d2dfa1f1c823219d8,advanced,3,6933319d2dfa1f1c823219d8,6933319d2dfa1f1c823219d8,spotlight_PROLIFIC,,31,Chile,Spanish,"English, Japanese",Japanese,Spanish:50|English:30|Japanese:20,100,Spanish:20|English:70|Japanese:10,100,Spanish:25|English:70|Japanese:5,100,12,0,High school,10,10,10,4,8,10,6,16,12,14,EF SET Inglés,C2 Proficiente,,,,,21,25,B2,intermediate|advanced,advanced|intermediate,cambridge_15_21_random_intermediate_advanced,4,19,random,,111.56666564941406,433.2166748046875,131.56666564941406,497.2333526611328,1,1,,,,,,,,,,,,2026-08-25T07:48:09.344Z,K263JNT4,2026-08-25,2026-08-25,03:48:09,2026-08-25 03:48:09,,,,,,,,6933319d2dfa1f1c823219d8,6933319d2dfa1f1c823219d8,,,,
