responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
68,raw_position_sample,2,2,int,6,5,9,10,-1,999,380,90,1552537.5,69122e8d7a2656da90103f4b,69122e8d7a2656da90103f4b,intermediate,5,69122e8d7a2656da90103f4b,69122e8d7a2656da90103f4b,spotlight_PROLIFIC,,42,Brasil,Portuguese,English,,Portuguese:80|English:20,100,Portuguese:90|English:10,100,Portuguese:50|English:50,100,24,8,Master's,10,10,10,9,9,9,13,20,13,15,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-16T13:34:32.090Z,KK754AZD,2026-08-16,2026-08-16,10:34:32,2026-08-16 10:34:32,,,,,,,,69122e8d7a2656da90103f4b,69122e8d7a2656da90103f4b,,,,
118,raw_position_sample,2,2,int,6,5,9,10,-1,999,379,89,1552589.800000012,69122e8d7a2656da90103f4b,69122e8d7a2656da90103f4b,intermediate,5,69122e8d7a2656da90103f4b,69122e8d7a2656da90103f4b,spotlight_PROLIFIC,,42,Brasil,Portuguese,English,,Portuguese:80|English:20,100,Portuguese:90|English:10,100,Portuguese:50|English:50,100,24,8,Master's,10,10,10,9,9,9,13,20,13,15,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-16T13:34:32.090Z,KK754AZD,2026-08-16,2026-08-16,10:34:32,2026-08-16 10:34:32,,,,,,,,69122e8d7a2656da90103f4b,69122e8d7a2656da90103f4b,,,,
171,raw_position_sample,2,2,int,6,5,9,10,-1,999,379,89,1552643.300000012,69122e8d7a2656da90103f4b,69122e8d7a2656da90103f4b,intermediate,5,69122e8d7a2656da90103f4b,69122e8d7a2656da90103f4b,spotlight_PROLIFIC,,42,Brasil,Portuguese,English,,Portuguese:80|English:20,100,Portuguese:90|English:10,100,Portuguese:50|English:50,100,24,8,Master's,10,10,10,9,9,9,13,20,13,15,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-16T13:34:32.090Z,KK754AZD,2026-08-16,2026-08-16,10:34:32,2026-08-16 10:34:32,,,,,,,,69122e8d7a2656da90103f4b,69122e8d7a2656da90103f4b,,,,
243,raw_position_sample,2,2,int,6,5,9,10,-1,999,379,89,1552714.7000000179,69122e8d7a2656da90103f4b,69122e8d7a2656da90103f4b,intermediate,5,69122e8d7a2656da90103f4b,69122e8d7a2656da90103f4b,spotlight_PROLIFIC,,42,Brasil,Portuguese,English,,Portuguese:80|English:20,100,Portuguese:90|English:10,100,Portuguese:50|English:50,100,24,8,Master's,10,10,10,9,9,9,13,20,13,15,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-16T13:34:32.090Z,KK754AZD,2026-08-16,2026-08-16,10:34:32,2026-08-16 10:34:32,,,,,,,,69122e8d7a2656da90103f4b,69122e8d7a2656da90103f4b,,,,
266,raw_position_sample,2,2,int,6,5,9,10,-1,999,379,89,1552738.5,69122e8d7a2656da90103f4b,69122e8d7a2656da90103f4b,intermediate,5,69122e8d7a2656da90103f4b,69122e8d7a2656da90103f4b,spotlight_PROLIFIC,,42,Brasil,Portuguese,English,,Portuguese:80|English:20,100,Portuguese:90|English:10,100,Portuguese:50|English:50,100,24,8,Master's,10,10,10,9,9,9,13,20,13,15,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-16T13:34:32.090Z,KK754AZD,2026-08-16,2026-08-16,10:34:32,2026-08-16 10:34:32,,,,,,,,69122e8d7a2656da90103f4b,69122e8d7a2656da90103f4b,,,,
315,raw_position_sample,2,2,int,6,5,9,10,-1,999,379,89,1552787.2000000179,69122e8d7a2656da90103f4b,69122e8d7a2656da90103f4b,intermediate,5,69122e8d7a2656da90103f4b,69122e8d7a2656da90103f4b,spotlight_PROLIFIC,,42,Brasil,Portuguese,English,,Portuguese:80|English:20,100,Portuguese:90|English:10,100,Portuguese:50|English:50,100,24,8,Master's,10,10,10,9,9,9,13,20,13,15,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-16T13:34:32.090Z,KK754AZD,2026-08-16,2026-08-16,10:34:32,2026-08-16 10:34:32,,,,,,,,69122e8d7a2656da90103f4b,69122e8d7a2656da90103f4b,,,,
364,raw_position_sample,2,2,int,6,5,9,10,-1,999,379,89,1552836,69122e8d7a2656da90103f4b,69122e8d7a2656da90103f4b,intermediate,5,69122e8d7a2656da90103f4b,69122e8d7a2656da90103f4b,spotlight_PROLIFIC,,42,Brasil,Portuguese,English,,Portuguese:80|English:20,100,Portuguese:90|English:10,100,Portuguese:50|English:50,100,24,8,Master's,10,10,10,9,9,9,13,20,13,15,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-16T13:34:32.090Z,KK754AZD,2026-08-16,2026-08-16,10:34:32,2026-08-16 10:34:32,,,,,,,,69122e8d7a2656da90103f4b,69122e8d7a2656da90103f4b,,,,
427,raw_position_sample,2,2,int,6,5,9,10,-1,999,379,89,1552899.2000000179,69122e8d7a2656da90103f4b,69122e8d7a2656da90103f4b,intermediate,5,69122e8d7a2656da90103f4b,69122e8d7a2656da90103f4b,spotlight_PROLIFIC,,42,Brasil,Portuguese,English,,Portuguese:80|English:20,100,Portuguese:90|English:10,100,Portuguese:50|English:50,100,24,8,Master's,10,10,10,9,9,9,13,20,13,15,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-16T13:34:32.090Z,KK754AZD,2026-08-16,2026-08-16,10:34:32,2026-08-16 10:34:32,,,,,,,,69122e8d7a2656da90103f4b,69122e8d7a2656da90103f4b,,,,
491,raw_position_sample,2,2,int,6,5,9,10,-1,999,379,89,1552963.5,69122e8d7a2656da90103f4b,69122e8d7a2656da90103f4b,intermediate,5,69122e8d7a2656da90103f4b,69122e8d7a2656da90103f4b,spotlight_PROLIFIC,,42,Brasil,Portuguese,English,,Portuguese:80|English:20,100,Portuguese:90|English:10,100,Portuguese:50|English:50,100,24,8,Master's,10,10,10,9,9,9,13,20,13,15,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-16T13:34:32.090Z,KK754AZD,2026-08-16,2026-08-16,10:34:32,2026-08-16 10:34:32,,,,,,,,69122e8d7a2656da90103f4b,69122e8d7a2656da90103f4b,,,,
523,raw_position_sample,2,2,int,6,5,9,10,-1,999,379,89,1552995.400000006,69122e8d7a2656da90103f4b,69122e8d7a2656da90103f4b,intermediate,5,69122e8d7a2656da90103f4b,69122e8d7a2656da90103f4b,spotlight_PROLIFIC,,42,Brasil,Portuguese,English,,Portuguese:80|English:20,100,Portuguese:90|English:10,100,Portuguese:50|English:50,100,24,8,Master's,10,10,10,9,9,9,13,20,13,15,,,,,25,25,C2,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-16T13:34:32.090Z,KK754AZD,2026-08-16,2026-08-16,10:34:32,2026-08-16 10:34:32,,,,,,,,69122e8d7a2656da90103f4b,69122e8d7a2656da90103f4b,,,,
