responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,demo_other_english_test,demo_other_english_test_score,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
71,raw_position_sample,2,2,int,10,1,16,17,-1,999,363,101,1153030.2999999523,697baf51df5897bf17f4a6c6,697baf51df5897bf17f4a6c6,intermediate,1,697baf51df5897bf17f4a6c6,697baf51df5897bf17f4a6c6,spotlight_PROLIFIC,,28,Mexico,Spanish,"English, Italian",Italian,Spanish:70|English:25|Italian:5,100,Spanish:70|English:30|Italian:0,100,Spanish:80|English:20|Italian:0,100,22,4,Bachelor's,10,10,10,9,10,10,1,12,5,10,TOEFL (2026),5.5,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-22T23:01:28.500Z,T6MHW4E6,2026-09-22,2026-09-22,17:01:28,2026-09-22 17:01:28,,,,,,,,697baf51df5897bf17f4a6c6,697baf51df5897bf17f4a6c6,,,,
119,raw_position_sample,2,2,int,10,1,16,17,-1,999,362,103,1153078.5,697baf51df5897bf17f4a6c6,697baf51df5897bf17f4a6c6,intermediate,1,697baf51df5897bf17f4a6c6,697baf51df5897bf17f4a6c6,spotlight_PROLIFIC,,28,Mexico,Spanish,"English, Italian",Italian,Spanish:70|English:25|Italian:5,100,Spanish:70|English:30|Italian:0,100,Spanish:80|English:20|Italian:0,100,22,4,Bachelor's,10,10,10,9,10,10,1,12,5,10,TOEFL (2026),5.5,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-22T23:01:28.500Z,T6MHW4E6,2026-09-22,2026-09-22,17:01:28,2026-09-22 17:01:28,,,,,,,,697baf51df5897bf17f4a6c6,697baf51df5897bf17f4a6c6,,,,
169,raw_position_sample,2,2,int,10,1,16,17,-1,999,360,101,1153129.1000000238,697baf51df5897bf17f4a6c6,697baf51df5897bf17f4a6c6,intermediate,1,697baf51df5897bf17f4a6c6,697baf51df5897bf17f4a6c6,spotlight_PROLIFIC,,28,Mexico,Spanish,"English, Italian",Italian,Spanish:70|English:25|Italian:5,100,Spanish:70|English:30|Italian:0,100,Spanish:80|English:20|Italian:0,100,22,4,Bachelor's,10,10,10,9,10,10,1,12,5,10,TOEFL (2026),5.5,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-22T23:01:28.500Z,T6MHW4E6,2026-09-22,2026-09-22,17:01:28,2026-09-22 17:01:28,,,,,,,,697baf51df5897bf17f4a6c6,697baf51df5897bf17f4a6c6,,,,
231,raw_position_sample,2,2,int,10,1,16,17,-1,999,361,101,1153190.2999999523,697baf51df5897bf17f4a6c6,697baf51df5897bf17f4a6c6,intermediate,1,697baf51df5897bf17f4a6c6,697baf51df5897bf17f4a6c6,spotlight_PROLIFIC,,28,Mexico,Spanish,"English, Italian",Italian,Spanish:70|English:25|Italian:5,100,Spanish:70|English:30|Italian:0,100,Spanish:80|English:20|Italian:0,100,22,4,Bachelor's,10,10,10,9,10,10,1,12,5,10,TOEFL (2026),5.5,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-22T23:01:28.500Z,T6MHW4E6,2026-09-22,2026-09-22,17:01:28,2026-09-22 17:01:28,,,,,,,,697baf51df5897bf17f4a6c6,697baf51df5897bf17f4a6c6,,,,
281,raw_position_sample,2,2,int,10,1,16,17,-1,999,361,101,1153240.7999999523,697baf51df5897bf17f4a6c6,697baf51df5897bf17f4a6c6,intermediate,1,697baf51df5897bf17f4a6c6,697baf51df5897bf17f4a6c6,spotlight_PROLIFIC,,28,Mexico,Spanish,"English, Italian",Italian,Spanish:70|English:25|Italian:5,100,Spanish:70|English:30|Italian:0,100,Spanish:80|English:20|Italian:0,100,22,4,Bachelor's,10,10,10,9,10,10,1,12,5,10,TOEFL (2026),5.5,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-22T23:01:28.500Z,T6MHW4E6,2026-09-22,2026-09-22,17:01:28,2026-09-22 17:01:28,,,,,,,,697baf51df5897bf17f4a6c6,697baf51df5897bf17f4a6c6,,,,
329,raw_position_sample,2,2,int,10,1,16,17,-1,999,361,101,1153289,697baf51df5897bf17f4a6c6,697baf51df5897bf17f4a6c6,intermediate,1,697baf51df5897bf17f4a6c6,697baf51df5897bf17f4a6c6,spotlight_PROLIFIC,,28,Mexico,Spanish,"English, Italian",Italian,Spanish:70|English:25|Italian:5,100,Spanish:70|English:30|Italian:0,100,Spanish:80|English:20|Italian:0,100,22,4,Bachelor's,10,10,10,9,10,10,1,12,5,10,TOEFL (2026),5.5,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-22T23:01:28.500Z,T6MHW4E6,2026-09-22,2026-09-22,17:01:28,2026-09-22 17:01:28,,,,,,,,697baf51df5897bf17f4a6c6,697baf51df5897bf17f4a6c6,,,,
377,raw_position_sample,2,2,int,10,1,16,17,-1,999,361,101,1153336.6999999285,697baf51df5897bf17f4a6c6,697baf51df5897bf17f4a6c6,intermediate,1,697baf51df5897bf17f4a6c6,697baf51df5897bf17f4a6c6,spotlight_PROLIFIC,,28,Mexico,Spanish,"English, Italian",Italian,Spanish:70|English:25|Italian:5,100,Spanish:70|English:30|Italian:0,100,Spanish:80|English:20|Italian:0,100,22,4,Bachelor's,10,10,10,9,10,10,1,12,5,10,TOEFL (2026),5.5,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-22T23:01:28.500Z,T6MHW4E6,2026-09-22,2026-09-22,17:01:28,2026-09-22 17:01:28,,,,,,,,697baf51df5897bf17f4a6c6,697baf51df5897bf17f4a6c6,,,,
425,raw_position_sample,2,2,int,10,1,16,17,-1,999,361,101,1153385,697baf51df5897bf17f4a6c6,697baf51df5897bf17f4a6c6,intermediate,1,697baf51df5897bf17f4a6c6,697baf51df5897bf17f4a6c6,spotlight_PROLIFIC,,28,Mexico,Spanish,"English, Italian",Italian,Spanish:70|English:25|Italian:5,100,Spanish:70|English:30|Italian:0,100,Spanish:80|English:20|Italian:0,100,22,4,Bachelor's,10,10,10,9,10,10,1,12,5,10,TOEFL (2026),5.5,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-22T23:01:28.500Z,T6MHW4E6,2026-09-22,2026-09-22,17:01:28,2026-09-22 17:01:28,,,,,,,,697baf51df5897bf17f4a6c6,697baf51df5897bf17f4a6c6,,,,
474,raw_position_sample,2,2,int,10,1,16,17,-1,999,361,101,1153433.3999999762,697baf51df5897bf17f4a6c6,697baf51df5897bf17f4a6c6,intermediate,1,697baf51df5897bf17f4a6c6,697baf51df5897bf17f4a6c6,spotlight_PROLIFIC,,28,Mexico,Spanish,"English, Italian",Italian,Spanish:70|English:25|Italian:5,100,Spanish:70|English:30|Italian:0,100,Spanish:80|English:20|Italian:0,100,22,4,Bachelor's,10,10,10,9,10,10,1,12,5,10,TOEFL (2026),5.5,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-22T23:01:28.500Z,T6MHW4E6,2026-09-22,2026-09-22,17:01:28,2026-09-22 17:01:28,,,,,,,,697baf51df5897bf17f4a6c6,697baf51df5897bf17f4a6c6,,,,
522,raw_position_sample,2,2,int,10,1,16,17,-1,999,361,101,1153481.5,697baf51df5897bf17f4a6c6,697baf51df5897bf17f4a6c6,intermediate,1,697baf51df5897bf17f4a6c6,697baf51df5897bf17f4a6c6,spotlight_PROLIFIC,,28,Mexico,Spanish,"English, Italian",Italian,Spanish:70|English:25|Italian:5,100,Spanish:70|English:30|Italian:0,100,Spanish:80|English:20|Italian:0,100,22,4,Bachelor's,10,10,10,9,10,10,1,12,5,10,TOEFL (2026),5.5,,,,,24,25,C2,intermediate|advanced,advanced|intermediate,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-09-22T23:01:28.500Z,T6MHW4E6,2026-09-22,2026-09-22,17:01:28,2026-09-22 17:01:28,,,,,,,,697baf51df5897bf17f4a6c6,697baf51df5897bf17f4a6c6,,,,
