responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,demo_other_english_test,demo_other_english_test_score,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
926,raw_position_sample,2,2,int,20,2,7,8,1, “The ,647,119,521369.09999996424,690bad3bcb625a07f6c2547f,690bad3bcb625a07f6c2547f,123.265625,625.375,143.265625,667.390625,1,1,intermediate,2,690bad3bcb625a07f6c2547f,690bad3bcb625a07f6c2547f,spotlight_PROLIFIC,,36,México,spanish,english,,spanish:70|English:30,100,spanish:50|English:50,100,spanish:80|English:20,100,25,5,Master's,10,10,10,8,9,8,3,20,10,15,CEFR,C1,,,,,22,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,2026-09-22T23:06:01.148Z,SME5C5AC,2026-09-22,2026-09-22,17:06:01,2026-09-22 17:06:01,,,,,,,,690bad3bcb625a07f6c2547f,690bad3bcb625a07f6c2547f,,,,
975,raw_position_sample,2,2,int,20,2,7,8,1, “The ,647,151,521418.09999996424,690bad3bcb625a07f6c2547f,690bad3bcb625a07f6c2547f,123.265625,625.375,143.265625,667.390625,1,1,intermediate,2,690bad3bcb625a07f6c2547f,690bad3bcb625a07f6c2547f,spotlight_PROLIFIC,,36,México,spanish,english,,spanish:70|English:30,100,spanish:50|English:50,100,spanish:80|English:20,100,25,5,Master's,10,10,10,8,9,8,3,20,10,15,CEFR,C1,,,,,22,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,2026-09-22T23:06:01.148Z,SME5C5AC,2026-09-22,2026-09-22,17:06:01,2026-09-22 17:06:01,,,,,,,,690bad3bcb625a07f6c2547f,690bad3bcb625a07f6c2547f,,,,
985,hover_association,2,2,int,20,2,7,8,1, “The ,647,119,,690bad3bcb625a07f6c2547f,690bad3bcb625a07f6c2547f,113.265625,621.8736979166666,153.265625,667.390625,1,1,intermediate,2,690bad3bcb625a07f6c2547f,690bad3bcb625a07f6c2547f,spotlight_PROLIFIC,,36,México,spanish,english,,spanish:70|English:30,100,spanish:50|English:50,100,spanish:80|English:20,100,25,5,Master's,10,10,10,8,9,8,3,20,10,15,CEFR,C1,,,,,22,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,hover,66.70000004768372,66.70000004768372,0.5520210544383103,0.943359375,154,,,,,,2026-09-22T23:06:01.148Z,SME5C5AC,2026-09-22,2026-09-22,17:06:01,2026-09-22 17:06:01,,,,,,,,690bad3bcb625a07f6c2547f,690bad3bcb625a07f6c2547f,,,,
1025,raw_position_sample,2,2,int,20,2,7,8,15, what ,647,156,521468.5,690bad3bcb625a07f6c2547f,690bad3bcb625a07f6c2547f,163.265625,625.375,183.265625,668.40625,2,1,intermediate,2,690bad3bcb625a07f6c2547f,690bad3bcb625a07f6c2547f,spotlight_PROLIFIC,,36,México,spanish,english,,spanish:70|English:30,100,spanish:50|English:50,100,spanish:80|English:20,100,25,5,Master's,10,10,10,8,9,8,3,20,10,15,CEFR,C1,,,,,22,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,2026-09-22T23:06:01.148Z,SME5C5AC,2026-09-22,2026-09-22,17:06:01,2026-09-22 17:06:01,,,,,,,,690bad3bcb625a07f6c2547f,690bad3bcb625a07f6c2547f,,,,
1084,raw_position_sample,2,2,int,20,2,7,8,15, what ,647,156,521526.6999999881,690bad3bcb625a07f6c2547f,690bad3bcb625a07f6c2547f,163.265625,625.375,183.265625,668.40625,2,1,intermediate,2,690bad3bcb625a07f6c2547f,690bad3bcb625a07f6c2547f,spotlight_PROLIFIC,,36,México,spanish,english,,spanish:70|English:30,100,spanish:50|English:50,100,spanish:80|English:20,100,25,5,Master's,10,10,10,8,9,8,3,20,10,15,CEFR,C1,,,,,22,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,2026-09-22T23:06:01.148Z,SME5C5AC,2026-09-22,2026-09-22,17:06:01,2026-09-22 17:06:01,,,,,,,,690bad3bcb625a07f6c2547f,690bad3bcb625a07f6c2547f,,,,
1130,raw_position_sample,2,2,int,20,2,7,8,15, what ,647,156,521573.5,690bad3bcb625a07f6c2547f,690bad3bcb625a07f6c2547f,163.265625,625.375,183.265625,668.40625,2,1,intermediate,2,690bad3bcb625a07f6c2547f,690bad3bcb625a07f6c2547f,spotlight_PROLIFIC,,36,México,spanish,english,,spanish:70|English:30,100,spanish:50|English:50,100,spanish:80|English:20,100,25,5,Master's,10,10,10,8,9,8,3,20,10,15,CEFR,C1,,,,,22,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,2026-09-22T23:06:01.148Z,SME5C5AC,2026-09-22,2026-09-22,17:06:01,2026-09-22 17:06:01,,,,,,,,690bad3bcb625a07f6c2547f,690bad3bcb625a07f6c2547f,,,,
1177,raw_position_sample,2,2,int,20,2,7,8,15, what ,647,156,521619.89999997616,690bad3bcb625a07f6c2547f,690bad3bcb625a07f6c2547f,163.265625,625.375,183.265625,668.40625,2,1,intermediate,2,690bad3bcb625a07f6c2547f,690bad3bcb625a07f6c2547f,spotlight_PROLIFIC,,36,México,spanish,english,,spanish:70|English:30,100,spanish:50|English:50,100,spanish:80|English:20,100,25,5,Master's,10,10,10,8,9,8,3,20,10,15,CEFR,C1,,,,,22,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,2026-09-22T23:06:01.148Z,SME5C5AC,2026-09-22,2026-09-22,17:06:01,2026-09-22 17:06:01,,,,,,,,690bad3bcb625a07f6c2547f,690bad3bcb625a07f6c2547f,,,,
1226,raw_position_sample,2,2,int,20,2,7,8,15, what ,647,156,521669.3000000119,690bad3bcb625a07f6c2547f,690bad3bcb625a07f6c2547f,163.265625,625.375,183.265625,668.40625,2,1,intermediate,2,690bad3bcb625a07f6c2547f,690bad3bcb625a07f6c2547f,spotlight_PROLIFIC,,36,México,spanish,english,,spanish:70|English:30,100,spanish:50|English:50,100,spanish:80|English:20,100,25,5,Master's,10,10,10,8,9,8,3,20,10,15,CEFR,C1,,,,,22,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,2026-09-22T23:06:01.148Z,SME5C5AC,2026-09-22,2026-09-22,17:06:01,2026-09-22 17:06:01,,,,,,,,690bad3bcb625a07f6c2547f,690bad3bcb625a07f6c2547f,,,,
1276,raw_position_sample,2,2,int,20,2,7,8,15, what ,647,156,521719.3000000119,690bad3bcb625a07f6c2547f,690bad3bcb625a07f6c2547f,163.265625,625.375,183.265625,668.40625,2,1,intermediate,2,690bad3bcb625a07f6c2547f,690bad3bcb625a07f6c2547f,spotlight_PROLIFIC,,36,México,spanish,english,,spanish:70|English:30,100,spanish:50|English:50,100,spanish:80|English:20,100,25,5,Master's,10,10,10,8,9,8,3,20,10,15,CEFR,C1,,,,,22,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,2026-09-22T23:06:01.148Z,SME5C5AC,2026-09-22,2026-09-22,17:06:01,2026-09-22 17:06:01,,,,,,,,690bad3bcb625a07f6c2547f,690bad3bcb625a07f6c2547f,,,,
1302,hover_association,2,2,int,20,2,7,8,15, what ,647,154,,690bad3bcb625a07f6c2547f,690bad3bcb625a07f6c2547f,153.265625,621.8736979166666,193.265625,668.40625,2,1,intermediate,2,690bad3bcb625a07f6c2547f,690bad3bcb625a07f6c2547f,spotlight_PROLIFIC,,36,México,spanish,english,,spanish:70|English:30,100,spanish:50|English:50,100,spanish:80|English:20,100,25,5,Master's,10,10,10,8,9,8,3,20,10,15,CEFR,C1,,,,,22,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,hover,317.7999999523163,317.7999999523163,0.5399725774407481,0.043359375,154,,,,,,2026-09-22T23:06:01.148Z,SME5C5AC,2026-09-22,2026-09-22,17:06:01,2026-09-22 17:06:01,,,,,,,,690bad3bcb625a07f6c2547f,690bad3bcb625a07f6c2547f,,,,
