responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,demo_other_english_test,demo_other_english_test_score,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
50,raw_position_sample,2,3,adv,17,4,13,14,-1,999,371,88,1647695.9999999981,609325db26172330aad07df0,609325db26172330aad07df0,advanced,4,609325db26172330aad07df0,609325db26172330aad07df0,spotlight_PROLIFIC,,31,Chile,Spanish,English,,Spanish:90|English:10,100,Spanish:50|English:50,100,Spanish:50|English:50,100,17,0,Bachelor's,10,10,10,8,9,10,15,21,15,18,CEFR,C1,,,,,22,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-24T16:54:16.684Z,SXWPMHNT,2026-08-24,2026-08-24,12:54:16,2026-08-24 12:54:16,,,,,,,,609325db26172330aad07df0,609325db26172330aad07df0,,,,
98,raw_position_sample,2,3,adv,17,4,13,14,-1,999,371,88,1647743.9999999981,609325db26172330aad07df0,609325db26172330aad07df0,advanced,4,609325db26172330aad07df0,609325db26172330aad07df0,spotlight_PROLIFIC,,31,Chile,Spanish,English,,Spanish:90|English:10,100,Spanish:50|English:50,100,Spanish:50|English:50,100,17,0,Bachelor's,10,10,10,8,9,10,15,21,15,18,CEFR,C1,,,,,22,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-24T16:54:16.684Z,SXWPMHNT,2026-08-24,2026-08-24,12:54:16,2026-08-24 12:54:16,,,,,,,,609325db26172330aad07df0,609325db26172330aad07df0,,,,
146,raw_position_sample,2,3,adv,17,4,13,14,-1,999,371,88,1647792.0999999996,609325db26172330aad07df0,609325db26172330aad07df0,advanced,4,609325db26172330aad07df0,609325db26172330aad07df0,spotlight_PROLIFIC,,31,Chile,Spanish,English,,Spanish:90|English:10,100,Spanish:50|English:50,100,Spanish:50|English:50,100,17,0,Bachelor's,10,10,10,8,9,10,15,21,15,18,CEFR,C1,,,,,22,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-24T16:54:16.684Z,SXWPMHNT,2026-08-24,2026-08-24,12:54:16,2026-08-24 12:54:16,,,,,,,,609325db26172330aad07df0,609325db26172330aad07df0,,,,
194,raw_position_sample,2,3,adv,17,4,13,14,-1,999,371,88,1647840.0999999996,609325db26172330aad07df0,609325db26172330aad07df0,advanced,4,609325db26172330aad07df0,609325db26172330aad07df0,spotlight_PROLIFIC,,31,Chile,Spanish,English,,Spanish:90|English:10,100,Spanish:50|English:50,100,Spanish:50|English:50,100,17,0,Bachelor's,10,10,10,8,9,10,15,21,15,18,CEFR,C1,,,,,22,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-24T16:54:16.684Z,SXWPMHNT,2026-08-24,2026-08-24,12:54:16,2026-08-24 12:54:16,,,,,,,,609325db26172330aad07df0,609325db26172330aad07df0,,,,
250,raw_position_sample,2,3,adv,17,4,13,14,-1,999,371,88,1647896.2000000011,609325db26172330aad07df0,609325db26172330aad07df0,advanced,4,609325db26172330aad07df0,609325db26172330aad07df0,spotlight_PROLIFIC,,31,Chile,Spanish,English,,Spanish:90|English:10,100,Spanish:50|English:50,100,Spanish:50|English:50,100,17,0,Bachelor's,10,10,10,8,9,10,15,21,15,18,CEFR,C1,,,,,22,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-24T16:54:16.684Z,SXWPMHNT,2026-08-24,2026-08-24,12:54:16,2026-08-24 12:54:16,,,,,,,,609325db26172330aad07df0,609325db26172330aad07df0,,,,
298,raw_position_sample,2,3,adv,17,4,13,14,-1,999,422,89,1647944.0999999996,609325db26172330aad07df0,609325db26172330aad07df0,advanced,4,609325db26172330aad07df0,609325db26172330aad07df0,spotlight_PROLIFIC,,31,Chile,Spanish,English,,Spanish:90|English:10,100,Spanish:50|English:50,100,Spanish:50|English:50,100,17,0,Bachelor's,10,10,10,8,9,10,15,21,15,18,CEFR,C1,,,,,22,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-24T16:54:16.684Z,SXWPMHNT,2026-08-24,2026-08-24,12:54:16,2026-08-24 12:54:16,,,,,,,,609325db26172330aad07df0,609325db26172330aad07df0,,,,
346,raw_position_sample,2,3,adv,17,4,13,14,-1,999,423,95,1647991.9999999981,609325db26172330aad07df0,609325db26172330aad07df0,advanced,4,609325db26172330aad07df0,609325db26172330aad07df0,spotlight_PROLIFIC,,31,Chile,Spanish,English,,Spanish:90|English:10,100,Spanish:50|English:50,100,Spanish:50|English:50,100,17,0,Bachelor's,10,10,10,8,9,10,15,21,15,18,CEFR,C1,,,,,22,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-24T16:54:16.684Z,SXWPMHNT,2026-08-24,2026-08-24,12:54:16,2026-08-24 12:54:16,,,,,,,,609325db26172330aad07df0,609325db26172330aad07df0,,,,
394,raw_position_sample,2,3,adv,17,4,13,14,-1,999,423,96,1648039.9999999981,609325db26172330aad07df0,609325db26172330aad07df0,advanced,4,609325db26172330aad07df0,609325db26172330aad07df0,spotlight_PROLIFIC,,31,Chile,Spanish,English,,Spanish:90|English:10,100,Spanish:50|English:50,100,Spanish:50|English:50,100,17,0,Bachelor's,10,10,10,8,9,10,15,21,15,18,CEFR,C1,,,,,22,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-24T16:54:16.684Z,SXWPMHNT,2026-08-24,2026-08-24,12:54:16,2026-08-24 12:54:16,,,,,,,,609325db26172330aad07df0,609325db26172330aad07df0,,,,
453,raw_position_sample,2,3,adv,17,4,13,14,-1,999,428,110,1648099.2999999989,609325db26172330aad07df0,609325db26172330aad07df0,advanced,4,609325db26172330aad07df0,609325db26172330aad07df0,spotlight_PROLIFIC,,31,Chile,Spanish,English,,Spanish:90|English:10,100,Spanish:50|English:50,100,Spanish:50|English:50,100,17,0,Bachelor's,10,10,10,8,9,10,15,21,15,18,CEFR,C1,,,,,22,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-24T16:54:16.684Z,SXWPMHNT,2026-08-24,2026-08-24,12:54:16,2026-08-24 12:54:16,,,,,,,,609325db26172330aad07df0,609325db26172330aad07df0,,,,
498,raw_position_sample,2,3,adv,17,4,13,14,-1,999,434,119,1648144.0999999996,609325db26172330aad07df0,609325db26172330aad07df0,advanced,4,609325db26172330aad07df0,609325db26172330aad07df0,spotlight_PROLIFIC,,31,Chile,Spanish,English,,Spanish:90|English:10,100,Spanish:50|English:50,100,Spanish:50|English:50,100,17,0,Bachelor's,10,10,10,8,9,10,15,21,15,18,CEFR,C1,,,,,22,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,19,random,,,,,,,,,,,,,,,,,,,2026-08-24T16:54:16.684Z,SXWPMHNT,2026-08-24,2026-08-24,12:54:16,2026-08-24 12:54:16,,,,,,,,609325db26172330aad07df0,609325db26172330aad07df0,,,,
