responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
2738,raw_position_sample,2,1,ele,28,1,1,2,2, prisons ,236,88,654639.700000003,69e952ecef183bc92b704159,69e952ecef183bc92b704159,76.1611099243164,195.5,97.13888740539551,259.78333282470703,1,2,elementary,1,69e952ecef183bc92b704159,69e952ecef183bc92b704159,spotlight_PROLIFIC,,55,55,Português ,Português ,,Português:90|English:10,100,Português:90|English:10,100,Português:90|English:10,100,5,5,Some post-secondary,6,2,2,4,2,2,1,2,1,2,,,,,10,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,18,random,,,,,,,,,,,,,2026-08-16T09:30:48.205Z,93HMDKV8,2026-08-16,2026-08-16,06:30:48,2026-08-16 06:30:48,,,,,,,,69e952ecef183bc92b704159,69e952ecef183bc92b704159,,,,
2789,raw_position_sample,2,1,ele,28,1,1,2,2, prisons ,236,88,654690.299999997,69e952ecef183bc92b704159,69e952ecef183bc92b704159,76.1611099243164,195.5,97.13888740539551,259.78333282470703,1,2,elementary,1,69e952ecef183bc92b704159,69e952ecef183bc92b704159,spotlight_PROLIFIC,,55,55,Português ,Português ,,Português:90|English:10,100,Português:90|English:10,100,Português:90|English:10,100,5,5,Some post-secondary,6,2,2,4,2,2,1,2,1,2,,,,,10,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,18,random,,,,,,,,,,,,,2026-08-16T09:30:48.205Z,93HMDKV8,2026-08-16,2026-08-16,06:30:48,2026-08-16 06:30:48,,,,,,,,69e952ecef183bc92b704159,69e952ecef183bc92b704159,,,,
2838,raw_position_sample,2,1,ele,28,1,1,2,2, prisons ,236,88,654739.700000003,69e952ecef183bc92b704159,69e952ecef183bc92b704159,76.1611099243164,195.5,97.13888740539551,259.78333282470703,1,2,elementary,1,69e952ecef183bc92b704159,69e952ecef183bc92b704159,spotlight_PROLIFIC,,55,55,Português ,Português ,,Português:90|English:10,100,Português:90|English:10,100,Português:90|English:10,100,5,5,Some post-secondary,6,2,2,4,2,2,1,2,1,2,,,,,10,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,18,random,,,,,,,,,,,,,2026-08-16T09:30:48.205Z,93HMDKV8,2026-08-16,2026-08-16,06:30:48,2026-08-16 06:30:48,,,,,,,,69e952ecef183bc92b704159,69e952ecef183bc92b704159,,,,
2888,raw_position_sample,2,1,ele,28,1,1,2,2, prisons ,236,88,654789.799999997,69e952ecef183bc92b704159,69e952ecef183bc92b704159,76.1611099243164,195.5,97.13888740539551,259.78333282470703,1,2,elementary,1,69e952ecef183bc92b704159,69e952ecef183bc92b704159,spotlight_PROLIFIC,,55,55,Português ,Português ,,Português:90|English:10,100,Português:90|English:10,100,Português:90|English:10,100,5,5,Some post-secondary,6,2,2,4,2,2,1,2,1,2,,,,,10,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,18,random,,,,,,,,,,,,,2026-08-16T09:30:48.205Z,93HMDKV8,2026-08-16,2026-08-16,06:30:48,2026-08-16 06:30:48,,,,,,,,69e952ecef183bc92b704159,69e952ecef183bc92b704159,,,,
2938,raw_position_sample,2,1,ele,28,1,1,2,2, prisons ,236,88,654839.700000003,69e952ecef183bc92b704159,69e952ecef183bc92b704159,76.1611099243164,195.5,97.13888740539551,259.78333282470703,1,2,elementary,1,69e952ecef183bc92b704159,69e952ecef183bc92b704159,spotlight_PROLIFIC,,55,55,Português ,Português ,,Português:90|English:10,100,Português:90|English:10,100,Português:90|English:10,100,5,5,Some post-secondary,6,2,2,4,2,2,1,2,1,2,,,,,10,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,18,random,,,,,,,,,,,,,2026-08-16T09:30:48.205Z,93HMDKV8,2026-08-16,2026-08-16,06:30:48,2026-08-16 06:30:48,,,,,,,,69e952ecef183bc92b704159,69e952ecef183bc92b704159,,,,
2988,raw_position_sample,2,1,ele,28,1,1,2,2, prisons ,236,88,654889.799999997,69e952ecef183bc92b704159,69e952ecef183bc92b704159,76.1611099243164,195.5,97.13888740539551,259.78333282470703,1,2,elementary,1,69e952ecef183bc92b704159,69e952ecef183bc92b704159,spotlight_PROLIFIC,,55,55,Português ,Português ,,Português:90|English:10,100,Português:90|English:10,100,Português:90|English:10,100,5,5,Some post-secondary,6,2,2,4,2,2,1,2,1,2,,,,,10,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,18,random,,,,,,,,,,,,,2026-08-16T09:30:48.205Z,93HMDKV8,2026-08-16,2026-08-16,06:30:48,2026-08-16 06:30:48,,,,,,,,69e952ecef183bc92b704159,69e952ecef183bc92b704159,,,,
3038,raw_position_sample,2,1,ele,28,1,1,2,2, prisons ,236,88,654939.6000000089,69e952ecef183bc92b704159,69e952ecef183bc92b704159,76.1611099243164,195.5,97.13888740539551,259.78333282470703,1,2,elementary,1,69e952ecef183bc92b704159,69e952ecef183bc92b704159,spotlight_PROLIFIC,,55,55,Português ,Português ,,Português:90|English:10,100,Português:90|English:10,100,Português:90|English:10,100,5,5,Some post-secondary,6,2,2,4,2,2,1,2,1,2,,,,,10,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,18,random,,,,,,,,,,,,,2026-08-16T09:30:48.205Z,93HMDKV8,2026-08-16,2026-08-16,06:30:48,2026-08-16 06:30:48,,,,,,,,69e952ecef183bc92b704159,69e952ecef183bc92b704159,,,,
3088,raw_position_sample,2,1,ele,28,1,1,2,2, prisons ,236,88,654989.6000000089,69e952ecef183bc92b704159,69e952ecef183bc92b704159,76.1611099243164,195.5,97.13888740539551,259.78333282470703,1,2,elementary,1,69e952ecef183bc92b704159,69e952ecef183bc92b704159,spotlight_PROLIFIC,,55,55,Português ,Português ,,Português:90|English:10,100,Português:90|English:10,100,Português:90|English:10,100,5,5,Some post-secondary,6,2,2,4,2,2,1,2,1,2,,,,,10,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,18,random,,,,,,,,,,,,,2026-08-16T09:30:48.205Z,93HMDKV8,2026-08-16,2026-08-16,06:30:48,2026-08-16 06:30:48,,,,,,,,69e952ecef183bc92b704159,69e952ecef183bc92b704159,,,,
3138,raw_position_sample,2,1,ele,28,1,1,2,2, prisons ,236,88,655039.6000000089,69e952ecef183bc92b704159,69e952ecef183bc92b704159,76.1611099243164,195.5,97.13888740539551,259.78333282470703,1,2,elementary,1,69e952ecef183bc92b704159,69e952ecef183bc92b704159,spotlight_PROLIFIC,,55,55,Português ,Português ,,Português:90|English:10,100,Português:90|English:10,100,Português:90|English:10,100,5,5,Some post-secondary,6,2,2,4,2,2,1,2,1,2,,,,,10,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,18,random,,,,,,,,,,,,,2026-08-16T09:30:48.205Z,93HMDKV8,2026-08-16,2026-08-16,06:30:48,2026-08-16 06:30:48,,,,,,,,69e952ecef183bc92b704159,69e952ecef183bc92b704159,,,,
3188,raw_position_sample,2,1,ele,28,1,1,2,2, prisons ,236,88,655090,69e952ecef183bc92b704159,69e952ecef183bc92b704159,76.1611099243164,195.5,97.13888740539551,259.78333282470703,1,2,elementary,1,69e952ecef183bc92b704159,69e952ecef183bc92b704159,spotlight_PROLIFIC,,55,55,Português ,Português ,,Português:90|English:10,100,Português:90|English:10,100,Português:90|English:10,100,5,5,Some post-secondary,6,2,2,4,2,2,1,2,1,2,,,,,10,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,18,random,,,,,,,,,,,,,2026-08-16T09:30:48.205Z,93HMDKV8,2026-08-16,2026-08-16,06:30:48,2026-08-16 06:30:48,,,,,,,,69e952ecef183bc92b704159,69e952ecef183bc92b704159,,,,
3238,raw_position_sample,2,1,ele,28,1,1,2,2, prisons ,236,88,655139.700000003,69e952ecef183bc92b704159,69e952ecef183bc92b704159,76.1611099243164,195.5,97.13888740539551,259.78333282470703,1,2,elementary,1,69e952ecef183bc92b704159,69e952ecef183bc92b704159,spotlight_PROLIFIC,,55,55,Português ,Português ,,Português:90|English:10,100,Português:90|English:10,100,Português:90|English:10,100,5,5,Some post-secondary,6,2,2,4,2,2,1,2,1,2,,,,,10,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,18,random,,,,,,,,,,,,,2026-08-16T09:30:48.205Z,93HMDKV8,2026-08-16,2026-08-16,06:30:48,2026-08-16 06:30:48,,,,,,,,69e952ecef183bc92b704159,69e952ecef183bc92b704159,,,,
3288,raw_position_sample,2,1,ele,28,1,1,2,2, prisons ,236,88,655189.6000000089,69e952ecef183bc92b704159,69e952ecef183bc92b704159,76.1611099243164,195.5,97.13888740539551,259.78333282470703,1,2,elementary,1,69e952ecef183bc92b704159,69e952ecef183bc92b704159,spotlight_PROLIFIC,,55,55,Português ,Português ,,Português:90|English:10,100,Português:90|English:10,100,Português:90|English:10,100,5,5,Some post-secondary,6,2,2,4,2,2,1,2,1,2,,,,,10,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,18,random,,,,,,,,,,,,,2026-08-16T09:30:48.205Z,93HMDKV8,2026-08-16,2026-08-16,06:30:48,2026-08-16 06:30:48,,,,,,,,69e952ecef183bc92b704159,69e952ecef183bc92b704159,,,,
3339,raw_position_sample,2,1,ele,28,1,1,2,2, prisons ,236,88,655240.6000000089,69e952ecef183bc92b704159,69e952ecef183bc92b704159,76.1611099243164,195.5,97.13888740539551,259.78333282470703,1,2,elementary,1,69e952ecef183bc92b704159,69e952ecef183bc92b704159,spotlight_PROLIFIC,,55,55,Português ,Português ,,Português:90|English:10,100,Português:90|English:10,100,Português:90|English:10,100,5,5,Some post-secondary,6,2,2,4,2,2,1,2,1,2,,,,,10,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,18,random,,,,,,,,,,,,,2026-08-16T09:30:48.205Z,93HMDKV8,2026-08-16,2026-08-16,06:30:48,2026-08-16 06:30:48,,,,,,,,69e952ecef183bc92b704159,69e952ecef183bc92b704159,,,,
3390,raw_position_sample,2,1,ele,28,1,1,2,2, prisons ,236,88,655291.5,69e952ecef183bc92b704159,69e952ecef183bc92b704159,76.1611099243164,195.5,97.13888740539551,259.78333282470703,1,2,elementary,1,69e952ecef183bc92b704159,69e952ecef183bc92b704159,spotlight_PROLIFIC,,55,55,Português ,Português ,,Português:90|English:10,100,Português:90|English:10,100,Português:90|English:10,100,5,5,Some post-secondary,6,2,2,4,2,2,1,2,1,2,,,,,10,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,18,random,,,,,,,,,,,,,2026-08-16T09:30:48.205Z,93HMDKV8,2026-08-16,2026-08-16,06:30:48,2026-08-16 06:30:48,,,,,,,,69e952ecef183bc92b704159,69e952ecef183bc92b704159,,,,
3439,raw_position_sample,2,1,ele,28,1,1,2,2, prisons ,236,88,655340.900000006,69e952ecef183bc92b704159,69e952ecef183bc92b704159,76.1611099243164,195.5,97.13888740539551,259.78333282470703,1,2,elementary,1,69e952ecef183bc92b704159,69e952ecef183bc92b704159,spotlight_PROLIFIC,,55,55,Português ,Português ,,Português:90|English:10,100,Português:90|English:10,100,Português:90|English:10,100,5,5,Some post-secondary,6,2,2,4,2,2,1,2,1,2,,,,,10,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,18,random,,,,,,,,,,,,,2026-08-16T09:30:48.205Z,93HMDKV8,2026-08-16,2026-08-16,06:30:48,2026-08-16 06:30:48,,,,,,,,69e952ecef183bc92b704159,69e952ecef183bc92b704159,,,,
3488,raw_position_sample,2,1,ele,28,1,1,2,2, prisons ,236,88,655389.6000000089,69e952ecef183bc92b704159,69e952ecef183bc92b704159,76.1611099243164,195.5,97.13888740539551,259.78333282470703,1,2,elementary,1,69e952ecef183bc92b704159,69e952ecef183bc92b704159,spotlight_PROLIFIC,,55,55,Português ,Português ,,Português:90|English:10,100,Português:90|English:10,100,Português:90|English:10,100,5,5,Some post-secondary,6,2,2,4,2,2,1,2,1,2,,,,,10,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,18,random,,,,,,,,,,,,,2026-08-16T09:30:48.205Z,93HMDKV8,2026-08-16,2026-08-16,06:30:48,2026-08-16 06:30:48,,,,,,,,69e952ecef183bc92b704159,69e952ecef183bc92b704159,,,,
3538,raw_position_sample,2,1,ele,28,1,1,2,2, prisons ,236,88,655439.6000000089,69e952ecef183bc92b704159,69e952ecef183bc92b704159,76.1611099243164,195.5,97.13888740539551,259.78333282470703,1,2,elementary,1,69e952ecef183bc92b704159,69e952ecef183bc92b704159,spotlight_PROLIFIC,,55,55,Português ,Português ,,Português:90|English:10,100,Português:90|English:10,100,Português:90|English:10,100,5,5,Some post-secondary,6,2,2,4,2,2,1,2,1,2,,,,,10,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,18,random,,,,,,,,,,,,,2026-08-16T09:30:48.205Z,93HMDKV8,2026-08-16,2026-08-16,06:30:48,2026-08-16 06:30:48,,,,,,,,69e952ecef183bc92b704159,69e952ecef183bc92b704159,,,,
3590,raw_position_sample,2,1,ele,28,1,1,2,2, prisons ,236,88,655491.5,69e952ecef183bc92b704159,69e952ecef183bc92b704159,76.1611099243164,195.5,97.13888740539551,259.78333282470703,1,2,elementary,1,69e952ecef183bc92b704159,69e952ecef183bc92b704159,spotlight_PROLIFIC,,55,55,Português ,Português ,,Português:90|English:10,100,Português:90|English:10,100,Português:90|English:10,100,5,5,Some post-secondary,6,2,2,4,2,2,1,2,1,2,,,,,10,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,18,random,,,,,,,,,,,,,2026-08-16T09:30:48.205Z,93HMDKV8,2026-08-16,2026-08-16,06:30:48,2026-08-16 06:30:48,,,,,,,,69e952ecef183bc92b704159,69e952ecef183bc92b704159,,,,
3642,raw_position_sample,2,1,ele,28,1,1,2,2, prisons ,236,88,655543.5,69e952ecef183bc92b704159,69e952ecef183bc92b704159,76.1611099243164,195.5,97.13888740539551,259.78333282470703,1,2,elementary,1,69e952ecef183bc92b704159,69e952ecef183bc92b704159,spotlight_PROLIFIC,,55,55,Português ,Português ,,Português:90|English:10,100,Português:90|English:10,100,Português:90|English:10,100,5,5,Some post-secondary,6,2,2,4,2,2,1,2,1,2,,,,,10,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,18,random,,,,,,,,,,,,,2026-08-16T09:30:48.205Z,93HMDKV8,2026-08-16,2026-08-16,06:30:48,2026-08-16 06:30:48,,,,,,,,69e952ecef183bc92b704159,69e952ecef183bc92b704159,,,,
3689,raw_position_sample,2,1,ele,28,1,1,2,2, prisons ,236,88,655590.5,69e952ecef183bc92b704159,69e952ecef183bc92b704159,76.1611099243164,195.5,97.13888740539551,259.78333282470703,1,2,elementary,1,69e952ecef183bc92b704159,69e952ecef183bc92b704159,spotlight_PROLIFIC,,55,55,Português ,Português ,,Português:90|English:10,100,Português:90|English:10,100,Português:90|English:10,100,5,5,Some post-secondary,6,2,2,4,2,2,1,2,1,2,,,,,10,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,18,random,,,,,,,,,,,,,2026-08-16T09:30:48.205Z,93HMDKV8,2026-08-16,2026-08-16,06:30:48,2026-08-16 06:30:48,,,,,,,,69e952ecef183bc92b704159,69e952ecef183bc92b704159,,,,
3738,raw_position_sample,2,1,ele,28,1,1,2,2, prisons ,236,88,655639.6000000089,69e952ecef183bc92b704159,69e952ecef183bc92b704159,76.1611099243164,195.5,97.13888740539551,259.78333282470703,1,2,elementary,1,69e952ecef183bc92b704159,69e952ecef183bc92b704159,spotlight_PROLIFIC,,55,55,Português ,Português ,,Português:90|English:10,100,Português:90|English:10,100,Português:90|English:10,100,5,5,Some post-secondary,6,2,2,4,2,2,1,2,1,2,,,,,10,25,A1/A2,elementary|intermediate,elementary|intermediate,cambridge_0_14_elementary_intermediate,4,18,random,,,,,,,,,,,,,2026-08-16T09:30:48.205Z,93HMDKV8,2026-08-16,2026-08-16,06:30:48,2026-08-16 06:30:48,,,,,,,,69e952ecef183bc92b704159,69e952ecef183bc92b704159,,,,
