responseTime,recordType,Experiment,Condition,onestop_level,onestop_article_number,onestop_paragraph_number,ItemId,presentation_order,Index,Word,mousePositionX,mousePositionY,sampleTimeMs,SubjectId,SubjectID,onestop_block_level,onestop_paragraph_index,ProlificId,ProlificID,study_key,source,demo_age,demo_country,demo_native_language,demo_other_languages,demo_other_languages_parsed,demo_exposure_pcts,demo_exposure_total_pct,demo_read_pcts,demo_read_total_pct,demo_speak_pcts,demo_speak_total_pct,demo_formal_education_years,demo_years_current_institution,demo_highest_education,demo_native_speaking,demo_native_understanding,demo_native_reading,demo_english_speaking,demo_english_understanding,demo_english_reading,demo_english_acquire_start_age,demo_english_fluent_age,demo_english_read_start_age,demo_english_read_fluent_age,demo_other_english_test,demo_other_english_test_score,cambridge_item,cambridge_selected,cambridge_correct_answer,cambridge_item_correct,cambridge_score,cambridge_max,cambridge_cefr,onestop_level_pair,onestop_level_block_order,onestop_level_assignment_rule,onestop_reading_article_count,onestop_reading_trial_count,onestop_article_selection_mode,onestop_manual_article_numbers,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,line_number,position_in_line,revealMode,clickDurationMs,hoverDurationMs,relativeXInWord,relativeYInWord,totalWordsInItem,response,response_correct,prolific_pid,prolific_study_id,prolific_session_id,experiment_start_time,ParticipantId,experiment_start_date,experiment_date,experiment_start_clock_time,experiment_start_time_local,experiment_end_time,experiment_duration,glb_ProlificId,glb_ProlificID,glb_SubjectId,glb_SubjectID,glb_study_key,SONAId,SonaId,experiment_end_date,experiment_end_clock_time,experiment_end_time_local,experiment_duration_ms
236,raw_position_sample,2,3,adv,19,2,17,18,-1,999,381,85,986441.0999999996,697a65bf80a587dfc2c62e6c,697a65bf80a587dfc2c62e6c,advanced,2,697a65bf80a587dfc2c62e6c,697a65bf80a587dfc2c62e6c,spotlight_PROLIFIC,,24,México,Spanish,English,,Spanish:80|English:20,100,Spanish:30|English:70,100,Spanish:70|English:30,100,18,4,Master's,10,10,10,7,9,10,10,18,11,16,CEFR,C2,,,,,22,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-07-02T18:45:47.132Z,HB97X74G,2026-07-02,2026-07-02,12:45:47,2026-07-02 12:45:47,,,,,,,,697a65bf80a587dfc2c62e6c,697a65bf80a587dfc2c62e6c,,,,
286,raw_position_sample,2,3,adv,19,2,17,18,-1,999,415,96,986492,697a65bf80a587dfc2c62e6c,697a65bf80a587dfc2c62e6c,advanced,2,697a65bf80a587dfc2c62e6c,697a65bf80a587dfc2c62e6c,spotlight_PROLIFIC,,24,México,Spanish,English,,Spanish:80|English:20,100,Spanish:30|English:70,100,Spanish:70|English:30,100,18,4,Master's,10,10,10,7,9,10,10,18,11,16,CEFR,C2,,,,,22,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,,,,,,,,,,,,,,,,,,2026-07-02T18:45:47.132Z,HB97X74G,2026-07-02,2026-07-02,12:45:47,2026-07-02 12:45:47,,,,,,,,697a65bf80a587dfc2c62e6c,697a65bf80a587dfc2c62e6c,,,,
336,raw_position_sample,2,3,adv,19,2,17,18,1, The ,440,109,986541.8999999994,697a65bf80a587dfc2c62e6c,697a65bf80a587dfc2c62e6c,advanced,2,697a65bf80a587dfc2c62e6c,697a65bf80a587dfc2c62e6c,spotlight_PROLIFIC,,24,México,Spanish,English,,Spanish:80|English:20,100,Spanish:30|English:70,100,Spanish:70|English:30,100,18,4,Master's,10,10,10,7,9,10,10,18,11,16,CEFR,C2,,,,,22,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,112.76250457763672,433.2124938964844,130.36250495910645,467.8499946594238,1,1,,,,,,,,,,,,2026-07-02T18:45:47.132Z,HB97X74G,2026-07-02,2026-07-02,12:45:47,2026-07-02 12:45:47,,,,,,,,697a65bf80a587dfc2c62e6c,697a65bf80a587dfc2c62e6c,,,,
395,raw_position_sample,2,3,adv,19,2,17,18,1, The ,449,113,986600,697a65bf80a587dfc2c62e6c,697a65bf80a587dfc2c62e6c,advanced,2,697a65bf80a587dfc2c62e6c,697a65bf80a587dfc2c62e6c,spotlight_PROLIFIC,,24,México,Spanish,English,,Spanish:80|English:20,100,Spanish:30|English:70,100,Spanish:70|English:30,100,18,4,Master's,10,10,10,7,9,10,10,18,11,16,CEFR,C2,,,,,22,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,112.76250457763672,433.2124938964844,130.36250495910645,467.8499946594238,1,1,,,,,,,,,,,,2026-07-02T18:45:47.132Z,HB97X74G,2026-07-02,2026-07-02,12:45:47,2026-07-02 12:45:47,,,,,,,,697a65bf80a587dfc2c62e6c,697a65bf80a587dfc2c62e6c,,,,
432,raw_position_sample,2,3,adv,19,2,17,18,1, The ,451,112,986638,697a65bf80a587dfc2c62e6c,697a65bf80a587dfc2c62e6c,advanced,2,697a65bf80a587dfc2c62e6c,697a65bf80a587dfc2c62e6c,spotlight_PROLIFIC,,24,México,Spanish,English,,Spanish:80|English:20,100,Spanish:30|English:70,100,Spanish:70|English:30,100,18,4,Master's,10,10,10,7,9,10,10,18,11,16,CEFR,C2,,,,,22,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,112.76250457763672,433.2124938964844,130.36250495910645,467.8499946594238,1,1,,,,,,,,,,,,2026-07-02T18:45:47.132Z,HB97X74G,2026-07-02,2026-07-02,12:45:47,2026-07-02 12:45:47,,,,,,,,697a65bf80a587dfc2c62e6c,697a65bf80a587dfc2c62e6c,,,,
488,raw_position_sample,2,3,adv,19,2,17,18,1, The ,451,112,986693.7999999998,697a65bf80a587dfc2c62e6c,697a65bf80a587dfc2c62e6c,advanced,2,697a65bf80a587dfc2c62e6c,697a65bf80a587dfc2c62e6c,spotlight_PROLIFIC,,24,México,Spanish,English,,Spanish:80|English:20,100,Spanish:30|English:70,100,Spanish:70|English:30,100,18,4,Master's,10,10,10,7,9,10,10,18,11,16,CEFR,C2,,,,,22,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,112.76250457763672,433.2124938964844,130.36250495910645,467.8499946594238,1,1,,,,,,,,,,,,2026-07-02T18:45:47.132Z,HB97X74G,2026-07-02,2026-07-02,12:45:47,2026-07-02 12:45:47,,,,,,,,697a65bf80a587dfc2c62e6c,697a65bf80a587dfc2c62e6c,,,,
548,raw_position_sample,2,3,adv,19,2,17,18,1, The ,452,113,986753.1999999993,697a65bf80a587dfc2c62e6c,697a65bf80a587dfc2c62e6c,advanced,2,697a65bf80a587dfc2c62e6c,697a65bf80a587dfc2c62e6c,spotlight_PROLIFIC,,24,México,Spanish,English,,Spanish:80|English:20,100,Spanish:30|English:70,100,Spanish:70|English:30,100,18,4,Master's,10,10,10,7,9,10,10,18,11,16,CEFR,C2,,,,,22,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,112.76250457763672,433.2124938964844,130.36250495910645,467.8499946594238,1,1,,,,,,,,,,,,2026-07-02T18:45:47.132Z,HB97X74G,2026-07-02,2026-07-02,12:45:47,2026-07-02 12:45:47,,,,,,,,697a65bf80a587dfc2c62e6c,697a65bf80a587dfc2c62e6c,,,,
584,hover_association,2,3,adv,19,2,17,18,1, The ,434,108,,697a65bf80a587dfc2c62e6c,697a65bf80a587dfc2c62e6c,advanced,2,697a65bf80a587dfc2c62e6c,697a65bf80a587dfc2c62e6c,spotlight_PROLIFIC,,24,México,Spanish,English,,Spanish:80|English:20,100,Spanish:30|English:70,100,Spanish:70|English:30,100,18,4,Master's,10,10,10,7,9,10,10,18,11,16,CEFR,C2,,,,,22,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,101.56250858306885,429.74874382019044,141.56250095367432,467.8500003814697,1,1,hover,266.90000000037253,266.90000000037253,0.8727076002422823,0.3109373447298707,153,,,,,,2026-07-02T18:45:47.132Z,HB97X74G,2026-07-02,2026-07-02,12:45:47,2026-07-02 12:45:47,,,,,,,,697a65bf80a587dfc2c62e6c,697a65bf80a587dfc2c62e6c,,,,
586,raw_position_sample,2,3,adv,19,2,17,18,2," scientist, ",470,116,986791.7999999998,697a65bf80a587dfc2c62e6c,697a65bf80a587dfc2c62e6c,advanced,2,697a65bf80a587dfc2c62e6c,697a65bf80a587dfc2c62e6c,spotlight_PROLIFIC,,24,México,Spanish,English,,Spanish:80|English:20,100,Spanish:30|English:70,100,Spanish:70|English:30,100,18,4,Master's,10,10,10,7,9,10,10,18,11,16,CEFR,C2,,,,,22,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,112.76250457763672,467.8500061035156,130.36250495910645,541.6500091552734,1,2,,,,,,,,,,,,2026-07-02T18:45:47.132Z,HB97X74G,2026-07-02,2026-07-02,12:45:47,2026-07-02 12:45:47,,,,,,,,697a65bf80a587dfc2c62e6c,697a65bf80a587dfc2c62e6c,,,,
636,raw_position_sample,2,3,adv,19,2,17,18,2," scientist, ",509,123,986841.0999999996,697a65bf80a587dfc2c62e6c,697a65bf80a587dfc2c62e6c,advanced,2,697a65bf80a587dfc2c62e6c,697a65bf80a587dfc2c62e6c,spotlight_PROLIFIC,,24,México,Spanish,English,,Spanish:80|English:20,100,Spanish:30|English:70,100,Spanish:70|English:30,100,18,4,Master's,10,10,10,7,9,10,10,18,11,16,CEFR,C2,,,,,22,25,C1,intermediate|advanced,intermediate|advanced,cambridge_22_25_intermediate_advanced,4,20,random,,112.76250457763672,467.8500061035156,130.36250495910645,541.6500091552734,1,2,,,,,,,,,,,,2026-07-02T18:45:47.132Z,HB97X74G,2026-07-02,2026-07-02,12:45:47,2026-07-02 12:45:47,,,,,,,,697a65bf80a587dfc2c62e6c,697a65bf80a587dfc2c62e6c,,,,
